'Elapsed time','II','AVL','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'5:47:02.064',0.288,-,0.192,-,42.400,-
'5:47:02.072',0.288,-,0.168,-,42.400,-
'5:47:02.080',0.296,-,0.152,-,42.400,-
'5:47:02.088',0.296,-,0.152,-,42.400,-
'5:47:02.096',0.296,-,0.128,-,43.200,-
'5:47:02.104',0.312,-,0.128,-,43.200,-
'5:47:02.112',0.328,-,0.104,-,44.800,-
'5:47:02.120',0.328,-,0.080,-,47.200,-
'5:47:02.128',0.336,-,0.080,-,49.600,-
'5:47:02.136',0.336,-,0.064,-,52.800,-
'5:47:02.144',0.352,-,0.064,-,55.200,-
'5:47:02.152',0.352,-,0.040,-,56.800,-
'5:47:02.160',0.352,-,0.040,-,58.400,-
'5:47:02.168',0.368,-,0.016,-,60.000,-
'5:47:02.176',0.352,-,0.016,-,60.800,-
'5:47:02.184',0.352,-,0.016,-,62.400,-
'5:47:02.192',0.328,-,0.000,-,63.200,-
'5:47:02.200',0.312,-,0.000,-,63.200,-
'5:47:02.208',0.288,-,0.000,-,63.200,-
'5:47:02.216',0.272,-,-0.016,-,63.200,-
'5:47:02.224',0.248,-,-0.016,-,63.200,-
'5:47:02.232',0.208,-,-0.040,-,62.400,-
'5:47:02.240',0.168,-,-0.040,-,61.600,-
'5:47:02.248',0.144,-,-0.040,-,60.800,-
'5:47:02.256',0.104,-,-0.064,-,59.200,-
'5:47:02.264',0.072,-,-0.064,-,57.600,-
'5:47:02.272',0.032,-,-0.080,-,56.000,-
'5:47:02.280',0.008,-,-0.080,-,54.400,-
'5:47:02.288',0.008,-,-0.104,-,53.600,-
'5:47:02.296',0.008,-,-0.128,-,52.000,-
'5:47:02.304',0.008,-,-0.152,-,51.200,-
'5:47:02.312',0.024,-,-0.168,-,50.400,-
'5:47:02.320',0.008,-,-0.192,-,49.600,-
'5:47:02.328',0.000,-,-0.216,-,48.800,-
'5:47:02.336',0.000,-,-0.216,-,48.000,-
'5:47:02.344',0.000,-,-0.232,-,47.200,-
'5:47:02.352',-0.008,-,-0.256,-,46.400,-
'5:47:02.360',-0.008,-,-0.280,-,46.400,-
'5:47:02.368',-0.008,-,-0.304,-,45.600,-
'5:47:02.376',-0.008,-,-0.320,-,45.600,-
'5:47:02.384',-0.008,-,-0.320,-,44.800,-
'5:47:02.392',-0.024,-,-0.344,-,44.800,-
'5:47:02.400',-0.024,-,-0.368,-,44.800,-
'5:47:02.408',-0.024,-,-0.368,-,44.800,-
'5:47:02.416',-0.008,-,-0.384,-,44.800,-
'5:47:02.424',-0.008,-,-0.408,-,44.800,-
'5:47:02.432',0.000,-,-0.432,-,44.000,-
'5:47:02.440',-0.008,-,-0.456,-,44.000,-
'5:47:02.448',-0.008,-,-0.472,-,44.000,-
'5:47:02.456',-0.008,-,-0.496,-,44.000,-
'5:47:02.464',0.000,-,-0.520,-,44.000,-
'5:47:02.472',0.000,-,-0.560,-,44.000,-
'5:47:02.480',0.000,-,-0.584,-,44.000,-
'5:47:02.488',0.008,-,-0.608,-,44.000,-
'5:47:02.496',0.000,-,-0.624,-,44.000,-
'5:47:02.504',0.000,-,-0.648,-,43.200,-
'5:47:02.512',0.008,-,-0.648,-,43.200,-
'5:47:02.520',0.024,-,-0.672,-,43.200,-
'5:47:02.528',0.032,-,-0.688,-,43.200,-
'5:47:02.536',0.032,-,-0.712,-,43.200,-
'5:47:02.544',-0.048,-,-0.736,-,43.200,-
'5:47:02.552',-0.184,-,-0.760,-,42.400,-
'5:47:02.560',-0.288,-,-0.776,-,42.400,-
'5:47:02.568',-0.328,-,-0.776,-,42.400,-
'5:47:02.576',-0.336,-,-0.800,-,42.400,-
'5:47:02.584',-0.288,-,-0.824,-,42.400,-
'5:47:02.592',-0.208,-,-0.840,-,41.600,-
'5:47:02.600',-0.112,-,-0.864,-,41.600,-
'5:47:02.608',-0.048,-,-0.912,-,41.600,-
'5:47:02.616',-0.008,-,-0.928,-,41.600,-
'5:47:02.624',0.008,-,-0.928,-,41.600,-
'5:47:02.632',0.032,-,-0.952,-,40.800,-
'5:47:02.640',0.048,-,-0.976,-,40.800,-
'5:47:02.648',0.048,-,-1.000,-,40.800,-
'5:47:02.656',0.048,-,-1.016,-,40.800,-
'5:47:02.664',0.048,-,-1.040,-,40.800,-
'5:47:02.672',0.064,-,-1.080,-,40.800,-
'5:47:02.680',0.072,-,-1.104,-,40.800,-
'5:47:02.688',0.072,-,-1.128,-,41.600,-
'5:47:02.696',0.072,-,-1.152,-,43.200,-
'5:47:02.704',0.072,-,-1.168,-,45.600,-
'5:47:02.712',0.072,-,-1.216,-,49.600,-
'5:47:02.720',0.072,-,-1.232,-,54.400,-
'5:47:02.728',0.072,-,-1.256,-,58.400,-
'5:47:02.736',0.072,-,-1.280,-,60.800,-
'5:47:02.744',0.072,-,-1.304,-,63.200,-
'5:47:02.752',0.072,-,-1.320,-,65.600,-
'5:47:02.760',0.088,-,-1.320,-,68.000,-
'5:47:02.768',0.072,-,-1.344,-,69.600,-
'5:47:02.776',0.064,-,-1.368,-,71.200,-
'5:47:02.784',0.048,-,-1.368,-,72.800,-
'5:47:02.792',0.032,-,-1.384,-,73.600,-
'5:47:02.800',0.024,-,-1.384,-,74.400,-
'5:47:02.808',0.008,-,-1.408,-,74.400,-
