'Elapsed time','II','III','AVR','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'122:15:14.304',0.075,-,-,-,142.400
'122:15:14.312',0.125,-,-,-,142.400
'122:15:14.320',0.125,-,-,-,141.600
'122:15:14.328',0.125,-,-,-,139.200
'122:15:14.336',0.175,-,-,-,135.200
'122:15:14.344',0.175,-,-,-,132.800
'122:15:14.352',0.175,-,-,-,130.400
'122:15:14.360',0.300,-,-,-,128.000
'122:15:14.368',0.675,-,-,-,124.800
'122:15:14.376',1.175,-,-,-,120.800
'122:15:14.384',1.300,-,-,-,117.600
'122:15:14.392',0.725,-,-,-,115.200
'122:15:14.400',-0.250,-,-,-,112.800
'122:15:14.408',-1.050,-,-,-,111.200
'122:15:14.416',-1.350,-,-,-,108.800
'122:15:14.424',-1.225,-,-,-,105.600
'122:15:14.432',-0.925,-,-,-,101.600
'122:15:14.440',-0.550,-,-,-,98.400
'122:15:14.448',-0.175,-,-,-,94.400
'122:15:14.456',-0.025,-,-,-,91.200
'122:15:14.464',0.025,-,-,-,87.200
'122:15:14.472',0.050,-,-,-,84.000
'122:15:14.480',0.100,-,-,-,82.400
'122:15:14.488',0.100,-,-,-,80.000
'122:15:14.496',0.100,-,-,-,80.000
'122:15:14.504',0.100,-,-,-,80.000
'122:15:14.512',0.125,-,-,-,80.000
'122:15:14.520',0.125,-,-,-,80.000
'122:15:14.528',0.100,-,-,-,80.000
'122:15:14.536',0.100,-,-,-,80.000
'122:15:14.544',0.075,-,-,-,80.000
'122:15:14.552',0.025,-,-,-,80.000
'122:15:14.560',0.025,-,-,-,78.400
'122:15:14.568',0.000,-,-,-,78.400
'122:15:14.576',0.025,-,-,-,77.600
'122:15:14.584',0.025,-,-,-,76.000
'122:15:14.592',0.050,-,-,-,76.000
'122:15:14.600',0.075,-,-,-,75.200
'122:15:14.608',0.175,-,-,-,73.600
'122:15:14.616',0.200,-,-,-,73.600
'122:15:14.624',0.250,-,-,-,72.800
'122:15:14.632',0.250,-,-,-,72.800
'122:15:14.640',0.275,-,-,-,71.200
'122:15:14.648',0.300,-,-,-,70.400
'122:15:14.656',0.275,-,-,-,68.800
'122:15:14.664',0.250,-,-,-,66.400
'122:15:14.672',0.250,-,-,-,65.600
'122:15:14.680',0.250,-,-,-,65.600
'122:15:14.688',0.225,-,-,-,64.000
'122:15:14.696',0.200,-,-,-,63.200
'122:15:14.704',0.175,-,-,-,63.200
'122:15:14.712',0.175,-,-,-,61.600
'122:15:14.720',0.100,-,-,-,60.800
'122:15:14.728',0.050,-,-,-,60.800
'122:15:14.736',0.025,-,-,-,60.800
'122:15:14.744',0.025,-,-,-,59.200
'122:15:14.752',0.000,-,-,-,59.200
'122:15:14.760',0.000,-,-,-,59.200
'122:15:14.768',0.000,-,-,-,58.400
'122:15:14.776',0.000,-,-,-,58.400
'122:15:14.784',-0.025,-,-,-,56.800
'122:15:14.792',-0.025,-,-,-,56.800
'122:15:14.800',-0.025,-,-,-,56.800
'122:15:14.808',0.000,-,-,-,56.000
'122:15:14.816',0.025,-,-,-,56.000
'122:15:14.824',0.025,-,-,-,56.000
'122:15:14.832',0.050,-,-,-,54.400
'122:15:14.840',0.075,-,-,-,54.400
'122:15:14.848',0.100,-,-,-,54.400
'122:15:14.856',0.100,-,-,-,53.600
'122:15:14.864',0.075,-,-,-,53.600
'122:15:14.872',0.100,-,-,-,53.600
'122:15:14.880',0.100,-,-,-,53.600
'122:15:14.888',0.075,-,-,-,53.600
'122:15:14.896',0.050,-,-,-,52.000
'122:15:14.904',0.025,-,-,-,52.000
'122:15:14.912',0.000,-,-,-,53.600
'122:15:14.920',0.000,-,-,-,53.600
'122:15:14.928',0.000,-,-,-,54.400
'122:15:14.936',0.000,-,-,-,54.400
'122:15:14.944',-0.025,-,-,-,54.400
'122:15:14.952',0.000,-,-,-,53.600
'122:15:14.960',0.000,-,-,-,53.600
'122:15:14.968',0.000,-,-,-,54.400
'122:15:14.976',0.000,-,-,-,54.400
'122:15:14.984',0.025,-,-,-,54.400
'122:15:14.992',0.050,-,-,-,56.000
'122:15:15.000',0.075,-,-,-,56.000
'122:15:15.008',0.100,-,-,-,56.000
'122:15:15.016',0.125,-,-,-,56.000
'122:15:15.024',0.175,-,-,-,56.000
'122:15:15.032',0.400,-,-,-,56.000
'122:15:15.040',0.925,-,-,-,56.000
'122:15:15.048',1.500,-,-,-,56.000
'122:15:15.056',1.575,-,-,-,56.000
'122:15:15.064',0.750,-,-,-,56.000
'122:15:15.072',-0.375,-,-,-,56.000
'122:15:15.080',-1.075,-,-,-,56.800
'122:15:15.088',-0.900,-,-,-,56.000
