'Elapsed time','II','AVL','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'5:55:13.064',0.072,-,-1.496,-,62.400,-
'5:55:13.072',0.064,-,-1.496,-,60.800,-
'5:55:13.080',0.032,-,-1.496,-,59.200,-
'5:55:13.088',0.008,-,-1.520,-,58.400,-
'5:55:13.096',0.000,-,-1.520,-,56.800,-
'5:55:13.104',-0.008,-,-1.536,-,56.000,-
'5:55:13.112',-0.032,-,-1.560,-,55.200,-
'5:55:13.120',-0.032,-,-1.560,-,54.400,-
'5:55:13.128',-0.024,-,-1.584,-,53.600,-
'5:55:13.136',-0.008,-,-1.608,-,53.600,-
'5:55:13.144',-0.008,-,-1.624,-,52.800,-
'5:55:13.152',-0.008,-,-1.624,-,52.000,-
'5:55:13.160',-0.024,-,-1.648,-,51.200,-
'5:55:13.168',-0.024,-,-1.672,-,51.200,-
'5:55:13.176',-0.024,-,-1.672,-,50.400,-
'5:55:13.184',-0.024,-,-1.688,-,50.400,-
'5:55:13.192',-0.024,-,-1.688,-,50.400,-
'5:55:13.200',-0.024,-,-1.712,-,49.600,-
'5:55:13.208',-0.024,-,-1.712,-,49.600,-
'5:55:13.216',-0.024,-,-1.736,-,49.600,-
'5:55:13.224',-0.024,-,-1.736,-,49.600,-
'5:55:13.232',-0.024,-,-1.736,-,49.600,-
'5:55:13.240',-0.024,-,-1.760,-,49.600,-
'5:55:13.248',-0.024,-,-1.760,-,49.600,-
'5:55:13.256',-0.024,-,-1.760,-,49.600,-
'5:55:13.264',-0.024,-,-1.776,-,49.600,-
'5:55:13.272',-0.008,-,-1.776,-,48.800,-
'5:55:13.280',-0.008,-,-1.776,-,48.800,-
'5:55:13.288',-0.008,-,-1.776,-,48.800,-
'5:55:13.296',-0.008,-,-1.800,-,48.800,-
'5:55:13.304',-0.008,-,-1.800,-,48.800,-
'5:55:13.312',0.000,-,-1.800,-,48.800,-
'5:55:13.320',0.000,-,-1.800,-,48.000,-
'5:55:13.328',0.000,-,-1.800,-,48.000,-
'5:55:13.336',0.008,-,-1.800,-,48.000,-
'5:55:13.344',0.024,-,-1.800,-,48.000,-
