'Elapsed time','II','III','AVR','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'47:54:12.696',-0.032,-,-,-0.024,-,-
'47:54:12.704',-0.032,-,-,-0.024,-,-
'47:54:12.712',-0.032,-,-,-0.016,-,-
'47:54:12.720',-0.024,-,-,-0.016,-,-
'47:54:12.728',-0.024,-,-,-0.008,-,-
'47:54:12.736',-0.016,-,-,-0.008,-,-
'47:54:12.744',-0.016,-,-,-0.008,-,-
'47:54:12.752',-0.008,-,-,0.000,-,-
'47:54:12.760',-0.008,-,-,0.000,-,-
'47:54:12.768',-0.008,-,-,0.000,-,-
'47:54:12.776',-0.008,-,-,0.000,-,-
'47:54:12.784',0.000,-,-,0.000,-,-
'47:54:12.792',0.000,-,-,0.000,-,-
'47:54:12.800',0.000,-,-,0.000,-,-
'47:54:12.808',-0.008,-,-,0.000,-,-
'47:54:12.816',-0.008,-,-,0.000,-,-
'47:54:12.824',-0.008,-,-,-0.008,-,-
'47:54:12.832',-0.008,-,-,-0.008,-,-
'47:54:12.840',0.000,-,-,0.000,-,-
'47:54:12.848',0.000,-,-,0.000,-,-
'47:54:12.856',0.000,-,-,0.000,-,-
'47:54:12.864',-0.008,-,-,0.000,-,-
'47:54:12.872',-0.008,-,-,0.000,-,-
'47:54:12.880',0.000,-,-,0.000,-,-
'47:54:12.888',-0.008,-,-,0.000,-,-
'47:54:12.896',-0.008,-,-,0.000,-,-
'47:54:12.904',-0.008,-,-,0.000,-,-
'47:54:12.912',-0.008,-,-,0.000,-,-
'47:54:12.920',0.000,-,-,0.000,-,-
'47:54:12.928',0.000,-,-,0.000,-,-
'47:54:12.936',0.008,-,-,0.008,-,-
'47:54:12.944',0.024,-,-,0.024,-,-
'47:54:12.952',0.048,-,-,0.040,-,-
'47:54:12.960',0.056,-,-,0.048,-,-
'47:54:12.968',0.072,-,-,0.056,-,-
'47:54:12.976',0.088,-,-,0.064,-,-
'47:54:12.984',0.096,-,-,0.064,-,-
'47:54:12.992',0.088,-,-,0.048,-,-
'47:54:13.000',0.056,-,-,0.024,-,-
