'Elapsed time','II','III','AVR','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'122:08:15.304',0.125,-,-,-,72.800
'122:08:15.312',0.125,-,-,-,71.200
'122:08:15.320',0.100,-,-,-,70.400
'122:08:15.328',0.075,-,-,-,70.400
'122:08:15.336',0.075,-,-,-,68.800
'122:08:15.344',0.050,-,-,-,68.000
'122:08:15.352',0.075,-,-,-,66.400
'122:08:15.360',0.100,-,-,-,65.600
'122:08:15.368',0.125,-,-,-,64.000
'122:08:15.376',0.200,-,-,-,64.000
'122:08:15.384',0.250,-,-,-,63.200
'122:08:15.392',0.300,-,-,-,63.200
'122:08:15.400',0.375,-,-,-,64.000
'122:08:15.408',0.425,-,-,-,65.600
'122:08:15.416',0.450,-,-,-,65.600
'122:08:15.424',0.450,-,-,-,65.600
'122:08:15.432',0.425,-,-,-,65.600
'122:08:15.440',0.400,-,-,-,66.400
'122:08:15.448',0.350,-,-,-,66.400
'122:08:15.456',0.275,-,-,-,66.400
'122:08:15.464',0.225,-,-,-,66.400
'122:08:15.472',0.200,-,-,-,64.000
'122:08:15.480',0.125,-,-,-,61.600
'122:08:15.488',0.075,-,-,-,60.800
'122:08:15.496',0.025,-,-,-,60.800
'122:08:15.504',0.000,-,-,-,61.600
'122:08:15.512',-0.025,-,-,-,63.200
'122:08:15.520',-0.025,-,-,-,64.000
'122:08:15.528',-0.050,-,-,-,63.200
'122:08:15.536',-0.050,-,-,-,59.200
'122:08:15.544',-0.050,-,-,-,53.600
'122:08:15.552',-0.050,-,-,-,53.600
'122:08:15.560',-0.025,-,-,-,58.400
'122:08:15.568',0.000,-,-,-,63.200
'122:08:15.576',0.025,-,-,-,60.800
'122:08:15.584',0.025,-,-,-,51.200
'122:08:15.592',0.050,-,-,-,40.000
'122:08:15.600',0.075,-,-,-,36.800
'122:08:15.608',0.075,-,-,-,40.000
'122:08:15.616',0.075,-,-,-,46.400
'122:08:15.624',0.075,-,-,-,51.200
'122:08:15.632',0.075,-,-,-,51.200
'122:08:15.640',0.050,-,-,-,48.800
'122:08:15.648',0.050,-,-,-,44.800
'122:08:15.656',0.025,-,-,-,44.000
'122:08:15.664',-0.025,-,-,-,44.800
'122:08:15.672',-0.050,-,-,-,46.400
'122:08:15.680',-0.050,-,-,-,46.400
'122:08:15.688',-0.075,-,-,-,47.200
'122:08:15.696',-0.075,-,-,-,48.800
'122:08:15.704',-0.075,-,-,-,49.600
'122:08:15.712',-0.075,-,-,-,51.200
'122:08:15.720',-0.075,-,-,-,49.600
'122:08:15.728',-0.050,-,-,-,48.800
'122:08:15.736',-0.025,-,-,-,47.200
'122:08:15.744',0.000,-,-,-,44.800
'122:08:15.752',0.000,-,-,-,44.000
'122:08:15.760',0.025,-,-,-,44.000
'122:08:15.768',0.050,-,-,-,44.800
'122:08:15.776',0.050,-,-,-,46.400
'122:08:15.784',0.100,-,-,-,47.200
'122:08:15.792',0.275,-,-,-,47.200
'122:08:15.800',0.775,-,-,-,46.400
'122:08:15.808',1.375,-,-,-,44.000
'122:08:15.816',1.500,-,-,-,41.600
'122:08:15.824',0.800,-,-,-,39.200
'122:08:15.832',-0.275,-,-,-,39.200
'122:08:15.840',-1.125,-,-,-,39.200
'122:08:15.848',-1.225,-,-,-,40.000
'122:08:15.856',-0.625,-,-,-,41.600
'122:08:15.864',-0.350,-,-,-,42.400
'122:08:15.872',-0.250,-,-,-,42.400
'122:08:15.880',-0.225,-,-,-,41.600
'122:08:15.888',-0.200,-,-,-,41.600
'122:08:15.896',-0.175,-,-,-,42.400
'122:08:15.904',-0.100,-,-,-,44.000
'122:08:15.912',-0.075,-,-,-,44.800
'122:08:15.920',-0.050,-,-,-,44.800
'122:08:15.928',0.000,-,-,-,44.800
'122:08:15.936',0.000,-,-,-,44.800
'122:08:15.944',0.000,-,-,-,44.800
'122:08:15.952',0.000,-,-,-,44.000
'122:08:15.960',0.000,-,-,-,44.000
'122:08:15.968',0.000,-,-,-,47.200
