'Elapsed time','II','AVR','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'44:31:35.200',-0.142,-,-,-0.085,-,-,-
'44:31:35.208',-0.142,-,-,-0.066,-,-,-
'44:31:35.216',-0.142,-,-,-0.057,-,-,-
'44:31:35.224',-0.123,-,-,-0.094,-,-,-
'44:31:35.232',-0.123,-,-,-0.057,-,-,-
'44:31:35.240',-0.123,-,-,-0.047,-,-,-
'44:31:35.248',-0.142,-,-,-0.066,-,-,-
'44:31:35.256',-0.142,-,-,-0.094,-,-,-
'44:31:35.264',-0.142,-,-,-0.085,-,-,-
'44:31:35.272',-0.142,-,-,-0.104,-,-,-
'44:31:35.280',-0.160,-,-,-0.085,-,-,-
'44:31:35.288',-0.179,-,-,-0.113,-,-,-
'44:31:35.296',-0.189,-,-,-0.104,-,-,-
'44:31:35.304',-0.208,-,-,-0.151,-,-,-
'44:31:35.312',-0.208,-,-,-0.151,-,-,-
'44:31:35.320',-0.208,-,-,-0.132,-,-,-
'44:31:35.328',-0.189,-,-,-0.170,-,-,-
'44:31:35.336',-0.179,-,-,-0.132,-,-,-
'44:31:35.344',-0.142,-,-,-0.113,-,-,-
'44:31:35.352',-0.113,-,-,-0.085,-,-,-
'44:31:35.360',-0.075,-,-,-0.057,-,-,-
'44:31:35.368',-0.047,-,-,-0.085,-,-,-
'44:31:35.376',-0.009,-,-,-0.009,-,-,-
'44:31:35.384',0.000,-,-,-0.019,-,-,-
'44:31:35.392',0.009,-,-,0.038,-,-,-
'44:31:35.400',0.009,-,-,0.028,-,-,-
'44:31:35.408',0.009,-,-,0.038,-,-,-
'44:31:35.416',0.028,-,-,0.028,-,-,-
'44:31:35.424',0.028,-,-,0.066,-,-,-
'44:31:35.432',0.028,-,-,0.047,-,-,-
'44:31:35.440',0.028,-,-,0.057,-,-,-
'44:31:35.448',0.009,-,-,0.038,-,-,-
'44:31:35.456',0.009,-,-,0.038,-,-,-
'44:31:35.464',0.009,-,-,0.019,-,-,-
'44:31:35.472',0.000,-,-,0.038,-,-,-
'44:31:35.480',-0.047,-,-,-0.019,-,-,-
'44:31:35.488',-0.094,-,-,-0.047,-,-,-
'44:31:35.496',-0.094,-,-,-0.085,-,-,-
'44:31:35.504',-0.075,-,-,-0.047,-,-,-
'44:31:35.512',-0.057,-,-,-0.038,-,-,-
'44:31:35.520',-0.047,-,-,-0.047,-,-,-
'44:31:35.528',-0.057,-,-,-0.019,-,-,-
'44:31:35.536',-0.057,-,-,-0.047,-,-,-
'44:31:35.544',-0.057,-,-,-0.057,-,-,-
'44:31:35.552',-0.047,-,-,-0.038,-,-,-
'44:31:35.560',-0.047,-,-,-0.028,-,-,-
'44:31:35.568',-0.028,-,-,-0.047,-,-,-
'44:31:35.576',0.009,-,-,-0.019,-,-,-
'44:31:35.584',0.075,-,-,0.038,-,-,-
'44:31:35.592',0.179,-,-,0.057,-,-,-
'44:31:35.600',0.245,-,-,0.142,-,-,-
'44:31:35.608',0.255,-,-,0.151,-,-,-
'44:31:35.616',0.274,-,-,0.066,-,-,-
'44:31:35.624',0.226,-,-,0.142,-,-,-
'44:31:35.632',0.057,-,-,0.019,-,-,-
'44:31:35.640',-0.075,-,-,-0.113,-,-,-
'44:31:35.648',-0.189,-,-,-0.179,-,-,-
'44:31:35.656',-0.255,-,-,-0.283,-,-,-
'44:31:35.664',-0.274,-,-,-0.302,-,-,-
'44:31:35.672',-0.226,-,-,-0.274,-,-,-
'44:31:35.680',-0.160,-,-,-0.189,-,-,-
'44:31:35.688',-0.094,-,-,-0.094,-,-,-
'44:31:35.696',-0.057,-,-,-0.047,-,-,-
'44:31:35.704',-0.057,-,-,-0.009,-,-,-
'44:31:35.712',-0.057,-,-,0.000,-,-,-
'44:31:35.720',-0.094,-,-,-0.019,-,-,-
'44:31:35.728',-0.094,-,-,-0.009,-,-,-
'44:31:35.736',-0.113,-,-,-0.047,-,-,-
'44:31:35.744',-0.113,-,-,-0.019,-,-,-
'44:31:35.752',-0.094,-,-,-0.028,-,-,-
'44:31:35.760',-0.094,-,-,-0.019,-,-,-
'44:31:35.768',-0.094,-,-,-0.028,-,-,-
'44:31:35.776',-0.094,-,-,-0.019,-,-,-
'44:31:35.784',-0.113,-,-,-0.028,-,-,-
'44:31:35.792',-0.113,-,-,-0.038,-,-,-
'44:31:35.800',-0.113,-,-,-0.009,-,-,-
'44:31:35.808',-0.142,-,-,-0.038,-,-,-
'44:31:35.816',-0.142,-,-,-0.047,-,-,-
'44:31:35.824',-0.123,-,-,-0.057,-,-,-
'44:31:35.832',-0.123,-,-,-0.028,-,-,-
'44:31:35.840',-0.142,-,-,-0.057,-,-,-
'44:31:35.848',-0.123,-,-,-0.047,-,-,-
