'Elapsed time','II','AVL','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'5:37:26.064',0.000,-,-1.192,-,44.000,-
'5:37:26.072',-0.008,-,-1.216,-,44.000,-
'5:37:26.080',-0.008,-,-1.232,-,44.000,-
'5:37:26.088',0.000,-,-1.232,-,43.200,-
'5:37:26.096',0.000,-,-1.256,-,43.200,-
'5:37:26.104',0.000,-,-1.256,-,43.200,-
'5:37:26.112',0.000,-,-1.256,-,43.200,-
'5:37:26.120',0.000,-,-1.280,-,43.200,-
'5:37:26.128',0.000,-,-1.280,-,42.400,-
'5:37:26.136',0.000,-,-1.280,-,42.400,-
'5:37:26.144',0.000,-,-1.280,-,42.400,-
'5:37:26.152',0.008,-,-1.304,-,42.400,-
'5:37:26.160',0.008,-,-1.304,-,41.600,-
'5:37:26.168',0.032,-,-1.304,-,41.600,-
'5:37:26.176',0.048,-,-1.304,-,41.600,-
'5:37:26.184',0.064,-,-1.304,-,41.600,-
'5:37:26.192',0.048,-,-1.320,-,40.800,-
'5:37:26.200',-0.064,-,-1.320,-,40.800,-
'5:37:26.208',-0.248,-,-1.320,-,40.800,-
'5:37:26.216',-0.352,-,-1.344,-,40.800,-
'5:37:26.224',-0.376,-,-1.344,-,40.000,-
'5:37:26.232',-0.352,-,-1.368,-,40.000,-
'5:37:26.240',-0.288,-,-1.368,-,40.000,-
'5:37:26.248',-0.192,-,-1.384,-,39.200,-
'5:37:26.256',-0.112,-,-1.384,-,39.200,-
'5:37:26.264',-0.048,-,-1.408,-,39.200,-
'5:37:26.272',-0.008,-,-1.408,-,39.200,-
'5:37:26.280',0.008,-,-1.432,-,39.200,-
'5:37:26.288',0.032,-,-1.432,-,39.200,-
'5:37:26.296',0.032,-,-1.432,-,38.400,-
'5:37:26.304',0.032,-,-1.456,-,38.400,-
'5:37:26.312',0.048,-,-1.456,-,38.400,-
'5:37:26.320',0.048,-,-1.472,-,38.400,-
'5:37:26.328',0.048,-,-1.496,-,38.400,-
'5:37:26.336',0.048,-,-1.496,-,39.200,-
'5:37:26.344',0.048,-,-1.520,-,40.000,-
'5:37:26.352',0.064,-,-1.536,-,41.600,-
'5:37:26.360',0.064,-,-1.560,-,45.600,-
'5:37:26.368',0.064,-,-1.584,-,50.400,-
'5:37:26.376',0.072,-,-1.584,-,55.200,-
'5:37:26.384',0.072,-,-1.608,-,59.200,-
'5:37:26.392',0.064,-,-1.608,-,61.600,-
'5:37:26.400',0.048,-,-1.584,-,64.000,-
'5:37:26.408',0.048,-,-1.584,-,66.400,-
'5:37:26.416',0.064,-,-1.584,-,68.800,-
'5:37:26.424',0.064,-,-1.560,-,71.200,-
'5:37:26.432',0.064,-,-1.560,-,72.800,-
'5:37:26.440',0.048,-,-1.536,-,74.400,-
'5:37:26.448',0.032,-,-1.520,-,75.200,-
'5:37:26.456',0.032,-,-1.520,-,76.000,-
'5:37:26.464',0.024,-,-1.496,-,76.000,-
'5:37:26.472',0.008,-,-1.472,-,76.000,-
'5:37:26.480',0.000,-,-1.472,-,75.200,-
'5:37:26.488',0.000,-,-1.456,-,74.400,-
'5:37:26.496',0.008,-,-1.432,-,72.800,-
'5:37:26.504',0.008,-,-1.408,-,71.200,-
'5:37:26.512',0.000,-,-1.384,-,69.600,-
'5:37:26.520',0.000,-,-1.368,-,68.000,-
'5:37:26.528',0.000,-,-1.344,-,65.600,-
'5:37:26.536',-0.008,-,-1.320,-,64.000,-
'5:37:26.544',-0.008,-,-1.304,-,61.600,-
'5:37:26.552',-0.008,-,-1.280,-,60.000,-
'5:37:26.560',-0.008,-,-1.256,-,58.400,-
'5:37:26.568',-0.008,-,-1.232,-,57.600,-
'5:37:26.576',-0.008,-,-1.232,-,56.800,-
'5:37:26.584',-0.024,-,-1.232,-,56.800,-
'5:37:26.592',-0.024,-,-1.232,-,56.000,-
'5:37:26.600',-0.024,-,-1.232,-,55.200,-
'5:37:26.608',-0.008,-,-1.232,-,54.400,-
'5:37:26.616',0.000,-,-1.256,-,54.400,-
'5:37:26.624',0.000,-,-1.256,-,53.600,-
'5:37:26.632',0.000,-,-1.280,-,53.600,-
'5:37:26.640',0.000,-,-1.280,-,53.600,-
'5:37:26.648',0.000,-,-1.304,-,52.800,-
'5:37:26.656',0.000,-,-1.320,-,52.800,-
'5:37:26.664',0.000,-,-1.344,-,52.000,-
'5:37:26.672',0.000,-,-1.368,-,52.000,-
'5:37:26.680',0.000,-,-1.384,-,52.000,-
'5:37:26.688',0.008,-,-1.408,-,51.200,-
'5:37:26.696',0.024,-,-1.432,-,51.200,-
'5:37:26.704',0.048,-,-1.456,-,51.200,-
'5:37:26.712',0.064,-,-1.496,-,51.200,-
'5:37:26.720',0.048,-,-1.520,-,50.400,-
'5:37:26.728',-0.024,-,-1.536,-,50.400,-
'5:37:26.736',-0.192,-,-1.584,-,50.400,-
'5:37:26.744',-0.312,-,-1.608,-,49.600,-
'5:37:26.752',-0.352,-,-1.624,-,49.600,-
'5:37:26.760',-0.336,-,-1.648,-,49.600,-
'5:37:26.768',-0.312,-,-1.672,-,49.600,-
'5:37:26.776',-0.216,-,-1.688,-,49.600,-
'5:37:26.784',-0.128,-,-1.712,-,48.800,-
'5:37:26.792',-0.064,-,-1.712,-,48.800,-
'5:37:26.800',-0.024,-,-1.736,-,48.800,-
'5:37:26.808',0.008,-,-1.736,-,48.800,-
