'Elapsed time','I','II','III','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg'
'218:29:17.032',0.000,-0.043,-,-,-,72.000
'218:29:17.040',0.000,-0.022,-,-,-,72.000
'218:29:17.048',0.000,-0.022,-,-,-,72.000
'218:29:17.056',0.000,-0.022,-,-,-,72.800
'218:29:17.064',-0.016,-0.043,-,-,-,72.800
'218:29:17.072',-0.016,-0.076,-,-,-,73.600
'218:29:17.080',-0.016,-0.076,-,-,-,73.600
'218:29:17.088',-0.016,-0.076,-,-,-,73.600
'218:29:17.096',-0.016,-0.076,-,-,-,73.600
'218:29:17.104',-0.032,-0.098,-,-,-,73.600
'218:29:17.112',-0.072,-0.152,-,-,-,73.600
'218:29:17.120',0.000,-0.076,-,-,-,72.800
'218:29:17.128',0.248,0.261,-,-,-,72.800
'218:29:17.136',0.512,0.707,-,-,-,72.000
'218:29:17.144',0.552,0.815,-,-,-,71.200
'218:29:17.152',0.208,0.413,-,-,-,70.400
'218:29:17.160',-0.096,-0.022,-,-,-,69.600
'218:29:17.168',-0.208,-0.261,-,-,-,68.800
'218:29:17.176',-0.224,-0.283,-,-,-,68.000
'218:29:17.184',-0.192,-0.207,-,-,-,67.200
'218:29:17.192',-0.112,-0.130,-,-,-,66.400
'218:29:17.200',-0.056,-0.098,-,-,-,65.600
'218:29:17.208',-0.056,-0.098,-,-,-,65.600
'218:29:17.216',-0.056,-0.098,-,-,-,64.800
'218:29:17.224',-0.056,-0.076,-,-,-,64.000
'218:29:17.232',-0.056,-0.076,-,-,-,64.000
'218:29:17.240',-0.056,-0.076,-,-,-,63.200
'218:29:17.248',-0.032,-0.043,-,-,-,62.400
'218:29:17.256',-0.032,-0.022,-,-,-,62.400
'218:29:17.264',-0.016,-0.022,-,-,-,62.400
'218:29:17.272',0.000,0.000,-,-,-,61.600
'218:29:17.280',0.016,0.022,-,-,-,61.600
'218:29:17.288',0.016,0.043,-,-,-,61.600
'218:29:17.296',0.032,0.076,-,-,-,61.600
'218:29:17.304',0.056,0.076,-,-,-,62.400
'218:29:17.312',0.072,0.098,-,-,-,63.200
