'Elapsed time','II','III','AVR','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'121:43:33.304',0.300,-,-,-,64.000
'121:43:33.312',0.250,-,-,-,64.000
'121:43:33.320',0.225,-,-,-,63.200
'121:43:33.328',0.200,-,-,-,63.200
'121:43:33.336',0.200,-,-,-,63.200
'121:43:33.344',0.175,-,-,-,63.200
'121:43:33.352',0.100,-,-,-,63.200
'121:43:33.360',0.075,-,-,-,63.200
'121:43:33.368',0.025,-,-,-,63.200
'121:43:33.376',0.025,-,-,-,61.600
'121:43:33.384',0.025,-,-,-,60.800
'121:43:33.392',0.000,-,-,-,60.800
'121:43:33.400',0.000,-,-,-,59.200
'121:43:33.408',0.000,-,-,-,58.400
'121:43:33.416',0.000,-,-,-,56.800
'121:43:33.424',0.025,-,-,-,56.000
'121:43:33.432',0.025,-,-,-,54.400
'121:43:33.440',0.050,-,-,-,53.600
'121:43:33.448',0.075,-,-,-,53.600
'121:43:33.456',0.100,-,-,-,52.000
'121:43:33.464',0.125,-,-,-,51.200
'121:43:33.472',0.125,-,-,-,49.600
'121:43:33.480',0.125,-,-,-,49.600
'121:43:33.488',0.125,-,-,-,49.600
'121:43:33.496',0.125,-,-,-,49.600
'121:43:33.504',0.100,-,-,-,48.800
'121:43:33.512',0.075,-,-,-,48.800
'121:43:33.520',0.025,-,-,-,48.800
'121:43:33.528',0.025,-,-,-,47.200
'121:43:33.536',0.000,-,-,-,47.200
'121:43:33.544',-0.025,-,-,-,47.200
'121:43:33.552',-0.050,-,-,-,47.200
'121:43:33.560',-0.050,-,-,-,46.400
'121:43:33.568',-0.050,-,-,-,46.400
'121:43:33.576',-0.050,-,-,-,46.400
'121:43:33.584',-0.050,-,-,-,46.400
'121:43:33.592',-0.025,-,-,-,46.400
'121:43:33.600',0.000,-,-,-,46.400
'121:43:33.608',0.025,-,-,-,46.400
'121:43:33.616',0.050,-,-,-,44.800
'121:43:33.624',0.075,-,-,-,44.800
'121:43:33.632',0.100,-,-,-,44.800
'121:43:33.640',0.100,-,-,-,44.800
'121:43:33.648',0.125,-,-,-,44.800
'121:43:33.656',0.350,-,-,-,44.800
'121:43:33.664',0.800,-,-,-,44.800
'121:43:33.672',1.275,-,-,-,44.800
'121:43:33.680',1.375,-,-,-,44.800
'121:43:33.688',0.625,-,-,-,44.800
'121:43:33.696',-0.400,-,-,-,44.800
'121:43:33.704',-1.125,-,-,-,44.800
'121:43:33.712',-1.200,-,-,-,44.800
'121:43:33.720',-0.575,-,-,-,44.800
'121:43:33.728',-0.300,-,-,-,44.000
'121:43:33.736',-0.225,-,-,-,44.000
'121:43:33.744',-0.200,-,-,-,42.400
'121:43:33.752',-0.175,-,-,-,42.400
'121:43:33.760',-0.125,-,-,-,42.400
'121:43:33.768',-0.075,-,-,-,42.400
'121:43:33.776',-0.050,-,-,-,42.400
'121:43:33.784',-0.025,-,-,-,41.600
'121:43:33.792',0.000,-,-,-,40.000
'121:43:33.800',0.000,-,-,-,40.000
'121:43:33.808',0.000,-,-,-,40.000
'121:43:33.816',0.000,-,-,-,40.000
'121:43:33.824',0.000,-,-,-,40.000
'121:43:33.832',0.000,-,-,-,42.400
'121:43:33.840',-0.050,-,-,-,46.400
'121:43:33.848',-0.100,-,-,-,51.200
'121:43:33.856',-0.125,-,-,-,56.800
'121:43:33.864',-0.175,-,-,-,65.600
'121:43:33.872',-0.200,-,-,-,73.600
'121:43:33.880',-0.225,-,-,-,81.600
'121:43:33.888',-0.225,-,-,-,91.200
'121:43:33.896',-0.225,-,-,-,99.200
'121:43:33.904',-0.200,-,-,-,108.800
'121:43:33.912',-0.125,-,-,-,117.600
'121:43:33.920',-0.050,-,-,-,123.200
'121:43:33.928',0.000,-,-,-,127.200
