'Elapsed time','II','III','AVR','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'47:42:30.696',-0.040,-,-,-0.024,-,-
'47:42:30.704',-0.032,-,-,-0.024,-,-
'47:42:30.712',-0.032,-,-,-0.016,-,-
'47:42:30.720',-0.032,-,-,-0.016,-,-
'47:42:30.728',-0.024,-,-,-0.008,-,-
'47:42:30.736',-0.024,-,-,-0.008,-,-
'47:42:30.744',-0.016,-,-,-0.008,-,-
'47:42:30.752',-0.008,-,-,-0.008,-,-
'47:42:30.760',-0.008,-,-,0.000,-,-
'47:42:30.768',0.000,-,-,0.000,-,-
'47:42:30.776',0.000,-,-,0.000,-,-
'47:42:30.784',0.000,-,-,0.000,-,-
'47:42:30.792',0.000,-,-,0.000,-,-
'47:42:30.800',-0.008,-,-,-0.008,-,-
'47:42:30.808',0.000,-,-,0.000,-,-
'47:42:30.816',0.000,-,-,0.000,-,-
'47:42:30.824',0.000,-,-,0.000,-,-
'47:42:30.832',-0.008,-,-,-0.008,-,-
'47:42:30.840',0.000,-,-,0.000,-,-
'47:42:30.848',-0.008,-,-,0.000,-,-
'47:42:30.856',-0.008,-,-,-0.008,-,-
'47:42:30.864',-0.008,-,-,-0.008,-,-
'47:42:30.872',-0.008,-,-,-0.008,-,-
'47:42:30.880',-0.008,-,-,-0.008,-,-
'47:42:30.888',-0.008,-,-,-0.008,-,-
'47:42:30.896',-0.008,-,-,-0.016,-,-
'47:42:30.904',-0.008,-,-,-0.016,-,-
'47:42:30.912',-0.008,-,-,-0.008,-,-
'47:42:30.920',0.000,-,-,-0.008,-,-
'47:42:30.928',0.008,-,-,0.008,-,-
'47:42:30.936',0.024,-,-,0.016,-,-
'47:42:30.944',0.040,-,-,0.032,-,-
'47:42:30.952',0.056,-,-,0.040,-,-
'47:42:30.960',0.072,-,-,0.048,-,-
'47:42:30.968',0.088,-,-,0.056,-,-
'47:42:30.976',0.088,-,-,0.056,-,-
'47:42:30.984',0.064,-,-,0.032,-,-
'47:42:30.992',0.032,-,-,0.008,-,-
'47:42:31.000',0.016,-,-,-0.008,-,-
'47:42:31.008',0.000,-,-,-0.024,-,-
'47:42:31.016',-0.032,-,-,-0.032,-,-
'47:42:31.024',-0.056,-,-,-0.048,-,-
'47:42:31.032',-0.072,-,-,-0.056,-,-
'47:42:31.040',-0.072,-,-,-0.056,-,-
'47:42:31.048',-0.072,-,-,-0.056,-,-
'47:42:31.056',-0.064,-,-,-0.056,-,-
