'Elapsed time','II','III','AVR','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'96:22:51.552',-0.128,-,-,-,-,54.400,16.800
'96:22:51.560',-0.144,-,-,-,-,55.200,16.800
'96:22:51.568',-0.120,-,-,-,-,55.200,16.800
'96:22:51.576',-0.096,-,-,-,-,55.200,17.200
'96:22:51.584',-0.104,-,-,-,-,55.200,17.600
'96:22:51.592',-0.080,-,-,-,-,54.400,17.600
'96:22:51.600',-0.056,-,-,-,-,54.400,18.000
'96:22:51.608',-0.080,-,-,-,-,54.400,18.000
'96:22:51.616',-0.056,-,-,-,-,54.400,18.000
'96:22:51.624',-0.056,-,-,-,-,53.600,18.000
'96:22:51.632',-0.072,-,-,-,-,52.800,17.600
'96:22:51.640',-0.056,-,-,-,-,52.000,17.200
'96:22:51.648',-0.056,-,-,-,-,51.200,17.200
'96:22:51.656',-0.024,-,-,-,-,50.400,17.600
'96:22:51.664',-0.288,-,-,-,-,49.600,18.000
'96:22:51.672',0.000,-,-,-,-,48.800,18.800
'96:22:51.680',-0.024,-,-,-,-,48.000,19.600
'96:22:51.688',-0.032,-,-,-,-,48.000,20.000
'96:22:51.696',-0.024,-,-,-,-,47.200,20.400
'96:22:51.704',-0.072,-,-,-,-,47.200,20.000
'96:22:51.712',-0.120,-,-,-,-,47.200,19.600
'96:22:51.720',-0.152,-,-,-,-,47.200,19.200
'96:22:51.728',-0.128,-,-,-,-,48.000,18.800
'96:22:51.736',-0.192,-,-,-,-,48.800,18.400
'96:22:51.744',-0.240,-,-,-,-,48.800,18.400
'96:22:51.752',-0.280,-,-,-,-,48.800,18.400
'96:22:51.760',-0.240,-,-,-,-,48.800,18.800
'96:22:51.768',-0.352,-,-,-,-,48.800,19.200
'96:22:51.776',-0.360,-,-,-,-,48.800,20.000
'96:22:51.784',-0.408,-,-,-,-,48.800,20.800
'96:22:51.792',-0.512,-,-,-,-,48.800,21.600
'96:22:51.800',-0.560,-,-,-,-,48.800,22.400
'96:22:51.808',-0.536,-,-,-,-,48.000,23.600
'96:22:51.816',-0.544,-,-,-,-,48.000,24.800
'96:22:51.824',-0.360,-,-,-,-,47.200,26.000
'96:22:51.832',-0.304,-,-,-,-,47.200,27.600
'96:22:51.840',-0.192,-,-,-,-,46.400,29.200
'96:22:51.848',-0.144,-,-,-,-,46.400,30.800
'96:22:51.856',-0.056,-,-,-,-,45.600,33.200
'96:22:51.864',0.000,-,-,-,-,45.600,35.600
'96:22:51.872',0.032,-,-,-,-,45.600,38.000
'96:22:51.880',0.096,-,-,-,-,45.600,40.000
'96:22:51.888',0.168,-,-,-,-,44.800,40.400
'96:22:51.896',0.224,-,-,-,-,44.800,39.200
'96:22:51.904',0.280,-,-,-,-,44.000,38.000
'96:22:51.912',0.288,-,-,-,-,44.000,37.200
'96:22:51.920',0.304,-,-,-,-,44.000,37.600
'96:22:51.928',0.312,-,-,-,-,44.000,39.200
'96:22:51.936',0.312,-,-,-,-,44.800,40.800
'96:22:51.944',0.336,-,-,-,-,44.800,42.800
'96:22:51.952',0.328,-,-,-,-,44.800,44.800
'96:22:51.960',0.336,-,-,-,-,45.600,46.400
'96:22:51.968',0.336,-,-,-,-,47.200,47.600
'96:22:51.976',0.360,-,-,-,-,49.600,48.800
'96:22:51.984',0.336,-,-,-,-,52.800,49.600
'96:22:51.992',0.336,-,-,-,-,56.800,50.000
'96:22:52.000',0.328,-,-,-,-,61.600,50.000
'96:22:52.008',0.328,-,-,-,-,67.200,49.600
'96:22:52.016',0.312,-,-,-,-,72.800,49.200
'96:22:52.024',0.288,-,-,-,-,77.600,48.800
'96:22:52.032',0.288,-,-,-,-,81.600,48.400
'96:22:52.040',0.264,-,-,-,-,84.800,47.600
