'Elapsed time','II','III','AVR','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'121:52:37.304',-0.050,-,-,-,65.600
'121:52:37.312',-0.025,-,-,-,65.600
'121:52:37.320',0.000,-,-,-,64.000
'121:52:37.328',0.000,-,-,-,64.000
'121:52:37.336',0.025,-,-,-,64.000
'121:52:37.344',0.075,-,-,-,63.200
'121:52:37.352',0.125,-,-,-,63.200
'121:52:37.360',0.200,-,-,-,61.600
'121:52:37.368',0.250,-,-,-,61.600
'121:52:37.376',0.275,-,-,-,60.800
'121:52:37.384',0.275,-,-,-,59.200
'121:52:37.392',0.275,-,-,-,59.200
'121:52:37.400',0.275,-,-,-,58.400
'121:52:37.408',0.250,-,-,-,58.400
'121:52:37.416',0.225,-,-,-,58.400
'121:52:37.424',0.200,-,-,-,56.800
'121:52:37.432',0.200,-,-,-,56.800
'121:52:37.440',0.125,-,-,-,56.000
'121:52:37.448',0.075,-,-,-,56.000
'121:52:37.456',0.050,-,-,-,54.400
'121:52:37.464',0.025,-,-,-,54.400
'121:52:37.472',0.000,-,-,-,53.600
'121:52:37.480',0.000,-,-,-,53.600
'121:52:37.488',0.000,-,-,-,52.000
'121:52:37.496',0.000,-,-,-,52.000
'121:52:37.504',0.000,-,-,-,51.200
'121:52:37.512',0.000,-,-,-,51.200
'121:52:37.520',0.000,-,-,-,49.600
'121:52:37.528',0.025,-,-,-,49.600
'121:52:37.536',0.050,-,-,-,48.800
'121:52:37.544',0.075,-,-,-,48.800
'121:52:37.552',0.100,-,-,-,47.200
'121:52:37.560',0.125,-,-,-,47.200
'121:52:37.568',0.125,-,-,-,47.200
'121:52:37.576',0.125,-,-,-,46.400
'121:52:37.584',0.125,-,-,-,46.400
'121:52:37.592',0.125,-,-,-,46.400
'121:52:37.600',0.100,-,-,-,46.400
'121:52:37.608',0.075,-,-,-,46.400
'121:52:37.616',0.025,-,-,-,46.400
'121:52:37.624',0.000,-,-,-,44.800
'121:52:37.632',0.000,-,-,-,44.800
'121:52:37.640',-0.025,-,-,-,44.800
'121:52:37.648',-0.050,-,-,-,44.800
'121:52:37.656',-0.050,-,-,-,44.800
'121:52:37.664',-0.050,-,-,-,44.800
'121:52:37.672',-0.050,-,-,-,44.800
'121:52:37.680',-0.050,-,-,-,44.800
'121:52:37.688',-0.025,-,-,-,44.000
'121:52:37.696',0.000,-,-,-,44.000
'121:52:37.704',0.025,-,-,-,44.000
'121:52:37.712',0.050,-,-,-,44.000
