'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'14:47:02.416',-0.040,0.017,-,-,-,-,72.800
'14:47:02.424',-0.024,0.000,-,-,-,-,72.800
'14:47:02.432',-0.016,-0.008,-,-,-,-,72.800
'14:47:02.440',0.000,-0.017,-,-,-,-,72.800
'14:47:02.448',0.000,-0.025,-,-,-,-,73.600
'14:47:02.456',0.000,-0.041,-,-,-,-,72.800
'14:47:02.464',0.016,-0.025,-,-,-,-,71.200
'14:47:02.472',0.032,-0.033,-,-,-,-,70.400
'14:47:02.480',0.000,-0.066,-,-,-,-,69.600
'14:47:02.488',-0.008,-0.074,-,-,-,-,68.800
'14:47:02.496',0.000,-0.058,-,-,-,-,68.000
'14:47:02.504',-0.008,-0.074,-,-,-,-,68.000
'14:47:02.512',-0.008,-0.074,-,-,-,-,67.200
'14:47:02.520',-0.024,-0.091,-,-,-,-,67.200
'14:47:02.528',-0.008,-0.074,-,-,-,-,67.200
'14:47:02.536',-0.016,-0.066,-,-,-,-,66.400
'14:47:02.544',-0.008,-0.066,-,-,-,-,66.400
'14:47:02.552',0.000,-0.058,-,-,-,-,66.400
'14:47:02.560',0.000,-0.058,-,-,-,-,65.600
'14:47:02.568',0.000,-0.058,-,-,-,-,65.600
'14:47:02.576',0.000,-0.050,-,-,-,-,65.600
'14:47:02.584',0.000,-0.050,-,-,-,-,64.800
'14:47:02.592',0.008,-0.041,-,-,-,-,64.800
'14:47:02.600',0.016,-0.033,-,-,-,-,64.800
'14:47:02.608',0.008,-0.025,-,-,-,-,64.000
'14:47:02.616',0.016,-0.033,-,-,-,-,64.000
'14:47:02.624',0.000,-0.025,-,-,-,-,64.000
'14:47:02.632',0.008,-0.017,-,-,-,-,63.200
'14:47:02.640',0.000,-0.017,-,-,-,-,63.200
'14:47:02.648',0.016,0.000,-,-,-,-,62.400
'14:47:02.656',0.024,0.000,-,-,-,-,62.400
'14:47:02.664',0.040,-0.025,-,-,-,-,62.400
'14:47:02.672',0.032,-0.058,-,-,-,-,61.600
'14:47:02.680',0.088,-0.116,-,-,-,-,61.600
'14:47:02.688',0.080,-0.182,-,-,-,-,61.600
'14:47:02.696',0.064,-0.215,-,-,-,-,61.600
'14:47:02.704',0.064,-0.215,-,-,-,-,61.600
'14:47:02.712',0.088,-0.190,-,-,-,-,60.800
'14:47:02.720',0.104,-0.182,-,-,-,-,60.800
'14:47:02.728',0.120,-0.140,-,-,-,-,60.800
'14:47:02.736',0.080,-0.124,-,-,-,-,60.000
'14:47:02.744',0.064,-0.074,-,-,-,-,60.000
'14:47:02.752',0.088,0.000,-,-,-,-,60.000
'14:47:02.760',0.056,0.041,-,-,-,-,60.000
'14:47:02.768',0.024,0.099,-,-,-,-,60.000
'14:47:02.776',0.008,0.132,-,-,-,-,60.000
'14:47:02.784',0.000,0.132,-,-,-,-,60.000
'14:47:02.792',-0.008,0.099,-,-,-,-,60.000
'14:47:02.800',-0.024,0.099,-,-,-,-,60.800
'14:47:02.808',-0.008,0.074,-,-,-,-,64.000
'14:47:02.816',-0.024,0.091,-,-,-,-,68.800
'14:47:02.824',-0.016,0.074,-,-,-,-,76.000
'14:47:02.832',-0.032,0.099,-,-,-,-,84.800
'14:47:02.840',-0.024,0.099,-,-,-,-,91.200
'14:47:02.848',-0.032,0.116,-,-,-,-,95.200
'14:47:02.856',-0.040,0.124,-,-,-,-,96.000
'14:47:02.864',-0.056,0.132,-,-,-,-,96.000
'14:47:02.872',-0.056,0.124,-,-,-,-,94.400
'14:47:02.880',-0.048,0.132,-,-,-,-,92.800
'14:47:02.888',-0.064,0.116,-,-,-,-,91.200
'14:47:02.896',-0.072,0.099,-,-,-,-,88.800
'14:47:02.904',-0.072,0.091,-,-,-,-,86.400
'14:47:02.912',-0.064,0.091,-,-,-,-,84.000
'14:47:02.920',-0.064,0.058,-,-,-,-,81.600
'14:47:02.928',-0.056,0.041,-,-,-,-,79.200
'14:47:02.936',-0.064,0.025,-,-,-,-,76.000
'14:47:02.944',-0.032,0.017,-,-,-,-,74.400
'14:47:02.952',-0.024,0.000,-,-,-,-,72.800
'14:47:02.960',-0.016,-0.008,-,-,-,-,72.800
'14:47:02.968',-0.024,-0.025,-,-,-,-,73.600
'14:47:02.976',0.000,-0.041,-,-,-,-,73.600
'14:47:02.984',0.000,-0.058,-,-,-,-,73.600
'14:47:02.992',0.008,-0.058,-,-,-,-,72.800
'14:47:03.000',0.016,-0.066,-,-,-,-,72.000
'14:47:03.008',0.000,-0.074,-,-,-,-,70.400
'14:47:03.016',0.016,-0.066,-,-,-,-,69.600
'14:47:03.024',0.000,-0.091,-,-,-,-,68.800
'14:47:03.032',0.000,-0.074,-,-,-,-,68.800
'14:47:03.040',0.008,-0.091,-,-,-,-,68.000
'14:47:03.048',0.000,-0.074,-,-,-,-,68.000
'14:47:03.056',0.000,-0.091,-,-,-,-,68.000
'14:47:03.064',0.000,-0.074,-,-,-,-,67.200
'14:47:03.072',0.000,-0.091,-,-,-,-,67.200
'14:47:03.080',0.016,-0.066,-,-,-,-,66.400
'14:47:03.088',0.000,-0.066,-,-,-,-,66.400
'14:47:03.096',0.008,-0.074,-,-,-,-,66.400
'14:47:03.104',0.000,-0.058,-,-,-,-,66.400
'14:47:03.112',0.008,-0.058,-,-,-,-,65.600
'14:47:03.120',0.016,-0.058,-,-,-,-,65.600
'14:47:03.128',0.008,-0.058,-,-,-,-,64.800
'14:47:03.136',0.016,-0.058,-,-,-,-,64.800
'14:47:03.144',0.016,-0.050,-,-,-,-,64.800
'14:47:03.152',0.008,-0.050,-,-,-,-,64.000
'14:47:03.160',0.016,-0.050,-,-,-,-,64.000
'14:47:03.168',0.008,-0.033,-,-,-,-,64.000
'14:47:03.176',0.016,-0.017,-,-,-,-,63.200
'14:47:03.184',0.024,-0.017,-,-,-,-,63.200
'14:47:03.192',0.040,-0.025,-,-,-,-,63.200
'14:47:03.200',0.040,-0.058,-,-,-,-,62.400
'14:47:03.208',0.080,-0.099,-,-,-,-,62.400
'14:47:03.216',0.088,-0.149,-,-,-,-,62.400
'14:47:03.224',0.080,-0.215,-,-,-,-,62.400
'14:47:03.232',0.064,-0.240,-,-,-,-,62.400
'14:47:03.240',0.064,-0.215,-,-,-,-,62.400
'14:47:03.248',0.088,-0.207,-,-,-,-,61.600
'14:47:03.256',0.088,-0.215,-,-,-,-,61.600
'14:47:03.264',0.104,-0.149,-,-,-,-,60.800
'14:47:03.272',0.064,-0.140,-,-,-,-,60.800
'14:47:03.280',0.080,-0.058,-,-,-,-,60.800
'14:47:03.288',0.064,0.000,-,-,-,-,60.800
'14:47:03.296',0.048,0.050,-,-,-,-,60.800
'14:47:03.304',0.016,0.099,-,-,-,-,60.000
'14:47:03.312',0.000,0.124,-,-,-,-,60.000
'14:47:03.320',-0.008,0.099,-,-,-,-,60.000
'14:47:03.328',0.000,0.091,-,-,-,-,60.800
'14:47:03.336',-0.016,0.091,-,-,-,-,62.400
'14:47:03.344',-0.008,0.074,-,-,-,-,64.800
'14:47:03.352',-0.024,0.091,-,-,-,-,71.200
'14:47:03.360',-0.024,0.074,-,-,-,-,79.200
'14:47:03.368',-0.040,0.099,-,-,-,-,87.200
'14:47:03.376',-0.024,0.099,-,-,-,-,93.600
'14:47:03.384',-0.040,0.116,-,-,-,-,96.000
'14:47:03.392',-0.040,0.124,-,-,-,-,96.800
'14:47:03.400',-0.056,0.132,-,-,-,-,96.000
'14:47:03.408',-0.056,0.132,-,-,-,-,95.200
'14:47:03.416',-0.072,0.124,-,-,-,-,92.800
'14:47:03.424',-0.064,0.099,-,-,-,-,90.400
'14:47:03.432',-0.072,0.091,-,-,-,-,88.000
'14:47:03.440',-0.072,0.074,-,-,-,-,85.600
'14:47:03.448',-0.064,0.091,-,-,-,-,83.200
'14:47:03.456',-0.072,0.050,-,-,-,-,80.800
'14:47:03.464',-0.064,0.033,-,-,-,-,78.400
'14:47:03.472',-0.048,0.017,-,-,-,-,76.000
'14:47:03.480',-0.040,0.008,-,-,-,-,74.400
'14:47:03.488',-0.032,-0.008,-,-,-,-,73.600
'14:47:03.496',-0.024,-0.017,-,-,-,-,73.600
'14:47:03.504',-0.016,-0.033,-,-,-,-,74.400
'14:47:03.512',-0.008,-0.058,-,-,-,-,74.400
'14:47:03.520',-0.008,-0.058,-,-,-,-,74.400
