'Elapsed time','II','AVR','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'44:38:36.200',0.047,-,-,0.019,-,-,-
'44:38:36.208',0.160,-,-,0.132,-,-,-
'44:38:36.216',0.340,-,-,0.283,-,-,-
'44:38:36.224',0.472,-,-,0.425,-,-,-
'44:38:36.232',0.538,-,-,0.472,-,-,-
'44:38:36.240',0.566,-,-,0.453,-,-,-
'44:38:36.248',0.472,-,-,0.509,-,-,-
'44:38:36.256',0.255,-,-,0.292,-,-,-
'44:38:36.264',0.047,-,-,0.066,-,-,-
'44:38:36.272',-0.142,-,-,-0.047,-,-,-
'44:38:36.280',-0.274,-,-,-0.264,-,-,-
'44:38:36.288',-0.311,-,-,-0.302,-,-,-
'44:38:36.296',-0.274,-,-,-0.302,-,-,-
'44:38:36.304',-0.245,-,-,-0.226,-,-,-
'44:38:36.312',-0.179,-,-,-0.179,-,-,-
'44:38:36.320',-0.123,-,-,-0.094,-,-,-
'44:38:36.328',-0.113,-,-,-0.066,-,-,-
'44:38:36.336',-0.094,-,-,-0.057,-,-,-
'44:38:36.344',-0.094,-,-,-0.047,-,-,-
'44:38:36.352',-0.094,-,-,-0.057,-,-,-
'44:38:36.360',-0.075,-,-,-0.047,-,-,-
'44:38:36.368',-0.075,-,-,-0.047,-,-,-
'44:38:36.376',-0.075,-,-,-0.047,-,-,-
'44:38:36.384',-0.075,-,-,-0.047,-,-,-
'44:38:36.392',-0.094,-,-,-0.047,-,-,-
'44:38:36.400',-0.094,-,-,-0.047,-,-,-
'44:38:36.408',-0.094,-,-,-0.057,-,-,-
'44:38:36.416',-0.094,-,-,-0.066,-,-,-
'44:38:36.424',-0.113,-,-,-0.047,-,-,-
'44:38:36.432',-0.113,-,-,-0.066,-,-,-
'44:38:36.440',-0.123,-,-,-0.094,-,-,-
'44:38:36.448',-0.123,-,-,-0.094,-,-,-
'44:38:36.456',-0.123,-,-,-0.094,-,-,-
'44:38:36.464',-0.123,-,-,-0.104,-,-,-
'44:38:36.472',-0.094,-,-,-0.085,-,-,-
'44:38:36.480',-0.057,-,-,-0.066,-,-,-
'44:38:36.488',-0.028,-,-,-0.038,-,-,-
'44:38:36.496',0.009,-,-,0.000,-,-,-
'44:38:36.504',0.047,-,-,0.038,-,-,-
'44:38:36.512',0.075,-,-,0.057,-,-,-
'44:38:36.520',0.075,-,-,0.085,-,-,-
'44:38:36.528',0.075,-,-,0.085,-,-,-
'44:38:36.536',0.075,-,-,0.057,-,-,-
'44:38:36.544',0.057,-,-,0.038,-,-,-
'44:38:36.552',0.047,-,-,0.038,-,-,-
'44:38:36.560',0.028,-,-,0.028,-,-,-
'44:38:36.568',0.028,-,-,0.019,-,-,-
'44:38:36.576',0.028,-,-,0.019,-,-,-
'44:38:36.584',0.047,-,-,0.028,-,-,-
'44:38:36.592',0.047,-,-,0.047,-,-,-
'44:38:36.600',0.047,-,-,0.057,-,-,-
'44:38:36.608',0.047,-,-,0.085,-,-,-
'44:38:36.616',0.047,-,-,0.047,-,-,-
'44:38:36.624',0.057,-,-,0.019,-,-,-
'44:38:36.632',0.094,-,-,0.057,-,-,-
'44:38:36.640',0.094,-,-,0.066,-,-,-
'44:38:36.648',0.075,-,-,0.047,-,-,-
'44:38:36.656',0.047,-,-,0.028,-,-,-
