'Elapsed time','I','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'47:31:00.448',-,-0.096,-,93.600,34.000
'47:31:00.456',-,-0.096,-,105.600,33.200
'47:31:00.464',-,-0.120,-,115.200,32.800
'47:31:00.472',-,-0.136,-,122.400,33.600
'47:31:00.480',-,-0.160,-,126.400,34.800
'47:31:00.488',-,-0.176,-,128.000,36.800
'47:31:00.496',-,-0.200,-,128.000,39.200
'47:31:00.504',-,-0.200,-,126.400,41.600
'47:31:00.512',-,-0.200,-,124.000,44.400
'47:31:00.520',-,-0.176,-,120.800,47.600
'47:31:00.528',-,-0.176,-,116.800,50.000
'47:31:00.536',-,-0.160,-,112.000,52.400
'47:31:00.544',-,-0.120,-,107.200,54.400
'47:31:00.552',-,-0.096,-,102.400,55.600
'47:31:00.560',-,-0.080,-,97.600,56.000
'47:31:00.568',-,-0.056,-,92.800,55.600
'47:31:00.576',-,-0.040,-,88.000,54.000
'47:31:00.584',-,-0.016,-,83.200,51.200
'47:31:00.592',-,0.000,-,78.400,48.400
'47:31:00.600',-,0.016,-,73.600,45.200
'47:31:00.608',-,0.040,-,68.800,42.800
'47:31:00.616',-,0.040,-,64.800,40.000
'47:31:00.624',-,0.056,-,60.000,37.600
'47:31:00.632',-,0.056,-,56.800,34.800
'47:31:00.640',-,0.056,-,52.800,32.800
'47:31:00.648',-,0.056,-,50.400,31.200
'47:31:00.656',-,0.056,-,47.200,30.400
'47:31:00.664',-,0.056,-,45.600,30.800
'47:31:00.672',-,0.056,-,44.000,30.800
'47:31:00.680',-,0.056,-,42.400,31.200
'47:31:00.688',-,0.096,-,40.800,31.600
'47:31:00.696',-,0.160,-,40.800,31.600
'47:31:00.704',-,0.280,-,40.000,32.000
'47:31:00.712',-,0.408,-,40.000,32.400
'47:31:00.720',-,0.528,-,40.000,32.000
'47:31:00.728',-,0.584,-,40.000,31.600
'47:31:00.736',-,0.584,-,40.800,31.200
'47:31:00.744',-,0.464,-,40.800,30.800
'47:31:00.752',-,0.264,-,40.800,30.000
'47:31:00.760',-,0.080,-,41.600,29.200
'47:31:00.768',-,-0.040,-,41.600,28.800
'47:31:00.776',-,-0.080,-,41.600,28.800
'47:31:00.784',-,-0.080,-,42.400,29.200
'47:31:00.792',-,-0.080,-,43.200,29.200
'47:31:00.800',-,-0.080,-,43.200,28.800
'47:31:00.808',-,-0.056,-,44.800,28.400
'47:31:00.816',-,-0.056,-,45.600,28.000
'47:31:00.824',-,-0.056,-,48.800,27.600
'47:31:00.832',-,-0.056,-,53.600,26.800
'47:31:00.840',-,-0.080,-,61.600,26.400
'47:31:00.848',-,-0.080,-,72.800,25.600
'47:31:00.856',-,-0.080,-,85.600,25.600
'47:31:00.864',-,-0.096,-,97.600,26.000
'47:31:00.872',-,-0.120,-,108.000,27.200
'47:31:00.880',-,-0.136,-,115.200,29.200
'47:31:00.888',-,-0.136,-,120.000,32.000
'47:31:00.896',-,-0.176,-,121.600,35.200
'47:31:00.904',-,-0.176,-,122.400,38.400
'47:31:00.912',-,-0.200,-,121.600,42.000
'47:31:00.920',-,-0.224,-,119.200,45.600
'47:31:00.928',-,-0.200,-,116.800,48.800
'47:31:00.936',-,-0.200,-,113.600,51.600
'47:31:00.944',-,-0.176,-,110.400,53.600
'47:31:00.952',-,-0.136,-,106.400,55.200
'47:31:00.960',-,-0.120,-,103.200,56.000
