'Elapsed time','II','III','AVR','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'47:25:50.696',-0.008,-,-,0.048,-,-
'47:25:50.704',0.000,-,-,0.056,-,-
'47:25:50.712',0.016,-,-,0.064,-,-
'47:25:50.720',0.032,-,-,0.072,-,-
'47:25:50.728',0.048,-,-,0.088,-,-
'47:25:50.736',0.064,-,-,0.088,-,-
'47:25:50.744',0.064,-,-,0.088,-,-
'47:25:50.752',0.064,-,-,0.072,-,-
'47:25:50.760',0.064,-,-,0.056,-,-
'47:25:50.768',0.048,-,-,0.040,-,-
'47:25:50.776',0.040,-,-,0.032,-,-
'47:25:50.784',0.032,-,-,0.024,-,-
'47:25:50.792',0.016,-,-,0.016,-,-
'47:25:50.800',0.008,-,-,0.016,-,-
'47:25:50.808',0.008,-,-,0.008,-,-
'47:25:50.816',0.000,-,-,0.008,-,-
'47:25:50.824',0.000,-,-,0.008,-,-
'47:25:50.832',0.000,-,-,0.000,-,-
'47:25:50.840',0.000,-,-,0.008,-,-
'47:25:50.848',0.000,-,-,0.008,-,-
'47:25:50.856',0.000,-,-,0.008,-,-
'47:25:50.864',0.000,-,-,0.008,-,-
'47:25:50.872',0.000,-,-,0.008,-,-
'47:25:50.880',0.000,-,-,0.008,-,-
'47:25:50.888',0.000,-,-,0.008,-,-
'47:25:50.896',0.008,-,-,0.008,-,-
'47:25:50.904',0.008,-,-,0.016,-,-
'47:25:50.912',0.008,-,-,0.008,-,-
'47:25:50.920',0.008,-,-,0.008,-,-
'47:25:50.928',0.008,-,-,0.008,-,-
'47:25:50.936',0.008,-,-,0.008,-,-
'47:25:50.944',0.008,-,-,0.008,-,-
'47:25:50.952',0.008,-,-,0.016,-,-
'47:25:50.960',0.008,-,-,0.016,-,-
'47:25:50.968',0.008,-,-,0.008,-,-
'47:25:50.976',0.008,-,-,0.008,-,-
'47:25:50.984',0.008,-,-,0.016,-,-
'47:25:50.992',0.008,-,-,0.016,-,-
'47:25:51.000',0.008,-,-,0.008,-,-
'47:25:51.008',0.016,-,-,0.016,-,-
'47:25:51.016',0.008,-,-,0.016,-,-
'47:25:51.024',0.008,-,-,0.008,-,-
'47:25:51.032',0.008,-,-,0.008,-,-
'47:25:51.040',0.008,-,-,0.008,-,-
'47:25:51.048',0.008,-,-,0.008,-,-
'47:25:51.056',0.008,-,-,0.008,-,-
'47:25:51.064',0.008,-,-,0.008,-,-
'47:25:51.072',0.008,-,-,0.008,-,-
'47:25:51.080',0.008,-,-,0.016,-,-
'47:25:51.088',0.024,-,-,0.024,-,-
'47:25:51.096',0.048,-,-,0.040,-,-
'47:25:51.104',0.064,-,-,0.056,-,-
'47:25:51.112',0.072,-,-,0.056,-,-
'47:25:51.120',0.088,-,-,0.064,-,-
'47:25:51.128',0.112,-,-,0.080,-,-
'47:25:51.136',0.112,-,-,0.080,-,-
'47:25:51.144',0.088,-,-,0.056,-,-
'47:25:51.152',0.056,-,-,0.032,-,-
