'Elapsed time','II','AVL','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'5:35:55.064',0.008,-,-0.624,-,60.000,-
'5:35:55.072',0.008,-,-0.648,-,58.400,-
'5:35:55.080',0.008,-,-0.648,-,56.000,-
'5:35:55.088',0.008,-,-0.672,-,54.400,-
'5:35:55.096',0.000,-,-0.672,-,52.800,-
'5:35:55.104',0.000,-,-0.688,-,51.200,-
'5:35:55.112',0.000,-,-0.688,-,50.400,-
'5:35:55.120',0.000,-,-0.712,-,49.600,-
'5:35:55.128',0.000,-,-0.736,-,48.800,-
'5:35:55.136',0.000,-,-0.760,-,48.000,-
'5:35:55.144',0.000,-,-0.760,-,47.200,-
'5:35:55.152',0.000,-,-0.776,-,47.200,-
'5:35:55.160',0.000,-,-0.800,-,46.400,-
'5:35:55.168',0.000,-,-0.824,-,46.400,-
'5:35:55.176',0.000,-,-0.824,-,45.600,-
'5:35:55.184',0.000,-,-0.840,-,45.600,-
'5:35:55.192',0.000,-,-0.864,-,44.800,-
'5:35:55.200',0.000,-,-0.888,-,44.800,-
'5:35:55.208',0.000,-,-0.888,-,44.800,-
'5:35:55.216',0.000,-,-0.912,-,44.000,-
'5:35:55.224',0.008,-,-0.928,-,44.000,-
'5:35:55.232',0.008,-,-0.952,-,44.000,-
'5:35:55.240',0.024,-,-0.976,-,44.000,-
'5:35:55.248',0.032,-,-1.000,-,44.000,-
'5:35:55.256',0.048,-,-1.016,-,44.000,-
'5:35:55.264',0.064,-,-1.040,-,43.200,-
'5:35:55.272',0.000,-,-1.064,-,43.200,-
'5:35:55.280',-0.152,-,-1.080,-,43.200,-
'5:35:55.288',-0.296,-,-1.104,-,43.200,-
'5:35:55.296',-0.352,-,-1.128,-,43.200,-
'5:35:55.304',-0.352,-,-1.152,-,43.200,-
'5:35:55.312',-0.312,-,-1.168,-,43.200,-
'5:35:55.320',-0.248,-,-1.192,-,43.200,-
'5:35:55.328',-0.152,-,-1.192,-,43.200,-
'5:35:55.336',-0.072,-,-1.216,-,42.400,-
'5:35:55.344',-0.024,-,-1.216,-,42.400,-
'5:35:55.352',0.000,-,-1.232,-,42.400,-
'5:35:55.360',0.024,-,-1.232,-,42.400,-
'5:35:55.368',0.032,-,-1.256,-,41.600,-
'5:35:55.376',0.032,-,-1.256,-,41.600,-
'5:35:55.384',0.032,-,-1.280,-,41.600,-
'5:35:55.392',0.032,-,-1.280,-,41.600,-
'5:35:55.400',0.032,-,-1.304,-,40.800,-
'5:35:55.408',0.048,-,-1.304,-,40.800,-
'5:35:55.416',0.048,-,-1.320,-,41.600,-
'5:35:55.424',0.064,-,-1.320,-,41.600,-
'5:35:55.432',0.072,-,-1.344,-,42.400,-
'5:35:55.440',0.072,-,-1.344,-,44.000,-
'5:35:55.448',0.072,-,-1.368,-,47.200,-
'5:35:55.456',0.072,-,-1.368,-,51.200,-
'5:35:55.464',0.072,-,-1.384,-,54.400,-
'5:35:55.472',0.072,-,-1.384,-,57.600,-
'5:35:55.480',0.088,-,-1.384,-,59.200,-
'5:35:55.488',0.072,-,-1.384,-,61.600,-
'5:35:55.496',0.072,-,-1.384,-,63.200,-
'5:35:55.504',0.072,-,-1.384,-,64.800,-
'5:35:55.512',0.064,-,-1.384,-,65.600,-
'5:35:55.520',0.048,-,-1.384,-,67.200,-
'5:35:55.528',0.032,-,-1.384,-,68.000,-
'5:35:55.536',0.024,-,-1.384,-,68.000,-
'5:35:55.544',0.000,-,-1.368,-,68.000,-
'5:35:55.552',0.000,-,-1.368,-,68.000,-
'5:35:55.560',0.000,-,-1.368,-,67.200,-
'5:35:55.568',0.000,-,-1.384,-,65.600,-
'5:35:55.576',0.000,-,-1.384,-,64.800,-
'5:35:55.584',-0.008,-,-1.384,-,63.200,-
'5:35:55.592',-0.008,-,-1.384,-,61.600,-
'5:35:55.600',-0.008,-,-1.384,-,59.200,-
'5:35:55.608',-0.008,-,-1.408,-,57.600,-
'5:35:55.616',-0.024,-,-1.408,-,55.200,-
'5:35:55.624',-0.024,-,-1.408,-,53.600,-
'5:35:55.632',-0.024,-,-1.432,-,52.000,-
'5:35:55.640',-0.024,-,-1.432,-,51.200,-
'5:35:55.648',-0.024,-,-1.456,-,50.400,-
'5:35:55.656',-0.024,-,-1.456,-,49.600,-
'5:35:55.664',-0.024,-,-1.472,-,48.800,-
'5:35:55.672',-0.024,-,-1.496,-,48.800,-
'5:35:55.680',-0.008,-,-1.520,-,48.000,-
'5:35:55.688',-0.008,-,-1.536,-,47.200,-
'5:35:55.696',-0.008,-,-1.536,-,46.400,-
'5:35:55.704',-0.008,-,-1.560,-,46.400,-
'5:35:55.712',-0.008,-,-1.584,-,45.600,-
'5:35:55.720',-0.008,-,-1.608,-,44.800,-
'5:35:55.728',-0.008,-,-1.624,-,44.800,-
'5:35:55.736',-0.024,-,-1.648,-,44.000,-
'5:35:55.744',-0.008,-,-1.672,-,44.000,-
'5:35:55.752',0.000,-,-1.688,-,44.000,-
'5:35:55.760',0.000,-,-1.712,-,43.200,-
'5:35:55.768',0.008,-,-1.736,-,43.200,-
'5:35:55.776',0.008,-,-1.760,-,42.400,-
'5:35:55.784',0.024,-,-1.776,-,42.400,-
'5:35:55.792',0.008,-,-1.800,-,42.400,-
'5:35:55.800',-0.088,-,-1.824,-,41.600,-
'5:35:55.808',-0.256,-,-1.840,-,41.600,-
'5:35:55.816',-0.368,-,-1.888,-,41.600,-
'5:35:55.824',-0.392,-,-1.912,-,41.600,-
'5:35:55.832',-0.368,-,-1.912,-,40.800,-
'5:35:55.840',-0.312,-,-1.928,-,40.800,-
'5:35:55.848',-0.216,-,-1.952,-,40.000,-
'5:35:55.856',-0.128,-,-1.976,-,40.000,-
'5:35:55.864',-0.064,-,-2.000,-,40.000,-
'5:35:55.872',-0.024,-,-2.000,-,39.200,-
'5:35:55.880',0.000,-,-2.000,-,39.200,-
'5:35:55.888',0.008,-,-2.000,-,38.400,-
'5:35:55.896',0.008,-,-1.976,-,38.400,-
'5:35:55.904',0.008,-,-1.976,-,37.600,-
'5:35:55.912',0.024,-,-1.952,-,37.600,-
'5:35:55.920',0.024,-,-1.928,-,37.600,-
'5:35:55.928',0.008,-,-1.912,-,37.600,-
'5:35:55.936',0.024,-,-1.864,-,37.600,-
'5:35:55.944',0.024,-,-1.840,-,37.600,-
'5:35:55.952',0.024,-,-1.800,-,37.600,-
'5:35:55.960',0.024,-,-1.760,-,38.400,-
'5:35:55.968',0.032,-,-1.712,-,39.200,-
'5:35:55.976',0.032,-,-1.672,-,41.600,-
'5:35:55.984',0.032,-,-1.608,-,44.800,-
'5:35:55.992',0.032,-,-1.560,-,47.200,-
'5:35:56.000',0.032,-,-1.496,-,49.600,-
'5:35:56.008',0.032,-,-1.456,-,51.200,-
'5:35:56.016',0.032,-,-1.384,-,52.800,-
'5:35:56.024',0.032,-,-1.344,-,54.400,-
'5:35:56.032',0.032,-,-1.280,-,56.000,-
'5:35:56.040',0.024,-,-1.232,-,56.800,-
'5:35:56.048',0.008,-,-1.168,-,57.600,-
'5:35:56.056',0.000,-,-1.104,-,58.400,-
'5:35:56.064',-0.008,-,-1.064,-,58.400,-
'5:35:56.072',-0.032,-,-1.016,-,58.400,-
'5:35:56.080',-0.032,-,-0.952,-,57.600,-
'5:35:56.088',-0.032,-,-0.912,-,56.800,-
'5:35:56.096',-0.048,-,-0.840,-,56.000,-
'5:35:56.104',-0.048,-,-0.800,-,54.400,-
'5:35:56.112',-0.048,-,-0.736,-,52.800,-
'5:35:56.120',-0.032,-,-0.672,-,51.200,-
'5:35:56.128',-0.032,-,-0.624,-,49.600,-
'5:35:56.136',-0.048,-,-0.584,-,47.200,-
'5:35:56.144',-0.064,-,-0.520,-,46.400,-
'5:35:56.152',-0.064,-,-0.472,-,44.800,-
'5:35:56.160',-0.064,-,-0.432,-,44.000,-
'5:35:56.168',-0.064,-,-0.384,-,43.200,-
'5:35:56.176',-0.064,-,-0.320,-,43.200,-
'5:35:56.184',-0.064,-,-0.280,-,42.400,-
'5:35:56.192',-0.048,-,-0.232,-,41.600,-
'5:35:56.200',-0.032,-,-0.192,-,41.600,-
'5:35:56.208',-0.008,-,-0.128,-,40.800,-
'5:35:56.216',0.008,-,-0.080,-,40.000,-
'5:35:56.224',-0.024,-,-0.040,-,40.000,-
'5:35:56.232',-0.168,-,0.000,-,40.000,-
'5:35:56.240',-0.376,-,0.064,-,39.200,-
'5:35:56.248',-0.552,-,0.104,-,39.200,-
'5:35:56.256',-0.656,-,0.152,-,39.200,-
'5:35:56.264',-0.736,-,0.192,-,39.200,-
'5:35:56.272',-0.744,-,0.232,-,39.200,-
'5:35:56.280',-0.704,-,0.280,-,39.200,-
'5:35:56.288',-0.624,-,0.320,-,39.200,-
'5:35:56.296',-0.560,-,0.368,-,39.200,-
'5:35:56.304',-0.496,-,0.384,-,39.200,-
'5:35:56.312',-0.392,-,0.432,-,38.400,-
'5:35:56.320',-0.248,-,0.472,-,38.400,-
'5:35:56.328',-0.104,-,0.520,-,38.400,-
'5:35:56.336',0.024,-,0.560,-,38.400,-
'5:35:56.344',0.128,-,0.624,-,38.400,-
'5:35:56.352',0.192,-,0.672,-,38.400,-
'5:35:56.360',0.216,-,0.712,-,38.400,-
'5:35:56.368',0.232,-,0.760,-,38.400,-
'5:35:56.376',0.248,-,0.824,-,37.600,-
'5:35:56.384',0.256,-,0.864,-,37.600,-
'5:35:56.392',0.272,-,0.912,-,38.400,-
'5:35:56.400',0.272,-,0.976,-,38.400,-
'5:35:56.408',0.272,-,1.016,-,39.200,-
'5:35:56.416',0.288,-,1.064,-,41.600,-
