'Elapsed time','II','III','AVR','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'121:47:24.304',-0.025,-,-,-,68.800
'121:47:24.312',-0.025,-,-,-,68.800
'121:47:24.320',-0.050,-,-,-,68.800
'121:47:24.328',-0.050,-,-,-,68.000
'121:47:24.336',0.000,-,-,-,68.000
'121:47:24.344',0.025,-,-,-,66.400
'121:47:24.352',0.075,-,-,-,66.400
'121:47:24.360',0.125,-,-,-,65.600
'121:47:24.368',0.225,-,-,-,65.600
'121:47:24.376',0.300,-,-,-,64.000
'121:47:24.384',0.375,-,-,-,64.000
'121:47:24.392',0.400,-,-,-,63.200
'121:47:24.400',0.400,-,-,-,61.600
'121:47:24.408',0.400,-,-,-,61.600
'121:47:24.416',0.375,-,-,-,60.800
'121:47:24.424',0.300,-,-,-,59.200
'121:47:24.432',0.250,-,-,-,59.200
'121:47:24.440',0.225,-,-,-,58.400
'121:47:24.448',0.225,-,-,-,56.800
'121:47:24.456',0.200,-,-,-,56.800
'121:47:24.464',0.100,-,-,-,56.000
'121:47:24.472',0.075,-,-,-,56.000
'121:47:24.480',0.050,-,-,-,56.000
'121:47:24.488',0.025,-,-,-,54.400
'121:47:24.496',0.000,-,-,-,53.600
'121:47:24.504',0.025,-,-,-,53.600
'121:47:24.512',0.000,-,-,-,52.000
'121:47:24.520',0.000,-,-,-,52.000
'121:47:24.528',0.000,-,-,-,51.200
'121:47:24.536',0.025,-,-,-,51.200
'121:47:24.544',0.050,-,-,-,49.600
'121:47:24.552',0.050,-,-,-,48.800
'121:47:24.560',0.050,-,-,-,48.800
'121:47:24.568',0.075,-,-,-,47.200
'121:47:24.576',0.100,-,-,-,47.200
'121:47:24.584',0.125,-,-,-,47.200
'121:47:24.592',0.125,-,-,-,46.400
'121:47:24.600',0.100,-,-,-,46.400
'121:47:24.608',0.075,-,-,-,46.400
'121:47:24.616',0.075,-,-,-,44.800
'121:47:24.624',0.050,-,-,-,44.800
'121:47:24.632',0.025,-,-,-,44.800
'121:47:24.640',0.025,-,-,-,44.800
'121:47:24.648',0.000,-,-,-,44.800
'121:47:24.656',-0.025,-,-,-,44.800
'121:47:24.664',-0.025,-,-,-,44.800
'121:47:24.672',-0.025,-,-,-,44.800
'121:47:24.680',-0.050,-,-,-,44.800
'121:47:24.688',-0.050,-,-,-,44.800
'121:47:24.696',-0.025,-,-,-,44.800
'121:47:24.704',-0.025,-,-,-,44.800
'121:47:24.712',0.000,-,-,-,44.800
'121:47:24.720',0.000,-,-,-,44.800
'121:47:24.728',0.025,-,-,-,44.800
'121:47:24.736',0.050,-,-,-,44.800
'121:47:24.744',0.075,-,-,-,44.800
'121:47:24.752',0.100,-,-,-,44.800
'121:47:24.760',0.100,-,-,-,44.800
'121:47:24.768',0.175,-,-,-,44.800
'121:47:24.776',0.450,-,-,-,44.800
'121:47:24.784',0.950,-,-,-,44.800
'121:47:24.792',1.300,-,-,-,44.800
'121:47:24.800',1.100,-,-,-,44.800
'121:47:24.808',0.250,-,-,-,44.800
'121:47:24.816',-0.800,-,-,-,44.800
'121:47:24.824',-1.250,-,-,-,44.800
'121:47:24.832',-0.925,-,-,-,44.800
'121:47:24.840',-0.450,-,-,-,44.800
'121:47:24.848',-0.250,-,-,-,44.800
'121:47:24.856',-0.200,-,-,-,44.000
'121:47:24.864',-0.175,-,-,-,44.000
'121:47:24.872',-0.125,-,-,-,44.000
'121:47:24.880',-0.100,-,-,-,44.800
'121:47:24.888',-0.050,-,-,-,44.800
'121:47:24.896',-0.050,-,-,-,44.800
'121:47:24.904',-0.025,-,-,-,44.800
'121:47:24.912',0.000,-,-,-,44.800
'121:47:24.920',0.000,-,-,-,44.800
'121:47:24.928',0.000,-,-,-,44.800
'121:47:24.936',0.000,-,-,-,44.800
'121:47:24.944',0.000,-,-,-,46.400
'121:47:24.952',-0.025,-,-,-,48.800
'121:47:24.960',-0.050,-,-,-,52.000
'121:47:24.968',-0.075,-,-,-,56.800
'121:47:24.976',-0.125,-,-,-,64.000
'121:47:24.984',-0.175,-,-,-,72.800
'121:47:24.992',-0.175,-,-,-,80.000
'121:47:25.000',-0.200,-,-,-,88.800
'121:47:25.008',-0.175,-,-,-,98.400
'121:47:25.016',-0.125,-,-,-,106.400
'121:47:25.024',-0.100,-,-,-,115.200
'121:47:25.032',-0.050,-,-,-,120.800
'121:47:25.040',0.000,-,-,-,127.200
'121:47:25.048',0.050,-,-,-,129.600
'121:47:25.056',0.075,-,-,-,132.000
'121:47:25.064',0.100,-,-,-,132.000
'121:47:25.072',0.125,-,-,-,130.400
'121:47:25.080',0.125,-,-,-,129.600
'121:47:25.088',0.125,-,-,-,128.000
'121:47:25.096',0.125,-,-,-,125.600
'121:47:25.104',0.125,-,-,-,123.200
'121:47:25.112',0.175,-,-,-,120.800
'121:47:25.120',0.350,-,-,-,118.400
'121:47:25.128',0.725,-,-,-,116.000
'121:47:25.136',1.125,-,-,-,113.600
'121:47:25.144',1.200,-,-,-,111.200
'121:47:25.152',0.425,-,-,-,108.800
'121:47:25.160',-0.450,-,-,-,105.600
'121:47:25.168',-1.200,-,-,-,103.200
'121:47:25.176',-1.375,-,-,-,99.200
'121:47:25.184',-1.050,-,-,-,96.000
'121:47:25.192',-0.575,-,-,-,92.000
'121:47:25.200',-0.200,-,-,-,88.800
'121:47:25.208',-0.050,-,-,-,84.000
'121:47:25.216',0.000,-,-,-,81.600
'121:47:25.224',0.025,-,-,-,78.400
'121:47:25.232',0.025,-,-,-,76.000
'121:47:25.240',0.050,-,-,-,73.600
'121:47:25.248',0.050,-,-,-,72.800
'121:47:25.256',0.025,-,-,-,72.800
'121:47:25.264',0.025,-,-,-,71.200
'121:47:25.272',0.050,-,-,-,72.800
'121:47:25.280',0.025,-,-,-,72.800
'121:47:25.288',0.000,-,-,-,72.800
'121:47:25.296',-0.025,-,-,-,72.800
'121:47:25.304',-0.050,-,-,-,73.600
'121:47:25.312',-0.050,-,-,-,73.600
'121:47:25.320',-0.050,-,-,-,73.600
'121:47:25.328',-0.050,-,-,-,72.800
'121:47:25.336',-0.025,-,-,-,72.800
'121:47:25.344',0.025,-,-,-,72.800
'121:47:25.352',0.050,-,-,-,71.200
'121:47:25.360',0.100,-,-,-,71.200
'121:47:25.368',0.175,-,-,-,70.400
'121:47:25.376',0.225,-,-,-,70.400
'121:47:25.384',0.275,-,-,-,68.800
'121:47:25.392',0.300,-,-,-,68.000
'121:47:25.400',0.275,-,-,-,68.000
'121:47:25.408',0.275,-,-,-,66.400
'121:47:25.416',0.250,-,-,-,66.400
'121:47:25.424',0.200,-,-,-,66.400
'121:47:25.432',0.200,-,-,-,66.400
'121:47:25.440',0.175,-,-,-,66.400
'121:47:25.448',0.125,-,-,-,66.400
'121:47:25.456',0.075,-,-,-,66.400
'121:47:25.464',0.050,-,-,-,66.400
'121:47:25.472',0.025,-,-,-,66.400
'121:47:25.480',0.000,-,-,-,65.600
'121:47:25.488',0.000,-,-,-,65.600
'121:47:25.496',0.000,-,-,-,64.000
'121:47:25.504',0.000,-,-,-,61.600
'121:47:25.512',0.000,-,-,-,60.800
'121:47:25.520',0.000,-,-,-,59.200
'121:47:25.528',0.000,-,-,-,58.400
'121:47:25.536',0.025,-,-,-,56.800
'121:47:25.544',0.050,-,-,-,56.000
'121:47:25.552',0.075,-,-,-,56.000
'121:47:25.560',0.075,-,-,-,54.400
'121:47:25.568',0.100,-,-,-,53.600
'121:47:25.576',0.125,-,-,-,53.600
'121:47:25.584',0.100,-,-,-,52.000
'121:47:25.592',0.100,-,-,-,52.000
'121:47:25.600',0.100,-,-,-,52.000
'121:47:25.608',0.075,-,-,-,52.000
'121:47:25.616',0.050,-,-,-,52.000
'121:47:25.624',0.025,-,-,-,52.000
'121:47:25.632',0.000,-,-,-,51.200
'121:47:25.640',-0.025,-,-,-,51.200
'121:47:25.648',-0.025,-,-,-,51.200
'121:47:25.656',-0.025,-,-,-,51.200
'121:47:25.664',-0.050,-,-,-,51.200
'121:47:25.672',-0.050,-,-,-,51.200
'121:47:25.680',-0.050,-,-,-,51.200
'121:47:25.688',-0.050,-,-,-,51.200
'121:47:25.696',-0.050,-,-,-,49.600
'121:47:25.704',0.000,-,-,-,49.600
'121:47:25.712',0.025,-,-,-,49.600
'121:47:25.720',0.050,-,-,-,49.600
'121:47:25.728',0.050,-,-,-,49.600
'121:47:25.736',0.075,-,-,-,49.600
'121:47:25.744',0.100,-,-,-,49.600
'121:47:25.752',0.125,-,-,-,48.800
'121:47:25.760',0.350,-,-,-,48.800
'121:47:25.768',0.850,-,-,-,48.800
'121:47:25.776',1.275,-,-,-,48.800
'121:47:25.784',1.350,-,-,-,47.200
'121:47:25.792',0.450,-,-,-,47.200
