'Elapsed time','II','III','AVR','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'46:57:01.696',-0.024,-,-,-0.016,-,-
'46:57:01.704',-0.016,-,-,-0.008,-,-
'46:57:01.712',0.000,-,-,0.000,-,-
'46:57:01.720',0.000,-,-,0.008,-,-
'46:57:01.728',0.008,-,-,0.016,-,-
'46:57:01.736',0.008,-,-,0.016,-,-
'46:57:01.744',0.008,-,-,0.016,-,-
'46:57:01.752',0.008,-,-,0.016,-,-
'46:57:01.760',0.008,-,-,0.016,-,-
'46:57:01.768',0.016,-,-,0.016,-,-
'46:57:01.776',0.024,-,-,0.024,-,-
'46:57:01.784',0.016,-,-,0.024,-,-
'46:57:01.792',0.016,-,-,0.016,-,-
'46:57:01.800',0.016,-,-,0.016,-,-
'46:57:01.808',0.016,-,-,0.016,-,-
'46:57:01.816',0.016,-,-,0.016,-,-
'46:57:01.824',0.016,-,-,0.024,-,-
'46:57:01.832',0.024,-,-,0.024,-,-
'46:57:01.840',0.024,-,-,0.032,-,-
'46:57:01.848',0.024,-,-,0.032,-,-
'46:57:01.856',0.016,-,-,0.024,-,-
'46:57:01.864',0.016,-,-,0.016,-,-
'46:57:01.872',0.024,-,-,0.024,-,-
'46:57:01.880',0.040,-,-,0.040,-,-
'46:57:01.888',0.056,-,-,0.056,-,-
'46:57:01.896',0.080,-,-,0.072,-,-
'46:57:01.904',0.088,-,-,0.088,-,-
'46:57:01.912',0.104,-,-,0.096,-,-
'46:57:01.920',0.128,-,-,0.112,-,-
'46:57:01.928',0.144,-,-,0.128,-,-
'46:57:01.936',0.152,-,-,0.136,-,-
'46:57:01.944',0.128,-,-,0.112,-,-
'46:57:01.952',0.096,-,-,0.088,-,-
'46:57:01.960',0.080,-,-,0.072,-,-
'46:57:01.968',0.048,-,-,0.048,-,-
'46:57:01.976',0.016,-,-,0.024,-,-
'46:57:01.984',-0.008,-,-,0.008,-,-
'46:57:01.992',-0.016,-,-,0.008,-,-
'46:57:02.000',-0.024,-,-,0.000,-,-
'46:57:02.008',-0.024,-,-,0.000,-,-
'46:57:02.016',-0.024,-,-,0.000,-,-
'46:57:02.024',-0.024,-,-,-0.008,-,-
'46:57:02.032',-0.024,-,-,-0.008,-,-
'46:57:02.040',-0.024,-,-,-0.008,-,-
'46:57:02.048',-0.024,-,-,-0.008,-,-
'46:57:02.056',-0.016,-,-,0.000,-,-
'46:57:02.064',-0.024,-,-,0.000,-,-
'46:57:02.072',-0.024,-,-,-0.008,-,-
'46:57:02.080',-0.032,-,-,-0.024,-,-
'46:57:02.088',-0.008,-,-,-0.040,-,-
'46:57:02.096',0.080,-,-,-0.048,-,-
'46:57:02.104',0.288,-,-,0.016,-,-
'46:57:02.112',0.544,-,-,0.184,-,-
'46:57:02.120',0.632,-,-,0.368,-,-
'46:57:02.128',0.504,-,-,0.416,-,-
'46:57:02.136',0.320,-,-,0.352,-,-
'46:57:02.144',0.168,-,-,0.232,-,-
'46:57:02.152',0.032,-,-,0.104,-,-
'46:57:02.160',-0.064,-,-,-0.008,-,-
'46:57:02.168',-0.120,-,-,-0.072,-,-
'46:57:02.176',-0.136,-,-,-0.096,-,-
'46:57:02.184',-0.136,-,-,-0.096,-,-
'46:57:02.192',-0.136,-,-,-0.088,-,-
'46:57:02.200',-0.128,-,-,-0.088,-,-
'46:57:02.208',-0.120,-,-,-0.088,-,-
'46:57:02.216',-0.120,-,-,-0.088,-,-
'46:57:02.224',-0.120,-,-,-0.088,-,-
'46:57:02.232',-0.120,-,-,-0.088,-,-
'46:57:02.240',-0.120,-,-,-0.088,-,-
'46:57:02.248',-0.112,-,-,-0.088,-,-
'46:57:02.256',-0.112,-,-,-0.088,-,-
'46:57:02.264',-0.112,-,-,-0.088,-,-
'46:57:02.272',-0.104,-,-,-0.088,-,-
'46:57:02.280',-0.104,-,-,-0.088,-,-
'46:57:02.288',-0.104,-,-,-0.088,-,-
'46:57:02.296',-0.104,-,-,-0.096,-,-
'46:57:02.304',-0.104,-,-,-0.104,-,-
'46:57:02.312',-0.096,-,-,-0.104,-,-
'46:57:02.320',-0.096,-,-,-0.104,-,-
'46:57:02.328',-0.096,-,-,-0.104,-,-
'46:57:02.336',-0.096,-,-,-0.112,-,-
'46:57:02.344',-0.088,-,-,-0.112,-,-
'46:57:02.352',-0.088,-,-,-0.104,-,-
'46:57:02.360',-0.080,-,-,-0.104,-,-
'46:57:02.368',-0.072,-,-,-0.096,-,-
'46:57:02.376',-0.064,-,-,-0.080,-,-
'46:57:02.384',-0.048,-,-,-0.064,-,-
'46:57:02.392',-0.032,-,-,-0.048,-,-
'46:57:02.400',-0.016,-,-,-0.024,-,-
'46:57:02.408',0.000,-,-,0.000,-,-
'46:57:02.416',0.008,-,-,0.008,-,-
'46:57:02.424',0.008,-,-,0.016,-,-
'46:57:02.432',0.016,-,-,0.024,-,-
'46:57:02.440',0.016,-,-,0.024,-,-
'46:57:02.448',0.016,-,-,0.032,-,-
'46:57:02.456',0.016,-,-,0.032,-,-
'46:57:02.464',0.016,-,-,0.032,-,-
'46:57:02.472',0.008,-,-,0.032,-,-
'46:57:02.480',0.016,-,-,0.032,-,-
'46:57:02.488',0.016,-,-,0.032,-,-
'46:57:02.496',0.016,-,-,0.032,-,-
'46:57:02.504',0.024,-,-,0.040,-,-
'46:57:02.512',0.024,-,-,0.032,-,-
'46:57:02.520',0.016,-,-,0.032,-,-
'46:57:02.528',0.016,-,-,0.032,-,-
'46:57:02.536',0.016,-,-,0.024,-,-
'46:57:02.544',0.008,-,-,0.024,-,-
'46:57:02.552',0.008,-,-,0.024,-,-
'46:57:02.560',0.016,-,-,0.024,-,-
'46:57:02.568',0.016,-,-,0.032,-,-
'46:57:02.576',0.008,-,-,0.024,-,-
'46:57:02.584',0.008,-,-,0.024,-,-
'46:57:02.592',0.008,-,-,0.024,-,-
'46:57:02.600',0.008,-,-,0.024,-,-
'46:57:02.608',0.016,-,-,0.024,-,-
'46:57:02.616',0.008,-,-,0.024,-,-
'46:57:02.624',0.000,-,-,0.016,-,-
'46:57:02.632',0.000,-,-,0.008,-,-
'46:57:02.640',0.008,-,-,0.016,-,-
'46:57:02.648',0.008,-,-,0.024,-,-
'46:57:02.656',0.016,-,-,0.024,-,-
'46:57:02.664',0.016,-,-,0.024,-,-
'46:57:02.672',0.016,-,-,0.032,-,-
'46:57:02.680',0.024,-,-,0.040,-,-
'46:57:02.688',0.032,-,-,0.048,-,-
'46:57:02.696',0.056,-,-,0.064,-,-
'46:57:02.704',0.072,-,-,0.072,-,-
'46:57:02.712',0.088,-,-,0.080,-,-
'46:57:02.720',0.104,-,-,0.096,-,-
'46:57:02.728',0.120,-,-,0.112,-,-
'46:57:02.736',0.112,-,-,0.112,-,-
'46:57:02.744',0.072,-,-,0.080,-,-
'46:57:02.752',0.048,-,-,0.056,-,-
'46:57:02.760',0.040,-,-,0.040,-,-
'46:57:02.768',0.016,-,-,0.024,-,-
'46:57:02.776',-0.008,-,-,0.008,-,-
'46:57:02.784',-0.032,-,-,-0.008,-,-
'46:57:02.792',-0.048,-,-,-0.016,-,-
'46:57:02.800',-0.048,-,-,-0.024,-,-
'46:57:02.808',-0.040,-,-,-0.016,-,-
'46:57:02.816',-0.040,-,-,-0.016,-,-
'46:57:02.824',-0.040,-,-,-0.024,-,-
'46:57:02.832',-0.048,-,-,-0.016,-,-
'46:57:02.840',-0.048,-,-,-0.016,-,-
'46:57:02.848',-0.064,-,-,-0.024,-,-
'46:57:02.856',-0.064,-,-,-0.048,-,-
'46:57:02.864',-0.048,-,-,-0.112,-,-
'46:57:02.872',-0.024,-,-,-0.200,-,-
'46:57:02.880',-0.008,-,-,-0.312,-,-
'46:57:02.888',-0.016,-,-,-0.400,-,-
'46:57:02.896',-0.048,-,-,-0.352,-,-
'46:57:02.904',-0.072,-,-,-0.168,-,-
'46:57:02.912',-0.088,-,-,-0.032,-,-
'46:57:02.920',-0.144,-,-,-0.024,-,-
'46:57:02.928',-0.168,-,-,-0.088,-,-
'46:57:02.936',-0.096,-,-,-0.048,-,-
'46:57:02.944',-0.032,-,-,0.008,-,-
'46:57:02.952',-0.016,-,-,0.032,-,-
'46:57:02.960',-0.016,-,-,0.032,-,-
'46:57:02.968',-0.008,-,-,0.032,-,-
'46:57:02.976',-0.008,-,-,0.032,-,-
'46:57:02.984',0.000,-,-,0.032,-,-
'46:57:02.992',0.000,-,-,0.040,-,-
'46:57:03.000',0.000,-,-,0.040,-,-
'46:57:03.008',0.008,-,-,0.040,-,-
'46:57:03.016',0.008,-,-,0.048,-,-
'46:57:03.024',0.016,-,-,0.048,-,-
'46:57:03.032',0.016,-,-,0.048,-,-
'46:57:03.040',0.016,-,-,0.048,-,-
'46:57:03.048',0.024,-,-,0.048,-,-
'46:57:03.056',0.032,-,-,0.056,-,-
'46:57:03.064',0.040,-,-,0.064,-,-
'46:57:03.072',0.056,-,-,0.080,-,-
'46:57:03.080',0.064,-,-,0.088,-,-
'46:57:03.088',0.080,-,-,0.096,-,-
'46:57:03.096',0.096,-,-,0.112,-,-
'46:57:03.104',0.112,-,-,0.120,-,-
'46:57:03.112',0.136,-,-,0.144,-,-
'46:57:03.120',0.160,-,-,0.168,-,-
'46:57:03.128',0.184,-,-,0.184,-,-
'46:57:03.136',0.200,-,-,0.200,-,-
'46:57:03.144',0.216,-,-,0.208,-,-
'46:57:03.152',0.224,-,-,0.208,-,-
'46:57:03.160',0.216,-,-,0.192,-,-
'46:57:03.168',0.184,-,-,0.168,-,-
'46:57:03.176',0.152,-,-,0.136,-,-
'46:57:03.184',0.120,-,-,0.104,-,-
'46:57:03.192',0.080,-,-,0.080,-,-
'46:57:03.200',0.056,-,-,0.056,-,-
'46:57:03.208',0.040,-,-,0.048,-,-
'46:57:03.216',0.024,-,-,0.040,-,-
'46:57:03.224',0.008,-,-,0.032,-,-
'46:57:03.232',0.008,-,-,0.024,-,-
'46:57:03.240',0.008,-,-,0.024,-,-
'46:57:03.248',0.008,-,-,0.032,-,-
'46:57:03.256',0.008,-,-,0.024,-,-
'46:57:03.264',0.008,-,-,0.024,-,-
'46:57:03.272',0.008,-,-,0.024,-,-
'46:57:03.280',0.008,-,-,0.032,-,-
'46:57:03.288',0.024,-,-,0.040,-,-
'46:57:03.296',0.032,-,-,0.048,-,-
'46:57:03.304',0.032,-,-,0.048,-,-
'46:57:03.312',0.032,-,-,0.048,-,-
'46:57:03.320',0.040,-,-,0.056,-,-
'46:57:03.328',0.040,-,-,0.056,-,-
'46:57:03.336',0.040,-,-,0.056,-,-
'46:57:03.344',0.048,-,-,0.064,-,-
'46:57:03.352',0.056,-,-,0.064,-,-
'46:57:03.360',0.040,-,-,0.056,-,-
'46:57:03.368',0.032,-,-,0.040,-,-
'46:57:03.376',0.040,-,-,0.048,-,-
'46:57:03.384',0.040,-,-,0.056,-,-
'46:57:03.392',0.040,-,-,0.048,-,-
'46:57:03.400',0.040,-,-,0.048,-,-
'46:57:03.408',0.040,-,-,0.048,-,-
'46:57:03.416',0.032,-,-,0.048,-,-
'46:57:03.424',0.032,-,-,0.048,-,-
'46:57:03.432',0.032,-,-,0.048,-,-
'46:57:03.440',0.032,-,-,0.048,-,-
'46:57:03.448',0.040,-,-,0.056,-,-
