'Elapsed time','II','III','AVL','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'23:50:35.776',-,-,-,-,-,0.113,105.600
'23:50:35.784',-,-,-,-,-,0.048,102.000
'23:50:35.792',-,-,-,-,-,0.048,99.600
'23:50:35.800',-,-,-,-,-,0.000,97.200
'23:50:35.808',-,-,-,-,-,0.000,96.000
'23:50:35.816',-,-,-,-,-,-0.048,96.000
'23:50:35.824',-,-,-,-,-,-0.113,96.000
'23:50:35.832',-,-,-,-,-,-0.113,97.200
'23:50:35.840',-,-,-,-,-,-0.048,98.400
'23:50:35.848',-,-,-,-,-,-0.113,98.400
'23:50:35.856',-,-,-,-,-,-0.113,99.600
'23:50:35.864',-,-,-,-,-,-0.113,99.600
'23:50:35.872',-,-,-,-,-,-0.113,99.600
'23:50:35.880',-,-,-,-,-,-0.113,99.600
'23:50:35.888',-,-,-,-,-,-0.113,98.400
'23:50:35.896',-,-,-,-,-,-0.048,98.400
'23:50:35.904',-,-,-,-,-,0.000,98.400
'23:50:35.912',-,-,-,-,-,-0.113,98.400
'23:50:35.920',-,-,-,-,-,-0.935,97.200
'23:50:35.928',-,-,-,-,-,-1.823,97.200
'23:50:35.936',-,-,-,-,-,-2.468,96.000
'23:50:35.944',-,-,-,-,-,-2.161,94.800
'23:50:35.952',-,-,-,-,-,-1.581,93.600
'23:50:35.960',-,-,-,-,-,-1.161,92.400
'23:50:35.968',-,-,-,-,-,-0.645,92.400
'23:50:35.976',-,-,-,-,-,-0.113,90.000
'23:50:35.984',-,-,-,-,-,0.113,88.800
'23:50:35.992',-,-,-,-,-,0.226,87.600
'23:50:36.000',-,-,-,-,-,0.339,86.400
'23:50:36.008',-,-,-,-,-,0.290,85.200
'23:50:36.016',-,-,-,-,-,0.290,84.000
'23:50:36.024',-,-,-,-,-,0.339,82.800
'23:50:36.032',-,-,-,-,-,0.290,82.800
'23:50:36.040',-,-,-,-,-,0.339,82.800
'23:50:36.048',-,-,-,-,-,0.339,82.800
'23:50:36.056',-,-,-,-,-,0.339,85.200
'23:50:36.064',-,-,-,-,-,0.339,87.600
'23:50:36.072',-,-,-,-,-,0.403,91.200
'23:50:36.080',-,-,-,-,-,0.468,97.200
'23:50:36.088',-,-,-,-,-,0.468,104.400
'23:50:36.096',-,-,-,-,-,0.516,111.600
'23:50:36.104',-,-,-,-,-,0.581,120.000
'23:50:36.112',-,-,-,-,-,0.645,127.200
'23:50:36.120',-,-,-,-,-,0.645,135.600
'23:50:36.128',-,-,-,-,-,0.694,141.600
'23:50:36.136',-,-,-,-,-,0.645,146.400
'23:50:36.144',-,-,-,-,-,0.581,150.000
'23:50:36.152',-,-,-,-,-,0.468,152.400
'23:50:36.160',-,-,-,-,-,0.403,152.400
'23:50:36.168',-,-,-,-,-,0.290,152.400
'23:50:36.176',-,-,-,-,-,0.226,151.200
'23:50:36.184',-,-,-,-,-,0.113,150.000
'23:50:36.192',-,-,-,-,-,0.048,148.800
'23:50:36.200',-,-,-,-,-,0.000,146.400
'23:50:36.208',-,-,-,-,-,0.000,142.800
'23:50:36.216',-,-,-,-,-,0.000,139.200
'23:50:36.224',-,-,-,-,-,0.000,135.600
'23:50:36.232',-,-,-,-,-,0.000,130.800
'23:50:36.240',-,-,-,-,-,0.000,126.000
'23:50:36.248',-,-,-,-,-,0.000,121.200
'23:50:36.256',-,-,-,-,-,0.000,116.400
'23:50:36.264',-,-,-,-,-,0.000,111.600
'23:50:36.272',-,-,-,-,-,0.048,106.800
'23:50:36.280',-,-,-,-,-,0.048,102.000
'23:50:36.288',-,-,-,-,-,0.048,99.600
'23:50:36.296',-,-,-,-,-,0.000,97.200
'23:50:36.304',-,-,-,-,-,0.000,94.800
'23:50:36.312',-,-,-,-,-,0.000,94.800
'23:50:36.320',-,-,-,-,-,-0.113,94.800
'23:50:36.328',-,-,-,-,-,-0.113,96.000
'23:50:36.336',-,-,-,-,-,-0.113,96.000
'23:50:36.344',-,-,-,-,-,-0.113,97.200
'23:50:36.352',-,-,-,-,-,-0.113,97.200
'23:50:36.360',-,-,-,-,-,-0.113,98.400
'23:50:36.368',-,-,-,-,-,-0.113,98.400
'23:50:36.376',-,-,-,-,-,-0.113,98.400
'23:50:36.384',-,-,-,-,-,-0.113,98.400
'23:50:36.392',-,-,-,-,-,-0.113,98.400
'23:50:36.400',-,-,-,-,-,-0.113,97.200
'23:50:36.408',-,-,-,-,-,0.000,97.200
'23:50:36.416',-,-,-,-,-,-0.339,96.000
'23:50:36.424',-,-,-,-,-,-1.226,94.800
'23:50:36.432',-,-,-,-,-,-2.290,94.800
'23:50:36.440',-,-,-,-,-,-2.645,93.600
'23:50:36.448',-,-,-,-,-,-2.113,92.400
'23:50:36.456',-,-,-,-,-,-1.581,92.400
'23:50:36.464',-,-,-,-,-,-1.048,91.200
'23:50:36.472',-,-,-,-,-,-0.339,90.000
'23:50:36.480',-,-,-,-,-,0.000,87.600
'23:50:36.488',-,-,-,-,-,0.161,86.400
'23:50:36.496',-,-,-,-,-,0.290,85.200
'23:50:36.504',-,-,-,-,-,0.226,84.000
'23:50:36.512',-,-,-,-,-,0.290,82.800
'23:50:36.520',-,-,-,-,-,0.290,82.800
'23:50:36.528',-,-,-,-,-,0.290,81.600
'23:50:36.536',-,-,-,-,-,0.290,81.600
'23:50:36.544',-,-,-,-,-,0.290,81.600
'23:50:36.552',-,-,-,-,-,0.339,82.800
'23:50:36.560',-,-,-,-,-,0.339,84.000
'23:50:36.568',-,-,-,-,-,0.339,87.600
'23:50:36.576',-,-,-,-,-,0.339,91.200
'23:50:36.584',-,-,-,-,-,0.403,97.200
'23:50:36.592',-,-,-,-,-,0.468,103.200
'23:50:36.600',-,-,-,-,-,0.516,111.600
