'Elapsed time','II','III','AVR','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'47:09:48.696',-0.144,-,-,-0.112,-,-
'47:09:48.704',-0.136,-,-,-0.112,-,-
'47:09:48.712',-0.136,-,-,-0.104,-,-
'47:09:48.720',-0.128,-,-,-0.104,-,-
'47:09:48.728',-0.128,-,-,-0.104,-,-
'47:09:48.736',-0.128,-,-,-0.104,-,-
'47:09:48.744',-0.120,-,-,-0.104,-,-
'47:09:48.752',-0.120,-,-,-0.104,-,-
'47:09:48.760',-0.120,-,-,-0.104,-,-
'47:09:48.768',-0.120,-,-,-0.112,-,-
'47:09:48.776',-0.120,-,-,-0.112,-,-
'47:09:48.784',-0.120,-,-,-0.120,-,-
'47:09:48.792',-0.120,-,-,-0.120,-,-
'47:09:48.800',-0.120,-,-,-0.120,-,-
'47:09:48.808',-0.112,-,-,-0.120,-,-
'47:09:48.816',-0.112,-,-,-0.120,-,-
'47:09:48.824',-0.104,-,-,-0.120,-,-
'47:09:48.832',-0.096,-,-,-0.112,-,-
'47:09:48.840',-0.080,-,-,-0.096,-,-
'47:09:48.848',-0.064,-,-,-0.080,-,-
'47:09:48.856',-0.048,-,-,-0.064,-,-
'47:09:48.864',-0.032,-,-,-0.040,-,-
'47:09:48.872',-0.016,-,-,-0.024,-,-
'47:09:48.880',-0.008,-,-,-0.008,-,-
'47:09:48.888',0.000,-,-,0.008,-,-
'47:09:48.896',0.000,-,-,0.008,-,-
'47:09:48.904',0.000,-,-,0.008,-,-
'47:09:48.912',0.000,-,-,0.008,-,-
'47:09:48.920',0.000,-,-,0.008,-,-
'47:09:48.928',0.000,-,-,0.008,-,-
'47:09:48.936',0.000,-,-,0.016,-,-
'47:09:48.944',0.000,-,-,0.016,-,-
'47:09:48.952',0.000,-,-,0.016,-,-
'47:09:48.960',0.000,-,-,0.016,-,-
'47:09:48.968',0.000,-,-,0.008,-,-
'47:09:48.976',0.000,-,-,0.008,-,-
'47:09:48.984',0.000,-,-,0.008,-,-
'47:09:48.992',0.000,-,-,0.008,-,-
'47:09:49.000',0.000,-,-,0.008,-,-
'47:09:49.008',0.000,-,-,0.008,-,-
'47:09:49.016',0.000,-,-,0.000,-,-
'47:09:49.024',0.000,-,-,0.000,-,-
'47:09:49.032',0.000,-,-,0.000,-,-
