'Elapsed time','II','III','AVR','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'47:50:48.696',0.016,-,-,0.008,-,-
'47:50:48.704',0.016,-,-,0.008,-,-
'47:50:48.712',0.016,-,-,0.008,-,-
'47:50:48.720',0.024,-,-,0.016,-,-
'47:50:48.728',0.040,-,-,0.032,-,-
'47:50:48.736',0.056,-,-,0.048,-,-
'47:50:48.744',0.072,-,-,0.056,-,-
'47:50:48.752',0.080,-,-,0.064,-,-
'47:50:48.760',0.104,-,-,0.072,-,-
'47:50:48.768',0.120,-,-,0.080,-,-
'47:50:48.776',0.120,-,-,0.072,-,-
'47:50:48.784',0.088,-,-,0.048,-,-
'47:50:48.792',0.056,-,-,0.016,-,-
'47:50:48.800',0.040,-,-,0.000,-,-
'47:50:48.808',0.016,-,-,-0.008,-,-
'47:50:48.816',-0.008,-,-,-0.016,-,-
'47:50:48.824',-0.032,-,-,-0.024,-,-
'47:50:48.832',-0.040,-,-,-0.032,-,-
'47:50:48.840',-0.048,-,-,-0.032,-,-
'47:50:48.848',-0.048,-,-,-0.040,-,-
'47:50:48.856',-0.048,-,-,-0.040,-,-
'47:50:48.864',-0.048,-,-,-0.032,-,-
'47:50:48.872',-0.048,-,-,-0.032,-,-
'47:50:48.880',-0.048,-,-,-0.032,-,-
'47:50:48.888',-0.048,-,-,-0.032,-,-
'47:50:48.896',-0.056,-,-,-0.024,-,-
'47:50:48.904',-0.064,-,-,-0.024,-,-
'47:50:48.912',-0.072,-,-,-0.064,-,-
'47:50:48.920',-0.016,-,-,-0.144,-,-
'47:50:48.928',0.048,-,-,-0.272,-,-
'47:50:48.936',0.104,-,-,-0.384,-,-
'47:50:48.944',0.128,-,-,-0.400,-,-
'47:50:48.952',0.112,-,-,-0.216,-,-
'47:50:48.960',0.032,-,-,-0.080,-,-
'47:50:48.968',-0.064,-,-,-0.048,-,-
'47:50:48.976',-0.088,-,-,-0.032,-,-
'47:50:48.984',-0.040,-,-,0.016,-,-
'47:50:48.992',-0.032,-,-,0.032,-,-
'47:50:49.000',-0.040,-,-,0.024,-,-
'47:50:49.008',-0.040,-,-,0.032,-,-
'47:50:49.016',-0.032,-,-,0.032,-,-
'47:50:49.024',-0.024,-,-,0.032,-,-
'47:50:49.032',-0.024,-,-,0.032,-,-
'47:50:49.040',-0.024,-,-,0.032,-,-
'47:50:49.048',-0.024,-,-,0.032,-,-
'47:50:49.056',-0.016,-,-,0.040,-,-
'47:50:49.064',-0.008,-,-,0.040,-,-
'47:50:49.072',0.000,-,-,0.048,-,-
'47:50:49.080',0.000,-,-,0.048,-,-
'47:50:49.088',0.000,-,-,0.048,-,-
'47:50:49.096',0.008,-,-,0.056,-,-
'47:50:49.104',0.008,-,-,0.064,-,-
'47:50:49.112',0.016,-,-,0.064,-,-
'47:50:49.120',0.024,-,-,0.072,-,-
'47:50:49.128',0.032,-,-,0.080,-,-
'47:50:49.136',0.048,-,-,0.088,-,-
'47:50:49.144',0.056,-,-,0.096,-,-
'47:50:49.152',0.072,-,-,0.112,-,-
'47:50:49.160',0.096,-,-,0.128,-,-
'47:50:49.168',0.112,-,-,0.144,-,-
'47:50:49.176',0.136,-,-,0.160,-,-
'47:50:49.184',0.160,-,-,0.176,-,-
'47:50:49.192',0.176,-,-,0.192,-,-
'47:50:49.200',0.184,-,-,0.192,-,-
'47:50:49.208',0.184,-,-,0.184,-,-
'47:50:49.216',0.176,-,-,0.160,-,-
'47:50:49.224',0.144,-,-,0.128,-,-
'47:50:49.232',0.112,-,-,0.096,-,-
'47:50:49.240',0.088,-,-,0.072,-,-
'47:50:49.248',0.056,-,-,0.048,-,-
'47:50:49.256',0.032,-,-,0.024,-,-
'47:50:49.264',0.016,-,-,0.008,-,-
'47:50:49.272',0.008,-,-,0.008,-,-
'47:50:49.280',0.000,-,-,0.000,-,-
'47:50:49.288',-0.008,-,-,0.000,-,-
'47:50:49.296',-0.016,-,-,-0.008,-,-
'47:50:49.304',-0.016,-,-,-0.008,-,-
'47:50:49.312',-0.016,-,-,-0.008,-,-
'47:50:49.320',-0.024,-,-,-0.008,-,-
'47:50:49.328',-0.024,-,-,-0.008,-,-
'47:50:49.336',-0.024,-,-,-0.008,-,-
'47:50:49.344',-0.016,-,-,-0.008,-,-
'47:50:49.352',-0.008,-,-,0.000,-,-
'47:50:49.360',-0.008,-,-,0.000,-,-
'47:50:49.368',0.000,-,-,0.000,-,-
'47:50:49.376',0.000,-,-,0.008,-,-
'47:50:49.384',0.000,-,-,0.008,-,-
'47:50:49.392',0.000,-,-,0.008,-,-
'47:50:49.400',0.000,-,-,0.008,-,-
'47:50:49.408',0.000,-,-,0.008,-,-
'47:50:49.416',0.000,-,-,0.000,-,-
'47:50:49.424',0.000,-,-,0.000,-,-
'47:50:49.432',0.000,-,-,0.000,-,-
'47:50:49.440',0.000,-,-,0.000,-,-
'47:50:49.448',0.000,-,-,0.000,-,-
'47:50:49.456',0.008,-,-,0.000,-,-
'47:50:49.464',0.008,-,-,0.008,-,-
'47:50:49.472',0.008,-,-,0.008,-,-
'47:50:49.480',0.000,-,-,0.000,-,-
'47:50:49.488',0.000,-,-,0.000,-,-
'47:50:49.496',0.000,-,-,0.000,-,-
'47:50:49.504',0.000,-,-,0.008,-,-
'47:50:49.512',0.000,-,-,0.000,-,-
'47:50:49.520',0.000,-,-,0.000,-,-
'47:50:49.528',0.008,-,-,0.008,-,-
'47:50:49.536',0.024,-,-,0.016,-,-
'47:50:49.544',0.032,-,-,0.024,-,-
'47:50:49.552',0.048,-,-,0.032,-,-
'47:50:49.560',0.056,-,-,0.040,-,-
'47:50:49.568',0.072,-,-,0.048,-,-
'47:50:49.576',0.088,-,-,0.064,-,-
'47:50:49.584',0.104,-,-,0.064,-,-
'47:50:49.592',0.088,-,-,0.056,-,-
