'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'14:36:11.416',0.000,-0.017,-,-,-,-,51.200
'14:36:11.424',0.000,-0.017,-,-,-,-,51.200
'14:36:11.432',0.000,-0.017,-,-,-,-,51.200
'14:36:11.440',0.000,-0.008,-,-,-,-,51.200
'14:36:11.448',0.000,-0.017,-,-,-,-,50.400
'14:36:11.456',0.000,-0.008,-,-,-,-,50.400
'14:36:11.464',0.000,-0.008,-,-,-,-,50.400
'14:36:11.472',0.000,0.000,-,-,-,-,50.400
'14:36:11.480',-0.008,-0.017,-,-,-,-,49.600
'14:36:11.488',0.008,0.008,-,-,-,-,49.600
'14:36:11.496',0.000,0.017,-,-,-,-,49.600
'14:36:11.504',0.024,0.033,-,-,-,-,49.600
'14:36:11.512',0.040,0.041,-,-,-,-,49.600
'14:36:11.520',0.064,0.050,-,-,-,-,49.600
'14:36:11.528',0.088,0.066,-,-,-,-,49.600
'14:36:11.536',0.104,0.099,-,-,-,-,48.800
'14:36:11.544',0.104,0.091,-,-,-,-,48.800
'14:36:11.552',0.128,0.074,-,-,-,-,48.800
'14:36:11.560',0.144,0.116,-,-,-,-,48.800
'14:36:11.568',0.184,0.140,-,-,-,-,48.800
'14:36:11.576',0.208,0.182,-,-,-,-,48.000
'14:36:11.584',0.224,0.248,-,-,-,-,48.000
'14:36:11.592',0.168,0.281,-,-,-,-,48.000
'14:36:11.600',0.168,0.273,-,-,-,-,47.200
'14:36:11.608',0.128,0.314,-,-,-,-,47.200
'14:36:11.616',0.104,0.240,-,-,-,-,47.200
'14:36:11.624',0.056,0.190,-,-,-,-,47.200
'14:36:11.632',0.016,0.140,-,-,-,-,47.200
'14:36:11.640',-0.008,0.066,-,-,-,-,47.200
'14:36:11.648',-0.016,0.025,-,-,-,-,47.200
'14:36:11.656',-0.032,0.000,-,-,-,-,47.200
'14:36:11.664',-0.048,-0.017,-,-,-,-,47.200
'14:36:11.672',-0.056,-0.025,-,-,-,-,47.200
'14:36:11.680',-0.064,-0.041,-,-,-,-,48.800
'14:36:11.688',-0.056,-0.033,-,-,-,-,51.200
'14:36:11.696',-0.072,-0.050,-,-,-,-,55.200
'14:36:11.704',-0.072,-0.041,-,-,-,-,60.800
'14:36:11.712',-0.088,-0.058,-,-,-,-,66.400
'14:36:11.720',-0.088,-0.058,-,-,-,-,70.400
'14:36:11.728',-0.104,-0.066,-,-,-,-,72.800
'14:36:11.736',-0.096,-0.074,-,-,-,-,72.800
'14:36:11.744',-0.112,-0.091,-,-,-,-,72.800
'14:36:11.752',-0.128,-0.099,-,-,-,-,72.800
'14:36:11.760',-0.136,-0.124,-,-,-,-,72.000
'14:36:11.768',-0.128,-0.116,-,-,-,-,70.400
'14:36:11.776',-0.128,-0.140,-,-,-,-,68.000
'14:36:11.784',-0.104,-0.132,-,-,-,-,66.400
'14:36:11.792',-0.096,-0.140,-,-,-,-,64.800
'14:36:11.800',-0.088,-0.149,-,-,-,-,62.400
'14:36:11.808',-0.072,-0.149,-,-,-,-,60.000
'14:36:11.816',-0.056,-0.149,-,-,-,-,57.600
'14:36:11.824',-0.040,-0.140,-,-,-,-,56.000
'14:36:11.832',-0.024,-0.140,-,-,-,-,54.400
'14:36:11.840',-0.016,-0.132,-,-,-,-,53.600
'14:36:11.848',-0.008,-0.124,-,-,-,-,54.400
'14:36:11.856',0.000,-0.124,-,-,-,-,55.200
'14:36:11.864',-0.008,-0.116,-,-,-,-,56.800
'14:36:11.872',0.000,-0.099,-,-,-,-,57.600
