'Elapsed time','II','AVR','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'44:32:41.200',-0.028,-,-,-0.009,-,-,-
'44:32:41.208',-0.028,-,-,-0.019,-,-,-
'44:32:41.216',-0.028,-,-,-0.009,-,-,-
'44:32:41.224',-0.047,-,-,-0.028,-,-,-
'44:32:41.232',-0.047,-,-,-0.019,-,-,-
'44:32:41.240',-0.028,-,-,-0.047,-,-,-
'44:32:41.248',0.000,-,-,-0.019,-,-,-
'44:32:41.256',0.028,-,-,0.019,-,-,-
'44:32:41.264',0.047,-,-,0.038,-,-,-
'44:32:41.272',0.057,-,-,0.038,-,-,-
'44:32:41.280',0.075,-,-,0.047,-,-,-
'44:32:41.288',0.075,-,-,0.038,-,-,-
'44:32:41.296',0.075,-,-,0.066,-,-,-
'44:32:41.304',0.057,-,-,0.038,-,-,-
'44:32:41.312',0.047,-,-,0.047,-,-,-
'44:32:41.320',0.047,-,-,0.019,-,-,-
'44:32:41.328',0.028,-,-,0.038,-,-,-
'44:32:41.336',0.009,-,-,0.009,-,-,-
'44:32:41.344',0.009,-,-,0.028,-,-,-
'44:32:41.352',0.009,-,-,0.000,-,-,-
'44:32:41.360',0.028,-,-,0.000,-,-,-
'44:32:41.368',0.047,-,-,0.019,-,-,-
'44:32:41.376',0.047,-,-,0.057,-,-,-
'44:32:41.384',0.047,-,-,0.028,-,-,-
'44:32:41.392',0.047,-,-,0.019,-,-,-
'44:32:41.400',0.047,-,-,0.038,-,-,-
'44:32:41.408',0.047,-,-,0.019,-,-,-
'44:32:41.416',0.047,-,-,0.028,-,-,-
'44:32:41.424',0.047,-,-,0.019,-,-,-
'44:32:41.432',0.028,-,-,0.019,-,-,-
'44:32:41.440',0.009,-,-,0.009,-,-,-
'44:32:41.448',0.000,-,-,-0.019,-,-,-
'44:32:41.456',0.000,-,-,-0.028,-,-,-
'44:32:41.464',-0.009,-,-,0.000,-,-,-
'44:32:41.472',-0.028,-,-,-0.047,-,-,-
'44:32:41.480',-0.028,-,-,-0.038,-,-,-
'44:32:41.488',-0.028,-,-,-0.057,-,-,-
'44:32:41.496',-0.028,-,-,-0.028,-,-,-
'44:32:41.504',-0.028,-,-,-0.057,-,-,-
'44:32:41.512',-0.009,-,-,-0.019,-,-,-
'44:32:41.520',0.000,-,-,-0.028,-,-,-
'44:32:41.528',0.000,-,-,-0.009,-,-,-
'44:32:41.536',0.009,-,-,-0.038,-,-,-
'44:32:41.544',0.047,-,-,0.000,-,-,-
'44:32:41.552',0.123,-,-,0.057,-,-,-
'44:32:41.560',0.255,-,-,0.113,-,-,-
'44:32:41.568',0.358,-,-,0.292,-,-,-
'44:32:41.576',0.387,-,-,0.321,-,-,-
'44:32:41.584',0.425,-,-,0.264,-,-,-
'44:32:41.592',0.387,-,-,0.368,-,-,-
'44:32:41.600',0.226,-,-,0.179,-,-,-
'44:32:41.608',0.057,-,-,0.038,-,-,-
'44:32:41.616',-0.047,-,-,-0.066,-,-,-
'44:32:41.624',-0.123,-,-,-0.142,-,-,-
'44:32:41.632',-0.179,-,-,-0.208,-,-,-
'44:32:41.640',-0.160,-,-,-0.208,-,-,-
'44:32:41.648',-0.123,-,-,-0.170,-,-,-
'44:32:41.656',-0.075,-,-,-0.094,-,-,-
'44:32:41.664',-0.057,-,-,-0.066,-,-,-
'44:32:41.672',-0.057,-,-,-0.057,-,-,-
'44:32:41.680',-0.047,-,-,-0.047,-,-,-
'44:32:41.688',-0.047,-,-,-0.047,-,-,-
'44:32:41.696',-0.057,-,-,-0.038,-,-,-
'44:32:41.704',-0.075,-,-,-0.066,-,-,-
'44:32:41.712',-0.057,-,-,-0.057,-,-,-
'44:32:41.720',-0.047,-,-,-0.085,-,-,-
'44:32:41.728',-0.047,-,-,-0.019,-,-,-
'44:32:41.736',-0.047,-,-,-0.066,-,-,-
'44:32:41.744',-0.057,-,-,-0.019,-,-,-
'44:32:41.752',-0.094,-,-,-0.066,-,-,-
'44:32:41.760',-0.113,-,-,-0.094,-,-,-
'44:32:41.768',-0.094,-,-,-0.085,-,-,-
'44:32:41.776',-0.094,-,-,-0.066,-,-,-
'44:32:41.784',-0.094,-,-,-0.085,-,-,-
'44:32:41.792',-0.075,-,-,-0.094,-,-,-
'44:32:41.800',-0.047,-,-,-0.113,-,-,-
'44:32:41.808',-0.057,-,-,-0.009,-,-,-
'44:32:41.816',-0.094,-,-,-0.094,-,-,-
'44:32:41.824',-0.075,-,-,-0.104,-,-,-
'44:32:41.832',-0.047,-,-,-0.057,-,-,-
'44:32:41.840',-0.009,-,-,-0.028,-,-,-
'44:32:41.848',0.000,-,-,-0.019,-,-,-
'44:32:41.856',0.009,-,-,0.000,-,-,-
'44:32:41.864',0.028,-,-,0.028,-,-,-
'44:32:41.872',0.057,-,-,0.009,-,-,-
'44:32:41.880',0.057,-,-,0.085,-,-,-
'44:32:41.888',0.028,-,-,0.038,-,-,-
'44:32:41.896',0.028,-,-,0.028,-,-,-
'44:32:41.904',0.009,-,-,0.009,-,-,-
'44:32:41.912',0.009,-,-,0.038,-,-,-
'44:32:41.920',0.000,-,-,0.009,-,-,-
'44:32:41.928',0.000,-,-,0.000,-,-,-
'44:32:41.936',0.009,-,-,0.019,-,-,-
'44:32:41.944',0.009,-,-,0.038,-,-,-
'44:32:41.952',0.028,-,-,0.019,-,-,-
'44:32:41.960',0.047,-,-,0.047,-,-,-
'44:32:41.968',0.057,-,-,0.038,-,-,-
'44:32:41.976',0.047,-,-,0.057,-,-,-
'44:32:41.984',0.057,-,-,0.019,-,-,-
'44:32:41.992',0.057,-,-,0.085,-,-,-
'44:32:42.000',0.047,-,-,0.038,-,-,-
'44:32:42.008',0.028,-,-,0.019,-,-,-
'44:32:42.016',0.009,-,-,0.019,-,-,-
'44:32:42.024',0.000,-,-,0.019,-,-,-
'44:32:42.032',-0.009,-,-,-0.028,-,-,-
'44:32:42.040',-0.009,-,-,-0.038,-,-,-
'44:32:42.048',-0.009,-,-,-0.009,-,-,-
'44:32:42.056',-0.028,-,-,-0.019,-,-,-
'44:32:42.064',-0.028,-,-,-0.019,-,-,-
'44:32:42.072',-0.009,-,-,-0.066,-,-,-
'44:32:42.080',0.000,-,-,-0.009,-,-,-
'44:32:42.088',0.000,-,-,-0.019,-,-,-
'44:32:42.096',-0.009,-,-,-0.009,-,-,-
'44:32:42.104',-0.009,-,-,-0.038,-,-,-
'44:32:42.112',-0.009,-,-,-0.019,-,-,-
'44:32:42.120',0.028,-,-,-0.047,-,-,-
'44:32:42.128',0.113,-,-,0.057,-,-,-
'44:32:42.136',0.245,-,-,0.123,-,-,-
'44:32:42.144',0.368,-,-,0.302,-,-,-
'44:32:42.152',0.425,-,-,0.406,-,-,-
'44:32:42.160',0.453,-,-,0.311,-,-,-
'44:32:42.168',0.472,-,-,0.406,-,-,-
'44:32:42.176',0.340,-,-,0.406,-,-,-
'44:32:42.184',0.142,-,-,0.132,-,-,-
'44:32:42.192',0.000,-,-,0.009,-,-,-
'44:32:42.200',-0.094,-,-,-0.113,-,-,-
'44:32:42.208',-0.142,-,-,-0.142,-,-,-
'44:32:42.216',-0.179,-,-,-0.179,-,-,-
'44:32:42.224',-0.179,-,-,-0.170,-,-,-
'44:32:42.232',-0.142,-,-,-0.179,-,-,-
'44:32:42.240',-0.123,-,-,-0.104,-,-,-
'44:32:42.248',-0.113,-,-,-0.123,-,-,-
'44:32:42.256',-0.094,-,-,-0.066,-,-,-
'44:32:42.264',-0.075,-,-,-0.094,-,-,-
'44:32:42.272',-0.075,-,-,-0.038,-,-,-
'44:32:42.280',-0.094,-,-,-0.057,-,-,-
'44:32:42.288',-0.075,-,-,-0.066,-,-,-
'44:32:42.296',-0.075,-,-,-0.047,-,-,-
'44:32:42.304',-0.075,-,-,-0.028,-,-,-
'44:32:42.312',-0.094,-,-,-0.066,-,-,-
'44:32:42.320',-0.094,-,-,-0.085,-,-,-
'44:32:42.328',-0.075,-,-,-0.047,-,-,-
'44:32:42.336',-0.094,-,-,-0.047,-,-,-
'44:32:42.344',-0.094,-,-,-0.066,-,-,-
'44:32:42.352',-0.094,-,-,-0.094,-,-,-
'44:32:42.360',-0.113,-,-,-0.047,-,-,-
'44:32:42.368',-0.113,-,-,-0.113,-,-,-
'44:32:42.376',-0.075,-,-,-0.038,-,-,-
'44:32:42.384',-0.075,-,-,-0.057,-,-,-
'44:32:42.392',-0.094,-,-,-0.066,-,-,-
'44:32:42.400',-0.057,-,-,-0.094,-,-,-
'44:32:42.408',-0.009,-,-,-0.047,-,-,-
'44:32:42.416',0.009,-,-,0.019,-,-,-
'44:32:42.424',0.047,-,-,0.038,-,-,-
'44:32:42.432',0.057,-,-,0.047,-,-,-
'44:32:42.440',0.057,-,-,0.038,-,-,-
'44:32:42.448',0.075,-,-,0.085,-,-,-
'44:32:42.456',0.094,-,-,0.047,-,-,-
'44:32:42.464',0.094,-,-,0.094,-,-,-
'44:32:42.472',0.075,-,-,0.085,-,-,-
'44:32:42.480',0.047,-,-,0.094,-,-,-
'44:32:42.488',0.028,-,-,0.038,-,-,-
'44:32:42.496',0.028,-,-,0.047,-,-,-
'44:32:42.504',0.047,-,-,0.019,-,-,-
'44:32:42.512',0.057,-,-,0.057,-,-,-
'44:32:42.520',0.057,-,-,0.057,-,-,-
'44:32:42.528',0.057,-,-,0.094,-,-,-
'44:32:42.536',0.075,-,-,0.057,-,-,-
'44:32:42.544',0.075,-,-,0.047,-,-,-
'44:32:42.552',0.094,-,-,0.085,-,-,-
'44:32:42.560',0.113,-,-,0.066,-,-,-
'44:32:42.568',0.113,-,-,0.123,-,-,-
'44:32:42.576',0.094,-,-,0.066,-,-,-
'44:32:42.584',0.094,-,-,0.057,-,-,-
'44:32:42.592',0.075,-,-,0.057,-,-,-
'44:32:42.600',0.028,-,-,0.028,-,-,-
'44:32:42.608',0.009,-,-,0.000,-,-,-
'44:32:42.616',0.000,-,-,0.009,-,-,-
'44:32:42.624',0.000,-,-,0.019,-,-,-
'44:32:42.632',0.000,-,-,-0.009,-,-,-
'44:32:42.640',0.000,-,-,0.000,-,-,-
'44:32:42.648',0.000,-,-,-0.019,-,-,-
'44:32:42.656',0.000,-,-,0.000,-,-,-
'44:32:42.664',-0.009,-,-,0.009,-,-,-
'44:32:42.672',-0.028,-,-,-0.038,-,-,-
'44:32:42.680',-0.009,-,-,-0.047,-,-,-
'44:32:42.688',0.000,-,-,0.009,-,-,-
'44:32:42.696',0.047,-,-,0.000,-,-,-
'44:32:42.704',0.113,-,-,0.057,-,-,-
'44:32:42.712',0.226,-,-,0.104,-,-,-
'44:32:42.720',0.321,-,-,0.226,-,-,-
'44:32:42.728',0.340,-,-,0.264,-,-,-
'44:32:42.736',0.358,-,-,0.132,-,-,-
'44:32:42.744',0.368,-,-,0.226,-,-,-
'44:32:42.752',0.226,-,-,0.179,-,-,-
'44:32:42.760',0.075,-,-,0.000,-,-,-
'44:32:42.768',-0.009,-,-,-0.094,-,-,-
'44:32:42.776',-0.075,-,-,-0.123,-,-,-
'44:32:42.784',-0.113,-,-,-0.189,-,-,-
'44:32:42.792',-0.113,-,-,-0.151,-,-,-
'44:32:42.800',-0.094,-,-,-0.132,-,-,-
'44:32:42.808',-0.057,-,-,-0.094,-,-,-
'44:32:42.816',-0.028,-,-,-0.038,-,-,-
'44:32:42.824',-0.009,-,-,0.000,-,-,-
'44:32:42.832',-0.009,-,-,0.009,-,-,-
'44:32:42.840',-0.009,-,-,-0.009,-,-,-
'44:32:42.848',0.000,-,-,0.009,-,-,-
'44:32:42.856',-0.009,-,-,0.019,-,-,-
'44:32:42.864',-0.047,-,-,-0.009,-,-,-
'44:32:42.872',-0.057,-,-,-0.028,-,-,-
'44:32:42.880',-0.075,-,-,-0.019,-,-,-
'44:32:42.888',-0.057,-,-,-0.038,-,-,-
'44:32:42.896',-0.047,-,-,-0.019,-,-,-
'44:32:42.904',-0.028,-,-,-0.028,-,-,-
'44:32:42.912',-0.047,-,-,0.009,-,-,-
'44:32:42.920',-0.075,-,-,-0.038,-,-,-
'44:32:42.928',-0.094,-,-,-0.057,-,-,-
'44:32:42.936',-0.075,-,-,-0.085,-,-,-
'44:32:42.944',-0.057,-,-,-0.038,-,-,-
'44:32:42.952',-0.057,-,-,-0.047,-,-,-
'44:32:42.960',-0.047,-,-,-0.047,-,-,-
'44:32:42.968',-0.009,-,-,-0.009,-,-,-
'44:32:42.976',0.009,-,-,-0.028,-,-,-
'44:32:42.984',0.047,-,-,0.019,-,-,-
'44:32:42.992',0.075,-,-,0.085,-,-,-
'44:32:43.000',0.047,-,-,0.047,-,-,-
'44:32:43.008',0.009,-,-,0.028,-,-,-
'44:32:43.016',0.028,-,-,0.085,-,-,-
'44:32:43.024',0.009,-,-,0.132,-,-,-
'44:32:43.032',0.009,-,-,-0.009,-,-,-
'44:32:43.040',0.028,-,-,-0.019,-,-,-
'44:32:43.048',0.028,-,-,0.000,-,-,-
'44:32:43.056',0.028,-,-,0.019,-,-,-
'44:32:43.064',0.009,-,-,0.000,-,-,-
'44:32:43.072',0.047,-,-,0.000,-,-,-
'44:32:43.080',0.057,-,-,0.038,-,-,-
'44:32:43.088',0.047,-,-,0.057,-,-,-
'44:32:43.096',0.009,-,-,0.019,-,-,-
'44:32:43.104',0.000,-,-,-0.038,-,-,-
'44:32:43.112',0.047,-,-,0.038,-,-,-
'44:32:43.120',0.047,-,-,0.066,-,-,-
'44:32:43.128',0.028,-,-,0.019,-,-,-
'44:32:43.136',0.028,-,-,-0.028,-,-,-
'44:32:43.144',0.028,-,-,0.009,-,-,-
'44:32:43.152',-0.009,-,-,0.019,-,-,-
'44:32:43.160',-0.094,-,-,-0.038,-,-,-
