'Elapsed time','II','AVR','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'44:57:53.200',-0.292,-,-,-0.321,-,-,-
'44:57:53.208',-0.226,-,-,-0.236,-,-,-
'44:57:53.216',-0.160,-,-,-0.142,-,-,-
'44:57:53.224',-0.142,-,-,-0.104,-,-,-
'44:57:53.232',-0.123,-,-,-0.113,-,-,-
'44:57:53.240',-0.123,-,-,-0.094,-,-,-
'44:57:53.248',-0.123,-,-,-0.094,-,-,-
'44:57:53.256',-0.123,-,-,-0.104,-,-,-
'44:57:53.264',-0.113,-,-,-0.094,-,-,-
'44:57:53.272',-0.123,-,-,-0.094,-,-,-
'44:57:53.280',-0.123,-,-,-0.094,-,-,-
'44:57:53.288',-0.123,-,-,-0.094,-,-,-
'44:57:53.296',-0.142,-,-,-0.113,-,-,-
'44:57:53.304',-0.142,-,-,-0.104,-,-,-
'44:57:53.312',-0.142,-,-,-0.132,-,-,-
'44:57:53.320',-0.142,-,-,-0.104,-,-,-
'44:57:53.328',-0.123,-,-,-0.113,-,-,-
'44:57:53.336',-0.142,-,-,-0.113,-,-,-
'44:57:53.344',-0.160,-,-,-0.132,-,-,-
'44:57:53.352',-0.160,-,-,-0.142,-,-,-
'44:57:53.360',-0.179,-,-,-0.151,-,-,-
'44:57:53.368',-0.160,-,-,-0.132,-,-,-
'44:57:53.376',-0.142,-,-,-0.142,-,-,-
'44:57:53.384',-0.113,-,-,-0.113,-,-,-
'44:57:53.392',-0.094,-,-,-0.094,-,-,-
'44:57:53.400',-0.047,-,-,-0.066,-,-,-
'44:57:53.408',-0.009,-,-,-0.047,-,-,-
'44:57:53.416',0.009,-,-,-0.009,-,-,-
'44:57:53.424',0.028,-,-,0.019,-,-,-
'44:57:53.432',0.028,-,-,0.038,-,-,-
'44:57:53.440',0.009,-,-,0.009,-,-,-
'44:57:53.448',0.000,-,-,0.000,-,-,-
'44:57:53.456',-0.009,-,-,-0.009,-,-,-
'44:57:53.464',-0.028,-,-,-0.038,-,-,-
'44:57:53.472',-0.028,-,-,-0.047,-,-,-
'44:57:53.480',-0.028,-,-,-0.028,-,-,-
'44:57:53.488',-0.047,-,-,-0.019,-,-,-
'44:57:53.496',-0.047,-,-,-0.057,-,-,-
'44:57:53.504',-0.028,-,-,-0.047,-,-,-
'44:57:53.512',-0.009,-,-,-0.009,-,-,-
'44:57:53.520',0.000,-,-,0.000,-,-,-
'44:57:53.528',0.000,-,-,-0.009,-,-,-
'44:57:53.536',0.000,-,-,0.000,-,-,-
'44:57:53.544',0.000,-,-,0.000,-,-,-
'44:57:53.552',0.000,-,-,0.009,-,-,-
'44:57:53.560',0.000,-,-,0.000,-,-,-
'44:57:53.568',-0.009,-,-,-0.019,-,-,-
'44:57:53.576',-0.009,-,-,-0.038,-,-,-
'44:57:53.584',-0.009,-,-,-0.028,-,-,-
'44:57:53.592',-0.028,-,-,-0.038,-,-,-
'44:57:53.600',-0.047,-,-,-0.047,-,-,-
'44:57:53.608',-0.057,-,-,-0.066,-,-,-
'44:57:53.616',-0.075,-,-,-0.094,-,-,-
'44:57:53.624',-0.075,-,-,-0.094,-,-,-
'44:57:53.632',-0.057,-,-,-0.066,-,-,-
'44:57:53.640',-0.057,-,-,-0.066,-,-,-
'44:57:53.648',-0.057,-,-,-0.085,-,-,-
'44:57:53.656',-0.057,-,-,-0.047,-,-,-
'44:57:53.664',-0.057,-,-,-0.085,-,-,-
'44:57:53.672',-0.057,-,-,-0.066,-,-,-
'44:57:53.680',-0.057,-,-,-0.085,-,-,-
'44:57:53.688',-0.047,-,-,-0.057,-,-,-
'44:57:53.696',0.000,-,-,-0.085,-,-,-
'44:57:53.704',0.113,-,-,0.038,-,-,-
'44:57:53.712',0.255,-,-,0.132,-,-,-
'44:57:53.720',0.425,-,-,0.340,-,-,-
'44:57:53.728',0.519,-,-,0.472,-,-,-
'44:57:53.736',0.557,-,-,0.434,-,-,-
'44:57:53.744',0.566,-,-,0.491,-,-,-
'44:57:53.752',0.358,-,-,0.387,-,-,-
'44:57:53.760',0.123,-,-,0.123,-,-,-
'44:57:53.768',-0.047,-,-,-0.019,-,-,-
'44:57:53.776',-0.189,-,-,-0.151,-,-,-
'44:57:53.784',-0.311,-,-,-0.302,-,-,-
'44:57:53.792',-0.340,-,-,-0.358,-,-,-
'44:57:53.800',-0.292,-,-,-0.302,-,-,-
'44:57:53.808',-0.245,-,-,-0.255,-,-,-
'44:57:53.816',-0.189,-,-,-0.189,-,-,-
'44:57:53.824',-0.160,-,-,-0.132,-,-,-
'44:57:53.832',-0.142,-,-,-0.123,-,-,-
'44:57:53.840',-0.142,-,-,-0.132,-,-,-
'44:57:53.848',-0.160,-,-,-0.132,-,-,-
'44:57:53.856',-0.142,-,-,-0.123,-,-,-
'44:57:53.864',-0.142,-,-,-0.132,-,-,-
'44:57:53.872',-0.142,-,-,-0.113,-,-,-
'44:57:53.880',-0.142,-,-,-0.132,-,-,-
'44:57:53.888',-0.142,-,-,-0.132,-,-,-
'44:57:53.896',-0.123,-,-,-0.113,-,-,-
'44:57:53.904',-0.123,-,-,-0.123,-,-,-
'44:57:53.912',-0.123,-,-,-0.113,-,-,-
'44:57:53.920',-0.123,-,-,-0.113,-,-,-
'44:57:53.928',-0.142,-,-,-0.123,-,-,-
'44:57:53.936',-0.160,-,-,-0.132,-,-,-
'44:57:53.944',-0.160,-,-,-0.132,-,-,-
'44:57:53.952',-0.160,-,-,-0.142,-,-,-
'44:57:53.960',-0.160,-,-,-0.170,-,-,-
'44:57:53.968',-0.142,-,-,-0.142,-,-,-
'44:57:53.976',-0.113,-,-,-0.123,-,-,-
'44:57:53.984',-0.094,-,-,-0.113,-,-,-
'44:57:53.992',-0.057,-,-,-0.113,-,-,-
'44:57:54.000',-0.009,-,-,-0.047,-,-,-
'44:57:54.008',0.009,-,-,-0.019,-,-,-
'44:57:54.016',0.028,-,-,0.000,-,-,-
'44:57:54.024',0.047,-,-,0.019,-,-,-
'44:57:54.032',0.047,-,-,0.028,-,-,-
'44:57:54.040',0.047,-,-,0.038,-,-,-
'44:57:54.048',0.028,-,-,0.019,-,-,-
'44:57:54.056',0.009,-,-,0.000,-,-,-
'44:57:54.064',0.009,-,-,0.000,-,-,-
'44:57:54.072',0.000,-,-,0.000,-,-,-
'44:57:54.080',0.000,-,-,-0.009,-,-,-
'44:57:54.088',0.000,-,-,-0.009,-,-,-
'44:57:54.096',0.000,-,-,-0.009,-,-,-
'44:57:54.104',0.000,-,-,-0.019,-,-,-
'44:57:54.112',0.000,-,-,-0.009,-,-,-
'44:57:54.120',0.009,-,-,0.000,-,-,-
'44:57:54.128',0.009,-,-,0.009,-,-,-
'44:57:54.136',0.009,-,-,0.019,-,-,-
'44:57:54.144',0.028,-,-,0.019,-,-,-
'44:57:54.152',0.047,-,-,0.009,-,-,-
'44:57:54.160',0.028,-,-,0.038,-,-,-
'44:57:54.168',0.028,-,-,0.009,-,-,-
'44:57:54.176',0.028,-,-,0.019,-,-,-
'44:57:54.184',0.028,-,-,0.019,-,-,-
'44:57:54.192',0.009,-,-,0.000,-,-,-
'44:57:54.200',0.000,-,-,0.000,-,-,-
'44:57:54.208',0.000,-,-,-0.019,-,-,-
'44:57:54.216',-0.009,-,-,-0.028,-,-,-
'44:57:54.224',-0.009,-,-,-0.047,-,-,-
'44:57:54.232',-0.009,-,-,-0.028,-,-,-
'44:57:54.240',-0.009,-,-,-0.028,-,-,-
'44:57:54.248',0.000,-,-,-0.019,-,-,-
'44:57:54.256',-0.009,-,-,-0.019,-,-,-
'44:57:54.264',-0.028,-,-,-0.028,-,-,-
'44:57:54.272',-0.028,-,-,-0.047,-,-,-
'44:57:54.280',-0.028,-,-,-0.047,-,-,-
'44:57:54.288',-0.009,-,-,-0.028,-,-,-
'44:57:54.296',0.000,-,-,-0.038,-,-,-
'44:57:54.304',0.057,-,-,0.000,-,-,-
'44:57:54.312',0.179,-,-,0.104,-,-,-
'44:57:54.320',0.340,-,-,0.198,-,-,-
'44:57:54.328',0.453,-,-,0.368,-,-,-
'44:57:54.336',0.500,-,-,0.406,-,-,-
'44:57:54.344',0.500,-,-,0.349,-,-,-
'44:57:54.352',0.434,-,-,0.387,-,-,-
'44:57:54.360',0.255,-,-,0.198,-,-,-
'44:57:54.368',0.075,-,-,0.000,-,-,-
'44:57:54.376',-0.047,-,-,-0.066,-,-,-
'44:57:54.384',-0.160,-,-,-0.189,-,-,-
'44:57:54.392',-0.245,-,-,-0.274,-,-,-
'44:57:54.400',-0.255,-,-,-0.302,-,-,-
'44:57:54.408',-0.208,-,-,-0.226,-,-,-
'44:57:54.416',-0.142,-,-,-0.170,-,-,-
'44:57:54.424',-0.094,-,-,-0.094,-,-,-
'44:57:54.432',-0.075,-,-,-0.047,-,-,-
'44:57:54.440',-0.057,-,-,-0.047,-,-,-
'44:57:54.448',-0.057,-,-,-0.057,-,-,-
'44:57:54.456',-0.047,-,-,-0.038,-,-,-
'44:57:54.464',-0.057,-,-,-0.028,-,-,-
'44:57:54.472',-0.075,-,-,-0.057,-,-,-
'44:57:54.480',-0.057,-,-,-0.066,-,-,-
'44:57:54.488',-0.047,-,-,-0.038,-,-,-
'44:57:54.496',-0.047,-,-,-0.028,-,-,-
'44:57:54.504',-0.047,-,-,-0.038,-,-,-
'44:57:54.512',-0.057,-,-,-0.028,-,-,-
'44:57:54.520',-0.057,-,-,-0.047,-,-,-
'44:57:54.528',-0.057,-,-,-0.047,-,-,-
'44:57:54.536',-0.057,-,-,-0.047,-,-,-
'44:57:54.544',-0.075,-,-,-0.047,-,-,-
'44:57:54.552',-0.094,-,-,-0.066,-,-,-
'44:57:54.560',-0.075,-,-,-0.085,-,-,-
'44:57:54.568',-0.075,-,-,-0.066,-,-,-
'44:57:54.576',-0.057,-,-,-0.047,-,-,-
