'Elapsed time','II','AVL','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'6:05:13.064',-0.312,-,-2.040,-,45.600,-
'6:05:13.072',-0.352,-,-2.064,-,44.800,-
'6:05:13.080',-0.352,-,-2.080,-,44.800,-
'6:05:13.088',-0.312,-,-2.104,-,44.800,-
'6:05:13.096',-0.232,-,-2.128,-,44.800,-
'6:05:13.104',-0.128,-,-2.152,-,44.000,-
'6:05:13.112',-0.048,-,-2.152,-,44.000,-
'6:05:13.120',-0.008,-,-2.152,-,44.000,-
'6:05:13.128',0.008,-,-2.152,-,44.000,-
'6:05:13.136',0.032,-,-2.128,-,43.200,-
'6:05:13.144',0.048,-,-2.128,-,43.200,-
'6:05:13.152',0.048,-,-2.128,-,43.200,-
'6:05:13.160',0.048,-,-2.104,-,42.400,-
'6:05:13.168',0.048,-,-2.104,-,42.400,-
'6:05:13.176',0.064,-,-2.104,-,42.400,-
'6:05:13.184',0.064,-,-2.080,-,43.200,-
'6:05:13.192',0.072,-,-2.080,-,43.200,-
'6:05:13.200',0.072,-,-2.080,-,44.800,-
'6:05:13.208',0.072,-,-2.080,-,46.400,-
'6:05:13.216',0.072,-,-2.080,-,50.400,-
'6:05:13.224',0.072,-,-2.064,-,54.400,-
'6:05:13.232',0.072,-,-2.064,-,58.400,-
'6:05:13.240',0.072,-,-2.040,-,60.800,-
'6:05:13.248',0.088,-,-2.016,-,63.200,-
'6:05:13.256',0.088,-,-2.000,-,65.600,-
'6:05:13.264',0.072,-,-1.976,-,67.200,-
'6:05:13.272',0.072,-,-1.952,-,69.600,-
'6:05:13.280',0.064,-,-1.928,-,71.200,-
'6:05:13.288',0.064,-,-1.888,-,72.800,-
'6:05:13.296',0.048,-,-1.840,-,73.600,-
'6:05:13.304',0.024,-,-1.824,-,73.600,-
'6:05:13.312',0.008,-,-1.776,-,74.400,-
'6:05:13.320',0.000,-,-1.760,-,73.600,-
'6:05:13.328',0.008,-,-1.736,-,72.800,-
'6:05:13.336',0.008,-,-1.712,-,72.000,-
'6:05:13.344',0.008,-,-1.688,-,70.400,-
'6:05:13.352',0.008,-,-1.672,-,68.800,-
'6:05:13.360',0.000,-,-1.648,-,67.200,-
'6:05:13.368',0.000,-,-1.624,-,65.600,-
