'Elapsed time','II','AVL','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'6:10:42.064',0.128,-,2.736,-,47.200,-
'6:10:42.072',0.128,-,2.760,-,48.000,-
'6:10:42.080',0.128,-,2.760,-,48.800,-
'6:10:42.088',0.112,-,2.760,-,50.400,-
'6:10:42.096',0.112,-,2.760,-,52.000,-
'6:10:42.104',0.128,-,2.760,-,53.600,-
'6:10:42.112',0.128,-,2.760,-,55.200,-
'6:10:42.120',0.144,-,2.760,-,56.800,-
'6:10:42.128',0.144,-,2.760,-,57.600,-
'6:10:42.136',0.128,-,2.760,-,58.400,-
'6:10:42.144',0.112,-,2.760,-,59.200,-
'6:10:42.152',0.104,-,2.760,-,60.000,-
'6:10:42.160',0.088,-,2.760,-,60.800,-
'6:10:42.168',0.064,-,2.760,-,60.800,-
'6:10:42.176',0.048,-,2.760,-,60.800,-
'6:10:42.184',0.032,-,2.760,-,60.800,-
'6:10:42.192',0.032,-,2.760,-,60.000,-
'6:10:42.200',0.032,-,2.760,-,60.000,-
'6:10:42.208',0.032,-,2.760,-,58.400,-
'6:10:42.216',0.032,-,2.760,-,57.600,-
'6:10:42.224',0.048,-,2.760,-,56.000,-
'6:10:42.232',0.032,-,2.760,-,55.200,-
'6:10:42.240',0.024,-,2.760,-,53.600,-
'6:10:42.248',0.024,-,2.760,-,52.800,-
'6:10:42.256',0.024,-,2.760,-,52.000,-
'6:10:42.264',0.048,-,2.760,-,52.000,-
'6:10:42.272',0.072,-,2.760,-,51.200,-
'6:10:42.280',0.104,-,2.760,-,50.400,-
'6:10:42.288',0.064,-,2.760,-,49.600,-
'6:10:42.296',-0.088,-,2.760,-,49.600,-
'6:10:42.304',-0.312,-,2.760,-,48.800,-
'6:10:42.312',-0.512,-,2.760,-,48.800,-
'6:10:42.320',-0.664,-,2.760,-,48.800,-
'6:10:42.328',-0.744,-,2.760,-,48.000,-
'6:10:42.336',-0.760,-,2.760,-,48.000,-
'6:10:42.344',-0.680,-,2.760,-,48.000,-
'6:10:42.352',-0.576,-,2.760,-,48.000,-
'6:10:42.360',-0.512,-,2.760,-,47.200,-
'6:10:42.368',-0.440,-,2.760,-,47.200,-
'6:10:42.376',-0.336,-,2.760,-,47.200,-
'6:10:42.384',-0.184,-,2.760,-,47.200,-
'6:10:42.392',-0.008,-,2.760,-,47.200,-
'6:10:42.400',0.128,-,2.760,-,47.200,-
'6:10:42.408',0.232,-,2.760,-,47.200,-
'6:10:42.416',0.288,-,2.760,-,47.200,-
'6:10:42.424',0.296,-,2.760,-,47.200,-
'6:10:42.432',0.312,-,2.760,-,47.200,-
'6:10:42.440',0.312,-,2.760,-,47.200,-
'6:10:42.448',0.312,-,2.760,-,47.200,-
'6:10:42.456',0.336,-,2.760,-,47.200,-
'6:10:42.464',0.368,-,2.760,-,47.200,-
'6:10:42.472',0.376,-,2.760,-,48.000,-
'6:10:42.480',0.376,-,2.760,-,48.800,-
'6:10:42.488',0.368,-,2.760,-,50.400,-
'6:10:42.496',0.376,-,2.760,-,52.800,-
'6:10:42.504',0.392,-,2.760,-,53.600,-
