'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'15:19:45.416',0.144,0.116,-,-,-,-,53.600
'15:19:45.424',0.184,0.149,-,-,-,-,53.600
'15:19:45.432',0.200,0.231,-,-,-,-,53.600
'15:19:45.440',0.176,0.256,-,-,-,-,52.800
'15:19:45.448',0.160,0.281,-,-,-,-,52.800
'15:19:45.456',0.152,0.314,-,-,-,-,52.800
'15:19:45.464',0.104,0.256,-,-,-,-,52.000
'15:19:45.472',0.080,0.215,-,-,-,-,52.000
'15:19:45.480',0.024,0.165,-,-,-,-,52.000
'15:19:45.488',0.000,0.091,-,-,-,-,52.000
'15:19:45.496',-0.008,0.025,-,-,-,-,52.000
'15:19:45.504',-0.016,0.000,-,-,-,-,52.000
'15:19:45.512',-0.040,-0.025,-,-,-,-,52.000
'15:19:45.520',-0.048,-0.041,-,-,-,-,52.800
'15:19:45.528',-0.056,-0.050,-,-,-,-,54.400
'15:19:45.536',-0.056,-0.058,-,-,-,-,57.600
'15:19:45.544',-0.064,-0.058,-,-,-,-,63.200
'15:19:45.552',-0.072,-0.058,-,-,-,-,70.400
'15:19:45.560',-0.088,-0.058,-,-,-,-,77.600
'15:19:45.568',-0.072,-0.066,-,-,-,-,81.600
'15:19:45.576',-0.088,-0.074,-,-,-,-,83.200
'15:19:45.584',-0.096,-0.091,-,-,-,-,82.400
'15:19:45.592',-0.104,-0.091,-,-,-,-,81.600
'15:19:45.600',-0.128,-0.099,-,-,-,-,80.800
'15:19:45.608',-0.128,-0.116,-,-,-,-,79.200
'15:19:45.616',-0.128,-0.124,-,-,-,-,77.600
'15:19:45.624',-0.112,-0.140,-,-,-,-,74.400
'15:19:45.632',-0.112,-0.132,-,-,-,-,72.000
'15:19:45.640',-0.096,-0.165,-,-,-,-,70.400
'15:19:45.648',-0.088,-0.182,-,-,-,-,68.000
'15:19:45.656',-0.088,-0.182,-,-,-,-,65.600
'15:19:45.664',-0.072,-0.182,-,-,-,-,63.200
'15:19:45.672',-0.048,-0.157,-,-,-,-,61.600
'15:19:45.680',-0.040,-0.165,-,-,-,-,61.600
'15:19:45.688',-0.032,-0.149,-,-,-,-,62.400
'15:19:45.696',-0.032,-0.140,-,-,-,-,63.200
'15:19:45.704',-0.024,-0.149,-,-,-,-,64.800
'15:19:45.712',-0.016,-0.132,-,-,-,-,64.800
'15:19:45.720',-0.016,-0.116,-,-,-,-,64.000
'15:19:45.728',-0.008,-0.099,-,-,-,-,62.400
'15:19:45.736',-0.016,-0.099,-,-,-,-,61.600
'15:19:45.744',-0.008,-0.091,-,-,-,-,60.800
'15:19:45.752',-0.016,-0.074,-,-,-,-,60.000
'15:19:45.760',-0.008,-0.066,-,-,-,-,60.000
'15:19:45.768',-0.008,-0.058,-,-,-,-,59.200
'15:19:45.776',0.000,-0.058,-,-,-,-,59.200
'15:19:45.784',-0.008,-0.050,-,-,-,-,58.400
'15:19:45.792',0.000,-0.041,-,-,-,-,58.400
'15:19:45.800',0.000,-0.033,-,-,-,-,58.400
'15:19:45.808',0.000,-0.025,-,-,-,-,58.400
'15:19:45.816',-0.008,-0.017,-,-,-,-,58.400
'15:19:45.824',0.000,-0.017,-,-,-,-,57.600
'15:19:45.832',0.000,-0.017,-,-,-,-,57.600
'15:19:45.840',0.000,-0.017,-,-,-,-,57.600
'15:19:45.848',0.008,-0.008,-,-,-,-,56.800
'15:19:45.856',0.000,-0.008,-,-,-,-,56.800
'15:19:45.864',0.008,-0.008,-,-,-,-,56.800
'15:19:45.872',0.000,-0.008,-,-,-,-,56.000
'15:19:45.880',0.008,0.000,-,-,-,-,56.000
'15:19:45.888',0.000,-0.008,-,-,-,-,56.000
'15:19:45.896',0.008,0.000,-,-,-,-,56.000
'15:19:45.904',0.016,0.000,-,-,-,-,56.000
'15:19:45.912',0.000,0.000,-,-,-,-,55.200
'15:19:45.920',0.008,0.000,-,-,-,-,55.200
'15:19:45.928',0.000,0.000,-,-,-,-,55.200
'15:19:45.936',-0.008,-0.008,-,-,-,-,55.200
'15:19:45.944',-0.024,-0.058,-,-,-,-,54.400
'15:19:45.952',-0.032,-0.099,-,-,-,-,54.400
'15:19:45.960',-0.016,-0.066,-,-,-,-,53.600
'15:19:45.968',0.000,-0.058,-,-,-,-,53.600
'15:19:45.976',0.040,-0.033,-,-,-,-,53.600
'15:19:45.984',0.064,-0.025,-,-,-,-,53.600
'15:19:45.992',0.088,-0.041,-,-,-,-,52.800
'15:19:46.000',0.104,-0.017,-,-,-,-,52.800
'15:19:46.008',0.120,-0.008,-,-,-,-,52.000
'15:19:46.016',0.104,0.033,-,-,-,-,52.000
'15:19:46.024',0.120,0.091,-,-,-,-,52.000
'15:19:46.032',0.120,0.132,-,-,-,-,52.000
'15:19:46.040',0.128,0.165,-,-,-,-,51.200
'15:19:46.048',0.120,0.165,-,-,-,-,51.200
'15:19:46.056',0.144,0.091,-,-,-,-,51.200
'15:19:46.064',0.120,0.050,-,-,-,-,51.200
'15:19:46.072',0.128,0.050,-,-,-,-,51.200
'15:19:46.080',0.136,0.074,-,-,-,-,51.200
'15:19:46.088',0.088,0.116,-,-,-,-,51.200
'15:19:46.096',0.048,0.132,-,-,-,-,51.200
'15:19:46.104',0.024,0.140,-,-,-,-,51.200
'15:19:46.112',0.000,0.149,-,-,-,-,52.000
'15:19:46.120',-0.016,0.140,-,-,-,-,52.800
'15:19:46.128',-0.024,0.157,-,-,-,-,56.000
'15:19:46.136',-0.040,0.165,-,-,-,-,60.800
'15:19:46.144',-0.032,0.149,-,-,-,-,67.200
