'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'14:50:56.416',0.008,-0.058,-,-,-,-,68.000
'14:50:56.424',0.000,-0.066,-,-,-,-,67.200
'14:50:56.432',0.008,-0.066,-,-,-,-,66.400
'14:50:56.440',0.000,-0.066,-,-,-,-,66.400
'14:50:56.448',-0.008,-0.058,-,-,-,-,66.400
'14:50:56.456',0.000,-0.066,-,-,-,-,65.600
'14:50:56.464',0.000,-0.058,-,-,-,-,65.600
'14:50:56.472',-0.008,-0.066,-,-,-,-,65.600
'14:50:56.480',0.008,-0.058,-,-,-,-,64.800
'14:50:56.488',0.000,-0.058,-,-,-,-,64.800
'14:50:56.496',0.000,-0.058,-,-,-,-,64.800
'14:50:56.504',0.000,-0.050,-,-,-,-,64.800
'14:50:56.512',0.000,-0.050,-,-,-,-,64.000
'14:50:56.520',0.000,-0.050,-,-,-,-,64.000
'14:50:56.528',0.000,-0.041,-,-,-,-,63.200
'14:50:56.536',0.000,-0.033,-,-,-,-,63.200
'14:50:56.544',0.016,-0.025,-,-,-,-,63.200
'14:50:56.552',0.000,-0.033,-,-,-,-,62.400
'14:50:56.560',0.008,-0.041,-,-,-,-,62.400
'14:50:56.568',0.016,-0.017,-,-,-,-,62.400
'14:50:56.576',0.024,-0.017,-,-,-,-,62.400
'14:50:56.584',0.032,-0.017,-,-,-,-,61.600
'14:50:56.592',0.040,-0.058,-,-,-,-,61.600
'14:50:56.600',0.064,-0.107,-,-,-,-,61.600
'14:50:56.608',0.088,-0.165,-,-,-,-,61.600
'14:50:56.616',0.080,-0.207,-,-,-,-,60.800
'14:50:56.624',0.064,-0.240,-,-,-,-,60.800
'14:50:56.632',0.064,-0.231,-,-,-,-,60.800
'14:50:56.640',0.088,-0.215,-,-,-,-,60.800
'14:50:56.648',0.104,-0.215,-,-,-,-,60.000
'14:50:56.656',0.104,-0.190,-,-,-,-,60.000
'14:50:56.664',0.120,-0.157,-,-,-,-,59.200
'14:50:56.672',0.064,-0.116,-,-,-,-,59.200
'14:50:56.680',0.088,-0.033,-,-,-,-,59.200
'14:50:56.688',0.064,0.017,-,-,-,-,59.200
'14:50:56.696',0.040,0.058,-,-,-,-,58.400
'14:50:56.704',0.016,0.116,-,-,-,-,58.400
'14:50:56.712',0.000,0.116,-,-,-,-,58.400
'14:50:56.720',0.000,0.099,-,-,-,-,59.200
'14:50:56.728',0.000,0.074,-,-,-,-,60.000
'14:50:56.736',0.000,0.074,-,-,-,-,62.400
'14:50:56.744',-0.016,0.058,-,-,-,-,67.200
'14:50:56.752',-0.008,0.091,-,-,-,-,74.400
'14:50:56.760',-0.016,0.099,-,-,-,-,83.200
'14:50:56.768',-0.024,0.091,-,-,-,-,90.400
'14:50:56.776',-0.040,0.116,-,-,-,-,94.400
'14:50:56.784',-0.032,0.116,-,-,-,-,95.200
'14:50:56.792',-0.056,0.116,-,-,-,-,95.200
'14:50:56.800',-0.048,0.124,-,-,-,-,94.400
'14:50:56.808',-0.072,0.116,-,-,-,-,92.800
'14:50:56.816',-0.064,0.116,-,-,-,-,90.400
'14:50:56.824',-0.072,0.116,-,-,-,-,87.200
'14:50:56.832',-0.072,0.099,-,-,-,-,84.800
'14:50:56.840',-0.072,0.074,-,-,-,-,83.200
'14:50:56.848',-0.064,0.058,-,-,-,-,80.000
'14:50:56.856',-0.064,0.050,-,-,-,-,77.600
'14:50:56.864',-0.040,0.033,-,-,-,-,74.400
'14:50:56.872',-0.032,0.017,-,-,-,-,72.800
'14:50:56.880',-0.024,-0.008,-,-,-,-,71.200
'14:50:56.888',-0.024,-0.017,-,-,-,-,71.200
'14:50:56.896',0.000,-0.033,-,-,-,-,72.000
'14:50:56.904',0.000,-0.050,-,-,-,-,72.800
'14:50:56.912',0.016,-0.041,-,-,-,-,72.800
'14:50:56.920',0.008,-0.058,-,-,-,-,72.000
'14:50:56.928',0.008,-0.074,-,-,-,-,70.400
'14:50:56.936',0.016,-0.091,-,-,-,-,69.600
'14:50:56.944',0.000,-0.074,-,-,-,-,68.800
'14:50:56.952',0.000,-0.066,-,-,-,-,68.000
'14:50:56.960',0.000,-0.091,-,-,-,-,67.200
'14:50:56.968',0.000,-0.066,-,-,-,-,66.400
'14:50:56.976',0.000,-0.074,-,-,-,-,66.400
'14:50:56.984',0.000,-0.066,-,-,-,-,66.400
'14:50:56.992',-0.008,-0.074,-,-,-,-,65.600
'14:50:57.000',0.000,-0.066,-,-,-,-,65.600
'14:50:57.008',-0.008,-0.074,-,-,-,-,65.600
'14:50:57.016',0.000,-0.066,-,-,-,-,64.800
'14:50:57.024',0.000,-0.058,-,-,-,-,64.800
'14:50:57.032',0.008,-0.066,-,-,-,-,64.800
