'Elapsed time','II','AVR','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'44:12:38.200',-0.047,-,-,-0.028,-,-,-
'44:12:38.208',-0.028,-,-,0.000,-,-,-
'44:12:38.216',-0.028,-,-,0.028,-,-,-
'44:12:38.224',-0.028,-,-,-0.028,-,-,-
'44:12:38.232',-0.028,-,-,-0.047,-,-,-
'44:12:38.240',-0.028,-,-,0.000,-,-,-
'44:12:38.248',-0.047,-,-,-0.019,-,-,-
'44:12:38.256',-0.047,-,-,-0.047,-,-,-
'44:12:38.264',-0.047,-,-,-0.057,-,-,-
'44:12:38.272',-0.047,-,-,-0.038,-,-,-
'44:12:38.280',-0.047,-,-,-0.047,-,-,-
'44:12:38.288',-0.057,-,-,-0.047,-,-,-
'44:12:38.296',-0.057,-,-,-0.066,-,-,-
'44:12:38.304',-0.057,-,-,-0.047,-,-,-
'44:12:38.312',-0.028,-,-,-0.028,-,-,-
'44:12:38.320',-0.028,-,-,-0.038,-,-,-
'44:12:38.328',-0.009,-,-,-0.019,-,-,-
'44:12:38.336',0.009,-,-,0.019,-,-,-
'44:12:38.344',0.047,-,-,0.038,-,-,-
'44:12:38.352',0.075,-,-,0.028,-,-,-
'44:12:38.360',0.094,-,-,0.057,-,-,-
'44:12:38.368',0.094,-,-,0.085,-,-,-
'44:12:38.376',0.075,-,-,0.057,-,-,-
'44:12:38.384',0.075,-,-,0.057,-,-,-
'44:12:38.392',0.047,-,-,0.038,-,-,-
'44:12:38.400',0.028,-,-,0.047,-,-,-
'44:12:38.408',0.009,-,-,0.000,-,-,-
'44:12:38.416',0.028,-,-,0.009,-,-,-
'44:12:38.424',0.028,-,-,0.028,-,-,-
'44:12:38.432',0.047,-,-,0.038,-,-,-
'44:12:38.440',0.047,-,-,0.028,-,-,-
'44:12:38.448',0.047,-,-,0.066,-,-,-
'44:12:38.456',0.047,-,-,0.038,-,-,-
'44:12:38.464',0.057,-,-,0.038,-,-,-
'44:12:38.472',0.075,-,-,0.066,-,-,-
'44:12:38.480',0.075,-,-,0.085,-,-,-
'44:12:38.488',0.057,-,-,0.047,-,-,-
'44:12:38.496',0.057,-,-,0.057,-,-,-
'44:12:38.504',0.047,-,-,0.057,-,-,-
'44:12:38.512',0.009,-,-,0.009,-,-,-
'44:12:38.520',0.000,-,-,0.000,-,-,-
'44:12:38.528',-0.009,-,-,0.170,-,-,-
'44:12:38.536',-0.028,-,-,-0.028,-,-,-
'44:12:38.544',-0.009,-,-,-0.066,-,-,-
'44:12:38.552',0.000,-,-,-0.085,-,-,-
'44:12:38.560',0.000,-,-,-0.038,-,-,-
'44:12:38.568',0.000,-,-,-0.028,-,-,-
'44:12:38.576',0.000,-,-,-0.047,-,-,-
'44:12:38.584',0.000,-,-,-0.019,-,-,-
'44:12:38.592',0.000,-,-,-0.009,-,-,-
'44:12:38.600',-0.009,-,-,-0.028,-,-,-
'44:12:38.608',0.009,-,-,-0.009,-,-,-
'44:12:38.616',0.047,-,-,-0.019,-,-,-
'44:12:38.624',0.113,-,-,0.057,-,-,-
'44:12:38.632',0.189,-,-,0.132,-,-,-
'44:12:38.640',0.274,-,-,0.189,-,-,-
'44:12:38.648',0.292,-,-,0.255,-,-,-
'44:12:38.656',0.311,-,-,0.170,-,-,-
'44:12:38.664',0.321,-,-,0.255,-,-,-
'44:12:38.672',0.189,-,-,0.274,-,-,-
'44:12:38.680',0.028,-,-,-0.057,-,-,-
'44:12:38.688',-0.057,-,-,-0.142,-,-,-
'44:12:38.696',-0.113,-,-,-0.132,-,-,-
'44:12:38.704',-0.160,-,-,-0.189,-,-,-
'44:12:38.712',-0.160,-,-,-0.208,-,-,-
'44:12:38.720',-0.142,-,-,-0.179,-,-,-
'44:12:38.728',-0.113,-,-,-0.113,-,-,-
'44:12:38.736',-0.057,-,-,-0.066,-,-,-
'44:12:38.744',-0.028,-,-,-0.028,-,-,-
'44:12:38.752',-0.028,-,-,0.009,-,-,-
'44:12:38.760',-0.028,-,-,-0.019,-,-,-
'44:12:38.768',-0.028,-,-,-0.028,-,-,-
'44:12:38.776',-0.009,-,-,-0.009,-,-,-
'44:12:38.784',-0.009,-,-,0.019,-,-,-
'44:12:38.792',-0.028,-,-,0.000,-,-,-
'44:12:38.800',-0.028,-,-,-0.019,-,-,-
'44:12:38.808',-0.009,-,-,0.019,-,-,-
'44:12:38.816',-0.028,-,-,-0.019,-,-,-
'44:12:38.824',-0.028,-,-,-0.028,-,-,-
'44:12:38.832',-0.028,-,-,-0.009,-,-,-
'44:12:38.840',-0.028,-,-,-0.019,-,-,-
'44:12:38.848',-0.028,-,-,0.019,-,-,-
'44:12:38.856',-0.047,-,-,-0.009,-,-,-
'44:12:38.864',-0.047,-,-,-0.019,-,-,-
'44:12:38.872',-0.028,-,-,-0.019,-,-,-
'44:12:38.880',-0.028,-,-,0.000,-,-,-
'44:12:38.888',-0.009,-,-,-0.009,-,-,-
'44:12:38.896',0.000,-,-,-0.019,-,-,-
'44:12:38.904',0.009,-,-,0.019,-,-,-
'44:12:38.912',0.009,-,-,0.028,-,-,-
'44:12:38.920',0.047,-,-,0.009,-,-,-
'44:12:38.928',0.075,-,-,0.057,-,-,-
'44:12:38.936',0.094,-,-,0.057,-,-,-
'44:12:38.944',0.113,-,-,0.104,-,-,-
