'Elapsed time','I','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'47:42:18.448',-,-0.120,-,64.000,42.000
'47:42:18.456',-,-0.096,-,75.200,40.800
'47:42:18.464',-,-0.080,-,88.000,40.000
'47:42:18.472',-,-0.080,-,100.000,40.000
'47:42:18.480',-,-0.080,-,110.400,40.800
'47:42:18.488',-,-0.080,-,118.400,42.400
'47:42:18.496',-,-0.096,-,123.200,44.800
'47:42:18.504',-,-0.136,-,125.600,48.000
'47:42:18.512',-,-0.160,-,126.400,51.200
'47:42:18.520',-,-0.176,-,125.600,54.800
'47:42:18.528',-,-0.200,-,123.200,58.000
'47:42:18.536',-,-0.200,-,120.000,60.800
'47:42:18.544',-,-0.176,-,116.000,62.800
'47:42:18.552',-,-0.160,-,112.000,64.400
'47:42:18.560',-,-0.136,-,108.000,65.200
'47:42:18.568',-,-0.096,-,104.000,65.200
'47:42:18.576',-,-0.080,-,100.000,64.800
'47:42:18.584',-,-0.056,-,95.200,63.200
'47:42:18.592',-,-0.040,-,91.200,60.800
'47:42:18.600',-,-0.016,-,86.400,58.000
'47:42:18.608',-,-0.016,-,81.600,55.200
'47:42:18.616',-,0.000,-,76.800,52.800
'47:42:18.624',-,0.000,-,72.000,50.800
'47:42:18.632',-,0.000,-,67.200,48.400
'47:42:18.640',-,0.000,-,63.200,46.400
'47:42:18.648',-,0.000,-,58.400,44.400
'47:42:18.656',-,0.000,-,55.200,42.400
'47:42:18.664',-,0.016,-,52.000,41.200
'47:42:18.672',-,0.056,-,48.800,40.400
'47:42:18.680',-,0.136,-,47.200,40.400
'47:42:18.688',-,0.264,-,45.600,40.800
'47:42:18.696',-,0.408,-,44.000,41.600
'47:42:18.704',-,0.528,-,43.200,42.400
'47:42:18.712',-,0.584,-,42.400,43.200
'47:42:18.720',-,0.608,-,41.600,43.600
'47:42:18.728',-,0.464,-,41.600,43.600
'47:42:18.736',-,0.240,-,41.600,43.200
'47:42:18.744',-,0.040,-,41.600,42.800
'47:42:18.752',-,-0.056,-,42.400,42.000
'47:42:18.760',-,-0.096,-,42.400,41.200
'47:42:18.768',-,-0.120,-,43.200,40.400
'47:42:18.776',-,-0.120,-,44.000,39.600
'47:42:18.784',-,-0.120,-,44.800,38.800
'47:42:18.792',-,-0.096,-,44.800,38.400
'47:42:18.800',-,-0.096,-,45.600,38.400
'47:42:18.808',-,-0.096,-,47.200,38.000
'47:42:18.816',-,-0.120,-,48.800,38.000
'47:42:18.824',-,-0.120,-,52.800,37.600
'47:42:18.832',-,-0.120,-,59.200,38.000
'47:42:18.840',-,-0.136,-,68.000,38.000
'47:42:18.848',-,-0.136,-,79.200,38.400
'47:42:18.856',-,-0.160,-,91.200,38.000
'47:42:18.864',-,-0.176,-,102.400,36.800
'47:42:18.872',-,-0.224,-,110.400,35.200
'47:42:18.880',-,-0.264,-,116.000,34.400
'47:42:18.888',-,-0.280,-,118.400,34.000
'47:42:18.896',-,-0.320,-,119.200,34.000
'47:42:18.904',-,-0.344,-,118.400,34.800
'47:42:18.912',-,-0.344,-,116.000,35.600
'47:42:18.920',-,-0.320,-,112.800,36.800
'47:42:18.928',-,-0.264,-,108.800,38.000
'47:42:18.936',-,-0.224,-,104.000,39.600
'47:42:18.944',-,-0.136,-,99.200,40.400
'47:42:18.952',-,-0.080,-,93.600,41.200
'47:42:18.960',-,-0.040,-,88.000,41.200
'47:42:18.968',-,-0.016,-,82.400,41.200
'47:42:18.976',-,0.000,-,76.800,40.800
'47:42:18.984',-,0.016,-,72.000,40.400
'47:42:18.992',-,0.016,-,66.400,40.000
