'Elapsed time','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'58:55.256',-0.200,0.207,-,139.880
'58:55.264',-0.171,0.195,-,135.200
'58:55.272',-0.257,0.184,-,130.000
'58:55.280',-0.114,0.172,-,126.360
'58:55.288',0.000,0.161,-,122.200
'58:55.296',-0.114,0.149,-,118.040
'58:55.304',-0.057,0.138,-,116.480
'58:55.312',0.000,0.138,-,114.920
'58:55.320',-0.143,0.126,-,114.400
'58:55.328',-0.057,0.126,-,114.400
'58:55.336',-0.029,0.126,-,114.400
'58:55.344',0.000,0.115,-,114.400
'58:55.352',0.029,0.115,-,113.360
'58:55.360',0.000,0.115,-,113.360
'58:55.368',0.057,0.115,-,112.320
'58:55.376',0.029,0.115,-,112.320
'58:55.384',0.114,0.103,-,111.800
'58:55.392',0.143,0.103,-,110.760
'58:55.400',0.057,0.103,-,110.240
'58:55.408',0.000,0.103,-,109.200
'58:55.416',0.000,0.092,-,108.680
'58:55.424',0.000,0.092,-,107.640
'58:55.432',0.000,0.092,-,107.120
'58:55.440',0.086,0.092,-,107.120
'58:55.448',0.000,0.092,-,106.080
'58:55.456',0.000,0.080,-,106.080
'58:55.464',-0.057,0.080,-,106.080
'58:55.472',-0.029,0.080,-,105.560
'58:55.480',-0.029,0.080,-,105.560
'58:55.488',0.000,0.080,-,105.560
'58:55.496',0.057,0.080,-,104.520
'58:55.504',0.114,0.080,-,104.520
'58:55.512',0.257,0.080,-,104.000
'58:55.520',0.343,0.080,-,104.000
'58:55.528',0.457,0.080,-,102.960
'58:55.536',0.171,0.080,-,101.920
'58:55.544',-0.314,0.080,-,101.920
'58:55.552',-0.771,0.080,-,101.400
'58:55.560',-0.457,0.080,-,101.400
'58:55.568',-0.143,0.069,-,100.360
'58:55.576',0.000,0.069,-,100.360
'58:55.584',0.000,0.069,-,99.840
'58:55.592',0.000,0.069,-,99.840
'58:55.600',0.000,0.069,-,98.800
'58:55.608',0.057,0.069,-,98.800
'58:55.616',0.057,0.057,-,98.800
'58:55.624',0.000,0.057,-,98.280
'58:55.632',0.057,0.057,-,98.800
'58:55.640',0.114,0.057,-,100.360
'58:55.648',0.029,0.046,-,104.520
'58:55.656',0.057,0.046,-,111.800
'58:55.664',0.114,0.046,-,120.640
'58:55.672',0.114,0.034,-,131.560
'58:55.680',0.143,0.034,-,143.520
'58:55.688',0.114,0.023,-,154.960
'58:55.696',0.171,0.023,-,165.360
'58:55.704',0.229,0.011,-,174.200
'58:55.712',0.257,0.000,-,179.920
'58:55.720',0.286,0.000,-,179.920
'58:55.728',0.257,-0.011,-,179.920
'58:55.736',0.343,-0.023,-,179.920
'58:55.744',0.343,-0.034,-,179.920
'58:55.752',0.371,-0.046,-,179.920
'58:55.760',0.229,-0.057,-,177.320
'58:55.768',0.171,-0.069,-,173.160
'58:55.776',0.114,-0.080,-,169.520
'58:55.784',0.114,-0.092,-,164.320
'58:55.792',0.057,-0.103,-,159.640
'58:55.800',0.029,-0.115,-,153.920
'58:55.808',0.057,-0.115,-,149.240
'58:55.816',0.000,-0.126,-,144.560
'58:55.824',0.000,-0.126,-,140.400
'58:55.832',0.057,-0.126,-,137.280
'58:55.840',0.029,-0.138,-,135.200
'58:55.848',0.057,-0.138,-,133.120
'58:55.856',0.057,-0.138,-,132.600
'58:55.864',0.057,-0.138,-,131.560
'58:55.872',0.114,-0.138,-,131.040
'58:55.880',0.171,-0.138,-,130.000
'58:55.888',0.229,-0.138,-,129.480
'58:55.896',0.286,-0.149,-,128.440
'58:55.904',0.429,-0.149,-,126.880
'58:55.912',0.486,-0.149,-,126.360
'58:55.920',0.571,-0.149,-,124.800
'58:55.928',0.686,-0.149,-,122.720
'58:55.936',0.829,-0.161,-,122.200
'58:55.944',1.057,-0.161,-,120.640
'58:55.952',1.200,-0.161,-,119.600
'58:55.960',0.543,-0.172,-,119.080
'58:55.968',-0.200,-0.172,-,118.040
'58:55.976',-0.571,-0.172,-,117.520
'58:55.984',-0.686,-0.172,-,116.480
'58:55.992',-0.629,-0.172,-,115.960
'58:56.000',-0.371,-0.184,-,114.400
'58:56.008',-0.257,-0.184,-,113.360
'58:56.016',-0.286,-0.184,-,112.320
'58:56.024',-0.343,-0.195,-,111.800
'58:56.032',-0.343,-0.195,-,110.760
'58:56.040',-0.314,-0.195,-,110.240
'58:56.048',-0.314,-0.207,-,109.200
'58:56.056',-0.314,-0.207,-,108.680
'58:56.064',-0.371,-0.207,-,108.680
'58:56.072',-0.343,-0.207,-,108.680
'58:56.080',-0.429,-0.218,-,108.680
'58:56.088',-0.457,-0.218,-,108.680
'58:56.096',-0.457,-0.230,-,109.200
'58:56.104',-0.486,-0.230,-,110.760
'58:56.112',-0.457,-0.230,-,113.360
'58:56.120',-0.429,-0.241,-,116.480
'58:56.128',-0.371,-0.241,-,120.640
'58:56.136',-0.314,-0.253,-,124.800
'58:56.144',-0.314,-0.253,-,128.440
'58:56.152',-0.143,-0.253,-,131.560
'58:56.160',-0.057,-0.264,-,135.200
'58:56.168',0.000,-0.264,-,136.760
'58:56.176',0.057,-0.264,-,138.320
'58:56.184',0.114,-0.276,-,138.320
'58:56.192',0.171,-0.276,-,136.760
'58:56.200',0.086,-0.276,-,135.200
'58:56.208',0.057,-0.287,-,132.600
'58:56.216',0.086,-0.287,-,128.440
'58:56.224',0.000,-0.299,-,125.320
'58:56.232',0.000,-0.299,-,121.160
'58:56.240',0.029,-0.310,-,117.520
'58:56.248',0.000,-0.310,-,114.400
'58:56.256',-0.057,-0.322,-,111.800
'58:56.264',-0.057,-0.322,-,110.240
'58:56.272',-0.057,-0.333,-,108.680
'58:56.280',0.057,-0.345,-,107.640
'58:56.288',-0.057,-0.345,-,107.640
'58:56.296',0.000,-0.356,-,107.640
'58:56.304',0.029,-0.368,-,107.640
'58:56.312',0.114,-0.368,-,107.120
'58:56.320',0.057,-0.379,-,107.120
'58:56.328',0.114,-0.391,-,107.120
'58:56.336',0.143,-0.402,-,106.080
'58:56.344',0.114,-0.414,-,106.080
'58:56.352',0.057,-0.425,-,105.560
'58:56.360',0.114,-0.437,-,105.560
'58:56.368',0.057,-0.448,-,104.520
'58:56.376',0.000,-0.460,-,104.000
'58:56.384',0.000,-0.471,-,104.000
'58:56.392',0.029,-0.483,-,102.960
'58:56.400',-0.029,-0.494,-,101.920
'58:56.408',0.000,-0.506,-,101.400
'58:56.416',-0.057,-0.517,-,101.400
'58:56.424',-0.057,-0.529,-,100.360
'58:56.432',-0.029,-0.529,-,99.840
'58:56.440',-0.057,-0.540,-,98.800
'58:56.448',0.029,-0.552,-,98.280
'58:56.456',-0.029,-0.552,-,98.280
'58:56.464',-0.057,-0.552,-,97.240
'58:56.472',0.000,-0.563,-,96.720
'58:56.480',0.286,-0.563,-,96.720
'58:56.488',0.343,-0.575,-,96.720
'58:56.496',0.286,-0.575,-,95.680
'58:56.504',0.057,-0.575,-,95.680
'58:56.512',-0.486,-0.586,-,95.680
'58:56.520',-0.771,-0.586,-,95.680
'58:56.528',-0.429,-0.598,-,95.160
'58:56.536',-0.171,-0.598,-,95.160
'58:56.544',-0.057,-0.609,-,95.160
'58:56.552',0.000,-0.609,-,95.160
'58:56.560',0.000,-0.621,-,95.160
'58:56.568',0.086,-0.632,-,95.160
'58:56.576',0.029,-0.644,-,95.160
'58:56.584',0.000,-0.655,-,95.160
'58:56.592',0.029,-0.667,-,95.160
'58:56.600',0.000,-0.678,-,96.720
'58:56.608',0.057,-0.690,-,99.840
'58:56.616',0.114,-0.701,-,106.080
'58:56.624',0.114,-0.713,-,116.480
'58:56.632',0.057,-0.724,-,129.480
'58:56.640',0.029,-0.747,-,143.000
'58:56.648',0.086,-0.759,-,156.520
'58:56.656',0.143,-0.770,-,169.520
'58:56.664',0.171,-0.793,-,179.920
'58:56.672',0.171,-0.805,-,179.920
'58:56.680',0.171,-0.816,-,179.920
'58:56.688',0.257,-0.839,-,179.920
'58:56.696',0.314,-0.851,-,179.920
'58:56.704',0.229,-0.862,-,179.920
'58:56.712',0.229,-0.874,-,179.920
'58:56.720',0.229,-0.897,-,179.920
'58:56.728',0.229,-0.908,-,179.920
'58:56.736',0.171,-0.920,-,179.920
'58:56.744',0.114,-0.931,-,179.920
'58:56.752',0.086,-0.954,-,177.320
'58:56.760',0.114,-0.966,-,172.640
'58:56.768',0.057,-0.966,-,167.960
'58:56.776',-0.029,-0.977,-,162.760
'58:56.784',-0.029,-0.989,-,159.120
'58:56.792',0.029,-1.000,-,153.920
'58:56.800',0.057,-1.000,-,150.800
'58:56.808',0.000,-1.011,-,148.720
'58:56.816',0.057,-1.023,-,147.680
'58:56.824',0.057,-1.034,-,146.120
'58:56.832',0.029,-1.046,-,145.600
'58:56.840',0.086,-1.046,-,144.560
'58:56.848',0.143,-1.057,-,143.520
'58:56.856',0.171,-1.069,-,143.000
'58:56.864',0.171,-1.080,-,141.440
'58:56.872',0.286,-1.080,-,139.880
'58:56.880',0.400,-1.092,-,138.320
'58:56.888',0.457,-1.103,-,136.760
'58:56.896',0.600,-1.115,-,135.200
'58:56.904',0.800,-1.115,-,133.120
'58:56.912',1.029,-1.126,-,131.560
'58:56.920',1.229,-1.126,-,130.000
'58:56.928',1.429,-1.138,-,129.480
'58:56.936',1.543,-1.138,-,127.920
'58:56.944',1.686,-1.138,-,126.880
'58:56.952',1.771,-1.138,-,126.360
'58:56.960',1.857,-1.138,-,125.320
'58:56.968',1.286,-1.138,-,123.760
'58:56.976',0.457,-1.138,-,122.720
'58:56.984',0.029,-1.138,-,122.200
'58:56.992',-0.429,-1.138,-,121.160
'58:57.000',-0.743,-1.126,-,119.600
'58:57.008',-0.771,-1.126,-,119.080
'58:57.016',-0.657,-1.126,-,118.040
'58:57.024',-0.714,-1.126,-,117.520
'58:57.032',-0.743,-1.115,-,116.480
'58:57.040',-0.686,-1.115,-,115.960
'58:57.048',-0.743,-1.103,-,114.920
'58:57.056',-0.714,-1.103,-,114.400
'58:57.064',-0.743,-1.103,-,114.400
'58:57.072',-0.743,-1.103,-,114.400
'58:57.080',-0.857,-1.103,-,114.920
'58:57.088',-0.857,-1.092,-,116.480
'58:57.096',-0.886,-1.092,-,119.080
