'Elapsed time','I','II','V','MCL1','ABP','CVP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'173:06:58.448',-,-0.008,-,-2.954,58.000,-
'173:06:58.456',-,-0.008,-,-2.954,58.000,-
'173:06:58.464',-,0.000,-,-2.954,58.000,-
'173:06:58.472',-,0.000,-,-2.954,57.000,-
'173:06:58.480',-,0.008,-,-2.954,57.000,-
'173:06:58.488',-,0.008,-,-2.954,57.000,-
'173:06:58.496',-,0.008,-,-2.954,57.000,-
'173:06:58.504',-,0.056,-,-2.954,57.000,-
'173:06:58.512',-,0.144,-,-2.954,57.000,-
'173:06:58.520',-,0.208,-,-2.954,57.000,-
'173:06:58.528',-,0.232,-,-2.954,56.000,-
'173:06:58.536',-,0.232,-,-2.954,56.000,-
'173:06:58.544',-,0.248,-,-2.954,56.000,-
'173:06:58.552',-,0.296,-,-2.954,56.000,-
'173:06:58.560',-,0.328,-,-2.954,55.000,-
'173:06:58.568',-,0.296,-,-2.954,55.000,-
'173:06:58.576',-,0.232,-,-2.954,55.000,-
'173:06:58.584',-,0.160,-,-2.954,54.000,-
'173:06:58.592',-,0.088,-,-2.954,54.000,-
'173:06:58.600',-,0.040,-,-2.954,54.000,-
'173:06:58.608',-,0.000,-,-2.954,52.000,-
'173:06:58.616',-,-0.024,-,-2.954,52.000,-
'173:06:58.624',-,-0.056,-,-2.954,52.000,-
'173:06:58.632',-,-0.072,-,-2.954,51.000,-
'173:06:58.640',-,-0.088,-,-2.954,51.000,-
'173:06:58.648',-,-0.088,-,-2.954,51.000,-
'173:06:58.656',-,-0.088,-,-2.954,51.000,-
'173:06:58.664',-,-0.088,-,-2.954,50.000,-
'173:06:58.672',-,-0.072,-,-2.954,50.000,-
'173:06:58.680',-,-0.072,-,-2.954,50.000,-
'173:06:58.688',-,-0.088,-,-2.954,50.000,-
'173:06:58.696',-,-0.088,-,-2.954,51.000,-
'173:06:58.704',-,-0.072,-,-2.954,51.000,-
'173:06:58.712',-,-0.072,-,-2.954,54.000,-
'173:06:58.720',-,-0.072,-,-2.954,56.000,-
'173:06:58.728',-,-0.072,-,-2.954,60.000,-
'173:06:58.736',-,-0.056,-,-2.954,63.000,-
'173:06:58.744',-,-0.056,-,-2.954,67.000,-
'173:06:58.752',-,-0.072,-,-2.954,70.000,-
'173:06:58.760',-,-0.056,-,-2.954,74.000,-
'173:06:58.768',-,-0.024,-,-2.954,78.000,-
'173:06:58.776',-,0.000,-,-2.954,81.000,-
'173:06:58.784',-,0.024,-,-2.954,85.000,-
'173:06:58.792',-,0.056,-,-2.954,88.000,-
'173:06:58.800',-,0.088,-,-2.954,91.000,-
'173:06:58.808',-,0.104,-,-2.954,93.000,-
'173:06:58.816',-,0.112,-,-2.954,96.000,-
'173:06:58.824',-,0.112,-,-2.954,97.000,-
'173:06:58.832',-,0.104,-,-2.954,98.000,-
'173:06:58.840',-,0.112,-,-2.954,99.000,-
'173:06:58.848',-,0.112,-,-2.954,99.000,-
'173:06:58.856',-,0.104,-,-2.954,98.000,-
'173:06:58.864',-,0.104,-,-2.954,97.000,-
'173:06:58.872',-,0.104,-,-2.954,96.000,-
'173:06:58.880',-,0.104,-,-2.954,94.000,-
'173:06:58.888',-,0.104,-,-2.954,92.000,-
'173:06:58.896',-,0.104,-,-2.954,90.000,-
'173:06:58.904',-,0.104,-,-2.954,87.000,-
'173:06:58.912',-,0.088,-,-2.954,84.000,-
'173:06:58.920',-,0.104,-,-2.954,81.000,-
'173:06:58.928',-,0.088,-,-2.954,79.000,-
'173:06:58.936',-,0.088,-,-2.954,75.000,-
'173:06:58.944',-,0.088,-,-2.954,74.000,-
'173:06:58.952',-,0.088,-,-2.954,72.000,-
'173:06:58.960',-,0.104,-,-2.954,69.000,-
'173:06:58.968',-,0.104,-,-2.954,68.000,-
'173:06:58.976',-,0.104,-,-2.954,67.000,-
'173:06:58.984',-,0.128,-,-2.954,66.000,-
'173:06:58.992',-,0.128,-,-2.954,64.000,-
'173:06:59.000',-,0.128,-,-2.954,63.000,-
'173:06:59.008',-,0.144,-,-2.954,62.000,-
