'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'15:04:21.416',-0.008,-0.124,-,-,-,-,54.400
'15:04:21.424',0.000,-0.116,-,-,-,-,55.200
'15:04:21.432',0.000,-0.107,-,-,-,-,56.800
'15:04:21.440',0.000,-0.099,-,-,-,-,58.400
'15:04:21.448',0.000,-0.099,-,-,-,-,58.400
'15:04:21.456',0.000,-0.099,-,-,-,-,57.600
'15:04:21.464',0.008,-0.074,-,-,-,-,56.800
'15:04:21.472',0.000,-0.066,-,-,-,-,56.000
'15:04:21.480',0.000,-0.074,-,-,-,-,56.000
'15:04:21.488',0.000,-0.058,-,-,-,-,55.200
'15:04:21.496',0.000,-0.058,-,-,-,-,54.400
'15:04:21.504',0.000,-0.050,-,-,-,-,54.400
'15:04:21.512',0.000,-0.041,-,-,-,-,53.600
'15:04:21.520',0.000,-0.041,-,-,-,-,53.600
'15:04:21.528',0.000,-0.033,-,-,-,-,52.800
'15:04:21.536',0.000,-0.025,-,-,-,-,52.800
'15:04:21.544',0.008,-0.017,-,-,-,-,52.000
'15:04:21.552',0.000,-0.017,-,-,-,-,52.000
'15:04:21.560',0.016,-0.017,-,-,-,-,52.000
'15:04:21.568',0.008,-0.008,-,-,-,-,52.000
'15:04:21.576',0.016,0.000,-,-,-,-,51.200
'15:04:21.584',0.000,-0.008,-,-,-,-,51.200
'15:04:21.592',0.016,0.000,-,-,-,-,51.200
'15:04:21.600',0.000,0.000,-,-,-,-,51.200
'15:04:21.608',0.016,0.000,-,-,-,-,50.400
'15:04:21.616',0.000,0.008,-,-,-,-,50.400
'15:04:21.624',0.016,0.017,-,-,-,-,50.400
'15:04:21.632',0.008,0.041,-,-,-,-,50.400
'15:04:21.640',0.048,0.050,-,-,-,-,50.400
'15:04:21.648',0.064,0.058,-,-,-,-,49.600
'15:04:21.656',0.088,0.091,-,-,-,-,49.600
'15:04:21.664',0.088,0.099,-,-,-,-,49.600
'15:04:21.672',0.104,0.099,-,-,-,-,49.600
'15:04:21.680',0.120,0.099,-,-,-,-,48.800
'15:04:21.688',0.136,0.124,-,-,-,-,48.800
'15:04:21.696',0.160,0.157,-,-,-,-,48.800
'15:04:21.704',0.200,0.215,-,-,-,-,48.800
'15:04:21.712',0.184,0.281,-,-,-,-,48.000
