'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'15:10:05.416',0.000,-0.041,-,-,-,-,57.600
'15:10:05.424',0.000,-0.033,-,-,-,-,56.800
'15:10:05.432',0.000,-0.041,-,-,-,-,56.800
'15:10:05.440',0.000,-0.033,-,-,-,-,56.800
'15:10:05.448',0.000,-0.025,-,-,-,-,56.800
'15:10:05.456',0.000,-0.017,-,-,-,-,56.000
'15:10:05.464',0.000,-0.025,-,-,-,-,56.000
'15:10:05.472',0.000,-0.017,-,-,-,-,56.000
'15:10:05.480',0.000,-0.017,-,-,-,-,55.200
'15:10:05.488',0.000,-0.017,-,-,-,-,55.200
'15:10:05.496',0.000,-0.017,-,-,-,-,55.200
'15:10:05.504',0.000,0.000,-,-,-,-,55.200
'15:10:05.512',0.008,0.017,-,-,-,-,54.400
'15:10:05.520',0.024,0.025,-,-,-,-,54.400
'15:10:05.528',0.048,0.025,-,-,-,-,54.400
'15:10:05.536',0.064,0.050,-,-,-,-,53.600
'15:10:05.544',0.088,0.074,-,-,-,-,53.600
'15:10:05.552',0.088,0.066,-,-,-,-,53.600
'15:10:05.560',0.104,0.058,-,-,-,-,53.600
'15:10:05.568',0.120,0.099,-,-,-,-,53.600
'15:10:05.576',0.144,0.116,-,-,-,-,53.600
'15:10:05.584',0.184,0.157,-,-,-,-,52.800
'15:10:05.592',0.200,0.231,-,-,-,-,52.800
'15:10:05.600',0.160,0.248,-,-,-,-,52.800
'15:10:05.608',0.104,0.017,-,-,-,-,52.000
'15:10:05.616',0.152,0.314,-,-,-,-,52.000
'15:10:05.624',0.088,0.248,-,-,-,-,52.000
'15:10:05.632',0.056,0.215,-,-,-,-,52.000
'15:10:05.640',0.008,0.165,-,-,-,-,51.200
'15:10:05.648',-0.008,0.091,-,-,-,-,51.200
'15:10:05.656',-0.024,0.033,-,-,-,-,51.200
'15:10:05.664',-0.040,0.000,-,-,-,-,51.200
'15:10:05.672',-0.056,-0.017,-,-,-,-,51.200
'15:10:05.680',-0.064,-0.025,-,-,-,-,52.000
'15:10:05.688',-0.072,-0.025,-,-,-,-,53.600
'15:10:05.696',-0.072,-0.033,-,-,-,-,57.600
'15:10:05.704',-0.072,-0.025,-,-,-,-,63.200
'15:10:05.712',-0.088,-0.033,-,-,-,-,70.400
'15:10:05.720',-0.072,-0.041,-,-,-,-,76.000
'15:10:05.728',-0.096,-0.050,-,-,-,-,80.000
'15:10:05.736',-0.104,-0.058,-,-,-,-,80.800
'15:10:05.744',-0.128,-0.058,-,-,-,-,80.800
'15:10:05.752',-0.112,-0.058,-,-,-,-,80.000
'15:10:05.760',-0.136,-0.074,-,-,-,-,79.200
'15:10:05.768',-0.136,-0.099,-,-,-,-,77.600
'15:10:05.776',-0.144,-0.107,-,-,-,-,75.200
'15:10:05.784',-0.136,-0.116,-,-,-,-,72.800
'15:10:05.792',-0.128,-0.124,-,-,-,-,71.200
'15:10:05.800',-0.112,-0.132,-,-,-,-,68.800
'15:10:05.808',-0.104,-0.140,-,-,-,-,67.200
'15:10:05.816',-0.088,-0.140,-,-,-,-,64.800
'15:10:05.824',-0.088,-0.140,-,-,-,-,62.400
'15:10:05.832',-0.064,-0.140,-,-,-,-,60.800
'15:10:05.840',-0.048,-0.124,-,-,-,-,60.800
'15:10:05.848',-0.032,-0.116,-,-,-,-,60.800
'15:10:05.856',-0.040,-0.116,-,-,-,-,62.400
'15:10:05.864',-0.024,-0.116,-,-,-,-,63.200
'15:10:05.872',-0.016,-0.099,-,-,-,-,63.200
'15:10:05.880',-0.024,-0.091,-,-,-,-,62.400
'15:10:05.888',-0.016,-0.074,-,-,-,-,61.600
'15:10:05.896',-0.024,-0.066,-,-,-,-,60.800
'15:10:05.904',-0.008,-0.074,-,-,-,-,59.200
'15:10:05.912',-0.024,-0.058,-,-,-,-,58.400
'15:10:05.920',-0.008,-0.050,-,-,-,-,58.400
'15:10:05.928',-0.024,-0.050,-,-,-,-,57.600
'15:10:05.936',-0.016,-0.041,-,-,-,-,57.600
'15:10:05.944',-0.024,-0.033,-,-,-,-,56.800
'15:10:05.952',0.000,-0.025,-,-,-,-,56.800
'15:10:05.960',-0.008,-0.017,-,-,-,-,56.800
'15:10:05.968',0.000,-0.017,-,-,-,-,56.800
'15:10:05.976',0.000,-0.017,-,-,-,-,56.800
'15:10:05.984',0.000,-0.008,-,-,-,-,56.800
'15:10:05.992',0.000,0.000,-,-,-,-,56.800
'15:10:06.000',0.000,-0.008,-,-,-,-,56.000
'15:10:06.008',0.000,0.000,-,-,-,-,56.000
'15:10:06.016',0.000,0.000,-,-,-,-,56.000
'15:10:06.024',0.000,0.008,-,-,-,-,55.200
'15:10:06.032',0.000,0.017,-,-,-,-,55.200
'15:10:06.040',0.000,0.033,-,-,-,-,55.200
'15:10:06.048',0.024,0.050,-,-,-,-,54.400
'15:10:06.056',0.040,0.050,-,-,-,-,54.400
'15:10:06.064',0.080,0.074,-,-,-,-,54.400
'15:10:06.072',0.088,0.116,-,-,-,-,54.400
'15:10:06.080',0.088,0.099,-,-,-,-,54.400
'15:10:06.088',0.104,0.099,-,-,-,-,54.400
'15:10:06.096',0.128,0.124,-,-,-,-,53.600
'15:10:06.104',0.144,0.149,-,-,-,-,53.600
'15:10:06.112',0.184,0.182,-,-,-,-,53.600
'15:10:06.120',0.208,0.248,-,-,-,-,53.600
'15:10:06.128',0.176,0.298,-,-,-,-,52.800
'15:10:06.136',0.168,0.322,-,-,-,-,52.800
'15:10:06.144',0.152,0.347,-,-,-,-,52.800
'15:10:06.152',0.104,0.314,-,-,-,-,52.000
'15:10:06.160',0.064,0.248,-,-,-,-,52.000
'15:10:06.168',0.024,0.215,-,-,-,-,52.000
'15:10:06.176',-0.008,0.140,-,-,-,-,52.000
'15:10:06.184',-0.024,0.074,-,-,-,-,51.200
'15:10:06.192',-0.040,0.025,-,-,-,-,52.000
'15:10:06.200',-0.032,-0.008,-,-,-,-,52.000
'15:10:06.208',-0.064,-0.017,-,-,-,-,52.800
'15:10:06.216',-0.072,-0.025,-,-,-,-,53.600
'15:10:06.224',-0.072,-0.033,-,-,-,-,57.600
'15:10:06.232',-0.088,-0.025,-,-,-,-,62.400
'15:10:06.240',-0.096,-0.041,-,-,-,-,68.800
'15:10:06.248',-0.104,-0.050,-,-,-,-,75.200
'15:10:06.256',-0.112,-0.050,-,-,-,-,78.400
'15:10:06.264',-0.128,-0.066,-,-,-,-,80.000
'15:10:06.272',-0.136,-0.074,-,-,-,-,79.200
'15:10:06.280',-0.144,-0.091,-,-,-,-,79.200
'15:10:06.288',-0.136,-0.099,-,-,-,-,78.400
'15:10:06.296',-0.160,-0.107,-,-,-,-,76.800
'15:10:06.304',-0.152,-0.124,-,-,-,-,74.400
'15:10:06.312',-0.160,-0.132,-,-,-,-,72.000
'15:10:06.320',-0.136,-0.140,-,-,-,-,69.600
'15:10:06.328',-0.112,-0.140,-,-,-,-,68.000
'15:10:06.336',-0.088,-0.132,-,-,-,-,65.600
'15:10:06.344',-0.088,-0.140,-,-,-,-,63.200
'15:10:06.352',-0.072,-0.140,-,-,-,-,60.800
'15:10:06.360',-0.064,-0.132,-,-,-,-,60.000
'15:10:06.368',-0.040,-0.140,-,-,-,-,59.200
'15:10:06.376',-0.032,-0.107,-,-,-,-,60.000
'15:10:06.384',-0.016,-0.116,-,-,-,-,61.600
'15:10:06.392',-0.024,-0.099,-,-,-,-,62.400
'15:10:06.400',0.000,-0.099,-,-,-,-,62.400
'15:10:06.408',-0.008,-0.099,-,-,-,-,61.600
'15:10:06.416',0.000,-0.074,-,-,-,-,60.800
'15:10:06.424',-0.016,-0.074,-,-,-,-,60.000
'15:10:06.432',0.000,-0.066,-,-,-,-,59.200
'15:10:06.440',-0.008,-0.058,-,-,-,-,58.400
'15:10:06.448',-0.016,-0.058,-,-,-,-,57.600
'15:10:06.456',-0.008,-0.050,-,-,-,-,57.600
'15:10:06.464',0.000,-0.041,-,-,-,-,56.800
'15:10:06.472',0.000,-0.033,-,-,-,-,56.800
'15:10:06.480',-0.008,-0.025,-,-,-,-,56.000
'15:10:06.488',0.000,-0.017,-,-,-,-,56.000
'15:10:06.496',-0.008,-0.017,-,-,-,-,56.000
'15:10:06.504',0.008,-0.008,-,-,-,-,56.000
'15:10:06.512',0.000,-0.008,-,-,-,-,56.000
'15:10:06.520',0.000,-0.017,-,-,-,-,56.000
'15:10:06.528',0.008,0.000,-,-,-,-,56.000
'15:10:06.536',0.016,0.000,-,-,-,-,56.000
'15:10:06.544',0.008,0.000,-,-,-,-,55.200
'15:10:06.552',0.008,-0.008,-,-,-,-,55.200
'15:10:06.560',0.000,0.008,-,-,-,-,55.200
'15:10:06.568',0.016,0.017,-,-,-,-,54.400
'15:10:06.576',0.024,0.041,-,-,-,-,54.400
'15:10:06.584',0.056,0.050,-,-,-,-,54.400
'15:10:06.592',0.064,0.050,-,-,-,-,54.400
'15:10:06.600',0.104,0.074,-,-,-,-,53.600
'15:10:06.608',0.104,0.099,-,-,-,-,53.600
'15:10:06.616',0.120,0.091,-,-,-,-,53.600
'15:10:06.624',0.128,0.099,-,-,-,-,53.600
'15:10:06.632',0.144,0.116,-,-,-,-,53.600
'15:10:06.640',0.176,0.140,-,-,-,-,52.800
'15:10:06.648',0.208,0.198,-,-,-,-,52.800
'15:10:06.656',0.224,0.248,-,-,-,-,52.000
'15:10:06.664',0.176,0.289,-,-,-,-,52.000
'15:10:06.672',0.184,0.322,-,-,-,-,52.000
'15:10:06.680',0.136,0.331,-,-,-,-,52.000
'15:10:06.688',0.088,0.256,-,-,-,-,52.000
'15:10:06.696',0.056,0.231,-,-,-,-,51.200
'15:10:06.704',0.008,0.165,-,-,-,-,51.200
'15:10:06.712',-0.008,0.099,-,-,-,-,51.200
'15:10:06.720',-0.016,0.050,-,-,-,-,51.200
'15:10:06.728',-0.032,0.008,-,-,-,-,51.200
'15:10:06.736',-0.056,-0.017,-,-,-,-,52.000
'15:10:06.744',-0.064,-0.025,-,-,-,-,53.600
'15:10:06.752',-0.072,-0.025,-,-,-,-,56.800
'15:10:06.760',-0.072,-0.033,-,-,-,-,62.400
'15:10:06.768',-0.088,-0.033,-,-,-,-,69.600
'15:10:06.776',-0.096,-0.041,-,-,-,-,76.000
'15:10:06.784',-0.088,-0.050,-,-,-,-,80.000
'15:10:06.792',-0.112,-0.058,-,-,-,-,80.800
'15:10:06.800',-0.128,-0.066,-,-,-,-,80.800
'15:10:06.808',-0.136,-0.091,-,-,-,-,80.800
'15:10:06.816',-0.128,-0.099,-,-,-,-,80.000
'15:10:06.824',-0.144,-0.099,-,-,-,-,78.400
'15:10:06.832',-0.136,-0.124,-,-,-,-,76.000
'15:10:06.840',-0.144,-0.124,-,-,-,-,73.600
'15:10:06.848',-0.128,-0.132,-,-,-,-,72.000
'15:10:06.856',-0.112,-0.132,-,-,-,-,69.600
'15:10:06.864',-0.096,-0.140,-,-,-,-,67.200
'15:10:06.872',-0.088,-0.132,-,-,-,-,64.800
'15:10:06.880',-0.072,-0.140,-,-,-,-,63.200
'15:10:06.888',-0.064,-0.140,-,-,-,-,61.600
'15:10:06.896',-0.040,-0.132,-,-,-,-,60.800
'15:10:06.904',-0.024,-0.116,-,-,-,-,60.800
'15:10:06.912',-0.024,-0.107,-,-,-,-,62.400
'15:10:06.920',-0.016,-0.116,-,-,-,-,63.200
'15:10:06.928',-0.016,-0.107,-,-,-,-,63.200
'15:10:06.936',-0.008,-0.099,-,-,-,-,62.400
'15:10:06.944',-0.016,-0.099,-,-,-,-,61.600
'15:10:06.952',-0.008,-0.074,-,-,-,-,60.800
'15:10:06.960',-0.016,-0.074,-,-,-,-,60.000
'15:10:06.968',0.000,-0.066,-,-,-,-,59.200
'15:10:06.976',-0.016,-0.058,-,-,-,-,58.400
