'Elapsed time','I','II','V','MCL1','ABP','CVP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'172:21:27.448',-,0.008,-,1.425,61.000,-
'172:21:27.456',-,0.008,-,1.425,61.000,-
'172:21:27.464',-,0.024,-,1.425,60.000,-
'172:21:27.472',-,0.024,-,1.425,60.000,-
'172:21:27.480',-,0.008,-,1.425,60.000,-
'172:21:27.488',-,0.008,-,1.471,58.000,-
'172:21:27.496',-,0.008,-,1.471,58.000,-
'172:21:27.504',-,0.008,-,1.471,58.000,-
'172:21:27.512',-,0.008,-,1.425,58.000,-
'172:21:27.520',-,0.008,-,1.425,58.000,-
'172:21:27.528',-,0.008,-,1.425,57.000,-
'172:21:27.536',-,0.024,-,1.425,57.000,-
'172:21:27.544',-,0.008,-,1.425,57.000,-
'172:21:27.552',-,0.024,-,1.425,57.000,-
'172:21:27.560',-,0.024,-,1.379,57.000,-
'172:21:27.568',-,0.024,-,1.379,56.000,-
'172:21:27.576',-,0.024,-,1.333,56.000,-
'172:21:27.584',-,0.024,-,1.276,56.000,-
'172:21:27.592',-,0.056,-,1.230,55.000,-
'172:21:27.600',-,0.088,-,1.184,55.000,-
'172:21:27.608',-,0.104,-,1.138,54.000,-
'172:21:27.616',-,0.104,-,1.092,54.000,-
'172:21:27.624',-,0.136,-,1.092,54.000,-
'172:21:27.632',-,0.144,-,1.046,52.000,-
'172:21:27.640',-,0.144,-,1.000,52.000,-
'172:21:27.648',-,0.144,-,0.943,52.000,-
'172:21:27.656',-,0.136,-,0.943,52.000,-
'172:21:27.664',-,0.104,-,0.897,51.000,-
'172:21:27.672',-,0.056,-,0.897,51.000,-
'172:21:27.680',-,0.024,-,0.897,51.000,-
'172:21:27.688',-,0.008,-,0.851,51.000,-
'172:21:27.696',-,0.008,-,0.851,51.000,-
'172:21:27.704',-,0.008,-,0.805,51.000,-
'172:21:27.712',-,0.008,-,0.805,51.000,-
'172:21:27.720',-,0.008,-,0.759,51.000,-
'172:21:27.728',-,0.008,-,0.713,51.000,-
'172:21:27.736',-,0.008,-,0.667,51.000,-
'172:21:27.744',-,0.040,-,0.609,51.000,-
'172:21:27.752',-,0.104,-,0.517,51.000,-
'172:21:27.760',-,0.208,-,0.471,51.000,-
'172:21:27.768',-,0.256,-,0.333,51.000,-
'172:21:27.776',-,0.160,-,0.230,52.000,-
'172:21:27.784',-,-0.024,-,0.138,52.000,-
'172:21:27.792',-,-0.160,-,0.000,52.000,-
'172:21:27.800',-,-0.192,-,-0.092,52.000,-
'172:21:27.808',-,-0.120,-,-0.230,52.000,-
'172:21:27.816',-,-0.088,-,-0.379,52.000,-
'172:21:27.824',-,-0.104,-,-0.471,52.000,-
'172:21:27.832',-,-0.120,-,-0.563,52.000,-
'172:21:27.840',-,-0.104,-,-0.667,52.000,-
