'Elapsed time','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'96:03:17.840',-0.042,-,0.000,166.400
'96:03:17.848',-0.042,-,0.000,159.200
'96:03:17.856',-0.069,-,0.000,151.200
'96:03:17.864',-0.042,-,0.050,144.000
'96:03:17.872',-0.042,-,0.000,137.600
'96:03:17.880',-0.042,-,0.050,132.800
'96:03:17.888',0.000,-,0.050,129.600
'96:03:17.896',-0.042,-,0.000,127.200
'96:03:17.904',-0.042,-,0.050,125.600
'96:03:17.912',-0.042,-,0.000,124.800
'96:03:17.920',-0.014,-,0.050,125.600
'96:03:17.928',-0.042,-,0.000,125.600
'96:03:17.936',-0.042,-,0.000,125.600
'96:03:17.944',-0.042,-,0.000,127.200
'96:03:17.952',-0.014,-,0.000,127.200
'96:03:17.960',-0.042,-,0.000,125.600
'96:03:17.968',-0.014,-,0.000,125.600
'96:03:17.976',0.000,-,0.050,124.800
'96:03:17.984',-0.014,-,0.000,123.200
'96:03:17.992',-0.014,-,0.050,122.400
'96:03:18.000',-0.042,-,0.000,120.800
'96:03:18.008',-0.042,-,0.000,120.000
'96:03:18.016',0.000,-,0.000,117.600
'96:03:18.024',0.000,-,0.050,116.000
'96:03:18.032',0.000,-,0.000,115.200
'96:03:18.040',0.000,-,0.000,113.600
'96:03:18.048',-0.014,-,0.000,112.800
'96:03:18.056',0.000,-,0.000,110.400
'96:03:18.064',-0.014,-,0.000,108.800
'96:03:18.072',-0.125,-,0.000,108.000
'96:03:18.080',-0.042,-,0.050,106.400
'96:03:18.088',0.194,-,0.100,105.600
'96:03:18.096',0.597,-,-0.100,104.000
'96:03:18.104',0.764,-,-0.263,103.200
'96:03:18.112',0.472,-,-0.412,101.600
'96:03:18.120',0.167,-,-0.575,101.600
'96:03:18.128',0.069,-,-0.312,100.800
'96:03:18.136',-0.042,-,-0.200,99.200
'96:03:18.144',-0.125,-,-0.050,99.200
'96:03:18.152',-0.125,-,0.000,98.400
'96:03:18.160',-0.097,-,0.000,98.400
'96:03:18.168',-0.125,-,0.000,96.800
'96:03:18.176',-0.097,-,0.050,96.800
'96:03:18.184',-0.069,-,0.000,96.000
'96:03:18.192',-0.097,-,0.000,96.000
'96:03:18.200',-0.069,-,0.000,96.000
'96:03:18.208',-0.097,-,0.000,96.800
'96:03:18.216',-0.125,-,0.000,99.200
'96:03:18.224',-0.125,-,0.000,105.600
'96:03:18.232',-0.097,-,0.000,113.600
'96:03:18.240',-0.069,-,0.000,124.800
'96:03:18.248',-0.125,-,0.000,139.200
'96:03:18.256',-0.042,-,0.050,154.400
'96:03:18.264',-0.042,-,0.050,172.800
'96:03:18.272',-0.014,-,0.000,189.600
'96:03:18.280',0.000,-,0.000,204.000
'96:03:18.288',0.000,-,0.000,213.600
'96:03:18.296',0.000,-,0.000,219.200
'96:03:18.304',0.042,-,0.000,221.600
'96:03:18.312',0.042,-,0.000,220.800
'96:03:18.320',0.069,-,0.000,216.800
'96:03:18.328',0.097,-,0.000,213.600
'96:03:18.336',0.042,-,0.000,208.800
'96:03:18.344',0.042,-,0.000,204.800
'96:03:18.352',0.014,-,0.000,200.000
'96:03:18.360',0.000,-,0.000,196.800
'96:03:18.368',-0.042,-,0.000,192.800
'96:03:18.376',-0.042,-,0.000,189.600
'96:03:18.384',0.000,-,0.000,187.200
'96:03:18.392',0.000,-,0.050,183.200
'96:03:18.400',0.000,-,0.100,178.400
'96:03:18.408',-0.014,-,0.050,173.600
'96:03:18.416',0.000,-,0.050,168.000
'96:03:18.424',-0.014,-,0.050,161.600
'96:03:18.432',0.000,-,0.050,154.400
'96:03:18.440',-0.014,-,0.000,147.200
'96:03:18.448',0.000,-,0.000,140.000
'96:03:18.456',-0.014,-,0.000,134.400
'96:03:18.464',-0.042,-,0.000,129.600
'96:03:18.472',-0.042,-,0.000,125.600
'96:03:18.480',-0.042,-,0.000,123.200
'96:03:18.488',-0.042,-,0.000,122.400
'96:03:18.496',-0.069,-,0.000,120.800
'96:03:18.504',-0.042,-,0.000,120.800
'96:03:18.512',-0.042,-,0.000,120.800
'96:03:18.520',-0.042,-,0.050,122.400
'96:03:18.528',-0.014,-,0.050,122.400
'96:03:18.536',-0.042,-,0.000,123.200
'96:03:18.544',-0.014,-,0.000,123.200
'96:03:18.552',-0.014,-,0.000,123.200
'96:03:18.560',0.000,-,0.000,122.400
'96:03:18.568',-0.014,-,0.000,122.400
'96:03:18.576',-0.014,-,0.000,120.800
'96:03:18.584',-0.042,-,0.000,120.000
'96:03:18.592',-0.014,-,0.000,118.400
'96:03:18.600',-0.042,-,0.000,116.000
'96:03:18.608',-0.014,-,-0.050,115.200
'96:03:18.616',-0.042,-,0.000,113.600
'96:03:18.624',-0.125,-,0.000,112.800
'96:03:18.632',-0.125,-,0.000,111.200
'96:03:18.640',0.139,-,0.100,108.800
'96:03:18.648',0.597,-,0.000,108.000
'96:03:18.656',0.875,-,-0.263,106.400
'96:03:18.664',0.597,-,-0.463,105.600
'96:03:18.672',0.194,-,-0.675,104.000
'96:03:18.680',0.069,-,-0.362,103.200
'96:03:18.688',-0.042,-,-0.312,103.200
'96:03:18.696',-0.125,-,-0.100,101.600
'96:03:18.704',-0.139,-,-0.050,100.800
'96:03:18.712',-0.125,-,0.000,100.800
'96:03:18.720',-0.125,-,0.000,99.200
'96:03:18.728',-0.139,-,0.000,99.200
'96:03:18.736',-0.125,-,0.000,99.200
'96:03:18.744',-0.125,-,0.000,98.400
'96:03:18.752',-0.125,-,0.000,98.400
'96:03:18.760',-0.139,-,-0.050,99.200
'96:03:18.768',-0.139,-,-0.050,100.800
'96:03:18.776',-0.125,-,0.000,104.000
'96:03:18.784',-0.125,-,0.000,111.200
'96:03:18.792',-0.069,-,0.000,120.800
'96:03:18.800',-0.069,-,0.000,132.800
'96:03:18.808',-0.069,-,0.000,147.200
'96:03:18.816',-0.069,-,0.000,163.200
'96:03:18.824',-0.069,-,0.000,178.400
'96:03:18.832',-0.042,-,0.000,194.400
'96:03:18.840',-0.042,-,0.000,204.800
'96:03:18.848',0.000,-,0.000,213.600
'96:03:18.856',0.000,-,0.000,216.800
'96:03:18.864',0.042,-,-0.050,216.800
'96:03:18.872',0.042,-,0.000,214.400
'96:03:18.880',0.042,-,0.000,212.000
'96:03:18.888',0.042,-,0.000,208.800
'96:03:18.896',0.042,-,0.000,204.000
'96:03:18.904',0.000,-,0.000,200.000
'96:03:18.912',0.000,-,0.000,196.800
'96:03:18.920',0.000,-,0.000,194.400
'96:03:18.928',0.000,-,0.000,190.400
'96:03:18.936',-0.014,-,0.000,187.200
'96:03:18.944',-0.042,-,0.050,183.200
'96:03:18.952',-0.042,-,0.000,178.400
'96:03:18.960',-0.042,-,0.050,173.600
'96:03:18.968',-0.097,-,0.000,168.800
'96:03:18.976',-0.097,-,0.000,161.600
'96:03:18.984',-0.097,-,0.000,154.400
'96:03:18.992',-0.125,-,0.000,147.200
'96:03:19.000',-0.125,-,0.000,140.000
'96:03:19.008',-0.125,-,-0.050,135.200
'96:03:19.016',-0.125,-,-0.050,130.400
'96:03:19.024',-0.097,-,-0.050,127.200
'96:03:19.032',-0.125,-,-0.050,124.800
'96:03:19.040',-0.125,-,0.000,123.200
'96:03:19.048',-0.139,-,0.000,122.400
'96:03:19.056',-0.167,-,0.100,122.400
'96:03:19.064',0.222,-,0.200,123.200
'96:03:19.072',0.750,-,-0.050,123.200
'96:03:19.080',0.917,-,-0.312,124.800
'96:03:19.088',0.514,-,-0.525,124.800
'96:03:19.096',0.264,-,-0.463,124.800
'96:03:19.104',0.097,-,-0.312,123.200
'96:03:19.112',-0.069,-,-0.150,123.200
'96:03:19.120',-0.139,-,-0.050,122.400
'96:03:19.128',-0.167,-,0.000,120.800
'96:03:19.136',-0.167,-,0.000,120.000
'96:03:19.144',-0.167,-,-0.050,118.400
'96:03:19.152',-0.194,-,-0.050,117.600
'96:03:19.160',-0.167,-,-0.050,116.000
'96:03:19.168',-0.194,-,-0.050,115.200
'96:03:19.176',-0.167,-,-0.100,115.200
'96:03:19.184',-0.167,-,0.000,116.000
'96:03:19.192',-0.125,-,0.000,118.400
'96:03:19.200',-0.125,-,0.000,124.800
'96:03:19.208',-0.125,-,0.000,132.800
'96:03:19.216',-0.125,-,0.000,144.000
'96:03:19.224',-0.097,-,0.050,156.800
'96:03:19.232',-0.069,-,0.050,171.200
'96:03:19.240',-0.042,-,0.050,185.600
'96:03:19.248',-0.042,-,0.100,199.200
'96:03:19.256',-0.042,-,0.100,208.800
'96:03:19.264',-0.014,-,0.100,216.000
'96:03:19.272',0.000,-,0.100,218.400
'96:03:19.280',0.000,-,0.050,218.400
'96:03:19.288',0.000,-,0.000,216.000
'96:03:19.296',0.000,-,0.000,212.000
'96:03:19.304',0.000,-,0.000,208.800
'96:03:19.312',0.000,-,0.000,204.800
'96:03:19.320',0.014,-,0.000,201.600
'96:03:19.328',0.000,-,0.000,196.800
'96:03:19.336',0.000,-,0.000,192.800
'96:03:19.344',0.000,-,0.000,188.000
'96:03:19.352',-0.014,-,0.000,183.200
'96:03:19.360',-0.042,-,0.000,177.600
'96:03:19.368',0.000,-,0.050,171.200
'96:03:19.376',-0.014,-,0.050,164.000
'96:03:19.384',-0.042,-,0.050,156.800
'96:03:19.392',-0.042,-,0.050,149.600
'96:03:19.400',-0.042,-,0.100,142.400
'96:03:19.408',-0.042,-,0.100,136.800
'96:03:19.416',-0.042,-,0.050,132.000
'96:03:19.424',-0.097,-,0.000,127.200
'96:03:19.432',-0.125,-,0.000,124.800
'96:03:19.440',-0.125,-,0.000,123.200
'96:03:19.448',-0.097,-,0.000,123.200
'96:03:19.456',-0.042,-,0.000,123.200
'96:03:19.464',-0.069,-,-0.050,123.200
'96:03:19.472',-0.042,-,-0.050,124.800
'96:03:19.480',-0.097,-,-0.050,124.800
'96:03:19.488',-0.042,-,0.000,125.600
'96:03:19.496',-0.042,-,0.000,125.600
'96:03:19.504',-0.042,-,0.000,125.600
