'Elapsed time','II','III','AVL','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'24:36:31.776',-,-,-,-,-,0.000,99.600
'24:36:31.784',-,-,-,-,-,0.048,97.200
'24:36:31.792',-,-,-,-,-,0.113,94.800
'24:36:31.800',-,-,-,-,-,0.113,93.600
'24:36:31.808',-,-,-,-,-,0.113,92.400
'24:36:31.816',-,-,-,-,-,0.048,92.400
'24:36:31.824',-,-,-,-,-,0.000,92.400
'24:36:31.832',-,-,-,-,-,0.000,93.600
'24:36:31.840',-,-,-,-,-,-0.048,93.600
'24:36:31.848',-,-,-,-,-,-0.048,93.600
'24:36:31.856',-,-,-,-,-,0.000,94.800
'24:36:31.864',-,-,-,-,-,0.000,94.800
'24:36:31.872',-,-,-,-,-,0.000,94.800
'24:36:31.880',-,-,-,-,-,0.000,94.800
'24:36:31.888',-,-,-,-,-,0.000,93.600
'24:36:31.896',-,-,-,-,-,0.000,93.600
'24:36:31.904',-,-,-,-,-,0.000,93.600
'24:36:31.912',-,-,-,-,-,0.000,93.600
'24:36:31.920',-,-,-,-,-,0.000,92.400
'24:36:31.928',-,-,-,-,-,0.000,92.400
'24:36:31.936',-,-,-,-,-,0.048,91.200
'24:36:31.944',-,-,-,-,-,-0.694,91.200
'24:36:31.952',-,-,-,-,-,-1.516,90.000
'24:36:31.960',-,-,-,-,-,-1.984,88.800
'24:36:31.968',-,-,-,-,-,-1.694,88.800
'24:36:31.976',-,-,-,-,-,-1.161,87.600
'24:36:31.984',-,-,-,-,-,-0.758,86.400
'24:36:31.992',-,-,-,-,-,-0.226,86.400
'24:36:32.000',-,-,-,-,-,0.048,85.200
'24:36:32.008',-,-,-,-,-,0.161,84.000
'24:36:32.016',-,-,-,-,-,0.226,82.800
'24:36:32.024',-,-,-,-,-,0.226,81.600
'24:36:32.032',-,-,-,-,-,0.226,81.600
'24:36:32.040',-,-,-,-,-,0.226,80.400
'24:36:32.048',-,-,-,-,-,0.226,80.400
'24:36:32.056',-,-,-,-,-,0.226,80.400
'24:36:32.064',-,-,-,-,-,0.226,80.400
'24:36:32.072',-,-,-,-,-,0.226,80.400
'24:36:32.080',-,-,-,-,-,0.226,81.600
'24:36:32.088',-,-,-,-,-,0.226,82.800
'24:36:32.096',-,-,-,-,-,0.226,86.400
'24:36:32.104',-,-,-,-,-,0.226,90.000
'24:36:32.112',-,-,-,-,-,0.226,94.800
'24:36:32.120',-,-,-,-,-,0.339,99.600
'24:36:32.128',-,-,-,-,-,0.290,106.800
'24:36:32.136',-,-,-,-,-,0.339,112.800
'24:36:32.144',-,-,-,-,-,0.403,121.200
'24:36:32.152',-,-,-,-,-,0.339,127.200
'24:36:32.160',-,-,-,-,-,0.403,134.400
