'Elapsed time','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'48:11:20.208',0.118,-,128.760,69.480
'48:11:20.216',0.118,-,128.760,66.720
'48:11:20.224',0.118,-,127.920,64.680
'48:11:20.232',0.097,-,126.360,62.760
'48:11:20.240',0.118,-,124.680,61.920
'48:11:20.248',0.075,-,121.560,61.560
'48:11:20.256',0.075,-,118.320,61.560
'48:11:20.264',0.075,-,114.360,61.560
'48:11:20.272',0.054,-,111.120,61.560
'48:11:20.280',0.032,-,107.880,61.080
'48:11:20.288',0.054,-,105.480,60.720
'48:11:20.296',0.032,-,103.920,60.720
'48:11:20.304',0.054,-,103.920,60.360
'48:11:20.312',0.032,-,104.760,59.520
'48:11:20.320',0.054,-,107.160,58.320
'48:11:20.328',0.032,-,110.280,57.120
'48:11:20.336',0.032,-,114.360,55.560
'48:11:20.344',0.032,-,119.160,53.880
'48:11:20.352',0.032,-,123.120,52.320
'48:11:20.360',0.032,-,127.920,50.760
'48:11:20.368',0.075,-,131.880,48.720
'48:11:20.376',0.075,-,135.960,47.520
'48:11:20.384',0.118,-,139.080,46.320
'48:11:20.392',0.140,-,141.480,45.120
'48:11:20.400',0.151,-,143.160,44.280
'48:11:20.408',0.118,-,143.880,43.920
'48:11:20.416',0.097,-,144.720,43.560
'48:11:20.424',0.075,-,144.720,43.080
'48:11:20.432',0.075,-,144.720,42.360
'48:11:20.440',0.118,-,143.880,41.520
'48:11:20.448',0.097,-,142.320,40.680
'48:11:20.456',0.032,-,140.760,39.960
'48:11:20.464',0.000,-,138.360,39.480
'48:11:20.472',-0.011,-,135.960,39.120
'48:11:20.480',-0.032,-,133.560,39.120
'48:11:20.488',0.000,-,131.160,38.760
'48:11:20.496',0.000,-,127.920,38.760
'48:11:20.504',0.000,-,125.520,38.280
'48:11:20.512',-0.011,-,123.120,38.280
'48:11:20.520',0.000,-,120.720,37.920
'48:11:20.528',0.000,-,118.320,37.560
'48:11:20.536',0.032,-,115.920,37.080
'48:11:20.544',0.215,-,113.520,37.080
'48:11:20.552',0.591,-,111.120,36.720
'48:11:20.560',0.710,-,108.720,37.080
'48:11:20.568',0.290,-,106.320,37.080
'48:11:20.576',0.118,-,103.080,37.560
'48:11:20.584',0.000,-,99.120,37.920
'48:11:20.592',-0.172,-,95.160,38.280
'48:11:20.600',-0.258,-,90.360,38.760
'48:11:20.608',-0.194,-,86.280,39.480
'48:11:20.616',-0.172,-,81.480,41.520
'48:11:20.624',-0.151,-,77.520,43.920
'48:11:20.632',-0.140,-,73.560,47.160
'48:11:20.640',-0.151,-,70.320,50.760
'48:11:20.648',-0.140,-,67.920,54.360
'48:11:20.656',-0.151,-,66.360,58.320
'48:11:20.664',-0.140,-,66.360,62.280
'48:11:20.672',-0.118,-,66.360,66.360
'48:11:20.680',-0.140,-,67.920,70.320
'48:11:20.688',-0.140,-,70.320,74.760
'48:11:20.696',-0.140,-,73.560,79.080
'48:11:20.704',-0.140,-,75.960,82.680
'48:11:20.712',-0.172,-,79.080,85.080
'48:11:20.720',-0.140,-,82.320,86.760
'48:11:20.728',-0.172,-,85.560,87.120
'48:11:20.736',-0.151,-,89.520,87.120
'48:11:20.744',-0.172,-,93.480,86.280
'48:11:20.752',-0.151,-,97.560,85.560
'48:11:20.760',-0.172,-,102.360,83.880
'48:11:20.768',-0.151,-,106.320,82.320
'48:11:20.776',-0.172,-,110.280,80.760
'48:11:20.784',-0.140,-,113.520,79.560
'48:11:20.792',-0.097,-,117.480,77.880
'48:11:20.800',-0.032,-,119.880,76.680
'48:11:20.808',0.000,-,122.280,75.120
'48:11:20.816',0.011,-,124.680,73.560
'48:11:20.824',0.032,-,125.520,71.520
'48:11:20.832',0.075,-,126.360,69.480
'48:11:20.840',0.097,-,127.080,66.720
'48:11:20.848',0.118,-,127.080,63.960
'48:11:20.856',0.118,-,126.360,61.560
'48:11:20.864',0.054,-,124.680,59.160
'48:11:20.872',0.075,-,123.120,57.480
'48:11:20.880',0.054,-,119.880,56.280
'48:11:20.888',0.075,-,116.760,55.560
'48:11:20.896',0.032,-,112.680,55.080
'48:11:20.904',0.032,-,108.720,54.720
'48:11:20.912',0.054,-,105.480,54.360
'48:11:20.920',0.032,-,102.360,53.880
'48:11:20.928',0.011,-,100.680,53.520
'48:11:20.936',0.032,-,99.960,53.520
'48:11:20.944',0.032,-,99.960,52.680
'48:11:20.952',0.032,-,101.520,51.960
'48:11:20.960',0.032,-,104.760,50.760
'48:11:20.968',0.032,-,108.720,49.560
'48:11:20.976',0.000,-,113.520,47.520
'48:11:20.984',0.011,-,118.320,45.960
'48:11:20.992',0.011,-,123.120,43.920
'48:11:21.000',0.032,-,127.920,41.880
'48:11:21.008',0.000,-,132.720,39.960
'48:11:21.016',0.054,-,136.680,38.280
'48:11:21.024',0.032,-,139.080,37.080
'48:11:21.032',0.032,-,141.480,36.360
'48:11:21.040',0.075,-,143.160,35.520
'48:11:21.048',0.097,-,143.880,35.160
'48:11:21.056',0.140,-,143.880,34.320
'48:11:21.064',0.118,-,143.880,33.960
'48:11:21.072',0.075,-,143.160,33.120
'48:11:21.080',0.032,-,142.320,32.760
'48:11:21.088',0.118,-,140.760,31.920
'48:11:21.096',0.075,-,139.080,31.560
'48:11:21.104',0.097,-,136.680,31.080
'48:11:21.112',0.032,-,134.280,31.080
'48:11:21.120',0.000,-,131.880,30.720
'48:11:21.128',-0.011,-,128.760,30.720
'48:11:21.136',0.000,-,126.360,30.360
'48:11:21.144',-0.032,-,123.960,29.880
'48:11:21.152',0.000,-,121.560,29.520
'48:11:21.160',-0.032,-,118.320,29.160
'48:11:21.168',0.000,-,115.080,29.160
'48:11:21.176',-0.011,-,111.960,28.680
'48:11:21.184',-0.032,-,107.880,28.680
'48:11:21.192',0.011,-,103.080,28.680
'48:11:21.200',0.258,-,98.280,29.160
'48:11:21.208',0.699,-,92.760,29.160
'48:11:21.216',0.839,-,87.960,29.160
'48:11:21.224',0.290,-,82.320,29.520
'48:11:21.232',0.118,-,77.520,29.520
'48:11:21.240',-0.032,-,72.720,29.880
'48:11:21.248',-0.215,-,67.920,30.360
'48:11:21.256',-0.290,-,63.960,31.560
'48:11:21.264',-0.194,-,60.720,33.480
'48:11:21.272',-0.194,-,57.480,36.360
'48:11:21.280',-0.215,-,55.920,39.480
'48:11:21.288',-0.172,-,54.360,42.720
'48:11:21.296',-0.194,-,53.520,46.320
'48:11:21.304',-0.172,-,54.360,50.760
'48:11:21.312',-0.215,-,55.920,55.920
'48:11:21.320',-0.172,-,57.480,61.080
'48:11:21.328',-0.237,-,60.720,66.360
'48:11:21.336',-0.172,-,63.960,71.520
'48:11:21.344',-0.151,-,68.760,76.320
'48:11:21.352',-0.172,-,72.720,80.280
'48:11:21.360',-0.215,-,77.520,83.160
'48:11:21.368',-0.172,-,82.320,85.560
'48:11:21.376',-0.215,-,87.120,86.760
'48:11:21.384',-0.194,-,91.080,87.120
'48:11:21.392',-0.172,-,95.880,86.760
'48:11:21.400',-0.151,-,99.960,85.560
'48:11:21.408',-0.215,-,103.920,84.360
'48:11:21.416',-0.194,-,107.880,83.160
'48:11:21.424',-0.172,-,111.120,81.960
'48:11:21.432',-0.172,-,115.080,81.120
'48:11:21.440',-0.140,-,117.480,80.280
'48:11:21.448',-0.151,-,120.720,79.560
'48:11:21.456',-0.032,-,123.120,79.080
'48:11:21.464',-0.011,-,125.520,78.360
'48:11:21.472',0.000,-,127.080,77.520
'48:11:21.480',0.032,-,128.760,76.320
'48:11:21.488',0.054,-,129.480,74.760
'48:11:21.496',0.118,-,130.320,72.720
'48:11:21.504',0.075,-,130.320,69.960
'48:11:21.512',0.075,-,129.480,67.560
'48:11:21.520',0.032,-,128.760,65.520
'48:11:21.528',0.032,-,126.360,63.960
'48:11:21.536',0.054,-,123.960,62.760
'48:11:21.544',0.032,-,120.720,61.920
'48:11:21.552',0.011,-,117.480,61.560
'48:11:21.560',0.032,-,113.520,61.560
'48:11:21.568',0.011,-,110.280,61.560
'48:11:21.576',0.000,-,107.160,61.560
'48:11:21.584',0.000,-,104.760,61.080
'48:11:21.592',0.011,-,103.080,61.080
'48:11:21.600',0.032,-,103.080,60.360
'48:11:21.608',0.000,-,104.760,59.520
'48:11:21.616',0.000,-,107.160,58.320
'48:11:21.624',0.011,-,110.280,57.120
'48:11:21.632',0.011,-,115.080,55.560
'48:11:21.640',0.011,-,119.880,53.880
'48:11:21.648',0.011,-,124.680,52.320
'48:11:21.656',0.032,-,129.480,51.120
'48:11:21.664',0.000,-,133.560,49.560
'48:11:21.672',0.011,-,137.520,47.880
'48:11:21.680',0.000,-,140.760,46.680
'48:11:21.688',0.032,-,143.160,45.480
'48:11:21.696',0.011,-,144.720,44.280
'48:11:21.704',0.075,-,145.560,43.080
'48:11:21.712',0.075,-,146.280,42.360
'48:11:21.720',0.097,-,146.280,41.520
'48:11:21.728',0.118,-,145.560,40.680
'48:11:21.736',0.140,-,144.720,40.680
'48:11:21.744',0.075,-,143.880,40.320
'48:11:21.752',0.075,-,142.320,40.320
'48:11:21.760',0.054,-,139.920,39.960
'48:11:21.768',0.075,-,137.520,39.480
'48:11:21.776',0.075,-,135.120,39.120
'48:11:21.784',0.075,-,131.880,38.760
'48:11:21.792',0.011,-,129.480,38.280
'48:11:21.800',0.000,-,126.360,38.280
'48:11:21.808',0.000,-,123.960,38.280
'48:11:21.816',-0.011,-,121.560,38.760
'48:11:21.824',0.000,-,119.160,38.760
'48:11:21.832',-0.032,-,116.760,38.760
'48:11:21.840',0.000,-,115.080,38.280
'48:11:21.848',-0.011,-,112.680,38.280
'48:11:21.856',-0.011,-,111.120,37.920
'48:11:21.864',-0.032,-,108.720,37.920
'48:11:21.872',0.140,-,106.320,37.920
'48:11:21.880',0.516,-,102.360,37.920
'48:11:21.888',0.849,-,98.280,37.920
'48:11:21.896',0.516,-,93.480,37.920
