'Elapsed time','II','III','AVR','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'47:35:33.696',-0.120,-,-,-0.048,-,-
'47:35:33.704',-0.120,-,-,-0.048,-,-
'47:35:33.712',-0.112,-,-,-0.040,-,-
'47:35:33.720',-0.112,-,-,-0.040,-,-
'47:35:33.728',-0.120,-,-,-0.040,-,-
'47:35:33.736',-0.120,-,-,-0.040,-,-
'47:35:33.744',-0.120,-,-,-0.048,-,-
'47:35:33.752',-0.120,-,-,-0.048,-,-
'47:35:33.760',-0.120,-,-,-0.048,-,-
'47:35:33.768',-0.120,-,-,-0.056,-,-
'47:35:33.776',-0.120,-,-,-0.056,-,-
'47:35:33.784',-0.120,-,-,-0.048,-,-
'47:35:33.792',-0.120,-,-,-0.056,-,-
'47:35:33.800',-0.120,-,-,-0.064,-,-
'47:35:33.808',-0.120,-,-,-0.064,-,-
'47:35:33.816',-0.120,-,-,-0.064,-,-
'47:35:33.824',-0.112,-,-,-0.064,-,-
'47:35:33.832',-0.096,-,-,-0.064,-,-
'47:35:33.840',-0.072,-,-,-0.048,-,-
'47:35:33.848',-0.048,-,-,-0.040,-,-
'47:35:33.856',-0.024,-,-,-0.024,-,-
'47:35:33.864',-0.008,-,-,-0.016,-,-
'47:35:33.872',0.000,-,-,0.000,-,-
'47:35:33.880',0.000,-,-,0.000,-,-
'47:35:33.888',0.008,-,-,0.008,-,-
'47:35:33.896',0.008,-,-,0.008,-,-
'47:35:33.904',0.008,-,-,0.008,-,-
'47:35:33.912',0.008,-,-,0.016,-,-
'47:35:33.920',0.008,-,-,0.016,-,-
'47:35:33.928',0.008,-,-,0.016,-,-
'47:35:33.936',0.008,-,-,0.016,-,-
'47:35:33.944',0.008,-,-,0.008,-,-
'47:35:33.952',0.008,-,-,0.008,-,-
'47:35:33.960',0.008,-,-,0.008,-,-
'47:35:33.968',0.008,-,-,0.008,-,-
'47:35:33.976',0.008,-,-,0.000,-,-
'47:35:33.984',0.000,-,-,-0.024,-,-
'47:35:33.992',-0.008,-,-,-0.088,-,-
'47:35:34.000',-0.048,-,-,-0.184,-,-
'47:35:34.008',-0.128,-,-,-0.328,-,-
'47:35:34.016',-0.288,-,-,-0.544,-,-
'47:35:34.024',-0.472,-,-,-0.736,-,-
'47:35:34.032',-0.608,-,-,-0.832,-,-
'47:35:34.040',-0.728,-,-,-0.816,-,-
'47:35:34.048',-0.824,-,-,-0.744,-,-
'47:35:34.056',-0.824,-,-,-0.616,-,-
'47:35:34.064',-0.616,-,-,-0.432,-,-
'47:35:34.072',-0.456,-,-,-0.256,-,-
'47:35:34.080',-0.384,-,-,-0.168,-,-
'47:35:34.088',-0.352,-,-,-0.160,-,-
'47:35:34.096',-0.256,-,-,-0.120,-,-
'47:35:34.104',-0.112,-,-,-0.032,-,-
'47:35:34.112',0.040,-,-,0.080,-,-
'47:35:34.120',0.160,-,-,0.176,-,-
'47:35:34.128',0.216,-,-,0.224,-,-
'47:35:34.136',0.232,-,-,0.248,-,-
'47:35:34.144',0.248,-,-,0.256,-,-
'47:35:34.152',0.256,-,-,0.272,-,-
'47:35:34.160',0.280,-,-,0.288,-,-
'47:35:34.168',0.312,-,-,0.312,-,-
