'Elapsed time','II','AVR','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'44:31:19.200',0.047,-,-,-0.028,-,-,-
'44:31:19.208',0.057,-,-,0.066,-,-,-
'44:31:19.216',0.057,-,-,0.113,-,-,-
'44:31:19.224',0.047,-,-,0.057,-,-,-
'44:31:19.232',0.028,-,-,0.038,-,-,-
'44:31:19.240',0.000,-,-,0.000,-,-,-
'44:31:19.248',0.000,-,-,-0.038,-,-,-
'44:31:19.256',0.000,-,-,0.057,-,-,-
'44:31:19.264',0.000,-,-,0.057,-,-,-
'44:31:19.272',0.009,-,-,-0.047,-,-,-
'44:31:19.280',0.028,-,-,0.019,-,-,-
'44:31:19.288',0.009,-,-,0.047,-,-,-
'44:31:19.296',0.000,-,-,0.057,-,-,-
'44:31:19.304',0.000,-,-,-0.009,-,-,-
'44:31:19.312',0.047,-,-,-0.019,-,-,-
'44:31:19.320',0.057,-,-,0.132,-,-,-
'44:31:19.328',0.047,-,-,0.151,-,-,-
'44:31:19.336',0.028,-,-,0.019,-,-,-
'44:31:19.344',0.028,-,-,0.000,-,-,-
'44:31:19.352',0.009,-,-,-0.009,-,-,-
'44:31:19.360',-0.009,-,-,0.038,-,-,-
'44:31:19.368',-0.028,-,-,-0.113,-,-,-
'44:31:19.376',-0.009,-,-,-0.047,-,-,-
'44:31:19.384',-0.009,-,-,0.000,-,-,-
'44:31:19.392',-0.028,-,-,-0.047,-,-,-
'44:31:19.400',-0.028,-,-,-0.057,-,-,-
'44:31:19.408',-0.047,-,-,0.009,-,-,-
'44:31:19.416',-0.047,-,-,0.019,-,-,-
'44:31:19.424',-0.028,-,-,-0.047,-,-,-
'44:31:19.432',-0.009,-,-,-0.028,-,-,-
'44:31:19.440',-0.028,-,-,-0.047,-,-,-
'44:31:19.448',-0.047,-,-,-0.057,-,-,-
'44:31:19.456',-0.057,-,-,0.019,-,-,-
'44:31:19.464',-0.009,-,-,-0.132,-,-,-
'44:31:19.472',0.075,-,-,0.019,-,-,-
'44:31:19.480',0.208,-,-,0.085,-,-,-
'44:31:19.488',0.340,-,-,0.292,-,-,-
'44:31:19.496',0.387,-,-,0.340,-,-,-
'44:31:19.504',0.453,-,-,0.274,-,-,-
'44:31:19.512',0.472,-,-,0.434,-,-,-
'44:31:19.520',0.274,-,-,0.434,-,-,-
'44:31:19.528',0.057,-,-,0.000,-,-,-
'44:31:19.536',-0.047,-,-,-0.104,-,-,-
'44:31:19.544',-0.142,-,-,-0.094,-,-,-
'44:31:19.552',-0.189,-,-,-0.208,-,-,-
'44:31:19.560',-0.179,-,-,-0.189,-,-,-
'44:31:19.568',-0.142,-,-,-0.198,-,-,-
'44:31:19.576',-0.123,-,-,-0.085,-,-,-
'44:31:19.584',-0.094,-,-,-0.066,-,-,-
'44:31:19.592',-0.057,-,-,-0.094,-,-,-
'44:31:19.600',-0.057,-,-,-0.085,-,-,-
'44:31:19.608',-0.075,-,-,-0.094,-,-,-
'44:31:19.616',-0.075,-,-,-0.057,-,-,-
'44:31:19.624',-0.094,-,-,-0.028,-,-,-
'44:31:19.632',-0.047,-,-,-0.113,-,-,-
'44:31:19.640',-0.028,-,-,0.019,-,-,-
'44:31:19.648',-0.047,-,-,0.038,-,-,-
'44:31:19.656',-0.057,-,-,-0.057,-,-,-
'44:31:19.664',-0.057,-,-,-0.094,-,-,-
'44:31:19.672',-0.057,-,-,-0.047,-,-,-
'44:31:19.680',-0.057,-,-,-0.066,-,-,-
'44:31:19.688',-0.057,-,-,-0.038,-,-,-
'44:31:19.696',-0.057,-,-,-0.085,-,-,-
'44:31:19.704',-0.075,-,-,-0.047,-,-,-
'44:31:19.712',-0.075,-,-,-0.123,-,-,-
'44:31:19.720',-0.057,-,-,-0.047,-,-,-
'44:31:19.728',-0.075,-,-,-0.009,-,-,-
'44:31:19.736',-0.094,-,-,-0.113,-,-,-
'44:31:19.744',-0.075,-,-,-0.142,-,-,-
'44:31:19.752',-0.028,-,-,-0.028,-,-,-
'44:31:19.760',0.000,-,-,-0.047,-,-,-
'44:31:19.768',0.028,-,-,0.000,-,-,-
'44:31:19.776',0.047,-,-,-0.038,-,-,-
'44:31:19.784',0.075,-,-,-0.047,-,-,-
'44:31:19.792',0.094,-,-,0.085,-,-,-
'44:31:19.800',0.075,-,-,0.066,-,-,-
'44:31:19.808',0.047,-,-,0.094,-,-,-
'44:31:19.816',0.009,-,-,0.028,-,-,-
'44:31:19.824',0.000,-,-,0.000,-,-,-
'44:31:19.832',0.000,-,-,-0.047,-,-,-
'44:31:19.840',0.009,-,-,0.038,-,-,-
'44:31:19.848',0.009,-,-,0.047,-,-,-
'44:31:19.856',0.000,-,-,0.019,-,-,-
'44:31:19.864',0.000,-,-,0.000,-,-,-
'44:31:19.872',0.000,-,-,-0.019,-,-,-
'44:31:19.880',-0.009,-,-,-0.019,-,-,-
'44:31:19.888',-0.028,-,-,0.019,-,-,-
'44:31:19.896',-0.009,-,-,-0.047,-,-,-
'44:31:19.904',0.000,-,-,0.019,-,-,-
'44:31:19.912',0.000,-,-,-0.019,-,-,-
'44:31:19.920',0.000,-,-,-0.009,-,-,-
'44:31:19.928',0.009,-,-,-0.019,-,-,-
'44:31:19.936',0.009,-,-,0.066,-,-,-
'44:31:19.944',0.000,-,-,0.000,-,-,-
'44:31:19.952',0.028,-,-,0.000,-,-,-
'44:31:19.960',0.113,-,-,0.019,-,-,-
'44:31:19.968',0.226,-,-,0.142,-,-,-
'44:31:19.976',0.311,-,-,0.255,-,-,-
'44:31:19.984',0.358,-,-,0.292,-,-,-
'44:31:19.992',0.406,-,-,0.274,-,-,-
'44:31:20.000',0.406,-,-,0.349,-,-,-
'44:31:20.008',0.292,-,-,0.368,-,-,-
'44:31:20.016',0.142,-,-,0.085,-,-,-
'44:31:20.024',0.028,-,-,-0.009,-,-,-
'44:31:20.032',-0.057,-,-,-0.094,-,-,-
'44:31:20.040',-0.113,-,-,-0.170,-,-,-
'44:31:20.048',-0.113,-,-,-0.170,-,-,-
'44:31:20.056',-0.094,-,-,-0.094,-,-,-
'44:31:20.064',-0.094,-,-,-0.123,-,-,-
'44:31:20.072',-0.057,-,-,-0.066,-,-,-
'44:31:20.080',-0.028,-,-,-0.009,-,-,-
'44:31:20.088',-0.028,-,-,0.028,-,-,-
'44:31:20.096',-0.028,-,-,-0.028,-,-,-
'44:31:20.104',-0.009,-,-,-0.047,-,-,-
'44:31:20.112',-0.009,-,-,0.000,-,-,-
'44:31:20.120',-0.009,-,-,-0.038,-,-,-
'44:31:20.128',0.000,-,-,-0.047,-,-,-
'44:31:20.136',0.000,-,-,0.019,-,-,-
'44:31:20.144',0.000,-,-,0.009,-,-,-
'44:31:20.152',0.000,-,-,0.038,-,-,-
'44:31:20.160',0.000,-,-,-0.019,-,-,-
'44:31:20.168',-0.047,-,-,-0.047,-,-,-
'44:31:20.176',-0.075,-,-,-0.094,-,-,-
'44:31:20.184',-0.075,-,-,-0.057,-,-,-
'44:31:20.192',-0.075,-,-,-0.038,-,-,-
'44:31:20.200',-0.057,-,-,-0.066,-,-,-
'44:31:20.208',-0.028,-,-,0.038,-,-,-
'44:31:20.216',-0.009,-,-,0.057,-,-,-
'44:31:20.224',-0.047,-,-,-0.047,-,-,-
'44:31:20.232',-0.028,-,-,-0.104,-,-,-
'44:31:20.240',0.009,-,-,0.000,-,-,-
'44:31:20.248',0.047,-,-,-0.009,-,-,-
'44:31:20.256',0.094,-,-,0.038,-,-,-
'44:31:20.264',0.123,-,-,0.028,-,-,-
'44:31:20.272',0.142,-,-,0.132,-,-,-
'44:31:20.280',0.123,-,-,0.123,-,-,-
'44:31:20.288',0.123,-,-,0.085,-,-,-
