'Elapsed time','II','AVL','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'5:27:42.064',0.144,-,-0.976,-,55.200,-
'5:27:42.072',0.112,-,-0.952,-,54.400,-
'5:27:42.080',0.088,-,-0.912,-,53.600,-
'5:27:42.088',0.064,-,-0.864,-,52.000,-
'5:27:42.096',0.032,-,-0.840,-,50.400,-
'5:27:42.104',0.024,-,-0.800,-,48.800,-
'5:27:42.112',0.000,-,-0.760,-,47.200,-
'5:27:42.120',-0.024,-,-0.736,-,45.600,-
'5:27:42.128',-0.032,-,-0.688,-,44.800,-
'5:27:42.136',-0.048,-,-0.672,-,44.000,-
'5:27:42.144',-0.048,-,-0.624,-,44.000,-
'5:27:42.152',-0.032,-,-0.608,-,43.200,-
'5:27:42.160',-0.032,-,-0.560,-,43.200,-
'5:27:42.168',-0.024,-,-0.536,-,42.400,-
'5:27:42.176',-0.024,-,-0.496,-,41.600,-
'5:27:42.184',-0.032,-,-0.472,-,40.800,-
'5:27:42.192',-0.048,-,-0.432,-,40.800,-
'5:27:42.200',-0.048,-,-0.408,-,40.800,-
'5:27:42.208',-0.048,-,-0.384,-,40.000,-
'5:27:42.216',-0.048,-,-0.344,-,40.000,-
'5:27:42.224',-0.048,-,-0.320,-,40.000,-
'5:27:42.232',-0.048,-,-0.280,-,40.000,-
'5:27:42.240',-0.048,-,-0.256,-,40.000,-
'5:27:42.248',-0.064,-,-0.232,-,39.200,-
'5:27:42.256',-0.064,-,-0.192,-,39.200,-
'5:27:42.264',-0.064,-,-0.168,-,39.200,-
'5:27:42.272',-0.048,-,-0.152,-,40.000,-
'5:27:42.280',-0.032,-,-0.104,-,40.000,-
'5:27:42.288',-0.032,-,-0.064,-,40.000,-
'5:27:42.296',-0.032,-,-0.040,-,40.000,-
'5:27:42.304',-0.032,-,0.000,-,39.200,-
'5:27:42.312',-0.032,-,0.040,-,39.200,-
'5:27:42.320',-0.032,-,0.104,-,39.200,-
'5:27:42.328',-0.024,-,0.152,-,39.200,-
