'Elapsed time','II','III','AVR','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'122:06:03.312',0.075,-,-,-,48.800
'122:06:03.320',0.075,-,-,-,48.800
'122:06:03.328',0.075,-,-,-,47.200
'122:06:03.336',0.075,-,-,-,47.200
'122:06:03.344',0.050,-,-,-,46.400
'122:06:03.352',0.025,-,-,-,46.400
'122:06:03.360',0.000,-,-,-,46.400
'122:06:03.368',-0.025,-,-,-,46.400
'122:06:03.376',-0.050,-,-,-,46.400
'122:06:03.384',-0.075,-,-,-,46.400
'122:06:03.392',-0.075,-,-,-,44.800
'122:06:03.400',-0.100,-,-,-,44.800
'122:06:03.408',-0.100,-,-,-,44.800
'122:06:03.416',-0.100,-,-,-,44.800
'122:06:03.424',-0.075,-,-,-,44.800
'122:06:03.432',-0.050,-,-,-,44.800
'122:06:03.440',-0.025,-,-,-,44.800
'122:06:03.448',0.000,-,-,-,44.000
'122:06:03.456',0.025,-,-,-,44.000
'122:06:03.464',0.050,-,-,-,44.000
'122:06:03.472',0.075,-,-,-,44.000
'122:06:03.480',0.075,-,-,-,44.000
'122:06:03.488',0.225,-,-,-,42.400
'122:06:03.496',0.675,-,-,-,42.400
'122:06:03.504',1.275,-,-,-,42.400
'122:06:03.512',1.450,-,-,-,42.400
'122:06:03.520',0.900,-,-,-,42.400
'122:06:03.528',-0.175,-,-,-,42.400
'122:06:03.536',-1.075,-,-,-,41.600
'122:06:03.544',-1.225,-,-,-,41.600
'122:06:03.552',-0.700,-,-,-,41.600
'122:06:03.560',-0.375,-,-,-,41.600
'122:06:03.568',-0.250,-,-,-,41.600
'122:06:03.576',-0.250,-,-,-,40.000
'122:06:03.584',-0.225,-,-,-,40.000
'122:06:03.592',-0.200,-,-,-,40.000
'122:06:03.600',-0.125,-,-,-,39.200
'122:06:03.608',-0.100,-,-,-,39.200
'122:06:03.616',-0.050,-,-,-,39.200
'122:06:03.624',-0.025,-,-,-,39.200
'122:06:03.632',0.000,-,-,-,39.200
'122:06:03.640',0.000,-,-,-,39.200
'122:06:03.648',0.000,-,-,-,39.200
'122:06:03.656',0.025,-,-,-,40.000
'122:06:03.664',0.025,-,-,-,42.400
'122:06:03.672',0.050,-,-,-,47.200
'122:06:03.680',0.000,-,-,-,53.600
'122:06:03.688',-0.050,-,-,-,60.800
'122:06:03.696',-0.075,-,-,-,68.000
'122:06:03.704',-0.100,-,-,-,73.600
'122:06:03.712',-0.125,-,-,-,80.000
'122:06:03.720',-0.125,-,-,-,86.400
'122:06:03.728',-0.175,-,-,-,93.600
'122:06:03.736',-0.175,-,-,-,100.800
'122:06:03.744',-0.125,-,-,-,108.000
'122:06:03.752',-0.100,-,-,-,113.600
'122:06:03.760',-0.050,-,-,-,117.600
'122:06:03.768',0.000,-,-,-,120.000
'122:06:03.776',0.025,-,-,-,120.800
'122:06:03.784',0.025,-,-,-,122.400
'122:06:03.792',0.050,-,-,-,122.400
'122:06:03.800',0.075,-,-,-,120.800
