'Elapsed time','II','III','AVR','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'47:38:40.696',0.008,-,-,0.016,-,-
'47:38:40.704',0.008,-,-,0.016,-,-
'47:38:40.712',0.008,-,-,0.008,-,-
'47:38:40.720',0.008,-,-,0.008,-,-
'47:38:40.728',0.008,-,-,0.008,-,-
'47:38:40.736',0.008,-,-,0.008,-,-
'47:38:40.744',0.008,-,-,0.008,-,-
'47:38:40.752',0.008,-,-,0.008,-,-
'47:38:40.760',0.000,-,-,0.008,-,-
'47:38:40.768',0.000,-,-,0.000,-,-
'47:38:40.776',0.008,-,-,0.008,-,-
'47:38:40.784',0.016,-,-,0.016,-,-
'47:38:40.792',0.032,-,-,0.032,-,-
'47:38:40.800',0.048,-,-,0.040,-,-
'47:38:40.808',0.056,-,-,0.048,-,-
'47:38:40.816',0.072,-,-,0.056,-,-
'47:38:40.824',0.088,-,-,0.064,-,-
'47:38:40.832',0.096,-,-,0.064,-,-
'47:38:40.840',0.080,-,-,0.048,-,-
'47:38:40.848',0.056,-,-,0.024,-,-
'47:38:40.856',0.040,-,-,0.008,-,-
'47:38:40.864',0.024,-,-,-0.008,-,-
'47:38:40.872',-0.008,-,-,-0.024,-,-
'47:38:40.880',-0.040,-,-,-0.040,-,-
'47:38:40.888',-0.056,-,-,-0.048,-,-
'47:38:40.896',-0.064,-,-,-0.048,-,-
'47:38:40.904',-0.072,-,-,-0.056,-,-
'47:38:40.912',-0.072,-,-,-0.056,-,-
'47:38:40.920',-0.064,-,-,-0.056,-,-
'47:38:40.928',-0.064,-,-,-0.048,-,-
'47:38:40.936',-0.064,-,-,-0.040,-,-
'47:38:40.944',-0.064,-,-,-0.040,-,-
'47:38:40.952',-0.056,-,-,-0.040,-,-
'47:38:40.960',-0.056,-,-,-0.040,-,-
'47:38:40.968',-0.056,-,-,-0.032,-,-
'47:38:40.976',-0.056,-,-,-0.032,-,-
'47:38:40.984',-0.040,-,-,-0.040,-,-
'47:38:40.992',0.016,-,-,-0.056,-,-
'47:38:41.000',0.176,-,-,-0.072,-,-
'47:38:41.008',0.456,-,-,-0.048,-,-
'47:38:41.016',0.736,-,-,0.088,-,-
'47:38:41.024',0.800,-,-,0.272,-,-
'47:38:41.032',0.632,-,-,0.376,-,-
'47:38:41.040',0.424,-,-,0.384,-,-
'47:38:41.048',0.248,-,-,0.272,-,-
'47:38:41.056',0.096,-,-,0.160,-,-
'47:38:41.064',-0.032,-,-,0.048,-,-
'47:38:41.072',-0.120,-,-,-0.032,-,-
'47:38:41.080',-0.144,-,-,-0.056,-,-
'47:38:41.088',-0.144,-,-,-0.056,-,-
'47:38:41.096',-0.144,-,-,-0.056,-,-
'47:38:41.104',-0.144,-,-,-0.056,-,-
'47:38:41.112',-0.144,-,-,-0.056,-,-
'47:38:41.120',-0.136,-,-,-0.056,-,-
'47:38:41.128',-0.136,-,-,-0.056,-,-
'47:38:41.136',-0.128,-,-,-0.048,-,-
'47:38:41.144',-0.128,-,-,-0.048,-,-
'47:38:41.152',-0.120,-,-,-0.048,-,-
'47:38:41.160',-0.120,-,-,-0.048,-,-
'47:38:41.168',-0.112,-,-,-0.048,-,-
'47:38:41.176',-0.112,-,-,-0.040,-,-
'47:38:41.184',-0.104,-,-,-0.040,-,-
'47:38:41.192',-0.104,-,-,-0.040,-,-
'47:38:41.200',-0.104,-,-,-0.040,-,-
'47:38:41.208',-0.104,-,-,-0.040,-,-
'47:38:41.216',-0.112,-,-,-0.040,-,-
'47:38:41.224',-0.112,-,-,-0.040,-,-
'47:38:41.232',-0.112,-,-,-0.040,-,-
'47:38:41.240',-0.112,-,-,-0.040,-,-
'47:38:41.248',-0.112,-,-,-0.040,-,-
'47:38:41.256',-0.112,-,-,-0.040,-,-
'47:38:41.264',-0.104,-,-,-0.040,-,-
'47:38:41.272',-0.096,-,-,-0.040,-,-
'47:38:41.280',-0.088,-,-,-0.040,-,-
'47:38:41.288',-0.064,-,-,-0.032,-,-
'47:38:41.296',-0.048,-,-,-0.024,-,-
'47:38:41.304',-0.032,-,-,-0.008,-,-
'47:38:41.312',-0.016,-,-,0.000,-,-
'47:38:41.320',0.000,-,-,0.008,-,-
'47:38:41.328',0.008,-,-,0.024,-,-
'47:38:41.336',0.008,-,-,0.024,-,-
'47:38:41.344',0.008,-,-,0.032,-,-
'47:38:41.352',0.008,-,-,0.032,-,-
'47:38:41.360',0.008,-,-,0.032,-,-
'47:38:41.368',0.008,-,-,0.032,-,-
'47:38:41.376',0.008,-,-,0.032,-,-
'47:38:41.384',0.008,-,-,0.032,-,-
'47:38:41.392',0.008,-,-,0.032,-,-
'47:38:41.400',0.000,-,-,0.032,-,-
'47:38:41.408',0.008,-,-,0.032,-,-
'47:38:41.416',0.008,-,-,0.032,-,-
'47:38:41.424',0.008,-,-,0.024,-,-
'47:38:41.432',0.008,-,-,0.024,-,-
'47:38:41.440',0.008,-,-,0.024,-,-
'47:38:41.448',0.008,-,-,0.024,-,-
'47:38:41.456',0.008,-,-,0.016,-,-
