'Elapsed time','II','III','AVR','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'47:39:25.696',-0.064,-,-,-0.040,-,-
'47:39:25.704',-0.064,-,-,-0.040,-,-
'47:39:25.712',-0.056,-,-,-0.040,-,-
'47:39:25.720',-0.056,-,-,-0.040,-,-
'47:39:25.728',-0.056,-,-,-0.040,-,-
'47:39:25.736',-0.032,-,-,-0.056,-,-
'47:39:25.744',0.064,-,-,-0.072,-,-
'47:39:25.752',0.280,-,-,-0.080,-,-
'47:39:25.760',0.584,-,-,-0.016,-,-
'47:39:25.768',0.792,-,-,0.152,-,-
'47:39:25.776',0.800,-,-,0.312,-,-
'47:39:25.784',0.536,-,-,0.368,-,-
'47:39:25.792',0.344,-,-,0.328,-,-
'47:39:25.800',0.168,-,-,0.224,-,-
'47:39:25.808',0.032,-,-,0.104,-,-
'47:39:25.816',-0.080,-,-,0.008,-,-
'47:39:25.824',-0.136,-,-,-0.048,-,-
'47:39:25.832',-0.144,-,-,-0.056,-,-
'47:39:25.840',-0.144,-,-,-0.056,-,-
'47:39:25.848',-0.144,-,-,-0.056,-,-
'47:39:25.856',-0.144,-,-,-0.048,-,-
'47:39:25.864',-0.136,-,-,-0.040,-,-
'47:39:25.872',-0.128,-,-,-0.040,-,-
'47:39:25.880',-0.120,-,-,-0.040,-,-
'47:39:25.888',-0.112,-,-,-0.040,-,-
'47:39:25.896',-0.112,-,-,-0.040,-,-
'47:39:25.904',-0.112,-,-,-0.032,-,-
'47:39:25.912',-0.104,-,-,-0.032,-,-
'47:39:25.920',-0.104,-,-,-0.032,-,-
'47:39:25.928',-0.104,-,-,-0.032,-,-
'47:39:25.936',-0.112,-,-,-0.032,-,-
'47:39:25.944',-0.104,-,-,-0.032,-,-
'47:39:25.952',-0.104,-,-,-0.032,-,-
'47:39:25.960',-0.104,-,-,-0.032,-,-
'47:39:25.968',-0.104,-,-,-0.032,-,-
'47:39:25.976',-0.112,-,-,-0.032,-,-
'47:39:25.984',-0.112,-,-,-0.032,-,-
'47:39:25.992',-0.112,-,-,-0.032,-,-
'47:39:26.000',-0.112,-,-,-0.040,-,-
'47:39:26.008',-0.112,-,-,-0.040,-,-
'47:39:26.016',-0.104,-,-,-0.040,-,-
'47:39:26.024',-0.096,-,-,-0.040,-,-
'47:39:26.032',-0.080,-,-,-0.040,-,-
'47:39:26.040',-0.064,-,-,-0.032,-,-
'47:39:26.048',-0.048,-,-,-0.024,-,-
'47:39:26.056',-0.024,-,-,-0.008,-,-
'47:39:26.064',-0.008,-,-,0.000,-,-
'47:39:26.072',0.008,-,-,0.008,-,-
'47:39:26.080',0.008,-,-,0.016,-,-
'47:39:26.088',0.016,-,-,0.016,-,-
'47:39:26.096',0.016,-,-,0.016,-,-
'47:39:26.104',0.016,-,-,0.024,-,-
'47:39:26.112',0.016,-,-,0.024,-,-
'47:39:26.120',0.016,-,-,0.024,-,-
'47:39:26.128',0.016,-,-,0.024,-,-
'47:39:26.136',0.016,-,-,0.024,-,-
'47:39:26.144',0.016,-,-,0.024,-,-
'47:39:26.152',0.016,-,-,0.024,-,-
'47:39:26.160',0.016,-,-,0.024,-,-
'47:39:26.168',0.008,-,-,0.024,-,-
'47:39:26.176',0.008,-,-,0.024,-,-
'47:39:26.184',0.008,-,-,0.024,-,-
'47:39:26.192',0.008,-,-,0.024,-,-
'47:39:26.200',0.008,-,-,0.024,-,-
'47:39:26.208',0.008,-,-,0.024,-,-
'47:39:26.216',0.016,-,-,0.024,-,-
'47:39:26.224',0.016,-,-,0.016,-,-
'47:39:26.232',0.016,-,-,0.016,-,-
'47:39:26.240',0.016,-,-,0.016,-,-
'47:39:26.248',0.016,-,-,0.024,-,-
'47:39:26.256',0.016,-,-,0.024,-,-
'47:39:26.264',0.016,-,-,0.024,-,-
'47:39:26.272',0.016,-,-,0.024,-,-
'47:39:26.280',0.016,-,-,0.024,-,-
'47:39:26.288',0.016,-,-,0.024,-,-
'47:39:26.296',0.016,-,-,0.024,-,-
'47:39:26.304',0.016,-,-,0.024,-,-
'47:39:26.312',0.016,-,-,0.024,-,-
'47:39:26.320',0.016,-,-,0.024,-,-
'47:39:26.328',0.016,-,-,0.024,-,-
'47:39:26.336',0.016,-,-,0.024,-,-
'47:39:26.344',0.024,-,-,0.024,-,-
'47:39:26.352',0.032,-,-,0.032,-,-
'47:39:26.360',0.048,-,-,0.048,-,-
'47:39:26.368',0.064,-,-,0.064,-,-
'47:39:26.376',0.080,-,-,0.072,-,-
'47:39:26.384',0.096,-,-,0.080,-,-
'47:39:26.392',0.112,-,-,0.088,-,-
'47:39:26.400',0.128,-,-,0.088,-,-
'47:39:26.408',0.128,-,-,0.088,-,-
'47:39:26.416',0.096,-,-,0.064,-,-
'47:39:26.424',0.072,-,-,0.032,-,-
'47:39:26.432',0.056,-,-,0.016,-,-
'47:39:26.440',0.024,-,-,0.000,-,-
'47:39:26.448',-0.008,-,-,-0.008,-,-
'47:39:26.456',-0.024,-,-,-0.016,-,-
'47:39:26.464',-0.040,-,-,-0.024,-,-
'47:39:26.472',-0.048,-,-,-0.024,-,-
'47:39:26.480',-0.048,-,-,-0.024,-,-
'47:39:26.488',-0.048,-,-,-0.024,-,-
'47:39:26.496',-0.040,-,-,-0.016,-,-
'47:39:26.504',-0.016,-,-,0.000,-,-
'47:39:26.512',0.000,-,-,0.008,-,-
'47:39:26.520',-0.016,-,-,-0.008,-,-
