'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'14:54:32.416',0.088,0.091,-,-,-,-,47.200
'14:54:32.424',0.104,0.091,-,-,-,-,47.200
'14:54:32.432',0.120,0.058,-,-,-,-,47.200
'14:54:32.440',0.128,0.074,-,-,-,-,46.400
'14:54:32.448',0.152,0.116,-,-,-,-,46.400
'14:54:32.456',0.200,0.140,-,-,-,-,46.400
'14:54:32.464',0.240,0.215,-,-,-,-,46.400
'14:54:32.472',0.200,0.256,-,-,-,-,45.600
'14:54:32.480',0.176,0.281,-,-,-,-,45.600
'14:54:32.488',0.192,0.331,-,-,-,-,45.600
'14:54:32.496',0.128,0.289,-,-,-,-,45.600
'14:54:32.504',0.088,0.231,-,-,-,-,45.600
'14:54:32.512',0.056,0.198,-,-,-,-,45.600
'14:54:32.520',0.016,0.132,-,-,-,-,45.600
'14:54:32.528',0.000,0.074,-,-,-,-,44.800
'14:54:32.536',-0.008,0.025,-,-,-,-,44.800
'14:54:32.544',-0.040,-0.008,-,-,-,-,44.800
'14:54:32.552',-0.064,-0.017,-,-,-,-,45.600
'14:54:32.560',-0.056,-0.017,-,-,-,-,47.200
'14:54:32.568',-0.088,-0.041,-,-,-,-,50.400
'14:54:32.576',-0.096,-0.041,-,-,-,-,55.200
'14:54:32.584',-0.088,-0.033,-,-,-,-,61.600
'14:54:32.592',-0.096,-0.041,-,-,-,-,67.200
'14:54:32.600',-0.112,-0.050,-,-,-,-,70.400
'14:54:32.608',-0.104,-0.058,-,-,-,-,72.800
'14:54:32.616',-0.128,-0.066,-,-,-,-,73.600
'14:54:32.624',-0.104,-0.058,-,-,-,-,72.800
'14:54:32.632',-0.136,-0.107,-,-,-,-,72.800
'14:54:32.640',-0.128,-0.116,-,-,-,-,71.200
'14:54:32.648',-0.144,-0.132,-,-,-,-,69.600
'14:54:32.656',-0.152,-0.157,-,-,-,-,67.200
'14:54:32.664',-0.144,-0.157,-,-,-,-,64.800
'14:54:32.672',-0.128,-0.165,-,-,-,-,63.200
'14:54:32.680',-0.096,-0.157,-,-,-,-,60.800
'14:54:32.688',-0.088,-0.149,-,-,-,-,59.200
'14:54:32.696',-0.072,-0.140,-,-,-,-,56.800
'14:54:32.704',-0.040,-0.116,-,-,-,-,55.200
'14:54:32.712',-0.048,-0.116,-,-,-,-,53.600
'14:54:32.720',-0.040,-0.132,-,-,-,-,52.800
'14:54:32.728',-0.016,-0.107,-,-,-,-,53.600
'14:54:32.736',0.000,-0.099,-,-,-,-,54.400
'14:54:32.744',-0.008,-0.099,-,-,-,-,55.200
'14:54:32.752',0.000,-0.099,-,-,-,-,56.000
'14:54:32.760',0.000,-0.091,-,-,-,-,56.000
'14:54:32.768',0.008,-0.066,-,-,-,-,55.200
'14:54:32.776',0.008,-0.050,-,-,-,-,54.400
'14:54:32.784',0.032,-0.017,-,-,-,-,53.600
'14:54:32.792',0.048,-0.008,-,-,-,-,53.600
'14:54:32.800',-0.024,-0.050,-,-,-,-,52.800
'14:54:32.808',-0.016,-0.058,-,-,-,-,52.000
'14:54:32.816',-0.072,-0.041,-,-,-,-,52.000
'14:54:32.824',-0.040,-0.066,-,-,-,-,52.000
'14:54:32.832',-0.008,-0.050,-,-,-,-,51.200
'14:54:32.840',0.000,-0.033,-,-,-,-,51.200
'14:54:32.848',-0.008,-0.025,-,-,-,-,51.200
'14:54:32.856',0.056,-0.033,-,-,-,-,51.200
'14:54:32.864',0.040,-0.041,-,-,-,-,51.200
'14:54:32.872',0.032,-0.025,-,-,-,-,51.200
'14:54:32.880',0.008,-0.025,-,-,-,-,51.200
'14:54:32.888',0.016,-0.033,-,-,-,-,51.200
'14:54:32.896',-0.016,-0.041,-,-,-,-,51.200
'14:54:32.904',-0.016,-0.050,-,-,-,-,50.400
'14:54:32.912',0.000,-0.025,-,-,-,-,50.400
'14:54:32.920',0.000,-0.008,-,-,-,-,50.400
'14:54:32.928',0.000,0.000,-,-,-,-,50.400
'14:54:32.936',0.024,0.017,-,-,-,-,49.600
'14:54:32.944',0.040,0.025,-,-,-,-,49.600
'14:54:32.952',0.064,0.058,-,-,-,-,49.600
'14:54:32.960',0.088,0.091,-,-,-,-,49.600
'14:54:32.968',0.104,0.099,-,-,-,-,49.600
'14:54:32.976',0.120,0.058,-,-,-,-,48.800
'14:54:32.984',0.136,0.066,-,-,-,-,48.800
'14:54:32.992',0.168,0.099,-,-,-,-,48.000
'14:54:33.000',0.200,0.132,-,-,-,-,47.200
'14:54:33.008',0.240,0.198,-,-,-,-,47.200
'14:54:33.016',0.208,0.248,-,-,-,-,46.400
'14:54:33.024',0.176,0.240,-,-,-,-,46.400
'14:54:33.032',0.184,0.298,-,-,-,-,45.600
'14:54:33.040',0.120,0.248,-,-,-,-,45.600
'14:54:33.048',0.048,0.207,-,-,-,-,45.600
'14:54:33.056',0.032,0.165,-,-,-,-,45.600
'14:54:33.064',0.040,0.099,-,-,-,-,45.600
'14:54:33.072',0.016,0.033,-,-,-,-,45.600
'14:54:33.080',-0.008,-0.008,-,-,-,-,46.400
'14:54:33.088',-0.024,-0.033,-,-,-,-,46.400
'14:54:33.096',-0.032,-0.058,-,-,-,-,47.200
'14:54:33.104',-0.048,-0.058,-,-,-,-,49.600
'14:54:33.112',-0.056,-0.066,-,-,-,-,52.800
'14:54:33.120',-0.056,-0.058,-,-,-,-,57.600
'14:54:33.128',-0.072,-0.066,-,-,-,-,64.000
'14:54:33.136',-0.064,-0.058,-,-,-,-,69.600
'14:54:33.144',-0.088,-0.058,-,-,-,-,73.600
'14:54:33.152',-0.096,-0.091,-,-,-,-,76.000
'14:54:33.160',-0.112,-0.099,-,-,-,-,76.000
'14:54:33.168',-0.128,-0.116,-,-,-,-,76.000
'14:54:33.176',-0.144,-0.140,-,-,-,-,75.200
'14:54:33.184',-0.112,-0.116,-,-,-,-,73.600
'14:54:33.192',-0.144,-0.140,-,-,-,-,71.200
'14:54:33.200',-0.168,-0.182,-,-,-,-,68.800
'14:54:33.208',-0.144,-0.157,-,-,-,-,66.400
'14:54:33.216',-0.128,-0.157,-,-,-,-,64.000
'14:54:33.224',-0.088,-0.140,-,-,-,-,62.400
'14:54:33.232',-0.096,-0.149,-,-,-,-,60.000
'14:54:33.240',-0.072,-0.124,-,-,-,-,57.600
'14:54:33.248',-0.064,-0.140,-,-,-,-,55.200
'14:54:33.256',-0.040,-0.132,-,-,-,-,53.600
'14:54:33.264',-0.024,-0.124,-,-,-,-,52.800
'14:54:33.272',0.016,-0.099,-,-,-,-,53.600
'14:54:33.280',0.024,-0.091,-,-,-,-,55.200
'14:54:33.288',0.000,-0.107,-,-,-,-,56.000
'14:54:33.296',0.008,-0.091,-,-,-,-,57.600
'14:54:33.304',-0.008,-0.099,-,-,-,-,57.600
'14:54:33.312',-0.016,-0.091,-,-,-,-,56.800
'14:54:33.320',0.000,-0.091,-,-,-,-,56.000
'14:54:33.328',-0.008,-0.066,-,-,-,-,56.000
'14:54:33.336',0.000,-0.058,-,-,-,-,55.200
'14:54:33.344',-0.016,-0.058,-,-,-,-,55.200
'14:54:33.352',0.000,-0.058,-,-,-,-,54.400
'14:54:33.360',0.000,-0.041,-,-,-,-,54.400
'14:54:33.368',0.000,-0.041,-,-,-,-,54.400
'14:54:33.376',0.008,-0.050,-,-,-,-,54.400
'14:54:33.384',0.024,-0.033,-,-,-,-,53.600
'14:54:33.392',0.032,-0.017,-,-,-,-,53.600
'14:54:33.400',0.040,-0.017,-,-,-,-,53.600
'14:54:33.408',0.008,-0.058,-,-,-,-,53.600
'14:54:33.416',0.016,-0.025,-,-,-,-,52.800
'14:54:33.424',0.008,-0.017,-,-,-,-,52.800
'14:54:33.432',0.016,-0.025,-,-,-,-,52.800
'14:54:33.440',0.008,-0.033,-,-,-,-,52.800
'14:54:33.448',0.016,-0.041,-,-,-,-,52.800
'14:54:33.456',0.016,-0.008,-,-,-,-,52.000
'14:54:33.464',0.000,-0.008,-,-,-,-,52.000
'14:54:33.472',0.024,0.017,-,-,-,-,52.800
'14:54:33.480',0.032,0.025,-,-,-,-,52.800
'14:54:33.488',0.056,0.041,-,-,-,-,52.800
'14:54:33.496',0.064,0.033,-,-,-,-,52.000
'14:54:33.504',0.104,0.099,-,-,-,-,52.000
'14:54:33.512',0.088,0.099,-,-,-,-,52.000
'14:54:33.520',0.120,0.066,-,-,-,-,52.000
'14:54:33.528',0.128,0.099,-,-,-,-,51.200
'14:54:33.536',0.120,0.116,-,-,-,-,51.200
'14:54:33.544',0.208,0.157,-,-,-,-,50.400
'14:54:33.552',0.208,0.215,-,-,-,-,50.400
'14:54:33.560',0.176,0.281,-,-,-,-,49.600
'14:54:33.568',0.168,0.298,-,-,-,-,49.600
'14:54:33.576',0.152,0.331,-,-,-,-,49.600
'14:54:33.584',0.120,0.298,-,-,-,-,49.600
'14:54:33.592',0.088,0.240,-,-,-,-,49.600
'14:54:33.600',0.048,0.207,-,-,-,-,49.600
'14:54:33.608',0.016,0.149,-,-,-,-,48.800
'14:54:33.616',-0.008,0.058,-,-,-,-,48.800
'14:54:33.624',-0.024,0.017,-,-,-,-,48.800
'14:54:33.632',-0.016,-0.008,-,-,-,-,49.600
'14:54:33.640',-0.040,-0.033,-,-,-,-,49.600
'14:54:33.648',-0.064,-0.050,-,-,-,-,51.200
'14:54:33.656',-0.056,-0.058,-,-,-,-,53.600
'14:54:33.664',-0.072,-0.058,-,-,-,-,57.600
'14:54:33.672',-0.064,-0.050,-,-,-,-,64.000
'14:54:33.680',-0.088,-0.058,-,-,-,-,70.400
'14:54:33.688',-0.072,-0.066,-,-,-,-,75.200
'14:54:33.696',-0.088,-0.058,-,-,-,-,77.600
'14:54:33.704',-0.088,-0.091,-,-,-,-,77.600
'14:54:33.712',-0.128,-0.116,-,-,-,-,77.600
'14:54:33.720',-0.128,-0.124,-,-,-,-,76.800
'14:54:33.728',-0.112,-0.140,-,-,-,-,75.200
'14:54:33.736',-0.128,-0.140,-,-,-,-,72.800
'14:54:33.744',-0.112,-0.140,-,-,-,-,70.400
