'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'15:15:01.416',0.000,-0.074,-,-,-,-,59.200
'15:15:01.424',0.000,-0.066,-,-,-,-,58.400
'15:15:01.432',0.008,-0.074,-,-,-,-,58.400
'15:15:01.440',0.000,-0.066,-,-,-,-,57.600
'15:15:01.448',0.000,-0.058,-,-,-,-,56.800
'15:15:01.456',0.000,-0.050,-,-,-,-,56.800
'15:15:01.464',0.008,-0.041,-,-,-,-,56.800
'15:15:01.472',0.000,-0.033,-,-,-,-,56.000
'15:15:01.480',0.008,-0.041,-,-,-,-,56.000
'15:15:01.488',0.000,-0.025,-,-,-,-,56.000
'15:15:01.496',0.016,-0.017,-,-,-,-,56.000
'15:15:01.504',0.000,-0.017,-,-,-,-,56.000
'15:15:01.512',0.008,-0.008,-,-,-,-,56.000
'15:15:01.520',0.000,-0.017,-,-,-,-,56.000
'15:15:01.528',0.008,0.000,-,-,-,-,55.200
'15:15:01.536',0.008,-0.008,-,-,-,-,55.200
'15:15:01.544',0.016,0.000,-,-,-,-,54.400
'15:15:01.552',0.008,0.008,-,-,-,-,54.400
'15:15:01.560',0.024,0.000,-,-,-,-,54.400
'15:15:01.568',0.032,0.033,-,-,-,-,54.400
'15:15:01.576',0.056,0.050,-,-,-,-,54.400
'15:15:01.584',0.064,0.050,-,-,-,-,53.600
'15:15:01.592',0.104,0.091,-,-,-,-,53.600
'15:15:01.600',0.104,0.099,-,-,-,-,53.600
'15:15:01.608',0.104,0.074,-,-,-,-,53.600
'15:15:01.616',0.128,0.099,-,-,-,-,53.600
'15:15:01.624',0.144,0.124,-,-,-,-,53.600
'15:15:01.632',0.176,0.157,-,-,-,-,53.600
'15:15:01.640',0.208,0.231,-,-,-,-,52.800
'15:15:01.648',0.208,0.281,-,-,-,-,52.800
'15:15:01.656',0.168,0.289,-,-,-,-,52.000
'15:15:01.664',0.176,0.331,-,-,-,-,52.000
'15:15:01.672',0.120,0.298,-,-,-,-,52.000
'15:15:01.680',0.080,0.231,-,-,-,-,52.000
'15:15:01.688',0.032,0.198,-,-,-,-,51.200
'15:15:01.696',0.000,0.124,-,-,-,-,51.200
'15:15:01.704',-0.008,0.050,-,-,-,-,51.200
'15:15:01.712',-0.008,0.017,-,-,-,-,51.200
'15:15:01.720',-0.032,-0.017,-,-,-,-,51.200
'15:15:01.728',-0.040,-0.041,-,-,-,-,51.200
'15:15:01.736',-0.056,-0.050,-,-,-,-,52.000
'15:15:01.744',-0.064,-0.058,-,-,-,-,54.400
'15:15:01.752',-0.072,-0.058,-,-,-,-,58.400
'15:15:01.760',-0.072,-0.066,-,-,-,-,63.200
'15:15:01.768',-0.064,-0.058,-,-,-,-,69.600
'15:15:01.776',-0.088,-0.074,-,-,-,-,75.200
'15:15:01.784',-0.104,-0.091,-,-,-,-,78.400
'15:15:01.792',-0.096,-0.099,-,-,-,-,79.200
'15:15:01.800',-0.112,-0.107,-,-,-,-,78.400
'15:15:01.808',-0.128,-0.116,-,-,-,-,78.400
'15:15:01.816',-0.128,-0.124,-,-,-,-,76.800
'15:15:01.824',-0.136,-0.140,-,-,-,-,75.200
'15:15:01.832',-0.128,-0.149,-,-,-,-,72.800
'15:15:01.840',-0.128,-0.157,-,-,-,-,71.200
'15:15:01.848',-0.112,-0.149,-,-,-,-,68.800
'15:15:01.856',-0.096,-0.157,-,-,-,-,66.400
'15:15:01.864',-0.072,-0.157,-,-,-,-,64.000
'15:15:01.872',-0.072,-0.157,-,-,-,-,61.600
'15:15:01.880',-0.064,-0.165,-,-,-,-,60.000
'15:15:01.888',-0.048,-0.149,-,-,-,-,58.400
'15:15:01.896',-0.032,-0.140,-,-,-,-,58.400
'15:15:01.904',-0.016,-0.132,-,-,-,-,59.200
'15:15:01.912',-0.024,-0.140,-,-,-,-,60.800
'15:15:01.920',-0.016,-0.124,-,-,-,-,61.600
'15:15:01.928',0.000,-0.107,-,-,-,-,62.400
'15:15:01.936',-0.008,-0.099,-,-,-,-,61.600
'15:15:01.944',-0.008,-0.099,-,-,-,-,60.000
'15:15:01.952',-0.008,-0.091,-,-,-,-,59.200
'15:15:01.960',-0.016,-0.074,-,-,-,-,58.400
'15:15:01.968',0.000,-0.066,-,-,-,-,58.400
'15:15:01.976',-0.016,-0.058,-,-,-,-,57.600
'15:15:01.984',-0.008,-0.050,-,-,-,-,57.600
'15:15:01.992',0.000,-0.041,-,-,-,-,56.800
