'Elapsed time','II','III','AVR','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'122:08:10.304',0.125,-,-,-,77.600
'122:08:10.312',0.125,-,-,-,77.600
'122:08:10.320',0.100,-,-,-,76.000
'122:08:10.328',0.050,-,-,-,76.000
'122:08:10.336',0.050,-,-,-,76.000
'122:08:10.344',0.025,-,-,-,75.200
'122:08:10.352',0.025,-,-,-,73.600
'122:08:10.360',0.050,-,-,-,72.800
'122:08:10.368',0.100,-,-,-,72.800
'122:08:10.376',0.125,-,-,-,71.200
'122:08:10.384',0.200,-,-,-,71.200
'122:08:10.392',0.250,-,-,-,71.200
'122:08:10.400',0.300,-,-,-,70.400
'122:08:10.408',0.400,-,-,-,70.400
'122:08:10.416',0.425,-,-,-,68.800
'122:08:10.424',0.425,-,-,-,68.000
'122:08:10.432',0.425,-,-,-,68.000
'122:08:10.440',0.400,-,-,-,66.400
'122:08:10.448',0.350,-,-,-,66.400
'122:08:10.456',0.275,-,-,-,65.600
'122:08:10.464',0.225,-,-,-,65.600
'122:08:10.472',0.200,-,-,-,64.000
'122:08:10.480',0.175,-,-,-,64.000
'122:08:10.488',0.075,-,-,-,63.200
'122:08:10.496',0.025,-,-,-,61.600
'122:08:10.504',0.000,-,-,-,61.600
'122:08:10.512',-0.025,-,-,-,60.800
'122:08:10.520',-0.050,-,-,-,60.800
'122:08:10.528',-0.050,-,-,-,59.200
'122:08:10.536',-0.050,-,-,-,59.200
'122:08:10.544',-0.050,-,-,-,58.400
'122:08:10.552',-0.050,-,-,-,58.400
'122:08:10.560',-0.050,-,-,-,56.800
'122:08:10.568',-0.025,-,-,-,56.800
'122:08:10.576',0.000,-,-,-,56.000
'122:08:10.584',0.025,-,-,-,56.000
'122:08:10.592',0.050,-,-,-,54.400
'122:08:10.600',0.075,-,-,-,54.400
'122:08:10.608',0.075,-,-,-,53.600
'122:08:10.616',0.075,-,-,-,53.600
'122:08:10.624',0.075,-,-,-,52.000
'122:08:10.632',0.075,-,-,-,52.000
'122:08:10.640',0.075,-,-,-,51.200
'122:08:10.648',0.050,-,-,-,51.200
'122:08:10.656',0.025,-,-,-,49.600
'122:08:10.664',0.000,-,-,-,49.600
'122:08:10.672',-0.050,-,-,-,49.600
'122:08:10.680',-0.075,-,-,-,48.800
'122:08:10.688',-0.075,-,-,-,48.800
'122:08:10.696',-0.075,-,-,-,48.800
'122:08:10.704',-0.100,-,-,-,47.200
'122:08:10.712',-0.100,-,-,-,47.200
'122:08:10.720',-0.100,-,-,-,47.200
'122:08:10.728',-0.075,-,-,-,47.200
'122:08:10.736',-0.050,-,-,-,47.200
'122:08:10.744',-0.025,-,-,-,47.200
'122:08:10.752',0.000,-,-,-,47.200
'122:08:10.760',0.025,-,-,-,47.200
'122:08:10.768',0.050,-,-,-,46.400
'122:08:10.776',0.075,-,-,-,46.400
'122:08:10.784',0.100,-,-,-,46.400
'122:08:10.792',0.300,-,-,-,47.200
'122:08:10.800',0.850,-,-,-,47.200
'122:08:10.808',1.400,-,-,-,47.200
'122:08:10.816',1.525,-,-,-,46.400
'122:08:10.824',0.750,-,-,-,46.400
'122:08:10.832',-0.375,-,-,-,44.800
'122:08:10.840',-1.125,-,-,-,44.000
'122:08:10.848',-1.200,-,-,-,44.000
'122:08:10.856',-0.600,-,-,-,44.800
'122:08:10.864',-0.350,-,-,-,44.800
'122:08:10.872',-0.275,-,-,-,44.800
'122:08:10.880',-0.250,-,-,-,44.800
'122:08:10.888',-0.225,-,-,-,44.000
'122:08:10.896',-0.175,-,-,-,42.400
'122:08:10.904',-0.125,-,-,-,42.400
'122:08:10.912',-0.075,-,-,-,42.400
'122:08:10.920',-0.050,-,-,-,44.000
'122:08:10.928',-0.025,-,-,-,44.000
'122:08:10.936',0.000,-,-,-,44.000
'122:08:10.944',0.000,-,-,-,44.000
'122:08:10.952',0.000,-,-,-,44.000
'122:08:10.960',0.000,-,-,-,44.800
'122:08:10.968',0.000,-,-,-,48.800
'122:08:10.976',0.000,-,-,-,54.400
'122:08:10.984',-0.050,-,-,-,61.600
'122:08:10.992',-0.075,-,-,-,68.800
'122:08:11.000',-0.100,-,-,-,77.600
'122:08:11.008',-0.125,-,-,-,84.000
