'Elapsed time','II','III','AVR','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'46:57:32.696',-0.024,-,-,0.016,-,-
'46:57:32.704',-0.024,-,-,0.016,-,-
'46:57:32.712',-0.016,-,-,0.024,-,-
'46:57:32.720',-0.008,-,-,0.024,-,-
'46:57:32.728',0.000,-,-,0.032,-,-
'46:57:32.736',0.008,-,-,0.040,-,-
'46:57:32.744',0.024,-,-,0.056,-,-
'46:57:32.752',0.056,-,-,0.080,-,-
'46:57:32.760',0.072,-,-,0.104,-,-
'46:57:32.768',0.088,-,-,0.120,-,-
'46:57:32.776',0.112,-,-,0.128,-,-
'46:57:32.784',0.136,-,-,0.136,-,-
'46:57:32.792',0.152,-,-,0.144,-,-
'46:57:32.800',0.144,-,-,0.144,-,-
'46:57:32.808',0.128,-,-,0.136,-,-
'46:57:32.816',0.128,-,-,0.128,-,-
'46:57:32.824',0.120,-,-,0.120,-,-
'46:57:32.832',0.112,-,-,0.120,-,-
'46:57:32.840',0.128,-,-,0.136,-,-
'46:57:32.848',0.152,-,-,0.152,-,-
'46:57:32.856',0.168,-,-,0.160,-,-
'46:57:32.864',0.184,-,-,0.176,-,-
'46:57:32.872',0.184,-,-,0.176,-,-
'46:57:32.880',0.168,-,-,0.152,-,-
'46:57:32.888',0.136,-,-,0.112,-,-
'46:57:32.896',0.096,-,-,0.072,-,-
'46:57:32.904',0.056,-,-,0.040,-,-
'46:57:32.912',0.016,-,-,0.016,-,-
'46:57:32.920',-0.024,-,-,-0.016,-,-
'46:57:32.928',-0.056,-,-,-0.032,-,-
'46:57:32.936',-0.072,-,-,-0.040,-,-
'46:57:32.944',-0.088,-,-,-0.048,-,-
'46:57:32.952',-0.096,-,-,-0.064,-,-
'46:57:32.960',-0.104,-,-,-0.072,-,-
'46:57:32.968',-0.112,-,-,-0.080,-,-
'46:57:32.976',-0.112,-,-,-0.072,-,-
'46:57:32.984',-0.104,-,-,-0.064,-,-
'46:57:32.992',-0.104,-,-,-0.072,-,-
'46:57:33.000',-0.112,-,-,-0.080,-,-
'46:57:33.008',-0.096,-,-,-0.072,-,-
'46:57:33.016',-0.096,-,-,-0.064,-,-
'46:57:33.024',-0.096,-,-,-0.064,-,-
'46:57:33.032',-0.096,-,-,-0.064,-,-
'46:57:33.040',-0.096,-,-,-0.064,-,-
'46:57:33.048',-0.088,-,-,-0.064,-,-
'46:57:33.056',-0.088,-,-,-0.064,-,-
'46:57:33.064',-0.088,-,-,-0.064,-,-
'46:57:33.072',-0.080,-,-,-0.056,-,-
'46:57:33.080',-0.072,-,-,-0.056,-,-
'46:57:33.088',-0.064,-,-,-0.056,-,-
'46:57:33.096',-0.064,-,-,-0.048,-,-
'46:57:33.104',-0.064,-,-,-0.040,-,-
'46:57:33.112',-0.056,-,-,-0.032,-,-
'46:57:33.120',-0.056,-,-,-0.032,-,-
'46:57:33.128',-0.056,-,-,-0.040,-,-
'46:57:33.136',-0.056,-,-,-0.040,-,-
'46:57:33.144',-0.056,-,-,-0.048,-,-
'46:57:33.152',-0.056,-,-,-0.040,-,-
'46:57:33.160',-0.040,-,-,-0.032,-,-
'46:57:33.168',-0.040,-,-,-0.040,-,-
'46:57:33.176',-0.048,-,-,-0.056,-,-
'46:57:33.184',-0.040,-,-,-0.056,-,-
'46:57:33.192',-0.040,-,-,-0.064,-,-
