'Elapsed time','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'48:42:33.200',-0.097,-,94.320,33.120
'48:42:33.208',0.054,-,91.920,33.480
'48:42:33.216',0.398,-,89.520,33.960
'48:42:33.224',0.753,-,87.120,33.960
'48:42:33.232',0.774,-,83.160,34.320
'48:42:33.240',0.118,-,79.080,34.320
'48:42:33.248',0.011,-,75.120,33.960
'48:42:33.256',-0.054,-,71.160,33.480
'48:42:33.264',-0.194,-,66.360,33.120
'48:42:33.272',-0.290,-,63.120,32.760
'48:42:33.280',-0.333,-,59.160,32.760
'48:42:33.288',-0.140,-,55.920,33.480
'48:42:33.296',-0.140,-,52.680,35.520
'48:42:33.304',-0.172,-,51.120,37.920
'48:42:33.312',-0.280,-,49.560,41.160
'48:42:33.320',-0.290,-,49.560,43.920
'48:42:33.328',-0.172,-,50.280,46.680
'48:42:33.336',-0.151,-,51.960,49.920
'48:42:33.344',-0.280,-,53.520,53.520
'48:42:33.352',-0.194,-,55.920,56.760
'48:42:33.360',-0.140,-,58.320,59.880
'48:42:33.368',-0.140,-,61.560,63.120
'48:42:33.376',-0.172,-,64.680,65.880
'48:42:33.384',-0.140,-,67.080,68.280
'48:42:33.392',-0.258,-,71.160,70.680
'48:42:33.400',-0.140,-,74.280,72.720
'48:42:33.408',-0.140,-,78.360,74.280
'48:42:33.416',-0.258,-,81.480,75.480
'48:42:33.424',-0.258,-,85.560,76.320
'48:42:33.432',-0.237,-,88.680,77.160
'48:42:33.440',-0.172,-,91.920,77.160
'48:42:33.448',-0.172,-,95.160,77.160
'48:42:33.456',-0.194,-,98.280,77.160
'48:42:33.464',-0.215,-,101.520,76.320
'48:42:33.472',-0.237,-,104.760,75.480
'48:42:33.480',-0.097,-,107.160,74.760
'48:42:33.488',0.075,-,108.720,73.560
'48:42:33.496',-0.097,-,110.280,71.880
'48:42:33.504',-0.172,-,111.120,70.320
'48:42:33.512',-0.054,-,111.960,68.280
'48:42:33.520',0.000,-,111.960,66.360
'48:42:33.528',-0.032,-,111.120,63.960
'48:42:33.536',0.011,-,110.280,61.560
'48:42:33.544',0.000,-,108.720,59.160
'48:42:33.552',0.075,-,107.160,57.960
'48:42:33.560',0.075,-,104.760,57.960
'48:42:33.568',-0.011,-,101.520,58.320
'48:42:33.576',-0.011,-,98.280,59.160
'48:42:33.584',0.000,-,95.880,58.680
'48:42:33.592',0.032,-,92.760,58.320
'48:42:33.600',0.011,-,91.080,57.480
'48:42:33.608',-0.054,-,90.360,57.120
'48:42:33.616',-0.075,-,91.080,56.760
'48:42:33.624',0.000,-,92.760,56.280
'48:42:33.632',-0.032,-,95.880,55.560
'48:42:33.640',-0.011,-,99.120,54.720
'48:42:33.648',-0.011,-,103.920,53.520
'48:42:33.656',0.000,-,107.880,52.320
'48:42:33.664',-0.032,-,111.960,51.120
'48:42:33.672',0.000,-,115.920,49.920
'48:42:33.680',0.032,-,119.160,48.720
