'Elapsed time','II','III','AVL','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'23:56:00.776',-,-,-,-,-,-2.048,105.600
'23:56:00.784',-,-,-,-,-,-1.516,105.600
'23:56:00.792',-,-,-,-,-,-1.048,104.400
'23:56:00.800',-,-,-,-,-,-0.468,103.200
'23:56:00.808',-,-,-,-,-,-0.048,102.000
'23:56:00.816',-,-,-,-,-,0.113,100.800
'23:56:00.824',-,-,-,-,-,0.226,99.600
'23:56:00.832',-,-,-,-,-,0.290,99.600
'23:56:00.840',-,-,-,-,-,0.226,98.400
'23:56:00.848',-,-,-,-,-,0.226,97.200
'23:56:00.856',-,-,-,-,-,0.290,97.200
'23:56:00.864',-,-,-,-,-,0.226,97.200
'23:56:00.872',-,-,-,-,-,0.226,97.200
'23:56:00.880',-,-,-,-,-,0.290,97.200
'23:56:00.888',-,-,-,-,-,0.226,98.400
'23:56:00.896',-,-,-,-,-,0.290,100.800
'23:56:00.904',-,-,-,-,-,0.339,104.400
'23:56:00.912',-,-,-,-,-,0.339,109.200
'23:56:00.920',-,-,-,-,-,0.290,114.000
'23:56:00.928',-,-,-,-,-,0.468,120.000
'23:56:00.936',-,-,-,-,-,0.516,126.000
'23:56:00.944',-,-,-,-,-,0.403,133.200
'23:56:00.952',-,-,-,-,-,0.516,139.200
'23:56:00.960',-,-,-,-,-,0.645,144.000
'23:56:00.968',-,-,-,-,-,0.516,150.000
'23:56:00.976',-,-,-,-,-,0.581,153.600
'23:56:00.984',-,-,-,-,-,0.468,156.000
'23:56:00.992',-,-,-,-,-,0.339,158.400
'23:56:01.000',-,-,-,-,-,0.226,159.600
'23:56:01.008',-,-,-,-,-,0.339,159.600
'23:56:01.016',-,-,-,-,-,0.161,159.600
'23:56:01.024',-,-,-,-,-,0.048,158.400
'23:56:01.032',-,-,-,-,-,0.000,157.200
'23:56:01.040',-,-,-,-,-,0.000,156.000
