'Elapsed time','I','II','III','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'33:14:24.536',-,-0.020,-,-,0.040,-,-
'33:14:24.544',-,-0.020,-,-,0.040,-,-
'33:14:24.552',-,-0.040,-,-,0.040,-,-
'33:14:24.560',-,-0.040,-,-,0.040,-,-
'33:14:24.568',-,-0.040,-,-,0.040,-,-
'33:14:24.576',-,-0.060,-,-,0.040,-,-
'33:14:24.584',-,0.000,-,-,0.040,-,-
'33:14:24.592',-,-0.040,-,-,0.040,-,-
'33:14:24.600',-,-0.020,-,-,0.020,-,-
'33:14:24.608',-,-0.040,-,-,0.040,-,-
'33:14:24.616',-,-0.020,-,-,0.040,-,-
'33:14:24.624',-,-0.020,-,-,0.040,-,-
'33:14:24.632',-,-0.020,-,-,0.020,-,-
'33:14:24.640',-,-0.020,-,-,0.040,-,-
'33:14:24.648',-,-0.020,-,-,0.040,-,-
'33:14:24.656',-,0.000,-,-,0.040,-,-
'33:14:24.664',-,-0.020,-,-,0.040,-,-
'33:14:24.672',-,0.000,-,-,0.040,-,-
'33:14:24.680',-,-0.020,-,-,0.040,-,-
'33:14:24.688',-,0.000,-,-,0.040,-,-
'33:14:24.696',-,-0.040,-,-,0.020,-,-
'33:14:24.704',-,0.000,-,-,0.020,-,-
'33:14:24.712',-,0.000,-,-,0.020,-,-
'33:14:24.720',-,-0.020,-,-,0.040,-,-
'33:14:24.728',-,-0.020,-,-,0.020,-,-
'33:14:24.736',-,0.000,-,-,0.020,-,-
'33:14:24.744',-,0.000,-,-,0.020,-,-
'33:14:24.752',-,-0.020,-,-,0.020,-,-
'33:14:24.760',-,-0.040,-,-,0.020,-,-
'33:14:24.768',-,-0.020,-,-,0.020,-,-
'33:14:24.776',-,-0.040,-,-,0.040,-,-
'33:14:24.784',-,0.000,-,-,0.020,-,-
'33:14:24.792',-,-0.040,-,-,0.000,-,-
'33:14:24.800',-,-0.040,-,-,0.020,-,-
'33:14:24.808',-,0.000,-,-,0.040,-,-
'33:14:24.816',-,-0.040,-,-,0.020,-,-
'33:14:24.824',-,0.000,-,-,0.040,-,-
'33:14:24.832',-,0.040,-,-,0.040,-,-
'33:14:24.840',-,0.040,-,-,0.040,-,-
'33:14:24.848',-,0.060,-,-,0.040,-,-
'33:14:24.856',-,0.040,-,-,0.040,-,-
'33:14:24.864',-,0.060,-,-,0.040,-,-
'33:14:24.872',-,0.080,-,-,0.060,-,-
'33:14:24.880',-,0.080,-,-,0.040,-,-
'33:14:24.888',-,0.040,-,-,0.060,-,-
'33:14:24.896',-,0.040,-,-,0.040,-,-
'33:14:24.904',-,0.040,-,-,0.020,-,-
'33:14:24.912',-,-0.020,-,-,0.000,-,-
'33:14:24.920',-,-0.040,-,-,0.000,-,-
'33:14:24.928',-,-0.040,-,-,0.000,-,-
'33:14:24.936',-,-0.040,-,-,0.000,-,-
'33:14:24.944',-,-0.040,-,-,0.000,-,-
'33:14:24.952',-,-0.020,-,-,0.000,-,-
'33:14:24.960',-,-0.100,-,-,-0.040,-,-
'33:14:24.968',-,0.000,-,-,0.060,-,-
'33:14:24.976',-,0.600,-,-,0.640,-,-
'33:14:24.984',-,0.840,-,-,0.800,-,-
'33:14:24.992',-,0.560,-,-,0.360,-,-
'33:14:25.000',-,0.260,-,-,0.180,-,-
'33:14:25.008',-,0.160,-,-,0.120,-,-
'33:14:25.016',-,0.080,-,-,0.040,-,-
'33:14:25.024',-,0.000,-,-,0.000,-,-
'33:14:25.032',-,-0.020,-,-,-0.020,-,-
'33:14:25.040',-,-0.020,-,-,-0.040,-,-
'33:14:25.048',-,-0.020,-,-,-0.040,-,-
'33:14:25.056',-,-0.020,-,-,-0.040,-,-
'33:14:25.064',-,-0.040,-,-,-0.040,-,-
'33:14:25.072',-,-0.020,-,-,-0.040,-,-
'33:14:25.080',-,-0.060,-,-,-0.040,-,-
'33:14:25.088',-,-0.020,-,-,-0.040,-,-
'33:14:25.096',-,0.000,-,-,-0.040,-,-
