'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'56:33.760',-,-,-,-,-,-,0.592,0.576,92.400,-
'56:33.768',-,-,-,-,-,-,0.552,0.576,91.200,-
'56:33.776',-,-,-,-,-,-,0.464,0.488,88.800,-
'56:33.784',-,-,-,-,-,-,0.360,0.392,87.600,-
'56:33.792',-,-,-,-,-,-,0.296,0.296,85.200,-
'56:33.800',-,-,-,-,-,-,0.232,0.232,82.800,-
'56:33.808',-,-,-,-,-,-,0.184,0.184,80.400,-
'56:33.816',-,-,-,-,-,-,0.144,0.136,78.000,-
'56:33.824',-,-,-,-,-,-,0.104,0.088,76.800,-
'56:33.832',-,-,-,-,-,-,0.040,0.040,76.800,-
'56:33.840',-,-,-,-,-,-,0.016,0.000,75.600,-
'56:33.848',-,-,-,-,-,-,0.016,0.000,75.600,-
'56:33.856',-,-,-,-,-,-,0.016,0.000,75.600,-
'56:33.864',-,-,-,-,-,-,0.016,0.000,74.400,-
'56:33.872',-,-,-,-,-,-,0.016,0.000,74.400,-
'56:33.880',-,-,-,-,-,-,0.000,0.000,74.400,-
'56:33.888',-,-,-,-,-,-,0.000,0.000,74.400,-
'56:33.896',-,-,-,-,-,-,0.000,-0.016,73.200,-
'56:33.904',-,-,-,-,-,-,0.000,-0.016,73.200,-
'56:33.912',-,-,-,-,-,-,-0.016,0.000,73.200,-
'56:33.920',-,-,-,-,-,-,-0.016,-0.040,72.000,-
'56:33.928',-,-,-,-,-,-,-0.016,-0.040,72.000,-
'56:33.936',-,-,-,-,-,-,-0.016,-0.040,72.000,-
'56:33.944',-,-,-,-,-,-,0.040,-0.016,70.800,-
'56:33.952',-,-,-,-,-,-,0.144,0.040,70.800,-
'56:33.960',-,-,-,-,-,-,0.168,0.160,70.800,-
'56:33.968',-,-,-,-,-,-,0.000,0.088,69.600,-
'56:33.976',-,-,-,-,-,-,-0.296,-0.112,69.600,-
'56:33.984',-,-,-,-,-,-,-0.528,-0.528,68.400,-
'56:33.992',-,-,-,-,-,-,-0.568,-0.696,68.400,-
