'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'13:40:46.432',-0.028,-,-,0.028,68.000
'13:40:46.440',0.000,-,-,0.028,68.000
'13:40:46.448',0.000,-,-,0.028,68.000
'13:40:46.456',-0.028,-,-,0.056,68.800
'13:40:46.464',-0.056,-,-,0.014,68.800
'13:40:46.472',-0.042,-,-,0.000,68.800
'13:40:46.480',-0.028,-,-,0.000,68.800
'13:40:46.488',-0.028,-,-,0.000,68.800
'13:40:46.496',-0.014,-,-,0.000,68.000
'13:40:46.504',0.000,-,-,0.000,68.000
'13:40:46.512',0.000,-,-,0.028,67.200
'13:40:46.520',-0.069,-,-,0.000,66.400
'13:40:46.528',-0.069,-,-,0.000,65.600
'13:40:46.536',-0.042,-,-,0.000,65.600
'13:40:46.544',-0.028,-,-,0.000,64.800
'13:40:46.552',-0.056,-,-,0.000,64.000
'13:40:46.560',-0.042,-,-,0.000,64.000
'13:40:46.568',-0.056,-,-,0.000,63.200
'13:40:46.576',-0.069,-,-,0.014,63.200
'13:40:46.584',-0.069,-,-,0.000,62.400
'13:40:46.592',-0.069,-,-,0.000,62.400
'13:40:46.600',-0.069,-,-,0.000,61.600
'13:40:46.608',-0.083,-,-,0.000,61.600
'13:40:46.616',-0.083,-,-,0.000,61.600
'13:40:46.624',-0.056,-,-,0.000,60.800
'13:40:46.632',-0.028,-,-,0.000,60.800
'13:40:46.640',-0.014,-,-,0.014,60.000
'13:40:46.648',-0.042,-,-,0.000,60.000
'13:40:46.656',-0.069,-,-,0.000,60.000
'13:40:46.664',-0.056,-,-,0.000,59.200
'13:40:46.672',-0.056,-,-,0.000,59.200
'13:40:46.680',-0.056,-,-,0.000,58.400
'13:40:46.688',-0.028,-,-,0.000,58.400
'13:40:46.696',-0.028,-,-,0.000,58.400
'13:40:46.704',-0.042,-,-,0.000,57.600
'13:40:46.712',-0.042,-,-,-0.014,57.600
'13:40:46.720',-0.028,-,-,0.000,57.600
'13:40:46.728',-0.042,-,-,0.000,57.600
'13:40:46.736',-0.028,-,-,0.000,57.600
'13:40:46.744',-0.014,-,-,0.000,56.800
'13:40:46.752',0.000,-,-,0.000,56.800
'13:40:46.760',-0.014,-,-,0.014,56.800
'13:40:46.768',-0.028,-,-,0.000,56.800
'13:40:46.776',-0.028,-,-,0.000,56.800
'13:40:46.784',0.000,-,-,0.014,56.800
