'Elapsed time','I','II','AVR','AVL','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'14:28.192',0.000,-,-,-,-,50.400,44.880
'14:28.200',0.000,-,-,-,-,49.600,44.880
'14:28.208',0.000,-,-,-,-,48.800,44.880
'14:28.216',0.000,-,-,-,-,48.800,44.880
'14:28.224',0.000,-,-,-,-,48.800,44.880
'14:28.232',0.000,-,-,-,-,48.800,44.880
'14:28.240',0.000,-,-,-,-,49.600,44.880
'14:28.248',0.000,-,-,-,-,49.600,44.880
'14:28.256',-0.009,-,-,-,-,51.200,44.880
'14:28.264',-0.009,-,-,-,-,52.000,44.880
'14:28.272',0.000,-,-,-,-,53.600,44.880
'14:28.280',0.009,-,-,-,-,55.200,44.880
'14:28.288',0.017,-,-,-,-,56.800,44.880
'14:28.296',0.035,-,-,-,-,58.400,44.880
'14:28.304',0.035,-,-,-,-,60.000,44.880
'14:28.312',0.035,-,-,-,-,61.600,44.880
'14:28.320',0.035,-,-,-,-,64.000,44.880
'14:28.328',0.035,-,-,-,-,65.600,44.880
'14:28.336',0.017,-,-,-,-,66.400,44.880
'14:28.344',0.000,-,-,-,-,66.400,44.880
'14:28.352',-0.017,-,-,-,-,66.400,44.880
'14:28.360',-0.017,-,-,-,-,65.600,44.880
'14:28.368',-0.017,-,-,-,-,64.000,44.880
'14:28.376',-0.009,-,-,-,-,61.600,44.880
'14:28.384',-0.009,-,-,-,-,59.200,44.880
'14:28.392',-0.009,-,-,-,-,56.000,44.880
'14:28.400',-0.009,-,-,-,-,52.800,44.880
'14:28.408',-0.009,-,-,-,-,50.400,44.880
'14:28.416',-0.017,-,-,-,-,47.200,44.880
'14:28.424',-0.052,-,-,-,-,44.000,44.880
'14:28.432',-0.104,-,-,-,-,40.800,44.880
'14:28.440',-0.139,-,-,-,-,37.600,44.880
'14:28.448',-0.104,-,-,-,-,35.200,44.880
'14:28.456',0.000,-,-,-,-,32.800,44.880
'14:28.464',0.078,-,-,-,-,30.400,44.880
'14:28.472',0.096,-,-,-,-,28.000,44.880
'14:28.480',0.052,-,-,-,-,26.400,44.880
'14:28.488',0.043,-,-,-,-,24.800,44.880
'14:28.496',0.043,-,-,-,-,23.200,44.880
'14:28.504',0.052,-,-,-,-,22.400,44.880
'14:28.512',0.043,-,-,-,-,21.600,44.880
'14:28.520',0.035,-,-,-,-,20.800,44.880
'14:28.528',0.017,-,-,-,-,20.800,44.880
'14:28.536',0.017,-,-,-,-,21.600,44.880
'14:28.544',0.035,-,-,-,-,22.400,44.880
'14:28.552',0.035,-,-,-,-,24.000,44.880
'14:28.560',0.035,-,-,-,-,25.600,44.880
'14:28.568',0.035,-,-,-,-,27.200,44.880
'14:28.576',0.035,-,-,-,-,29.600,44.880
'14:28.584',0.035,-,-,-,-,32.000,44.880
'14:28.592',0.035,-,-,-,-,35.200,44.880
'14:28.600',0.017,-,-,-,-,37.600,44.880
'14:28.608',0.017,-,-,-,-,40.000,44.880
'14:28.616',0.009,-,-,-,-,42.400,44.880
'14:28.624',0.009,-,-,-,-,44.000,44.880
'14:28.632',-0.009,-,-,-,-,46.400,44.880
'14:28.640',-0.009,-,-,-,-,47.200,44.880
'14:28.648',-0.009,-,-,-,-,48.800,44.880
'14:28.656',-0.009,-,-,-,-,49.600,44.880
'14:28.664',-0.009,-,-,-,-,50.400,44.880
'14:28.672',0.000,-,-,-,-,51.200,44.880
'14:28.680',0.000,-,-,-,-,51.200,44.880
'14:28.688',0.000,-,-,-,-,51.200,44.880
'14:28.696',0.000,-,-,-,-,51.200,44.880
'14:28.704',0.000,-,-,-,-,51.200,44.880
'14:28.712',0.000,-,-,-,-,50.400,44.880
'14:28.720',0.000,-,-,-,-,49.600,44.880
'14:28.728',0.000,-,-,-,-,48.800,44.880
'14:28.736',0.000,-,-,-,-,48.000,44.880
'14:28.744',0.000,-,-,-,-,47.200,44.880
'14:28.752',0.000,-,-,-,-,46.400,44.880
'14:28.760',0.000,-,-,-,-,46.400,44.880
'14:28.768',0.000,-,-,-,-,47.200,44.880
'14:28.776',0.000,-,-,-,-,48.000,44.880
'14:28.784',0.000,-,-,-,-,48.800,44.880
'14:28.792',0.009,-,-,-,-,50.400,44.880
'14:28.800',0.017,-,-,-,-,52.000,44.880
'14:28.808',0.017,-,-,-,-,53.600,44.880
'14:28.816',0.035,-,-,-,-,55.200,44.880
'14:28.824',0.043,-,-,-,-,56.800,44.880
'14:28.832',0.043,-,-,-,-,58.400,44.880
'14:28.840',0.052,-,-,-,-,60.000,44.880
'14:28.848',0.043,-,-,-,-,62.400,44.880
'14:28.856',0.035,-,-,-,-,64.000,44.880
'14:28.864',0.009,-,-,-,-,65.600,44.880
'14:28.872',0.000,-,-,-,-,67.200,44.880
'14:28.880',-0.009,-,-,-,-,68.000,44.880
'14:28.888',-0.017,-,-,-,-,68.800,44.880
'14:28.896',-0.017,-,-,-,-,68.800,44.880
'14:28.904',-0.035,-,-,-,-,67.200,44.880
'14:28.912',-0.035,-,-,-,-,65.600,44.880
'14:28.920',-0.035,-,-,-,-,64.000,44.880
