'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'14:02:11.432',0.042,-,-,0.056,65.600
'14:02:11.440',0.042,-,-,0.056,65.600
'14:02:11.448',0.056,-,-,0.056,64.800
'14:02:11.456',0.083,-,-,0.070,64.800
'14:02:11.464',0.167,-,-,0.127,64.000
'14:02:11.472',0.375,-,-,0.338,64.000
'14:02:11.480',0.583,-,-,0.479,63.200
'14:02:11.488',0.597,-,-,0.310,63.200
'14:02:11.496',0.278,-,-,-0.085,63.200
'14:02:11.504',0.083,-,-,-0.282,62.400
'14:02:11.512',-0.042,-,-,-0.239,62.400
'14:02:11.520',-0.097,-,-,-0.183,61.600
'14:02:11.528',-0.097,-,-,-0.070,61.600
'14:02:11.536',-0.069,-,-,-0.028,61.600
'14:02:11.544',-0.069,-,-,-0.014,61.600
'14:02:11.552',-0.083,-,-,-0.028,60.800
'14:02:11.560',-0.097,-,-,-0.028,60.800
'14:02:11.568',-0.125,-,-,-0.014,60.800
'14:02:11.576',-0.125,-,-,-0.042,60.800
'14:02:11.584',-0.125,-,-,-0.028,61.600
'14:02:11.592',-0.125,-,-,-0.042,64.800
'14:02:11.600',-0.139,-,-,-0.028,71.200
'14:02:11.608',-0.097,-,-,-0.056,81.600
'14:02:11.616',-0.097,-,-,-0.070,94.400
'14:02:11.624',-0.097,-,-,-0.070,107.200
'14:02:11.632',-0.125,-,-,-0.085,116.800
'14:02:11.640',-0.139,-,-,-0.113,122.400
'14:02:11.648',-0.139,-,-,-0.113,124.000
'14:02:11.656',-0.125,-,-,-0.127,122.400
'14:02:11.664',-0.125,-,-,-0.141,120.000
'14:02:11.672',-0.097,-,-,-0.141,117.600
'14:02:11.680',-0.097,-,-,-0.141,114.400
'14:02:11.688',-0.125,-,-,-0.169,112.000
'14:02:11.696',-0.097,-,-,-0.155,110.400
'14:02:11.704',-0.083,-,-,-0.155,109.600
'14:02:11.712',-0.083,-,-,-0.169,108.000
'14:02:11.720',-0.069,-,-,-0.155,106.400
'14:02:11.728',-0.069,-,-,-0.155,104.800
'14:02:11.736',-0.056,-,-,-0.141,103.200
'14:02:11.744',-0.042,-,-,-0.127,101.600
'14:02:11.752',-0.028,-,-,-0.113,99.200
'14:02:11.760',-0.014,-,-,-0.070,97.600
'14:02:11.768',0.014,-,-,-0.056,95.200
'14:02:11.776',0.028,-,-,-0.014,92.800
'14:02:11.784',0.042,-,-,0.000,90.400
'14:02:11.792',0.056,-,-,0.028,88.000
'14:02:11.800',0.056,-,-,0.028,84.800
'14:02:11.808',0.069,-,-,0.042,82.400
'14:02:11.816',0.069,-,-,0.056,80.800
'14:02:11.824',0.083,-,-,0.056,79.200
'14:02:11.832',0.083,-,-,0.056,79.200
'14:02:11.840',0.083,-,-,0.056,79.200
'14:02:11.848',0.083,-,-,0.070,80.000
'14:02:11.856',0.083,-,-,0.056,80.800
'14:02:11.864',0.083,-,-,0.070,81.600
'14:02:11.872',0.083,-,-,0.056,81.600
'14:02:11.880',0.083,-,-,0.056,80.800
'14:02:11.888',0.083,-,-,0.056,80.800
'14:02:11.896',0.083,-,-,0.056,80.000
'14:02:11.904',0.083,-,-,0.056,79.200
'14:02:11.912',0.069,-,-,0.056,78.400
'14:02:11.920',0.069,-,-,0.056,77.600
'14:02:11.928',0.069,-,-,0.056,76.800
'14:02:11.936',0.069,-,-,0.056,76.800
'14:02:11.944',0.069,-,-,0.056,76.000
'14:02:11.952',0.069,-,-,0.056,75.200
'14:02:11.960',0.056,-,-,0.056,74.400
'14:02:11.968',0.056,-,-,0.056,74.400
'14:02:11.976',0.056,-,-,0.056,73.600
'14:02:11.984',0.056,-,-,0.056,72.800
'14:02:11.992',0.056,-,-,0.056,72.000
'14:02:12.000',0.056,-,-,0.056,72.000
'14:02:12.008',0.056,-,-,0.056,71.200
'14:02:12.016',0.042,-,-,0.042,70.400
'14:02:12.024',0.056,-,-,0.042,70.400
'14:02:12.032',0.056,-,-,0.042,69.600
'14:02:12.040',0.042,-,-,0.127,69.600
'14:02:12.048',0.028,-,-,0.014,68.800
'14:02:12.056',0.028,-,-,0.028,68.000
'14:02:12.064',0.028,-,-,0.028,68.000
'14:02:12.072',0.028,-,-,0.028,67.200
'14:02:12.080',0.028,-,-,0.028,67.200
'14:02:12.088',0.028,-,-,0.028,67.200
'14:02:12.096',0.028,-,-,0.028,66.400
'14:02:12.104',0.042,-,-,0.028,66.400
'14:02:12.112',0.042,-,-,0.028,66.400
'14:02:12.120',0.042,-,-,0.042,65.600
'14:02:12.128',0.042,-,-,0.042,65.600
'14:02:12.136',0.056,-,-,0.056,65.600
'14:02:12.144',0.056,-,-,0.056,65.600
'14:02:12.152',0.069,-,-,0.056,64.800
'14:02:12.160',0.056,-,-,0.056,64.800
'14:02:12.168',0.069,-,-,0.056,64.000
'14:02:12.176',0.167,-,-,0.141,64.000
'14:02:12.184',0.389,-,-,0.338,63.200
'14:02:12.192',0.542,-,-,0.479,63.200
'14:02:12.200',0.542,-,-,0.155,63.200
'14:02:12.208',0.139,-,-,-0.352,62.400
'14:02:12.216',-0.042,-,-,-0.465,62.400
'14:02:12.224',-0.125,-,-,-0.352,62.400
'14:02:12.232',-0.139,-,-,-0.239,61.600
'14:02:12.240',-0.083,-,-,-0.085,61.600
'14:02:12.248',-0.069,-,-,-0.028,61.600
'14:02:12.256',-0.056,-,-,-0.028,60.800
'14:02:12.264',-0.069,-,-,-0.028,60.800
'14:02:12.272',-0.069,-,-,-0.028,60.800
'14:02:12.280',-0.069,-,-,-0.042,60.800
'14:02:12.288',-0.069,-,-,-0.028,60.800
'14:02:12.296',-0.056,-,-,-0.042,61.600
'14:02:12.304',-0.056,-,-,-0.056,64.000
'14:02:12.312',-0.056,-,-,-0.042,68.800
'14:02:12.320',-0.069,-,-,-0.056,77.600
'14:02:12.328',-0.069,-,-,-0.070,89.600
'14:02:12.336',-0.083,-,-,-0.085,102.400
'14:02:12.344',-0.097,-,-,-0.113,113.600
'14:02:12.352',-0.097,-,-,-0.127,121.600
'14:02:12.360',-0.125,-,-,-0.141,124.800
'14:02:12.368',-0.139,-,-,-0.169,124.800
'14:02:12.376',-0.153,-,-,-0.169,123.200
'14:02:12.384',-0.153,-,-,-0.197,120.800
'14:02:12.392',-0.153,-,-,-0.183,118.400
'14:02:12.400',-0.167,-,-,-0.197,116.800
'14:02:12.408',-0.153,-,-,-0.225,115.200
'14:02:12.416',-0.139,-,-,-0.239,114.400
'14:02:12.424',-0.139,-,-,-0.225,112.800
'14:02:12.432',-0.125,-,-,-0.239,112.000
'14:02:12.440',-0.097,-,-,-0.197,110.400
'14:02:12.448',-0.083,-,-,-0.197,108.000
'14:02:12.456',-0.056,-,-,-0.169,106.400
'14:02:12.464',-0.028,-,-,-0.141,104.000
'14:02:12.472',-0.014,-,-,-0.127,101.600
'14:02:12.480',0.000,-,-,-0.085,99.200
'14:02:12.488',0.014,-,-,-0.056,96.800
'14:02:12.496',0.028,-,-,-0.014,94.400
'14:02:12.504',0.028,-,-,0.000,91.200
'14:02:12.512',0.042,-,-,0.000,88.000
'14:02:12.520',0.042,-,-,0.028,85.600
'14:02:12.528',0.042,-,-,0.056,83.200
'14:02:12.536',0.042,-,-,0.042,81.600
'14:02:12.544',0.056,-,-,0.070,81.600
'14:02:12.552',0.056,-,-,0.070,81.600
'14:02:12.560',0.056,-,-,0.085,82.400
'14:02:12.568',0.042,-,-,0.085,82.400
'14:02:12.576',0.042,-,-,0.085,83.200
'14:02:12.584',0.042,-,-,0.070,83.200
'14:02:12.592',0.028,-,-,0.085,82.400
'14:02:12.600',0.014,-,-,0.056,82.400
'14:02:12.608',0.014,-,-,0.056,81.600
'14:02:12.616',0.014,-,-,0.056,80.000
'14:02:12.624',0.014,-,-,0.056,79.200
'14:02:12.632',0.000,-,-,0.056,78.400
'14:02:12.640',0.000,-,-,0.042,77.600
'14:02:12.648',0.000,-,-,0.056,76.800
'14:02:12.656',0.014,-,-,0.042,76.000
'14:02:12.664',0.014,-,-,0.056,76.000
'14:02:12.672',0.028,-,-,0.056,75.200
'14:02:12.680',0.014,-,-,0.056,74.400
'14:02:12.688',0.000,-,-,0.056,73.600
'14:02:12.696',0.000,-,-,0.042,72.800
'14:02:12.704',-0.014,-,-,0.028,72.800
'14:02:12.712',-0.014,-,-,0.028,72.000
'14:02:12.720',-0.014,-,-,0.028,71.200
'14:02:12.728',-0.028,-,-,0.028,70.400
'14:02:12.736',-0.028,-,-,0.028,70.400
'14:02:12.744',-0.014,-,-,0.028,69.600
'14:02:12.752',-0.014,-,-,0.042,69.600
'14:02:12.760',-0.028,-,-,0.042,68.800
'14:02:12.768',-0.042,-,-,0.028,68.800
'14:02:12.776',-0.056,-,-,0.028,68.000
'14:02:12.784',-0.056,-,-,0.028,68.000
'14:02:12.792',-0.056,-,-,0.028,67.200
'14:02:12.800',-0.042,-,-,0.028,67.200
'14:02:12.808',0.000,-,-,0.042,67.200
'14:02:12.816',0.167,-,-,0.225,66.400
'14:02:12.824',0.403,-,-,0.408,66.400
'14:02:12.832',0.486,-,-,0.479,65.600
'14:02:12.840',0.236,-,-,-0.113,65.600
'14:02:12.848',-0.014,-,-,-0.465,64.800
'14:02:12.856',-0.139,-,-,-0.479,64.800
'14:02:12.864',-0.167,-,-,-0.282,64.000
'14:02:12.872',-0.139,-,-,-0.127,64.000
'14:02:12.880',-0.097,-,-,-0.014,63.200
'14:02:12.888',-0.083,-,-,0.000,63.200
'14:02:12.896',-0.083,-,-,0.000,62.400
'14:02:12.904',-0.097,-,-,0.000,62.400
'14:02:12.912',-0.097,-,-,-0.014,62.400
'14:02:12.920',-0.097,-,-,-0.014,62.400
'14:02:12.928',-0.097,-,-,0.000,62.400
'14:02:12.936',-0.097,-,-,-0.028,63.200
'14:02:12.944',-0.097,-,-,-0.042,65.600
'14:02:12.952',-0.125,-,-,-0.056,72.000
'14:02:12.960',-0.125,-,-,-0.070,80.800
'14:02:12.968',-0.139,-,-,-0.113,92.000
'14:02:12.976',-0.153,-,-,-0.127,104.800
'14:02:12.984',-0.167,-,-,-0.141,114.400
'14:02:12.992',-0.181,-,-,-0.141,120.800
'14:02:13.000',-0.194,-,-,-0.169,123.200
'14:02:13.008',-0.194,-,-,-0.183,123.200
'14:02:13.016',-0.194,-,-,-0.197,121.600
'14:02:13.024',-0.194,-,-,-0.225,119.200
'14:02:13.032',-0.194,-,-,-0.239,117.600
'14:02:13.040',-0.181,-,-,-0.254,116.000
'14:02:13.048',-0.181,-,-,-0.254,115.200
'14:02:13.056',-0.153,-,-,-0.254,113.600
'14:02:13.064',-0.125,-,-,-0.225,112.800
'14:02:13.072',-0.083,-,-,-0.197,111.200
'14:02:13.080',-0.056,-,-,-0.169,109.600
'14:02:13.088',-0.042,-,-,-0.141,108.000
'14:02:13.096',-0.028,-,-,-0.127,106.400
'14:02:13.104',-0.014,-,-,-0.085,104.000
'14:02:13.112',0.000,-,-,-0.056,101.600
'14:02:13.120',0.000,-,-,-0.028,99.200
'14:02:13.128',0.000,-,-,0.000,96.800
'14:02:13.136',0.014,-,-,0.000,94.400
'14:02:13.144',0.014,-,-,0.028,91.200
'14:02:13.152',0.028,-,-,0.042,88.800
'14:02:13.160',0.042,-,-,0.056,86.400
'14:02:13.168',0.056,-,-,0.056,84.800
'14:02:13.176',0.056,-,-,0.070,84.000
'14:02:13.184',0.056,-,-,0.056,83.200
'14:02:13.192',0.056,-,-,0.085,84.000
'14:02:13.200',0.056,-,-,0.085,84.000
'14:02:13.208',0.056,-,-,0.070,84.000
'14:02:13.216',0.042,-,-,0.085,84.000
'14:02:13.224',0.042,-,-,0.070,83.200
'14:02:13.232',0.028,-,-,0.056,82.400
'14:02:13.240',0.028,-,-,0.056,81.600
'14:02:13.248',0.042,-,-,0.056,80.800
'14:02:13.256',0.042,-,-,0.085,80.800
'14:02:13.264',0.042,-,-,0.070,80.000
'14:02:13.272',0.028,-,-,0.056,79.200
'14:02:13.280',0.028,-,-,0.070,78.400
'14:02:13.288',0.028,-,-,0.070,77.600
'14:02:13.296',0.028,-,-,0.070,77.600
'14:02:13.304',0.014,-,-,0.056,76.800
'14:02:13.312',0.014,-,-,0.056,76.000
'14:02:13.320',0.028,-,-,0.070,76.000
'14:02:13.328',0.097,-,-,0.127,75.200
'14:02:13.336',0.306,-,-,0.338,74.400
'14:02:13.344',0.514,-,-,0.507,74.400
'14:02:13.352',0.542,-,-,0.239,73.600
'14:02:13.360',0.167,-,-,-0.338,72.800
'14:02:13.368',-0.042,-,-,-0.465,72.000
'14:02:13.376',-0.125,-,-,-0.338,72.000
'14:02:13.384',-0.139,-,-,-0.169,71.200
'14:02:13.392',-0.083,-,-,-0.028,70.400
'14:02:13.400',-0.056,-,-,0.000,69.600
'14:02:13.408',-0.056,-,-,0.000,69.600
'14:02:13.416',-0.069,-,-,0.000,68.800
'14:02:13.424',-0.069,-,-,0.000,68.000
'14:02:13.432',-0.083,-,-,-0.014,67.200
'14:02:13.440',-0.083,-,-,0.000,67.200
'14:02:13.448',-0.097,-,-,-0.014,67.200
'14:02:13.456',-0.097,-,-,-0.028,68.000
'14:02:13.464',-0.097,-,-,-0.014,71.200
'14:02:13.472',-0.125,-,-,-0.028,77.600
'14:02:13.480',-0.125,-,-,-0.056,86.400
'14:02:13.488',-0.139,-,-,-0.056,97.600
'14:02:13.496',-0.139,-,-,-0.085,108.800
'14:02:13.504',-0.153,-,-,-0.113,117.600
'14:02:13.512',-0.167,-,-,-0.113,123.200
'14:02:13.520',-0.181,-,-,-0.141,125.600
'14:02:13.528',-0.181,-,-,-0.141,124.800
'14:02:13.536',-0.181,-,-,-0.169,123.200
'14:02:13.544',-0.194,-,-,-0.183,121.600
'14:02:13.552',-0.181,-,-,-0.183,120.000
'14:02:13.560',-0.181,-,-,-0.197,118.400
'14:02:13.568',-0.167,-,-,-0.197,117.600
'14:02:13.576',-0.139,-,-,-0.183,116.800
'14:02:13.584',-0.097,-,-,-0.197,116.000
'14:02:13.592',-0.083,-,-,-0.141,114.400
'14:02:13.600',-0.056,-,-,-0.127,112.800
'14:02:13.608',-0.042,-,-,-0.085,111.200
'14:02:13.616',-0.042,-,-,-0.042,108.800
'14:02:13.624',-0.028,-,-,-0.028,107.200
'14:02:13.632',-0.014,-,-,0.000,104.000
'14:02:13.640',0.000,-,-,0.014,101.600
'14:02:13.648',0.000,-,-,0.028,98.400
'14:02:13.656',0.000,-,-,0.056,94.400
'14:02:13.664',0.014,-,-,0.056,91.200
'14:02:13.672',0.014,-,-,0.056,88.000
'14:02:13.680',0.014,-,-,0.085,86.400
'14:02:13.688',0.014,-,-,0.085,84.800
'14:02:13.696',0.014,-,-,0.085,84.800
'14:02:13.704',0.028,-,-,0.056,84.800
'14:02:13.712',0.042,-,-,0.085,84.800
'14:02:13.720',0.042,-,-,0.085,84.800
'14:02:13.728',0.042,-,-,0.085,84.800
'14:02:13.736',0.042,-,-,0.113,84.000
'14:02:13.744',0.042,-,-,0.085,84.000
'14:02:13.752',0.042,-,-,0.070,82.400
'14:02:13.760',0.056,-,-,0.085,81.600
'14:02:13.768',0.042,-,-,0.056,80.800
'14:02:13.776',0.056,-,-,0.085,80.000
'14:02:13.784',0.056,-,-,0.085,78.400
'14:02:13.792',0.056,-,-,0.070,77.600
'14:02:13.800',0.042,-,-,0.085,76.800
'14:02:13.808',0.042,-,-,0.085,76.800
'14:02:13.816',0.028,-,-,0.056,76.000
'14:02:13.824',0.014,-,-,0.056,75.200
'14:02:13.832',0.014,-,-,0.056,74.400
'14:02:13.840',0.000,-,-,0.028,74.400
'14:02:13.848',-0.014,-,-,0.042,73.600
'14:02:13.856',0.028,-,-,0.056,72.800
'14:02:13.864',0.167,-,-,0.155,72.800
'14:02:13.872',0.403,-,-,0.366,72.000
'14:02:13.880',0.528,-,-,0.479,71.200
'14:02:13.888',0.375,-,-,0.085,71.200
'14:02:13.896',0.125,-,-,-0.310,70.400
'14:02:13.904',-0.028,-,-,-0.366,69.600
'14:02:13.912',-0.125,-,-,-0.254,69.600
'14:02:13.920',-0.139,-,-,-0.155,68.800
'14:02:13.928',-0.097,-,-,-0.042,68.000
'14:02:13.936',-0.069,-,-,0.000,68.000
'14:02:13.944',-0.056,-,-,0.000,67.200
'14:02:13.952',-0.069,-,-,0.000,67.200
'14:02:13.960',-0.083,-,-,0.000,66.400
'14:02:13.968',-0.097,-,-,0.000,66.400
'14:02:13.976',-0.125,-,-,-0.014,65.600
'14:02:13.984',-0.083,-,-,-0.028,66.400
'14:02:13.992',-0.056,-,-,0.000,68.800
'14:02:14.000',-0.056,-,-,-0.056,73.600
'14:02:14.008',-0.083,-,-,-0.028,81.600
'14:02:14.016',-0.181,-,-,-0.070,92.800
'14:02:14.024',-0.278,-,-,-0.141,104.000
'14:02:14.032',-0.347,-,-,-0.169,113.600
'14:02:14.040',-0.389,-,-,-0.197,120.000
'14:02:14.048',-0.403,-,-,-0.197,123.200
'14:02:14.056',-0.417,-,-,-0.268,123.200
'14:02:14.064',-0.458,-,-,-0.254,122.400
