'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'18:29.760',0.064,0.192,-,-,-,-,-,-,81.600,-
'18:29.768',0.040,0.232,-,-,-,-,-,-,80.400,-
'18:29.776',-0.016,0.000,-,-,-,-,-,-,79.200,-
'18:29.784',-0.024,-0.024,-,-,-,-,-,-,79.200,-
'18:29.792',-0.032,0.016,-,-,-,-,-,-,78.000,-
'18:29.800',0.000,0.064,-,-,-,-,-,-,76.800,-
'18:29.808',0.008,0.080,-,-,-,-,-,-,76.800,-
'18:29.816',-0.032,0.048,-,-,-,-,-,-,78.000,-
'18:29.824',-0.016,0.064,-,-,-,-,-,-,79.200,-
'18:29.832',-0.024,0.072,-,-,-,-,-,-,80.400,-
'18:29.840',0.000,0.024,-,-,-,-,-,-,82.800,-
'18:29.848',0.008,0.048,-,-,-,-,-,-,87.600,-
'18:29.856',-0.032,0.016,-,-,-,-,-,-,93.600,-
'18:29.864',-0.008,0.016,-,-,-,-,-,-,100.800,-
'18:29.872',-0.024,0.008,-,-,-,-,-,-,105.600,-
'18:29.880',-0.032,0.000,-,-,-,-,-,-,108.000,-
'18:29.888',-0.040,-0.008,-,-,-,-,-,-,110.400,-
'18:29.896',0.000,0.008,-,-,-,-,-,-,111.600,-
'18:29.904',-0.008,0.016,-,-,-,-,-,-,114.000,-
'18:29.912',-0.040,-0.016,-,-,-,-,-,-,116.400,-
'18:29.920',-0.016,0.000,-,-,-,-,-,-,116.400,-
'18:29.928',0.000,0.016,-,-,-,-,-,-,116.400,-
'18:29.936',-0.032,-0.008,-,-,-,-,-,-,116.400,-
'18:29.944',0.000,0.008,-,-,-,-,-,-,117.600,-
'18:29.952',-0.008,0.016,-,-,-,-,-,-,117.600,-
'18:29.960',0.000,-0.008,-,-,-,-,-,-,116.400,-
'18:29.968',-0.016,0.000,-,-,-,-,-,-,115.200,-
'18:29.976',0.000,-0.024,-,-,-,-,-,-,114.000,-
'18:29.984',-0.040,-0.064,-,-,-,-,-,-,112.800,-
'18:29.992',-0.032,-0.088,-,-,-,-,-,-,111.600,-
'18:30.000',0.008,-0.064,-,-,-,-,-,-,111.600,-
'18:30.008',-0.024,-0.112,-,-,-,-,-,-,109.200,-
'18:30.016',-0.040,-0.088,-,-,-,-,-,-,108.000,-
'18:30.024',0.000,-0.072,-,-,-,-,-,-,105.600,-
'18:30.032',-0.032,-0.088,-,-,-,-,-,-,102.000,-
'18:30.040',-0.024,-0.064,-,-,-,-,-,-,98.400,-
'18:30.048',-0.024,-0.064,-,-,-,-,-,-,96.000,-
'18:30.056',-0.032,-0.072,-,-,-,-,-,-,93.600,-
'18:30.064',-0.040,-0.064,-,-,-,-,-,-,91.200,-
'18:30.072',-0.024,-0.064,-,-,-,-,-,-,90.000,-
'18:30.080',0.000,-0.024,-,-,-,-,-,-,90.000,-
'18:30.088',-0.040,-0.040,-,-,-,-,-,-,90.000,-
'18:30.096',-0.048,-0.040,-,-,-,-,-,-,90.000,-
'18:30.104',-0.024,-0.008,-,-,-,-,-,-,91.200,-
'18:30.112',-0.032,-0.024,-,-,-,-,-,-,91.200,-
'18:30.120',-0.016,0.000,-,-,-,-,-,-,90.000,-
'18:30.128',-0.032,0.032,-,-,-,-,-,-,87.600,-
'18:30.136',0.024,0.072,-,-,-,-,-,-,86.400,-
'18:30.144',-0.024,0.024,-,-,-,-,-,-,84.000,-
'18:30.152',-0.032,0.048,-,-,-,-,-,-,81.600,-
'18:30.160',-0.008,0.072,-,-,-,-,-,-,80.400,-
'18:30.168',-0.016,0.048,-,-,-,-,-,-,80.400,-
'18:30.176',0.016,0.072,-,-,-,-,-,-,80.400,-
'18:30.184',-0.024,0.024,-,-,-,-,-,-,80.400,-
'18:30.192',0.000,0.032,-,-,-,-,-,-,80.400,-
'18:30.200',-0.032,0.000,-,-,-,-,-,-,79.200,-
'18:30.208',0.000,0.024,-,-,-,-,-,-,79.200,-
'18:30.216',-0.008,0.000,-,-,-,-,-,-,79.200,-
'18:30.224',0.000,-0.008,-,-,-,-,-,-,79.200,-
'18:30.232',-0.024,0.000,-,-,-,-,-,-,79.200,-
'18:30.240',-0.056,-0.040,-,-,-,-,-,-,79.200,-
'18:30.248',-0.008,-0.016,-,-,-,-,-,-,78.000,-
'18:30.256',0.000,-0.016,-,-,-,-,-,-,78.000,-
'18:30.264',-0.032,-0.040,-,-,-,-,-,-,78.000,-
'18:30.272',0.016,0.000,-,-,-,-,-,-,79.200,-
'18:30.280',-0.040,-0.040,-,-,-,-,-,-,79.200,-
'18:30.288',-0.048,-0.040,-,-,-,-,-,-,76.800,-
'18:30.296',0.000,-0.016,-,-,-,-,-,-,74.400,-
'18:30.304',-0.008,-0.088,-,-,-,-,-,-,73.200,-
'18:30.312',-0.056,-0.152,-,-,-,-,-,-,73.200,-
'18:30.320',0.008,-0.024,-,-,-,-,-,-,74.400,-
'18:30.328',0.048,0.128,-,-,-,-,-,-,74.400,-
'18:30.336',0.080,0.208,-,-,-,-,-,-,73.200,-
'18:30.344',-0.008,-0.008,-,-,-,-,-,-,73.200,-
'18:30.352',-0.056,-0.080,-,-,-,-,-,-,72.000,-
'18:30.360',0.024,0.016,-,-,-,-,-,-,72.000,-
'18:30.368',-0.032,-0.024,-,-,-,-,-,-,72.000,-
'18:30.376',0.008,0.048,-,-,-,-,-,-,73.200,-
'18:30.384',-0.040,0.024,-,-,-,-,-,-,73.200,-
'18:30.392',0.000,0.072,-,-,-,-,-,-,74.400,-
'18:30.400',-0.024,0.024,-,-,-,-,-,-,74.400,-
'18:30.408',-0.040,0.016,-,-,-,-,-,-,78.000,-
'18:30.416',0.000,0.024,-,-,-,-,-,-,85.200,-
'18:30.424',-0.032,0.000,-,-,-,-,-,-,93.600,-
'18:30.432',0.008,0.032,-,-,-,-,-,-,102.000,-
'18:30.440',-0.016,0.048,-,-,-,-,-,-,105.600,-
'18:30.448',-0.032,-0.008,-,-,-,-,-,-,106.800,-
'18:30.456',-0.008,0.008,-,-,-,-,-,-,108.000,-
'18:30.464',0.000,0.000,-,-,-,-,-,-,109.200,-
'18:30.472',0.016,0.032,-,-,-,-,-,-,111.600,-
'18:30.480',-0.024,-0.016,-,-,-,-,-,-,114.000,-
'18:30.488',0.000,0.016,-,-,-,-,-,-,115.200,-
'18:30.496',-0.016,-0.008,-,-,-,-,-,-,115.200,-
'18:30.504',-0.040,-0.016,-,-,-,-,-,-,116.400,-
'18:30.512',0.024,0.032,-,-,-,-,-,-,117.600,-
'18:30.520',-0.024,-0.016,-,-,-,-,-,-,117.600,-
'18:30.528',0.008,0.000,-,-,-,-,-,-,117.600,-
'18:30.536',-0.032,-0.016,-,-,-,-,-,-,115.200,-
'18:30.544',0.000,0.000,-,-,-,-,-,-,116.400,-
'18:30.552',-0.048,-0.064,-,-,-,-,-,-,117.600,-
'18:30.560',0.016,-0.016,-,-,-,-,-,-,117.600,-
'18:30.568',-0.032,-0.080,-,-,-,-,-,-,115.200,-
'18:30.576',-0.048,-0.112,-,-,-,-,-,-,110.400,-
'18:30.584',0.000,-0.072,-,-,-,-,-,-,108.000,-
'18:30.592',0.032,-0.064,-,-,-,-,-,-,108.000,-
'18:30.600',-0.032,-0.112,-,-,-,-,-,-,108.000,-
'18:30.608',-0.008,-0.072,-,-,-,-,-,-,104.400,-
'18:30.616',-0.048,-0.096,-,-,-,-,-,-,99.600,-
'18:30.624',-0.056,-0.096,-,-,-,-,-,-,94.800,-
'18:30.632',0.000,-0.040,-,-,-,-,-,-,93.600,-
'18:30.640',-0.024,-0.072,-,-,-,-,-,-,93.600,-
'18:30.648',-0.008,-0.032,-,-,-,-,-,-,92.400,-
