'Elapsed time','I','II','III','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'5:35:45.240',0.000,-,-,-,-0.060,-,55.200,34.200
'5:35:45.248',0.000,-,-,-,-0.060,-,55.200,34.000
'5:35:45.256',0.000,-,-,-,-0.040,-,55.200,34.000
'5:35:45.264',0.000,-,-,-,-0.060,-,54.400,34.200
'5:35:45.272',0.008,-,-,-,-0.040,-,54.400,34.400
'5:35:45.280',0.000,-,-,-,-0.040,-,53.600,34.800
'5:35:45.288',0.000,-,-,-,-0.040,-,53.600,35.200
'5:35:45.296',0.000,-,-,-,-0.040,-,52.800,35.600
'5:35:45.304',0.000,-,-,-,-0.040,-,52.800,35.800
'5:35:45.312',0.000,-,-,-,-0.040,-,52.000,36.000
'5:35:45.320',0.000,-,-,-,-0.040,-,52.000,36.200
'5:35:45.328',0.000,-,-,-,-0.040,-,52.000,36.600
'5:35:45.336',0.000,-,-,-,-0.040,-,51.200,36.600
'5:35:45.344',0.008,-,-,-,-0.040,-,51.200,36.800
'5:35:45.352',0.000,-,-,-,-0.040,-,51.200,36.800
'5:35:45.360',0.008,-,-,-,-0.040,-,51.200,36.600
'5:35:45.368',0.000,-,-,-,-0.040,-,51.200,36.400
'5:35:45.376',0.000,-,-,-,-0.040,-,51.200,36.000
'5:35:45.384',0.008,-,-,-,-0.040,-,51.200,35.800
'5:35:45.392',0.000,-,-,-,-0.040,-,50.400,35.400
'5:35:45.400',0.000,-,-,-,-0.040,-,50.400,35.200
'5:35:45.408',0.000,-,-,-,-0.040,-,50.400,35.000
'5:35:45.416',0.000,-,-,-,-0.040,-,50.400,35.000
'5:35:45.424',0.008,-,-,-,-0.040,-,50.400,34.800
'5:35:45.432',0.000,-,-,-,-0.040,-,49.600,34.800
'5:35:45.440',0.008,-,-,-,-0.040,-,49.600,34.600
'5:35:45.448',0.000,-,-,-,-0.040,-,48.800,34.400
'5:35:45.456',0.008,-,-,-,-0.040,-,48.800,34.200
'5:35:45.464',0.000,-,-,-,-0.040,-,48.800,34.000
'5:35:45.472',0.008,-,-,-,-0.040,-,48.800,33.800
'5:35:45.480',0.000,-,-,-,-0.040,-,48.000,33.600
'5:35:45.488',0.008,-,-,-,-0.020,-,48.000,33.400
'5:35:45.496',0.000,-,-,-,-0.040,-,48.000,33.200
'5:35:45.504',0.016,-,-,-,-0.040,-,48.000,33.000
'5:35:45.512',0.024,-,-,-,-0.040,-,48.000,32.800
'5:35:45.520',0.016,-,-,-,-0.040,-,47.200,32.600
'5:35:45.528',0.032,-,-,-,-0.040,-,47.200,32.400
'5:35:45.536',0.024,-,-,-,-0.040,-,47.200,32.400
'5:35:45.544',0.016,-,-,-,-0.040,-,47.200,32.200
'5:35:45.552',0.008,-,-,-,-0.040,-,47.200,32.200
'5:35:45.560',0.016,-,-,-,-0.040,-,47.200,32.200
'5:35:45.568',0.008,-,-,-,-0.040,-,47.200,32.200
'5:35:45.576',0.016,-,-,-,-0.040,-,46.400,32.000
'5:35:45.584',0.000,-,-,-,-0.040,-,46.400,32.000
'5:35:45.592',0.008,-,-,-,-0.040,-,45.600,31.800
'5:35:45.600',-0.008,-,-,-,-0.040,-,44.800,31.800
'5:35:45.608',0.000,-,-,-,-0.020,-,44.000,31.600
'5:35:45.616',0.000,-,-,-,-0.040,-,43.200,31.400
'5:35:45.624',0.000,-,-,-,-0.020,-,42.400,31.000
'5:35:45.632',0.000,-,-,-,-0.020,-,40.800,30.800
'5:35:45.640',0.000,-,-,-,-0.040,-,40.000,30.400
'5:35:45.648',-0.008,-,-,-,-0.020,-,38.400,30.200
'5:35:45.656',0.008,-,-,-,-0.020,-,37.600,30.000
'5:35:45.664',0.000,-,-,-,0.000,-,36.000,29.800
'5:35:45.672',0.040,-,-,-,0.000,-,34.400,29.800
'5:35:45.680',0.088,-,-,-,0.060,-,33.600,30.000
'5:35:45.688',0.144,-,-,-,0.080,-,32.800,30.000
'5:35:45.696',0.208,-,-,-,0.000,-,32.000,30.400
'5:35:45.704',0.272,-,-,-,-0.040,-,31.200,30.800
'5:35:45.712',0.304,-,-,-,0.020,-,31.200,31.200
'5:35:45.720',0.272,-,-,-,-0.040,-,31.200,31.600
'5:35:45.728',0.176,-,-,-,-0.180,-,31.200,32.200
'5:35:45.736',0.104,-,-,-,-0.220,-,30.400,32.800
'5:35:45.744',-0.024,-,-,-,-0.040,-,30.400,33.400
'5:35:45.752',-0.176,-,-,-,0.040,-,29.600,34.000
'5:35:45.760',-0.216,-,-,-,0.020,-,29.600,34.400
'5:35:45.768',-0.192,-,-,-,0.000,-,30.400,34.800
'5:35:45.776',-0.160,-,-,-,0.020,-,31.200,35.000
'5:35:45.784',-0.128,-,-,-,0.000,-,32.000,35.000
'5:35:45.792',-0.096,-,-,-,0.000,-,33.600,35.400
'5:35:45.800',-0.088,-,-,-,0.000,-,35.200,35.600
'5:35:45.808',-0.072,-,-,-,0.020,-,37.600,36.000
'5:35:45.816',-0.072,-,-,-,0.000,-,40.800,36.200
'5:35:45.824',-0.072,-,-,-,0.000,-,45.600,36.200
'5:35:45.832',-0.064,-,-,-,0.020,-,52.000,36.600
'5:35:45.840',-0.072,-,-,-,0.000,-,60.800,36.800
'5:35:45.848',-0.056,-,-,-,0.020,-,71.200,37.200
'5:35:45.856',-0.064,-,-,-,0.020,-,81.600,37.600
'5:35:45.864',-0.064,-,-,-,0.020,-,90.400,38.000
'5:35:45.872',-0.064,-,-,-,0.020,-,98.400,38.200
'5:35:45.880',-0.056,-,-,-,0.040,-,104.000,38.400
'5:35:45.888',-0.048,-,-,-,0.040,-,108.000,38.600
'5:35:45.896',-0.056,-,-,-,0.020,-,109.600,39.000
'5:35:45.904',-0.048,-,-,-,0.040,-,109.600,39.400
'5:35:45.912',-0.048,-,-,-,0.040,-,108.800,40.200
'5:35:45.920',-0.056,-,-,-,0.040,-,107.200,41.000
'5:35:45.928',-0.048,-,-,-,0.040,-,105.600,41.600
'5:35:45.936',-0.056,-,-,-,0.040,-,104.000,42.400
'5:35:45.944',-0.048,-,-,-,0.040,-,102.400,43.000
'5:35:45.952',-0.056,-,-,-,0.060,-,101.600,43.800
'5:35:45.960',-0.048,-,-,-,0.060,-,100.000,44.600
'5:35:45.968',-0.056,-,-,-,0.060,-,99.200,45.000
'5:35:45.976',-0.048,-,-,-,0.060,-,98.400,45.000
'5:35:45.984',-0.048,-,-,-,0.080,-,97.600,45.000
'5:35:45.992',-0.048,-,-,-,0.080,-,96.800,45.000
'5:35:46.000',-0.048,-,-,-,0.080,-,95.200,45.000
'5:35:46.008',-0.040,-,-,-,0.080,-,93.600,44.800
'5:35:46.016',-0.040,-,-,-,0.080,-,92.000,44.200
'5:35:46.024',-0.032,-,-,-,0.080,-,89.600,43.600
'5:35:46.032',-0.040,-,-,-,0.060,-,86.400,43.600
'5:35:46.040',-0.024,-,-,-,0.060,-,83.200,44.200
'5:35:46.048',-0.016,-,-,-,0.060,-,80.000,44.800
'5:35:46.056',-0.008,-,-,-,0.040,-,76.800,45.000
'5:35:46.064',-0.008,-,-,-,0.040,-,73.600,45.000
'5:35:46.072',0.000,-,-,-,0.040,-,71.200,45.000
'5:35:46.080',0.000,-,-,-,0.040,-,69.600,45.000
'5:35:46.088',0.016,-,-,-,0.020,-,68.000,45.000
'5:35:46.096',0.016,-,-,-,0.000,-,68.800,45.000
'5:35:46.104',0.024,-,-,-,0.020,-,70.400,45.000
'5:35:46.112',0.024,-,-,-,0.000,-,73.600,45.000
'5:35:46.120',0.032,-,-,-,0.000,-,77.600,45.000
'5:35:46.128',0.032,-,-,-,0.000,-,81.600,45.000
'5:35:46.136',0.040,-,-,-,0.000,-,86.400,45.000
'5:35:46.144',0.032,-,-,-,-0.020,-,91.200,45.000
'5:35:46.152',0.040,-,-,-,-0.020,-,95.200,45.000
'5:35:46.160',0.032,-,-,-,-0.040,-,96.800,45.000
'5:35:46.168',0.032,-,-,-,-0.020,-,97.600,45.000
'5:35:46.176',0.040,-,-,-,-0.040,-,96.800,44.800
'5:35:46.184',0.024,-,-,-,-0.040,-,96.000,43.400
'5:35:46.192',0.024,-,-,-,-0.040,-,93.600,42.200
'5:35:46.200',0.024,-,-,-,-0.040,-,92.000,41.000
'5:35:46.208',0.016,-,-,-,-0.040,-,88.800,40.000
'5:35:46.216',0.016,-,-,-,-0.040,-,84.000,39.000
'5:35:46.224',0.008,-,-,-,-0.040,-,77.600,38.200
'5:35:46.232',0.016,-,-,-,-0.040,-,72.000,37.400
'5:35:46.240',0.008,-,-,-,-0.040,-,68.800,36.600
'5:35:46.248',0.000,-,-,-,-0.040,-,67.200,36.000
'5:35:46.256',0.008,-,-,-,-0.040,-,67.200,35.600
'5:35:46.264',0.000,-,-,-,-0.040,-,68.000,35.400
'5:35:46.272',0.008,-,-,-,-0.040,-,68.800,35.200
'5:35:46.280',0.000,-,-,-,-0.040,-,69.600,34.800
'5:35:46.288',0.008,-,-,-,-0.040,-,71.200,34.600
'5:35:46.296',0.000,-,-,-,-0.040,-,72.000,34.200
'5:35:46.304',0.008,-,-,-,-0.040,-,72.000,33.800
'5:35:46.312',0.000,-,-,-,-0.040,-,72.000,33.400
'5:35:46.320',0.000,-,-,-,-0.040,-,72.000,33.000
'5:35:46.328',0.000,-,-,-,-0.040,-,70.400,32.600
'5:35:46.336',0.000,-,-,-,-0.040,-,68.800,32.200
'5:35:46.344',0.000,-,-,-,-0.040,-,67.200,31.800
'5:35:46.352',0.000,-,-,-,-0.040,-,66.400,31.400
'5:35:46.360',0.000,-,-,-,-0.040,-,64.800,31.000
'5:35:46.368',0.000,-,-,-,-0.020,-,64.000,30.600
'5:35:46.376',0.008,-,-,-,-0.040,-,63.200,30.200
'5:35:46.384',0.000,-,-,-,-0.020,-,62.400,30.000
'5:35:46.392',0.000,-,-,-,-0.040,-,62.400,29.800
'5:35:46.400',0.000,-,-,-,-0.020,-,61.600,29.600
'5:35:46.408',0.000,-,-,-,-0.040,-,61.600,29.400
'5:35:46.416',0.000,-,-,-,-0.020,-,61.600,29.200
'5:35:46.424',0.000,-,-,-,-0.040,-,61.600,29.200
'5:35:46.432',0.000,-,-,-,-0.020,-,60.800,29.000
'5:35:46.440',0.000,-,-,-,-0.040,-,60.800,28.800
'5:35:46.448',0.000,-,-,-,-0.020,-,60.000,28.400
'5:35:46.456',0.000,-,-,-,-0.020,-,60.000,28.200
'5:35:46.464',0.000,-,-,-,-0.040,-,59.200,28.000
'5:35:46.472',0.000,-,-,-,-0.020,-,59.200,27.600
'5:35:46.480',0.000,-,-,-,-0.040,-,58.400,27.400
'5:35:46.488',0.000,-,-,-,-0.020,-,57.600,27.200
'5:35:46.496',0.000,-,-,-,-0.040,-,57.600,27.000
'5:35:46.504',0.000,-,-,-,-0.020,-,56.800,26.800
'5:35:46.512',0.000,-,-,-,-0.040,-,56.800,26.800
'5:35:46.520',0.000,-,-,-,-0.020,-,56.800,26.600
'5:35:46.528',0.000,-,-,-,-0.040,-,56.000,26.600
'5:35:46.536',0.000,-,-,-,-0.020,-,56.000,26.800
'5:35:46.544',0.000,-,-,-,-0.040,-,56.000,26.800
'5:35:46.552',0.000,-,-,-,-0.020,-,56.000,27.000
'5:35:46.560',0.000,-,-,-,-0.020,-,56.000,27.200
'5:35:46.568',0.000,-,-,-,-0.020,-,55.200,27.400
'5:35:46.576',0.000,-,-,-,-0.020,-,55.200,27.600
'5:35:46.584',0.008,-,-,-,-0.020,-,54.400,27.800
'5:35:46.592',0.000,-,-,-,-0.020,-,54.400,28.000
'5:35:46.600',0.000,-,-,-,-0.020,-,53.600,28.000
'5:35:46.608',0.000,-,-,-,-0.020,-,53.600,28.000
'5:35:46.616',0.000,-,-,-,-0.020,-,52.800,28.000
'5:35:46.624',0.000,-,-,-,-0.020,-,52.800,28.000
'5:35:46.632',0.000,-,-,-,-0.020,-,52.000,28.000
'5:35:46.640',0.000,-,-,-,-0.020,-,52.000,28.200
'5:35:46.648',0.000,-,-,-,-0.020,-,52.000,28.400
'5:35:46.656',0.000,-,-,-,-0.020,-,51.200,28.400
'5:35:46.664',0.000,-,-,-,-0.040,-,51.200,28.600
'5:35:46.672',0.008,-,-,-,-0.020,-,51.200,29.000
'5:35:46.680',0.016,-,-,-,-0.040,-,51.200,29.200
'5:35:46.688',0.024,-,-,-,-0.020,-,51.200,29.400
'5:35:46.696',0.016,-,-,-,-0.040,-,51.200,29.600
'5:35:46.704',0.008,-,-,-,-0.020,-,51.200,29.800
'5:35:46.712',0.000,-,-,-,-0.040,-,50.400,30.000
'5:35:46.720',0.008,-,-,-,-0.020,-,50.400,30.200
'5:35:46.728',0.000,-,-,-,-0.040,-,50.400,30.400
'5:35:46.736',0.000,-,-,-,-0.020,-,50.400,30.600
'5:35:46.744',0.000,-,-,-,-0.040,-,49.600,30.800
'5:35:46.752',0.000,-,-,-,-0.020,-,49.600,31.000
'5:35:46.760',-0.016,-,-,-,-0.040,-,49.600,31.200
'5:35:46.768',-0.008,-,-,-,-0.020,-,48.800,31.200
'5:35:46.776',-0.016,-,-,-,-0.020,-,48.800,31.400
'5:35:46.784',-0.008,-,-,-,-0.020,-,48.800,31.600
'5:35:46.792',0.000,-,-,-,-0.020,-,48.800,31.800
'5:35:46.800',-0.008,-,-,-,-0.020,-,48.000,32.200
'5:35:46.808',-0.016,-,-,-,-0.020,-,48.000,32.600
'5:35:46.816',-0.008,-,-,-,0.000,-,48.000,32.800
'5:35:46.824',0.000,-,-,-,0.000,-,48.000,33.200
'5:35:46.832',0.024,-,-,-,0.000,-,48.000,33.800
'5:35:46.840',0.064,-,-,-,0.060,-,48.000,34.200
'5:35:46.848',0.120,-,-,-,0.080,-,47.200,34.800
'5:35:46.856',0.184,-,-,-,0.020,-,47.200,35.200
'5:35:46.864',0.248,-,-,-,-0.040,-,47.200,35.600
'5:35:46.872',0.304,-,-,-,0.000,-,46.400,36.000
'5:35:46.880',0.288,-,-,-,0.020,-,46.400,36.600
'5:35:46.888',0.208,-,-,-,-0.140,-,44.800,37.400
'5:35:46.896',0.136,-,-,-,-0.220,-,44.000,38.200
'5:35:46.904',0.032,-,-,-,-0.140,-,43.200,39.000
'5:35:46.912',-0.128,-,-,-,0.000,-,42.400,39.800
'5:35:46.920',-0.216,-,-,-,0.040,-,41.600,40.800
