'Elapsed time','I','II','III','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'33:05:38.536',-,-0.060,-,-,0.000,-,90.000
'33:05:38.544',-,-0.060,-,-,-0.020,-,90.000
'33:05:38.552',-,-0.080,-,-,0.000,-,90.000
'33:05:38.560',-,-0.040,-,-,-0.020,-,90.000
'33:05:38.568',-,-0.060,-,-,-0.040,-,90.000
'33:05:38.576',-,-0.080,-,-,-0.020,-,90.000
'33:05:38.584',-,-0.100,-,-,-0.040,-,90.000
'33:05:38.592',-,-0.040,-,-,0.000,-,90.000
'33:05:38.600',-,-0.060,-,-,0.000,-,90.000
'33:05:38.608',-,-0.040,-,-,-0.020,-,90.000
'33:05:38.616',-,0.000,-,-,0.000,-,90.000
'33:05:38.624',-,0.020,-,-,0.000,-,90.000
'33:05:38.632',-,0.020,-,-,0.000,-,90.000
'33:05:38.640',-,0.040,-,-,0.000,-,90.000
'33:05:38.648',-,0.000,-,-,0.020,-,90.000
'33:05:38.656',-,-0.020,-,-,0.000,-,90.000
'33:05:38.664',-,-0.060,-,-,0.000,-,90.000
'33:05:38.672',-,-0.080,-,-,-0.040,-,90.000
'33:05:38.680',-,-0.140,-,-,-0.040,-,90.000
'33:05:38.688',-,-0.120,-,-,-0.040,-,90.000
'33:05:38.696',-,-0.100,-,-,-0.040,-,90.000
'33:05:38.704',-,-0.100,-,-,-0.040,-,90.000
'33:05:38.712',-,-0.100,-,-,-0.040,-,90.000
'33:05:38.720',-,-0.120,-,-,-0.060,-,90.000
'33:05:38.728',-,-0.140,-,-,-0.080,-,90.000
'33:05:38.736',-,0.320,-,-,0.280,-,90.000
'33:05:38.744',-,0.720,-,-,0.560,-,90.000
'33:05:38.752',-,0.560,-,-,0.380,-,90.000
'33:05:38.760',-,0.160,-,-,0.220,-,90.000
'33:05:38.768',-,0.040,-,-,0.140,-,90.000
'33:05:38.776',-,0.060,-,-,0.040,-,90.000
'33:05:38.784',-,-0.020,-,-,-0.040,-,90.000
'33:05:38.792',-,-0.080,-,-,-0.040,-,90.000
'33:05:38.800',-,-0.060,-,-,-0.040,-,90.000
'33:05:38.808',-,-0.060,-,-,-0.060,-,90.000
'33:05:38.816',-,-0.100,-,-,-0.060,-,90.000
'33:05:38.824',-,-0.060,-,-,-0.060,-,90.000
'33:05:38.832',-,-0.080,-,-,-0.060,-,90.000
'33:05:38.840',-,-0.080,-,-,-0.060,-,90.000
'33:05:38.848',-,-0.060,-,-,-0.060,-,90.000
'33:05:38.856',-,-0.100,-,-,-0.040,-,90.000
'33:05:38.864',-,-0.020,-,-,-0.040,-,90.000
'33:05:38.872',-,-0.020,-,-,-0.040,-,90.000
'33:05:38.880',-,-0.040,-,-,-0.040,-,90.000
'33:05:38.888',-,-0.020,-,-,-0.040,-,90.000
'33:05:38.896',-,0.000,-,-,-0.040,-,90.000
'33:05:38.904',-,0.000,-,-,-0.040,-,90.000
'33:05:38.912',-,0.000,-,-,-0.040,-,90.000
'33:05:38.920',-,0.000,-,-,-0.040,-,90.000
'33:05:38.928',-,0.040,-,-,-0.040,-,90.000
'33:05:38.936',-,0.060,-,-,-0.040,-,90.000
'33:05:38.944',-,0.040,-,-,-0.040,-,90.000
'33:05:38.952',-,0.060,-,-,-0.040,-,90.000
'33:05:38.960',-,0.040,-,-,-0.040,-,90.000
'33:05:38.968',-,0.040,-,-,-0.020,-,90.000
'33:05:38.976',-,0.040,-,-,-0.020,-,90.000
'33:05:38.984',-,0.040,-,-,0.000,-,90.000
'33:05:38.992',-,0.040,-,-,0.000,-,90.000
'33:05:39.000',-,0.040,-,-,0.000,-,90.000
'33:05:39.008',-,0.020,-,-,0.020,-,90.000
'33:05:39.016',-,-0.020,-,-,0.000,-,90.000
'33:05:39.024',-,0.000,-,-,0.000,-,90.000
'33:05:39.032',-,-0.040,-,-,0.000,-,90.000
'33:05:39.040',-,-0.060,-,-,0.000,-,90.000
'33:05:39.048',-,-0.080,-,-,0.000,-,90.000
'33:05:39.056',-,-0.100,-,-,0.000,-,90.000
'33:05:39.064',-,-0.080,-,-,-0.040,-,90.000
'33:05:39.072',-,-0.100,-,-,0.000,-,90.000
'33:05:39.080',-,-0.080,-,-,0.000,-,90.000
'33:05:39.088',-,-0.060,-,-,0.000,-,90.000
'33:05:39.096',-,-0.080,-,-,0.000,-,90.000
'33:05:39.104',-,-0.100,-,-,-0.020,-,90.000
'33:05:39.112',-,-0.100,-,-,-0.020,-,90.000
'33:05:39.120',-,-0.120,-,-,-0.020,-,90.000
'33:05:39.128',-,-0.100,-,-,0.000,-,90.000
'33:05:39.136',-,-0.120,-,-,-0.040,-,90.000
'33:05:39.144',-,-0.120,-,-,-0.020,-,90.000
'33:05:39.152',-,-0.140,-,-,-0.040,-,90.000
'33:05:39.160',-,-0.160,-,-,-0.040,-,90.000
'33:05:39.168',-,-0.120,-,-,-0.040,-,90.000
'33:05:39.176',-,-0.140,-,-,-0.040,-,90.000
'33:05:39.184',-,-0.140,-,-,-0.020,-,90.000
'33:05:39.192',-,-0.140,-,-,-0.040,-,90.000
'33:05:39.200',-,-0.140,-,-,-0.020,-,90.000
'33:05:39.208',-,-0.100,-,-,0.000,-,90.000
'33:05:39.216',-,0.040,-,-,0.060,-,90.000
'33:05:39.224',-,0.180,-,-,0.120,-,90.000
'33:05:39.232',-,0.340,-,-,0.220,-,90.000
'33:05:39.240',-,0.600,-,-,0.340,-,90.000
'33:05:39.248',-,0.760,-,-,0.400,-,90.000
'33:05:39.256',-,0.940,-,-,0.520,-,90.000
'33:05:39.264',-,1.140,-,-,0.800,-,90.000
'33:05:39.272',-,1.440,-,-,1.260,-,90.000
'33:05:39.280',-,1.780,-,-,1.820,-,90.000
'33:05:39.288',-,1.900,-,-,2.000,-,90.000
'33:05:39.296',-,0.860,-,-,1.060,-,90.000
'33:05:39.304',-,-0.040,-,-,0.100,-,90.000
'33:05:39.312',-,-0.380,-,-,-0.240,-,90.000
'33:05:39.320',-,-0.440,-,-,-0.320,-,90.000
'33:05:39.328',-,-0.480,-,-,-0.340,-,90.000
'33:05:39.336',-,-0.480,-,-,-0.360,-,90.000
'33:05:39.344',-,-0.500,-,-,-0.360,-,90.000
'33:05:39.352',-,-0.520,-,-,-0.360,-,90.000
'33:05:39.360',-,-0.520,-,-,-0.380,-,90.000
'33:05:39.368',-,-0.520,-,-,-0.400,-,90.000
'33:05:39.376',-,-0.520,-,-,-0.400,-,90.000
'33:05:39.384',-,-0.520,-,-,-0.400,-,90.000
'33:05:39.392',-,-0.560,-,-,-0.420,-,90.000
'33:05:39.400',-,-0.580,-,-,-0.440,-,90.000
'33:05:39.408',-,-0.600,-,-,-0.460,-,90.000
'33:05:39.416',-,-0.640,-,-,-0.480,-,90.000
'33:05:39.424',-,-0.700,-,-,-0.520,-,90.000
'33:05:39.432',-,-0.720,-,-,-0.580,-,90.000
'33:05:39.440',-,-0.760,-,-,-0.620,-,90.000
'33:05:39.448',-,-0.800,-,-,-0.660,-,90.000
'33:05:39.456',-,-0.820,-,-,-0.700,-,90.000
'33:05:39.464',-,-0.840,-,-,-0.720,-,90.000
'33:05:39.472',-,-0.840,-,-,-0.700,-,90.000
'33:05:39.480',-,-0.740,-,-,-0.680,-,90.000
'33:05:39.488',-,-0.700,-,-,-0.640,-,90.000
'33:05:39.496',-,-0.640,-,-,-0.580,-,90.000
'33:05:39.504',-,-0.540,-,-,-0.480,-,90.000
'33:05:39.512',-,-0.440,-,-,-0.400,-,90.000
'33:05:39.520',-,-0.340,-,-,-0.300,-,90.000
'33:05:39.528',-,-0.220,-,-,-0.200,-,90.000
'33:05:39.536',-,-0.180,-,-,-0.140,-,90.000
'33:05:39.544',-,-0.120,-,-,-0.040,-,90.000
'33:05:39.552',-,-0.100,-,-,-0.020,-,90.000
'33:05:39.560',-,-0.080,-,-,0.000,-,90.000
'33:05:39.568',-,-0.040,-,-,0.020,-,90.000
'33:05:39.576',-,-0.020,-,-,0.040,-,90.000
'33:05:39.584',-,-0.040,-,-,0.040,-,90.000
'33:05:39.592',-,-0.060,-,-,0.040,-,90.000
'33:05:39.600',-,-0.040,-,-,0.020,-,90.000
'33:05:39.608',-,-0.060,-,-,0.020,-,90.000
'33:05:39.616',-,-0.080,-,-,0.040,-,90.000
'33:05:39.624',-,-0.100,-,-,0.020,-,90.000
'33:05:39.632',-,-0.060,-,-,0.020,-,90.000
'33:05:39.640',-,-0.080,-,-,0.020,-,90.000
'33:05:39.648',-,-0.060,-,-,0.040,-,90.000
'33:05:39.656',-,-0.040,-,-,0.020,-,90.000
