'Elapsed time','I','AVF','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'34:36:41.152',-0.048,-,-,49.600
'34:36:41.160',-0.048,-,-,49.600
'34:36:41.168',-0.056,-,-,48.800
'34:36:41.176',-0.056,-,-,48.800
'34:36:41.184',-0.064,-,-,48.000
'34:36:41.192',-0.064,-,-,48.000
'34:36:41.200',-0.064,-,-,47.200
'34:36:41.208',-0.064,-,-,47.200
'34:36:41.216',-0.064,-,-,46.400
'34:36:41.224',-0.056,-,-,46.400
'34:36:41.232',-0.056,-,-,46.400
'34:36:41.240',-0.056,-,-,45.600
'34:36:41.248',-0.056,-,-,45.600
'34:36:41.256',-0.056,-,-,45.600
'34:36:41.264',-0.056,-,-,45.600
'34:36:41.272',-0.024,-,-,44.800
'34:36:41.280',0.064,-,-,44.800
'34:36:41.288',0.216,-,-,44.800
'34:36:41.296',0.368,-,-,44.800
'34:36:41.304',0.440,-,-,44.800
'34:36:41.312',0.448,-,-,44.800
'34:36:41.320',0.368,-,-,44.800
'34:36:41.328',0.240,-,-,44.800
'34:36:41.336',0.080,-,-,44.800
'34:36:41.344',-0.024,-,-,44.800
'34:36:41.352',-0.072,-,-,44.800
'34:36:41.360',-0.080,-,-,44.800
'34:36:41.368',-0.072,-,-,44.800
'34:36:41.376',-0.064,-,-,44.800
'34:36:41.384',-0.064,-,-,44.800
'34:36:41.392',-0.064,-,-,44.800
'34:36:41.400',-0.056,-,-,44.800
'34:36:41.408',-0.048,-,-,44.800
'34:36:41.416',-0.040,-,-,44.800
'34:36:41.424',-0.032,-,-,44.800
'34:36:41.432',-0.024,-,-,45.600
'34:36:41.440',-0.024,-,-,45.600
'34:36:41.448',-0.016,-,-,45.600
'34:36:41.456',-0.008,-,-,46.400
'34:36:41.464',0.000,-,-,47.200
'34:36:41.472',0.008,-,-,48.800
'34:36:41.480',0.008,-,-,50.400
'34:36:41.488',0.016,-,-,53.600
'34:36:41.496',0.024,-,-,57.600
'34:36:41.504',0.032,-,-,61.600
'34:36:41.512',0.040,-,-,65.600
'34:36:41.520',0.048,-,-,70.400
'34:36:41.528',0.048,-,-,75.200
'34:36:41.536',0.056,-,-,80.000
'34:36:41.544',0.056,-,-,84.000
'34:36:41.552',0.056,-,-,88.000
'34:36:41.560',0.056,-,-,92.000
'34:36:41.568',0.056,-,-,94.400
'34:36:41.576',0.056,-,-,96.800
'34:36:41.584',0.064,-,-,98.400
'34:36:41.592',0.064,-,-,99.200
'34:36:41.600',0.064,-,-,100.000
'34:36:41.608',0.056,-,-,99.200
'34:36:41.616',0.048,-,-,99.200
'34:36:41.624',0.040,-,-,97.600
'34:36:41.632',0.024,-,-,96.800
'34:36:41.640',0.008,-,-,94.400
'34:36:41.648',-0.008,-,-,92.800
'34:36:41.656',-0.016,-,-,90.400
'34:36:41.664',-0.024,-,-,88.000
'34:36:41.672',-0.024,-,-,85.600
'34:36:41.680',-0.024,-,-,83.200
'34:36:41.688',-0.024,-,-,80.000
'34:36:41.696',-0.024,-,-,77.600
'34:36:41.704',-0.024,-,-,74.400
'34:36:41.712',-0.024,-,-,72.000
'34:36:41.720',-0.024,-,-,69.600
'34:36:41.728',-0.032,-,-,67.200
'34:36:41.736',-0.032,-,-,64.800
'34:36:41.744',-0.040,-,-,63.200
'34:36:41.752',-0.048,-,-,62.400
'34:36:41.760',-0.048,-,-,60.800
'34:36:41.768',-0.040,-,-,60.000
'34:36:41.776',-0.040,-,-,60.000
'34:36:41.784',-0.040,-,-,59.200
'34:36:41.792',-0.048,-,-,59.200
'34:36:41.800',-0.048,-,-,59.200
'34:36:41.808',-0.048,-,-,60.000
'34:36:41.816',-0.048,-,-,60.000
'34:36:41.824',-0.048,-,-,60.000
'34:36:41.832',-0.048,-,-,60.800
'34:36:41.840',-0.048,-,-,60.800
'34:36:41.848',-0.040,-,-,60.800
'34:36:41.856',-0.040,-,-,60.800
'34:36:41.864',-0.040,-,-,61.600
'34:36:41.872',-0.040,-,-,61.600
'34:36:41.880',-0.040,-,-,60.800
'34:36:41.888',-0.040,-,-,60.800
'34:36:41.896',-0.040,-,-,60.800
'34:36:41.904',-0.040,-,-,60.800
'34:36:41.912',-0.040,-,-,60.000
'34:36:41.920',-0.040,-,-,60.000
'34:36:41.928',-0.048,-,-,59.200
'34:36:41.936',-0.056,-,-,59.200
'34:36:41.944',-0.064,-,-,58.400
'34:36:41.952',-0.064,-,-,57.600
'34:36:41.960',-0.072,-,-,57.600
'34:36:41.968',-0.072,-,-,56.800
'34:36:41.976',-0.032,-,-,56.800
'34:36:41.984',0.080,-,-,56.000
'34:36:41.992',0.240,-,-,55.200
'34:36:42.000',0.368,-,-,55.200
'34:36:42.008',0.416,-,-,54.400
'34:36:42.016',0.392,-,-,54.400
'34:36:42.024',0.328,-,-,53.600
'34:36:42.032',0.200,-,-,53.600
'34:36:42.040',0.064,-,-,52.800
'34:36:42.048',-0.040,-,-,52.800
'34:36:42.056',-0.080,-,-,52.800
'34:36:42.064',-0.096,-,-,52.000
'34:36:42.072',-0.072,-,-,52.000
'34:36:42.080',-0.056,-,-,52.000
'34:36:42.088',-0.048,-,-,51.200
'34:36:42.096',-0.040,-,-,51.200
'34:36:42.104',-0.032,-,-,51.200
'34:36:42.112',-0.024,-,-,51.200
'34:36:42.120',-0.024,-,-,50.400
'34:36:42.128',-0.024,-,-,50.400
'34:36:42.136',-0.024,-,-,50.400
'34:36:42.144',-0.024,-,-,50.400
'34:36:42.152',-0.024,-,-,51.200
'34:36:42.160',-0.016,-,-,51.200
'34:36:42.168',-0.008,-,-,52.000
'34:36:42.176',0.000,-,-,53.600
'34:36:42.184',0.008,-,-,55.200
'34:36:42.192',0.016,-,-,58.400
'34:36:42.200',0.016,-,-,61.600
'34:36:42.208',0.016,-,-,65.600
'34:36:42.216',0.024,-,-,70.400
'34:36:42.224',0.024,-,-,74.400
'34:36:42.232',0.024,-,-,79.200
'34:36:42.240',0.032,-,-,84.000
'34:36:42.248',0.040,-,-,88.000
'34:36:42.256',0.048,-,-,92.000
'34:36:42.264',0.048,-,-,95.200
'34:36:42.272',0.056,-,-,98.400
'34:36:42.280',0.056,-,-,100.000
'34:36:42.288',0.064,-,-,101.600
'34:36:42.296',0.056,-,-,102.400
'34:36:42.304',0.056,-,-,103.200
