'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'14:04:45.432',-0.139,-,-,-0.169,109.600
'14:04:45.440',-0.153,-,-,-0.169,107.200
'14:04:45.448',-0.139,-,-,-0.169,104.800
'14:04:45.456',-0.125,-,-,-0.183,104.000
'14:04:45.464',-0.097,-,-,-0.183,102.400
'14:04:45.472',-0.083,-,-,-0.183,101.600
'14:04:45.480',-0.069,-,-,-0.169,100.000
'14:04:45.488',-0.056,-,-,-0.155,98.400
'14:04:45.496',-0.028,-,-,-0.127,96.800
'14:04:45.504',-0.014,-,-,-0.113,95.200
'14:04:45.512',0.000,-,-,-0.113,93.600
'14:04:45.520',0.014,-,-,-0.070,92.000
'14:04:45.528',0.028,-,-,-0.056,89.600
'14:04:45.536',0.028,-,-,-0.014,88.000
'14:04:45.544',0.042,-,-,0.000,85.600
'14:04:45.552',0.056,-,-,0.000,83.200
'14:04:45.560',0.069,-,-,0.028,80.800
'14:04:45.568',0.069,-,-,0.056,79.200
'14:04:45.576',0.056,-,-,0.056,77.600
'14:04:45.584',0.056,-,-,0.056,77.600
'14:04:45.592',0.056,-,-,0.085,77.600
'14:04:45.600',0.056,-,-,0.070,78.400
'14:04:45.608',0.069,-,-,0.085,79.200
'14:04:45.616',0.069,-,-,0.085,79.200
'14:04:45.624',0.069,-,-,0.085,79.200
'14:04:45.632',0.069,-,-,0.070,79.200
'14:04:45.640',0.069,-,-,0.085,78.400
'14:04:45.648',0.069,-,-,0.070,77.600
'14:04:45.656',0.069,-,-,0.070,77.600
'14:04:45.664',0.069,-,-,0.056,76.800
'14:04:45.672',0.069,-,-,0.056,76.000
'14:04:45.680',0.056,-,-,0.056,75.200
'14:04:45.688',0.056,-,-,0.042,74.400
'14:04:45.696',0.069,-,-,0.042,73.600
'14:04:45.704',0.056,-,-,0.042,72.800
'14:04:45.712',0.056,-,-,0.056,72.800
'14:04:45.720',0.056,-,-,0.056,72.000
'14:04:45.728',0.056,-,-,0.056,72.000
'14:04:45.736',0.042,-,-,0.056,72.000
'14:04:45.744',0.042,-,-,0.056,71.200
'14:04:45.752',0.056,-,-,0.056,71.200
'14:04:45.760',0.056,-,-,0.056,70.400
'14:04:45.768',0.042,-,-,0.056,70.400
'14:04:45.776',0.042,-,-,0.056,70.400
'14:04:45.784',0.042,-,-,0.056,69.600
'14:04:45.792',0.042,-,-,0.056,69.600
'14:04:45.800',0.056,-,-,0.056,68.800
'14:04:45.808',0.056,-,-,0.056,68.800
'14:04:45.816',0.056,-,-,0.056,68.000
'14:04:45.824',0.056,-,-,0.070,68.000
'14:04:45.832',0.056,-,-,0.056,67.200
'14:04:45.840',0.056,-,-,0.070,67.200
'14:04:45.848',0.056,-,-,0.056,66.400
'14:04:45.856',0.056,-,-,0.056,66.400
'14:04:45.864',0.056,-,-,0.056,65.600
'14:04:45.872',0.056,-,-,0.042,65.600
'14:04:45.880',0.042,-,-,0.028,64.800
'14:04:45.888',0.028,-,-,0.028,64.800
'14:04:45.896',0.028,-,-,0.028,64.800
'14:04:45.904',0.028,-,-,0.028,64.000
'14:04:45.912',0.028,-,-,0.028,64.000
'14:04:45.920',0.028,-,-,0.028,64.000
'14:04:45.928',0.028,-,-,0.028,63.200
'14:04:45.936',0.028,-,-,0.028,63.200
'14:04:45.944',0.028,-,-,0.028,63.200
'14:04:45.952',0.042,-,-,0.028,62.400
'14:04:45.960',0.028,-,-,0.028,62.400
'14:04:45.968',0.042,-,-,0.028,62.400
'14:04:45.976',0.042,-,-,0.028,62.400
'14:04:45.984',0.042,-,-,0.028,61.600
'14:04:45.992',0.042,-,-,0.042,61.600
'14:04:46.000',0.208,-,-,0.127,61.600
'14:04:46.008',0.486,-,-,0.408,60.800
'14:04:46.016',0.569,-,-,0.535,60.800
'14:04:46.024',0.250,-,-,0.042,60.800
'14:04:46.032',-0.056,-,-,-0.380,60.000
'14:04:46.040',-0.153,-,-,-0.408,60.000
'14:04:46.048',-0.167,-,-,-0.338,60.000
'14:04:46.056',-0.125,-,-,-0.183,59.200
'14:04:46.064',-0.069,-,-,-0.056,59.200
'14:04:46.072',-0.056,-,-,-0.028,59.200
'14:04:46.080',-0.069,-,-,-0.014,58.400
'14:04:46.088',-0.069,-,-,-0.028,58.400
'14:04:46.096',-0.069,-,-,-0.042,58.400
'14:04:46.104',-0.083,-,-,-0.056,58.400
'14:04:46.112',-0.083,-,-,-0.070,58.400
'14:04:46.120',-0.097,-,-,-0.056,59.200
'14:04:46.128',-0.083,-,-,-0.070,61.600
'14:04:46.136',-0.083,-,-,-0.070,67.200
'14:04:46.144',-0.083,-,-,-0.085,76.800
'14:04:46.152',-0.083,-,-,-0.113,88.800
'14:04:46.160',-0.069,-,-,-0.113,101.600
'14:04:46.168',-0.069,-,-,-0.127,112.800
'14:04:46.176',-0.069,-,-,-0.113,120.000
'14:04:46.184',-0.069,-,-,-0.127,124.000
'14:04:46.192',-0.069,-,-,-0.141,124.000
'14:04:46.200',-0.069,-,-,-0.141,122.400
'14:04:46.208',-0.083,-,-,-0.169,120.800
'14:04:46.216',-0.083,-,-,-0.169,118.400
'14:04:46.224',-0.097,-,-,-0.197,116.800
'14:04:46.232',-0.125,-,-,-0.225,116.000
'14:04:46.240',-0.125,-,-,-0.239,114.400
'14:04:46.248',-0.097,-,-,-0.239,113.600
'14:04:46.256',-0.097,-,-,-0.254,112.800
'14:04:46.264',-0.097,-,-,-0.239,111.200
'14:04:46.272',-0.083,-,-,-0.254,109.600
'14:04:46.280',-0.083,-,-,-0.225,108.000
'14:04:46.288',-0.056,-,-,-0.197,105.600
'14:04:46.296',-0.042,-,-,-0.169,104.000
'14:04:46.304',-0.014,-,-,-0.141,101.600
'14:04:46.312',0.000,-,-,-0.113,99.200
'14:04:46.320',0.014,-,-,-0.056,96.800
'14:04:46.328',0.028,-,-,-0.028,94.400
'14:04:46.336',0.028,-,-,0.000,92.000
'14:04:46.344',0.042,-,-,0.028,88.800
'14:04:46.352',0.056,-,-,0.042,86.400
'14:04:46.360',0.069,-,-,0.056,84.800
'14:04:46.368',0.083,-,-,0.085,83.200
'14:04:46.376',0.083,-,-,0.113,82.400
'14:04:46.384',0.083,-,-,0.113,82.400
'14:04:46.392',0.083,-,-,0.113,83.200
'14:04:46.400',0.083,-,-,0.127,83.200
'14:04:46.408',0.083,-,-,0.113,83.200
'14:04:46.416',0.069,-,-,0.113,83.200
'14:04:46.424',0.069,-,-,0.085,82.400
'14:04:46.432',0.056,-,-,0.085,82.400
'14:04:46.440',0.042,-,-,0.070,81.600
'14:04:46.448',0.042,-,-,0.056,80.800
'14:04:46.456',0.028,-,-,0.056,79.200
'14:04:46.464',0.028,-,-,0.042,78.400
'14:04:46.472',0.042,-,-,0.056,77.600
'14:04:46.480',0.042,-,-,0.042,77.600
'14:04:46.488',0.042,-,-,0.056,76.800
'14:04:46.496',0.042,-,-,0.042,76.000
'14:04:46.504',0.069,-,-,0.070,75.200
'14:04:46.512',0.208,-,-,0.239,74.400
'14:04:46.520',0.472,-,-,0.451,74.400
'14:04:46.528',0.569,-,-,0.479,73.600
'14:04:46.536',0.319,-,-,-0.197,72.800
'14:04:46.544',0.056,-,-,-0.479,72.000
'14:04:46.552',-0.056,-,-,-0.366,72.000
'14:04:46.560',-0.083,-,-,-0.239,71.200
'14:04:46.568',-0.056,-,-,-0.042,70.400
'14:04:46.576',-0.042,-,-,0.028,70.400
'14:04:46.584',-0.042,-,-,0.028,69.600
'14:04:46.592',-0.042,-,-,0.028,69.600
'14:04:46.600',-0.028,-,-,0.028,68.800
'14:04:46.608',-0.042,-,-,0.014,68.800
'14:04:46.616',-0.042,-,-,0.000,68.000
'14:04:46.624',-0.042,-,-,0.000,68.000
'14:04:46.632',-0.042,-,-,0.000,67.200
'14:04:46.640',-0.042,-,-,0.000,68.000
'14:04:46.648',-0.056,-,-,-0.014,70.400
'14:04:46.656',-0.056,-,-,-0.028,75.200
'14:04:46.664',-0.069,-,-,-0.028,82.400
'14:04:46.672',-0.083,-,-,-0.056,92.000
'14:04:46.680',-0.097,-,-,-0.070,101.600
'14:04:46.688',-0.097,-,-,-0.113,111.200
'14:04:46.696',-0.125,-,-,-0.113,117.600
'14:04:46.704',-0.125,-,-,-0.141,121.600
'14:04:46.712',-0.139,-,-,-0.141,122.400
'14:04:46.720',-0.139,-,-,-0.169,120.800
'14:04:46.728',-0.139,-,-,-0.169,119.200
'14:04:46.736',-0.139,-,-,-0.183,116.800
'14:04:46.744',-0.125,-,-,-0.169,115.200
'14:04:46.752',-0.097,-,-,-0.169,113.600
'14:04:46.760',-0.083,-,-,-0.169,112.000
'14:04:46.768',-0.056,-,-,-0.155,111.200
'14:04:46.776',-0.028,-,-,-0.141,109.600
'14:04:46.784',0.000,-,-,-0.113,108.800
'14:04:46.792',0.014,-,-,-0.070,107.200
'14:04:46.800',0.042,-,-,-0.028,104.800
'14:04:46.808',0.056,-,-,0.000,103.200
'14:04:46.816',0.083,-,-,0.028,100.800
'14:04:46.824',0.097,-,-,0.042,98.400
'14:04:46.832',0.097,-,-,0.056,95.200
'14:04:46.840',0.097,-,-,0.070,92.000
'14:04:46.848',0.083,-,-,0.056,88.800
'14:04:46.856',0.083,-,-,0.085,85.600
'14:04:46.864',0.083,-,-,0.085,84.000
'14:04:46.872',0.083,-,-,0.113,82.400
'14:04:46.880',0.083,-,-,0.085,82.400
'14:04:46.888',0.083,-,-,0.113,82.400
'14:04:46.896',0.083,-,-,0.127,82.400
'14:04:46.904',0.083,-,-,0.085,82.400
'14:04:46.912',0.069,-,-,0.113,82.400
'14:04:46.920',0.069,-,-,0.085,82.400
'14:04:46.928',0.069,-,-,0.085,81.600
'14:04:46.936',0.083,-,-,0.113,81.600
'14:04:46.944',0.083,-,-,0.085,80.800
'14:04:46.952',0.097,-,-,0.127,79.200
'14:04:46.960',0.125,-,-,0.113,78.400
'14:04:46.968',0.097,-,-,0.113,77.600
'14:04:46.976',0.083,-,-,0.127,76.800
'14:04:46.984',0.069,-,-,0.085,76.000
'14:04:46.992',0.056,-,-,0.085,75.200
