'Elapsed time','I','II','AVR','AVL','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'15:18.192',0.043,-,-,-,-,29.600,42.120
'15:18.200',0.035,-,-,-,-,31.200,44.880
'15:18.208',0.035,-,-,-,-,32.800,44.880
'15:18.216',0.017,-,-,-,-,34.400,44.880
'15:18.224',0.009,-,-,-,-,36.000,44.880
'15:18.232',0.009,-,-,-,-,36.800,44.880
'15:18.240',0.009,-,-,-,-,37.600,44.880
'15:18.248',0.009,-,-,-,-,38.400,44.880
'15:18.256',0.000,-,-,-,-,38.400,44.880
'15:18.264',0.000,-,-,-,-,39.200,44.880
'15:18.272',0.000,-,-,-,-,39.200,44.880
'15:18.280',0.009,-,-,-,-,39.200,44.880
'15:18.288',0.009,-,-,-,-,38.400,44.880
'15:18.296',0.009,-,-,-,-,38.400,44.880
'15:18.304',0.009,-,-,-,-,37.600,44.880
'15:18.312',0.009,-,-,-,-,36.800,42.960
'15:18.320',0.009,-,-,-,-,36.000,41.760
'15:18.328',0.009,-,-,-,-,35.200,41.160
'15:18.336',0.009,-,-,-,-,35.200,41.520
'15:18.344',0.009,-,-,-,-,35.200,42.360
'15:18.352',0.017,-,-,-,-,35.200,43.560
'15:18.360',0.035,-,-,-,-,36.000,44.520
'15:18.368',0.035,-,-,-,-,37.600,44.760
'15:18.376',0.043,-,-,-,-,38.400,44.160
'15:18.384',0.052,-,-,-,-,40.000,43.320
'15:18.392',0.070,-,-,-,-,41.600,42.360
'15:18.400',0.070,-,-,-,-,43.200,42.120
'15:18.408',0.070,-,-,-,-,44.800,42.360
'15:18.416',0.052,-,-,-,-,46.400,42.720
'15:18.424',0.043,-,-,-,-,48.000,43.920
'15:18.432',0.017,-,-,-,-,49.600,44.880
'15:18.440',0.009,-,-,-,-,52.000,44.880
'15:18.448',0.009,-,-,-,-,53.600,44.880
'15:18.456',0.000,-,-,-,-,55.200,43.080
'15:18.464',0.009,-,-,-,-,56.800,41.520
'15:18.472',0.000,-,-,-,-,58.400,40.080
'15:18.480',0.000,-,-,-,-,59.200,39.960
'15:18.488',-0.009,-,-,-,-,59.200,41.520
'15:18.496',0.000,-,-,-,-,58.400,44.160
'15:18.504',-0.009,-,-,-,-,56.800,44.880
'15:18.512',-0.043,-,-,-,-,55.200,44.880
