'Elapsed time','II','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'34:32:15.304',-,-0.015,58.800,-
'34:32:15.312',-,-0.015,57.600,-
'34:32:15.320',-,-0.015,57.600,-
'34:32:15.328',-,-0.015,56.400,-
'34:32:15.336',-,-0.015,56.400,-
'34:32:15.344',-,-0.015,56.400,-
'34:32:15.352',-,-0.015,56.400,-
'34:32:15.360',-,-0.015,55.200,-
'34:32:15.368',-,-0.015,55.200,-
'34:32:15.376',-,-0.015,55.200,-
'34:32:15.384',-,-0.015,54.000,-
'34:32:15.392',-,-0.015,54.000,-
'34:32:15.400',-,0.000,54.000,-
'34:32:15.408',-,0.015,54.000,-
'34:32:15.416',-,0.015,52.800,-
'34:32:15.424',-,0.015,52.800,-
'34:32:15.432',-,-0.045,52.800,-
'34:32:15.440',-,-0.090,52.800,-
'34:32:15.448',-,-0.134,52.800,-
'34:32:15.456',-,-0.104,51.600,-
'34:32:15.464',-,-0.060,51.600,-
'34:32:15.472',-,-0.045,51.600,-
'34:32:15.480',-,-0.015,51.600,-
'34:32:15.488',-,-0.015,51.600,-
'34:32:15.496',-,-0.015,50.400,-
'34:32:15.504',-,-0.015,50.400,-
'34:32:15.512',-,0.000,50.400,-
'34:32:15.520',-,0.000,50.400,-
'34:32:15.528',-,0.000,50.400,-
'34:32:15.536',-,0.000,50.400,-
'34:32:15.544',-,0.000,50.400,-
'34:32:15.552',-,0.000,50.400,-
'34:32:15.560',-,0.090,50.400,-
'34:32:15.568',-,0.194,49.200,-
'34:32:15.576',-,0.284,49.200,-
'34:32:15.584',-,0.313,49.200,-
'34:32:15.592',-,0.045,49.200,-
'34:32:15.600',-,-0.328,49.200,-
'34:32:15.608',-,-0.657,49.200,-
'34:32:15.616',-,-0.761,49.200,-
'34:32:15.624',-,-0.791,49.200,-
'34:32:15.632',-,-0.657,49.200,-
'34:32:15.640',-,-0.448,49.200,-
'34:32:15.648',-,-0.224,48.000,-
'34:32:15.656',-,-0.060,48.000,-
'34:32:15.664',-,0.015,48.000,-
'34:32:15.672',-,0.045,48.000,-
'34:32:15.680',-,0.060,48.000,-
'34:32:15.688',-,0.045,48.000,-
'34:32:15.696',-,0.060,48.000,-
'34:32:15.704',-,0.060,48.000,-
'34:32:15.712',-,0.060,49.200,-
'34:32:15.720',-,0.060,51.600,-
'34:32:15.728',-,0.045,55.200,-
'34:32:15.736',-,0.045,61.200,-
'34:32:15.744',-,0.045,68.400,-
'34:32:15.752',-,0.045,76.800,-
'34:32:15.760',-,0.060,85.200,-
'34:32:15.768',-,0.060,93.600,-
'34:32:15.776',-,0.060,100.800,-
'34:32:15.784',-,0.060,108.000,-
'34:32:15.792',-,0.060,114.000,-
'34:32:15.800',-,0.060,117.600,-
'34:32:15.808',-,0.090,121.200,-
'34:32:15.816',-,0.090,123.600,-
'34:32:15.824',-,0.104,126.000,-
'34:32:15.832',-,0.104,126.000,-
'34:32:15.840',-,0.134,127.200,-
'34:32:15.848',-,0.134,127.200,-
'34:32:15.856',-,0.149,127.200,-
'34:32:15.864',-,0.179,127.200,-
'34:32:15.872',-,0.179,126.000,-
'34:32:15.880',-,0.194,126.000,-
'34:32:15.888',-,0.194,124.800,-
'34:32:15.896',-,0.194,124.800,-
'34:32:15.904',-,0.179,123.600,-
'34:32:15.912',-,0.179,122.400,-
'34:32:15.920',-,0.149,122.400,-
'34:32:15.928',-,0.134,121.200,-
'34:32:15.936',-,0.104,120.000,-
'34:32:15.944',-,0.090,118.800,-
'34:32:15.952',-,0.045,116.400,-
'34:32:15.960',-,0.015,115.200,-
'34:32:15.968',-,0.000,112.800,-
'34:32:15.976',-,-0.015,110.400,-
'34:32:15.984',-,-0.015,106.800,-
'34:32:15.992',-,-0.045,103.200,-
'34:32:16.000',-,-0.045,99.600,-
'34:32:16.008',-,-0.045,96.000,-
'34:32:16.016',-,-0.045,91.200,-
'34:32:16.024',-,-0.045,87.600,-
'34:32:16.032',-,-0.045,82.800,-
'34:32:16.040',-,-0.045,79.200,-
'34:32:16.048',-,-0.015,76.800,-
'34:32:16.056',-,-0.015,74.400,-
'34:32:16.064',-,-0.015,73.200,-
'34:32:16.072',-,0.000,72.000,-
'34:32:16.080',-,0.000,72.000,-
'34:32:16.088',-,0.015,72.000,-
'34:32:16.096',-,0.015,70.800,-
'34:32:16.104',-,0.015,70.800,-
'34:32:16.112',-,0.015,70.800,-
'34:32:16.120',-,0.015,70.800,-
'34:32:16.128',-,0.015,70.800,-
'34:32:16.136',-,0.015,70.800,-
'34:32:16.144',-,0.015,69.600,-
'34:32:16.152',-,0.015,69.600,-
'34:32:16.160',-,0.000,68.400,-
'34:32:16.168',-,0.000,68.400,-
'34:32:16.176',-,0.000,67.200,-
'34:32:16.184',-,0.000,67.200,-
'34:32:16.192',-,0.000,66.000,-
'34:32:16.200',-,0.000,64.800,-
'34:32:16.208',-,0.000,64.800,-
'34:32:16.216',-,0.000,63.600,-
'34:32:16.224',-,0.000,63.600,-
'34:32:16.232',-,0.000,62.400,-
'34:32:16.240',-,0.000,61.200,-
'34:32:16.248',-,0.000,61.200,-
'34:32:16.256',-,0.000,60.000,-
'34:32:16.264',-,0.000,60.000,-
'34:32:16.272',-,0.000,60.000,-
'34:32:16.280',-,-0.015,58.800,-
'34:32:16.288',-,-0.015,58.800,-
'34:32:16.296',-,-0.015,57.600,-
'34:32:16.304',-,-0.015,57.600,-
'34:32:16.312',-,-0.015,56.400,-
'34:32:16.320',-,-0.015,56.400,-
'34:32:16.328',-,-0.015,56.400,-
'34:32:16.336',-,-0.015,55.200,-
'34:32:16.344',-,-0.015,55.200,-
'34:32:16.352',-,-0.015,55.200,-
'34:32:16.360',-,-0.015,54.000,-
'34:32:16.368',-,0.000,54.000,-
'34:32:16.376',-,0.015,54.000,-
'34:32:16.384',-,0.045,54.000,-
'34:32:16.392',-,0.045,52.800,-
'34:32:16.400',-,0.000,52.800,-
'34:32:16.408',-,-0.060,52.800,-
'34:32:16.416',-,-0.104,52.800,-
'34:32:16.424',-,-0.104,51.600,-
'34:32:16.432',-,-0.090,51.600,-
'34:32:16.440',-,-0.045,51.600,-
'34:32:16.448',-,-0.015,51.600,-
'34:32:16.456',-,-0.015,51.600,-
'34:32:16.464',-,-0.015,50.400,-
'34:32:16.472',-,0.000,50.400,-
'34:32:16.480',-,0.000,50.400,-
'34:32:16.488',-,0.000,50.400,-
'34:32:16.496',-,0.000,50.400,-
'34:32:16.504',-,0.000,50.400,-
'34:32:16.512',-,0.000,49.200,-
'34:32:16.520',-,0.000,49.200,-
'34:32:16.528',-,0.045,49.200,-
'34:32:16.536',-,0.149,49.200,-
'34:32:16.544',-,0.269,49.200,-
'34:32:16.552',-,0.284,49.200,-
'34:32:16.560',-,0.179,49.200,-
'34:32:16.568',-,-0.149,49.200,-
'34:32:16.576',-,-0.537,48.000,-
'34:32:16.584',-,-0.746,48.000,-
'34:32:16.592',-,-0.806,48.000,-
'34:32:16.600',-,-0.746,48.000,-
'34:32:16.608',-,-0.582,48.000,-
'34:32:16.616',-,-0.328,48.000,-
'34:32:16.624',-,-0.134,46.800,-
'34:32:16.632',-,-0.015,46.800,-
'34:32:16.640',-,0.045,46.800,-
'34:32:16.648',-,0.060,46.800,-
'34:32:16.656',-,0.045,46.800,-
'34:32:16.664',-,0.045,46.800,-
'34:32:16.672',-,0.045,46.800,-
'34:32:16.680',-,0.045,46.800,-
'34:32:16.688',-,0.060,48.000,-
'34:32:16.696',-,0.045,51.600,-
'34:32:16.704',-,0.045,55.200,-
'34:32:16.712',-,0.045,62.400,-
'34:32:16.720',-,0.045,69.600,-
'34:32:16.728',-,0.060,78.000,-
'34:32:16.736',-,0.060,87.600,-
'34:32:16.744',-,0.060,94.800,-
'34:32:16.752',-,0.060,103.200,-
'34:32:16.760',-,0.060,109.200,-
'34:32:16.768',-,0.060,114.000,-
'34:32:16.776',-,0.090,118.800,-
'34:32:16.784',-,0.090,121.200,-
'34:32:16.792',-,0.090,123.600,-
'34:32:16.800',-,0.104,124.800,-
'34:32:16.808',-,0.134,124.800,-
'34:32:16.816',-,0.134,124.800,-
'34:32:16.824',-,0.149,124.800,-
'34:32:16.832',-,0.179,124.800,-
'34:32:16.840',-,0.179,124.800,-
'34:32:16.848',-,0.194,123.600,-
'34:32:16.856',-,0.194,123.600,-
'34:32:16.864',-,0.194,123.600,-
'34:32:16.872',-,0.194,122.400,-
'34:32:16.880',-,0.179,122.400,-
'34:32:16.888',-,0.149,121.200,-
'34:32:16.896',-,0.134,120.000,-
'34:32:16.904',-,0.104,118.800,-
'34:32:16.912',-,0.090,117.600,-
'34:32:16.920',-,0.060,115.200,-
'34:32:16.928',-,0.045,114.000,-
'34:32:16.936',-,0.015,111.600,-
'34:32:16.944',-,0.000,108.000,-
'34:32:16.952',-,-0.015,105.600,-
'34:32:16.960',-,-0.045,102.000,-
'34:32:16.968',-,-0.045,98.400,-
'34:32:16.976',-,-0.045,94.800,-
'34:32:16.984',-,-0.045,90.000,-
'34:32:16.992',-,-0.045,86.400,-
'34:32:17.000',-,-0.045,81.600,-
'34:32:17.008',-,-0.045,78.000,-
'34:32:17.016',-,-0.045,75.600,-
'34:32:17.024',-,-0.015,73.200,-
'34:32:17.032',-,-0.015,72.000,-
'34:32:17.040',-,0.000,70.800,-
