'Elapsed time','I','AVF','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'34:30:13.152',-0.056,-,-,50.400
'34:30:13.160',-0.040,-,-,50.400
'34:30:13.168',-0.040,-,-,50.400
'34:30:13.176',-0.040,-,-,49.600
'34:30:13.184',-0.040,-,-,49.600
'34:30:13.192',0.000,-,-,48.800
'34:30:13.200',0.104,-,-,48.800
'34:30:13.208',0.256,-,-,48.800
'34:30:13.216',0.392,-,-,48.000
'34:30:13.224',0.440,-,-,48.000
'34:30:13.232',0.424,-,-,47.200
'34:30:13.240',0.360,-,-,47.200
'34:30:13.248',0.232,-,-,47.200
'34:30:13.256',0.080,-,-,46.400
'34:30:13.264',-0.032,-,-,46.400
'34:30:13.272',-0.080,-,-,46.400
'34:30:13.280',-0.088,-,-,45.600
'34:30:13.288',-0.080,-,-,45.600
'34:30:13.296',-0.064,-,-,45.600
'34:30:13.304',-0.056,-,-,44.800
'34:30:13.312',-0.056,-,-,44.800
'34:30:13.320',-0.048,-,-,44.800
'34:30:13.328',-0.040,-,-,44.800
'34:30:13.336',-0.032,-,-,44.800
'34:30:13.344',-0.032,-,-,44.000
'34:30:13.352',-0.032,-,-,44.000
'34:30:13.360',-0.032,-,-,44.800
'34:30:13.368',-0.024,-,-,44.800
'34:30:13.376',-0.024,-,-,45.600
'34:30:13.384',-0.016,-,-,47.200
'34:30:13.392',-0.024,-,-,49.600
'34:30:13.400',-0.024,-,-,52.800
'34:30:13.408',-0.016,-,-,56.800
'34:30:13.416',-0.008,-,-,60.800
'34:30:13.424',0.000,-,-,65.600
'34:30:13.432',0.008,-,-,71.200
'34:30:13.440',0.008,-,-,76.800
'34:30:13.448',0.024,-,-,81.600
'34:30:13.456',0.032,-,-,86.400
'34:30:13.464',0.040,-,-,91.200
'34:30:13.472',0.048,-,-,95.200
'34:30:13.480',0.056,-,-,98.400
'34:30:13.488',0.056,-,-,100.800
'34:30:13.496',0.056,-,-,102.400
